,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-01-19,SLB,Schlumberger Li...,"54,809",bmo,0.44,--,--,--,0.07%
2018-01-19,SYF,Synchrony Finan...,"24,547",bmo,0.63,--,--,--,3.14%
2018-01-19,RF,Regions Financi...,"15,411",bmo,0.26,--,--,--,2.87%
2018-01-19,CFG,Citizens Financ...,"16,450",bmo,0.67,--,--,--,2.32%
2018-01-19,STI,"Suntrust Banks,...","28,387",bmo,1.05,--,--,--,0.94%
2018-01-19,KSU,Kansas City Sou...,"12,366",bmo,1.36,--,--,--,-1.35%
2018-01-19,WIT,Wipro Limited,"25,754",bmo,0.05,--,--,--,-2.77%
2018-01-19,FHN,First Horizon N...,"4,740",bmo,0.29,--,--,--,-0.25%
2018-01-19,BOCH,Bank Of Commerc...,195,--,0.19,--,--,--,--
2018-01-19,GFED,Guaranty Federa...,104,--,0.38,--,--,--,--
