timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,2.69,2.795,2.66,2.76,2.76,672840,0.0,1.0
2019-07-23,2.69,2.76,2.64,2.71,2.71,739446,0.0,1.0
2019-07-22,2.71,2.75,2.63,2.69,2.69,1028557,0.0,1.0
2019-07-19,2.77,2.8,2.705,2.72,2.72,945452,0.0,1.0
2019-07-18,2.78,2.81,2.72,2.81,2.81,986465,0.0,1.0
2019-07-17,2.77,2.86,2.75,2.83,2.83,863041,0.0,1.0
2019-07-16,2.82,2.9,2.72,2.79,2.79,1380404,0.0,1.0
2019-07-15,2.77,2.86,2.7,2.84,2.84,868196,0.0,1.0
2019-07-12,2.77,2.803,2.655,2.77,2.77,1507509,0.0,1.0
2019-07-11,2.9,2.9297,2.74,2.78,2.78,1423639,0.0,1.0
2019-07-10,2.86,3.02,2.65,2.87,2.87,2421039,0.0,1.0
2019-07-09,2.46,2.74,2.45,2.71,2.71,1781477,0.0,1.0
2019-07-08,2.44,2.455,2.32,2.45,2.45,981350,0.0,1.0
2019-07-05,2.35,2.46,2.33,2.45,2.45,805976,0.0,1.0
2019-07-03,2.44,2.48,2.37,2.42,2.42,913145,0.0,1.0
2019-07-02,2.56,2.58,2.36,2.42,2.42,1227655,0.0,1.0
2019-07-01,2.65,2.65,2.41,2.58,2.58,1810184,0.0,1.0
2019-06-28,2.13,2.59,2.13,2.53,2.53,12138159,0.0,1.0
2019-06-27,2.2,2.2,2.08,2.1,2.1,949503,0.0,1.0
2019-06-26,2.2,2.22,2.02,2.18,2.18,1518199,0.0,1.0
2019-06-25,2.32,2.33,2.18,2.19,2.19,1162636,0.0,1.0
2019-06-24,2.35,2.35,2.27,2.31,2.31,1113084,0.0,1.0
2019-06-21,2.4,2.4,2.25,2.35,2.35,1653901,0.0,1.0
2019-06-20,2.42,2.445,2.33,2.36,2.36,791847,0.0,1.0
2019-06-19,2.41,2.43,2.37,2.41,2.41,659633,0.0,1.0
2019-06-18,2.35,2.43,2.31,2.42,2.42,983083,0.0,1.0
2019-06-17,2.35,2.39,2.31,2.34,2.34,726407,0.0,1.0
2019-06-14,2.43,2.45,2.33,2.36,2.36,747538,0.0,1.0
2019-06-13,2.39,2.45,2.33,2.43,2.43,669286,0.0,1.0
2019-06-12,2.35,2.39,2.33,2.36,2.36,630645,0.0,1.0
2019-06-11,2.4,2.44,2.35,2.37,2.37,759598,0.0,1.0
2019-06-10,2.33,2.38,2.31,2.37,2.37,841193,0.0,1.0
2019-06-07,2.48,2.5,2.31,2.32,2.32,1325934,0.0,1.0
2019-06-06,2.34,2.5,2.31,2.48,2.48,1502625,0.0,1.0
2019-06-05,2.42,2.4899,2.24,2.31,2.31,1482658,0.0,1.0
2019-06-04,2.45,2.53,2.31,2.43,2.43,1848502,0.0,1.0
2019-06-03,2.59,2.64,2.44,2.45,2.45,1288869,0.0,1.0
2019-05-31,2.62,2.64,2.56,2.59,2.59,620191,0.0,1.0
2019-05-30,2.81,2.8409,2.63,2.66,2.66,1011719,0.0,1.0
2019-05-29,2.59,2.85,2.55,2.83,2.83,1152557,0.0,1.0
2019-05-28,2.75,2.77,2.59,2.62,2.62,1410640,0.0,1.0
2019-05-24,2.81,2.86,2.705,2.74,2.74,899742,0.0,1.0
2019-05-23,2.86,2.89,2.76,2.8,2.8,881307,0.0,1.0
2019-05-22,2.95,2.9645,2.85,2.9,2.9,1023601,0.0,1.0
2019-05-21,2.86,3.01,2.86,2.96,2.96,1115857,0.0,1.0
2019-05-20,2.87,2.89,2.78,2.86,2.86,920732,0.0,1.0
2019-05-17,2.79,2.93,2.755,2.9,2.9,1512583,0.0,1.0
2019-05-16,3.06,3.0779,2.775,2.79,2.79,3996928,0.0,1.0
2019-05-15,3.15,3.1698,2.9,3.09,3.09,2656810,0.0,1.0
2019-05-14,3.22,3.235,3.11,3.15,3.15,1102846,0.0,1.0
2019-05-13,3.26,3.28,3.1,3.2,3.2,1847979,0.0,1.0
2019-05-10,3.16,3.37,3.16,3.31,3.31,1578285,0.0,1.0
2019-05-09,3.23,3.28,3.02,3.18,3.18,3498913,0.0,1.0
2019-05-08,3.54,3.6385,3.47,3.51,3.51,1760927,0.0,1.0
2019-05-07,3.6,3.66,3.53,3.56,3.56,1105649,0.0,1.0
2019-05-06,3.5,3.69,3.4768,3.62,3.62,1404101,0.0,1.0
2019-05-03,3.56,3.7,3.45,3.66,3.66,1611742,0.0,1.0
2019-05-02,3.71,3.71,3.54,3.56,3.56,1941064,0.0,1.0
2019-05-01,3.88,3.8962,3.67,3.71,3.71,1850188,0.0,1.0
2019-04-30,3.91,4.0,3.81,3.87,3.87,2379772,0.0,1.0
2019-04-29,4.0,4.0,3.84,3.92,3.92,2349662,0.0,1.0
2019-04-26,3.87,4.0,3.81,3.93,3.93,2996919,0.0,1.0
2019-04-25,3.7,3.87,3.5224,3.85,3.85,3559842,0.0,1.0
2019-04-24,3.63,3.75,3.47,3.7,3.7,3076639,0.0,1.0
2019-04-23,3.43,3.57,3.3549,3.51,3.51,2034749,0.0,1.0
2019-04-22,3.38,3.47,3.31,3.4,3.4,1001490,0.0,1.0
2019-04-18,3.35,3.39,3.31,3.38,3.38,772577,0.0,1.0
2019-04-17,3.38,3.4,3.285,3.36,3.36,968990,0.0,1.0
2019-04-16,3.45,3.49,3.34,3.37,3.37,852956,0.0,1.0
2019-04-15,3.39,3.44,3.285,3.42,3.42,864434,0.0,1.0
2019-04-12,3.4,3.45,3.33,3.39,3.39,811554,0.0,1.0
2019-04-11,3.35,3.39,3.2699,3.38,3.38,903238,0.0,1.0
2019-04-10,3.35,3.4,3.25,3.33,3.33,939252,0.0,1.0
2019-04-09,3.41,3.43,3.3504,3.39,3.39,1384854,0.0,1.0
2019-04-08,3.47,3.49,3.39,3.42,3.42,806453,0.0,1.0
2019-04-05,3.39,3.49,3.37,3.45,3.45,938134,0.0,1.0
2019-04-04,3.41,3.43,3.33,3.42,3.42,1070520,0.0,1.0
2019-04-03,3.43,3.46,3.33,3.44,3.44,1566358,0.0,1.0
2019-04-02,3.53,3.58,3.435,3.46,3.46,1549047,0.0,1.0
2019-04-01,3.51,3.58,3.41,3.52,3.52,1672107,0.0,1.0
2019-03-29,3.28,3.54,3.22,3.48,3.48,2583711,0.0,1.0
