timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,6.0,6.12,5.93,6.05,6.05,276564,0.0,1.0
2019-07-23,6.02,6.13,5.94,6.0,6.0,159955,0.0,1.0
2019-07-22,6.0,6.1,5.9,6.0,6.0,256903,0.0,1.0
2019-07-19,6.02,6.1,5.94,6.0,6.0,224625,0.0,1.0
2019-07-18,5.99,6.04,5.83,6.03,6.03,184444,0.0,1.0
2019-07-17,6.01,6.03,5.9,5.99,5.99,887036,0.0,1.0
2019-07-16,5.94,6.0838,5.89,6.01,6.01,165725,0.0,1.0
2019-07-15,6.0,6.0574,5.81,5.94,5.94,141161,0.0,1.0
2019-07-12,6.0,6.14,5.92,6.0,6.0,177350,0.0,1.0
2019-07-11,6.08,6.1899,5.91,5.99,5.99,314065,0.0,1.0
2019-07-10,5.96,6.23,5.9329,6.1,6.1,299598,0.0,1.0
2019-07-09,5.77,5.94,5.75,5.9,5.9,193420,0.0,1.0
2019-07-08,5.95,5.95,5.55,5.82,5.82,334483,0.0,1.0
2019-07-05,5.96,6.08,5.9456,6.0,6.0,198469,0.0,1.0
2019-07-03,5.91,6.0,5.85,5.98,5.98,133535,0.0,1.0
2019-07-02,6.07,6.16,5.85,5.91,5.91,310003,0.0,1.0
2019-07-01,6.26,6.36,5.98,6.02,6.02,360485,0.0,1.0
2019-06-28,5.93,6.28,5.91,6.2,6.2,691163,0.0,1.0
2019-06-27,5.91,6.1,5.83,5.93,5.93,259986,0.0,1.0
2019-06-26,5.89,6.15,5.75,5.89,5.89,286469,0.0,1.0
2019-06-25,5.77,6.0954,5.72,5.87,5.87,348127,0.0,1.0
2019-06-24,5.5,5.8,5.45,5.77,5.77,246488,0.0,1.0
2019-06-21,5.59,5.6,5.37,5.5,5.5,729195,0.0,1.0
2019-06-20,5.23,5.61,5.23,5.59,5.59,484157,0.0,1.0
2019-06-19,5.0,5.24,4.93,5.16,5.16,388801,0.0,1.0
2019-06-18,4.78,5.095,4.7093,4.97,4.97,248120,0.0,1.0
2019-06-17,4.55,4.87,4.54,4.77,4.77,291784,0.0,1.0
2019-06-14,4.6,4.7896,4.52,4.54,4.54,190708,0.0,1.0
2019-06-13,4.32,4.62,4.29,4.6,4.6,283227,0.0,1.0
2019-06-12,4.29,4.49,4.2,4.31,4.31,227811,0.0,1.0
2019-06-11,4.67,4.67,4.255,4.29,4.29,337127,0.0,1.0
2019-06-10,4.74,4.835,4.61,4.61,4.61,211180,0.0,1.0
2019-06-07,4.66,4.69,4.44,4.67,4.67,168752,0.0,1.0
2019-06-06,4.81,4.9,4.56,4.65,4.65,148659,0.0,1.0
2019-06-05,5.06,5.06,4.75,4.8,4.8,162533,0.0,1.0
2019-06-04,4.7,5.07,4.65,5.05,5.05,221315,0.0,1.0
2019-06-03,4.71,4.79,4.56,4.66,4.66,287607,0.0,1.0
2019-05-31,4.53,4.77,4.46,4.7,4.7,298792,0.0,1.0
2019-05-30,4.77,4.84,4.55,4.61,4.61,555812,0.0,1.0
2019-05-29,4.75,4.81,4.59,4.77,4.77,428633,0.0,1.0
2019-05-28,4.95,4.99,4.56,4.8,4.8,1254647,0.0,1.0
2019-05-24,5.1,5.15,4.93,4.99,4.99,488018,0.0,1.0
2019-05-23,5.22,5.28,4.98,5.05,5.05,814882,0.0,1.0
2019-05-22,5.45,5.51,5.23,5.25,5.25,386942,0.0,1.0
2019-05-21,5.46,5.51,5.27,5.48,5.48,441325,0.0,1.0
2019-05-20,5.7,5.7,5.4,5.46,5.46,413910,0.0,1.0
2019-05-17,5.9,5.98,5.65,5.73,5.73,289535,0.0,1.0
2019-05-16,5.74,6.41,5.74,5.96,5.96,1262252,0.0,1.0
2019-05-15,5.47,5.78,5.375,5.73,5.73,383710,0.0,1.0
2019-05-14,5.52,5.59,5.39,5.49,5.49,561222,0.0,1.0
2019-05-13,5.48,5.56,5.417,5.48,5.48,499850,0.0,1.0
2019-05-10,6.08,6.08,5.36,5.6,5.6,1318484,0.0,1.0
2019-05-09,5.9,6.06,5.85,5.93,5.93,479665,0.0,1.0
2019-05-08,6.15,6.16,5.96,5.97,5.97,297651,0.0,1.0
2019-05-07,6.22,6.29,6.0355,6.18,6.18,353705,0.0,1.0
