timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,1.4839,1.51,1.46,1.49,1.49,41621,0.0,1.0
2019-07-24,1.47,1.53,1.455,1.49,1.49,93382,0.0,1.0
2019-07-23,1.43,1.5292,1.41,1.5,1.5,189871,0.0,1.0
2019-07-22,1.6,1.6,1.4548,1.47,1.47,93219,0.0,1.0
2019-07-19,1.75,1.81,1.57,1.59,1.59,324180,0.0,1.0
2019-07-18,1.65,1.7,1.62,1.64,1.64,60172,0.0,1.0
2019-07-17,1.67,1.705,1.65,1.68,1.68,53426,0.0,1.0
2019-07-16,1.47,1.7081,1.47,1.635,1.635,50375,0.0,1.0
2019-07-15,1.51,1.55,1.45,1.45,1.45,20416,0.0,1.0
2019-07-12,1.53,1.58,1.5,1.5,1.5,19093,0.0,1.0
2019-07-11,1.55,1.59,1.5,1.56,1.56,20995,0.0,1.0
2019-07-10,1.5,1.59,1.5,1.57,1.57,21286,0.0,1.0
2019-07-09,1.55,1.5522,1.5,1.51,1.51,23768,0.0,1.0
2019-07-08,1.6,1.61,1.53,1.53,1.53,30989,0.0,1.0
2019-07-05,1.57,1.59,1.57,1.59,1.59,6842,0.0,1.0
2019-07-03,1.5714,1.58,1.55,1.57,1.57,6780,0.0,1.0
2019-07-02,1.61,1.62,1.53,1.54,1.54,18719,0.0,1.0
2019-07-01,1.64,1.64,1.6,1.6,1.6,34339,0.0,1.0
2019-06-28,1.57,1.65,1.57,1.65,1.65,19752,0.0,1.0
2019-06-27,1.52,1.58,1.5176,1.58,1.58,5664,0.0,1.0
2019-06-26,1.57,1.58,1.5,1.5271,1.5271,21736,0.0,1.0
2019-06-25,1.5477,1.58,1.52,1.57,1.57,2329,0.0,1.0
2019-06-24,1.59,1.61,1.51,1.58,1.58,24745,0.0,1.0
2019-06-21,1.63,1.63,1.5602,1.6,1.6,13772,0.0,1.0
2019-06-20,1.6,1.64,1.54,1.63,1.63,14693,0.0,1.0
2019-06-19,1.65,1.65,1.6069,1.6106,1.6106,5620,0.0,1.0
2019-06-18,1.54,1.65,1.54,1.61,1.61,30231,0.0,1.0
2019-06-17,1.63,1.63,1.55,1.6,1.6,21438,0.0,1.0
2019-06-14,1.64,1.69,1.6,1.61,1.61,32726,0.0,1.0
2019-06-13,1.69,1.69,1.65,1.68,1.68,2034,0.0,1.0
2019-06-12,1.69,1.7,1.61,1.67,1.67,4660,0.0,1.0
2019-06-11,1.67,1.72,1.6,1.72,1.72,6836,0.0,1.0
2019-06-10,1.67,1.73,1.64,1.71,1.71,49187,0.0,1.0
2019-06-07,1.645,1.74,1.64,1.66,1.66,37593,0.0,1.0
2019-06-06,1.71,1.7358,1.63,1.65,1.65,74857,0.0,1.0
2019-06-05,1.73,1.7816,1.68,1.74,1.74,43279,0.0,1.0
2019-06-04,1.75,1.87,1.68,1.68,1.68,75671,0.0,1.0
2019-06-03,1.78,1.8,1.68,1.75,1.75,21078,0.0,1.0
2019-05-31,1.74,1.78,1.7264,1.75,1.75,23813,0.0,1.0
2019-05-30,1.72,1.76,1.7085,1.76,1.76,37145,0.0,1.0
2019-05-29,1.64,1.71,1.6032,1.71,1.71,89368,0.0,1.0
2019-05-28,1.64,1.6799,1.62,1.66,1.66,10714,0.0,1.0
2019-05-24,1.59,1.7,1.59,1.69,1.69,53947,0.0,1.0
2019-05-23,1.6,1.64,1.55,1.63,1.63,31296,0.0,1.0
2019-05-22,1.54,1.63,1.51,1.63,1.63,22440,0.0,1.0
2019-05-21,1.56,1.65,1.5377,1.57,1.57,59010,0.0,1.0
2019-05-20,1.57,1.5754,1.5,1.55,1.55,16149,0.0,1.0
2019-05-17,1.56,1.6,1.55,1.58,1.58,39573,0.0,1.0
2019-05-16,1.56,1.6,1.56,1.59,1.59,8046,0.0,1.0
2019-05-15,1.59,1.615,1.52,1.56,1.56,34411,0.0,1.0
2019-05-14,1.63,1.64,1.58,1.58,1.58,14796,0.0,1.0
2019-05-13,1.67,1.67,1.53,1.62,1.62,66113,0.0,1.0
2019-05-10,1.66,1.71,1.64,1.68,1.68,87380,0.0,1.0
2019-05-09,1.7,1.72,1.65,1.65,1.65,111471,0.0,1.0
2019-05-08,1.71,1.74,1.71,1.72,1.72,73096,0.0,1.0
2019-05-07,1.64,1.74,1.64,1.7,1.7,188319,0.0,1.0
2019-05-06,1.63,1.72,1.63,1.65,1.65,32146,0.0,1.0
2019-05-03,1.65,1.68,1.64,1.65,1.65,25256,0.0,1.0
2019-05-02,1.67,1.6763,1.62,1.63,1.63,23412,0.0,1.0
2019-05-01,1.63,1.73,1.6,1.62,1.62,68956,0.0,1.0
2019-04-30,1.63,1.69,1.6,1.6,1.6,71373,0.0,1.0
2019-04-29,1.6556,1.6556,1.62,1.62,1.62,29391,0.0,1.0
2019-04-26,1.67,1.67,1.61,1.64,1.64,31132,0.0,1.0
2019-04-25,1.69,1.69,1.6517,1.69,1.69,38502,0.0,1.0
2019-04-24,1.66,1.675,1.65,1.65,1.65,12757,0.0,1.0
2019-04-23,1.68,1.69,1.65,1.65,1.65,31903,0.0,1.0
2019-04-22,1.67,1.72,1.6307,1.6867,1.6867,31253,0.0,1.0
2019-04-18,1.68,1.7208,1.68,1.68,1.68,15223,0.0,1.0
2019-04-17,1.7,1.73,1.68,1.68,1.68,15998,0.0,1.0
2019-04-16,1.68,1.74,1.68,1.71,1.71,129060,0.0,1.0
2019-04-15,1.72,1.7298,1.68,1.69,1.69,38129,0.0,1.0
2019-04-12,1.79,1.82,1.71,1.72,1.72,84732,0.0,1.0
2019-04-11,1.81,1.83,1.77,1.78,1.78,61512,0.0,1.0
2019-04-10,1.78,1.83,1.75,1.82,1.82,98402,0.0,1.0
