timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,17.91,18.015,17.24,17.37,17.37,5081823,0.0,1.0
2019-07-24,17.58,17.995,17.41,17.92,17.92,3996504,0.0,1.0
2019-07-23,17.85,17.9,17.33,17.59,17.59,3581246,0.0,1.0
2019-07-22,18.27,18.29,17.185,17.64,17.64,5518649,0.0,1.0
2019-07-19,17.93,18.415,17.92,18.22,18.22,4337330,0.0,1.0
2019-07-18,18.0,18.19,17.88,17.9,17.9,3786666,0.0,1.0
2019-07-17,18.26,18.34,17.63,18.1,18.1,4806922,0.0,1.0
2019-07-16,17.35,18.33,17.31,18.31,18.31,7995738,0.0,1.0
2019-07-15,16.93,17.535,16.9,17.41,17.41,5611244,0.0,1.0
2019-07-12,16.65,17.01,16.41,16.79,16.79,3475060,0.0,1.0
2019-07-11,17.06,17.2,16.51,16.63,16.63,3633736,0.1375,1.0
2019-07-10,16.96,17.06,16.605,16.7,16.5631,3634591,0.0,1.0
2019-07-09,17.03,17.255,16.73,16.85,16.7118,4818993,0.0,1.0
2019-07-08,17.13,17.55,16.93,17.12,16.9796,4076910,0.0,1.0
2019-07-05,16.74,17.27,16.69,17.14,16.9994,2926592,0.0,1.0
2019-07-03,16.58,16.86,16.5,16.82,16.6821,2192620,0.0,1.0
2019-07-02,17.02,17.13,16.45,16.51,16.3746,3132941,0.0,1.0
2019-07-01,17.24,17.72,16.87,17.02,16.8804,4020712,0.0,1.0
2019-06-28,17.06,17.26,16.86,16.9,16.7614,4465867,0.0,1.0
2019-06-27,17.07,17.11,16.58,17.0,16.8606,5288372,0.0,1.0
2019-06-26,17.22,17.36,16.93,16.98,16.8408,4389392,0.0,1.0
2019-06-25,17.79,17.79,17.115,17.17,17.0292,3790919,0.0,1.0
2019-06-24,18.07,18.21,17.595,17.7,17.5549,3628305,0.0,1.0
2019-06-21,18.0,18.41,17.73,18.1,17.9516,4666799,0.0,1.0
2019-06-20,17.99,18.1,17.67,18.05,17.902,4471161,0.0,1.0
2019-06-19,17.76,17.96,17.395,17.82,17.6739,4371613,0.0,1.0
2019-06-18,17.99,18.35,17.61,17.67,17.5251,5418971,0.0,1.0
2019-06-17,17.63,18.16,17.58,17.96,17.8127,5333399,0.0,1.0
2019-06-14,17.05,17.72,17.05,17.57,17.4259,6416454,0.0,1.0
2019-06-13,16.65,17.195,16.31,17.07,16.93,9164534,0.0,1.0
2019-06-12,16.85,17.03,16.59,16.6,16.4639,3556777,0.0,1.0
2019-06-11,16.86,17.3,16.77,16.87,16.7317,5264035,0.0,1.0
2019-06-10,17.67,17.845,16.725,16.76,16.6226,5965676,0.0,1.0
2019-06-07,17.57,17.67,17.32,17.5,17.3565,6158225,0.0,1.0
2019-06-06,18.38,18.39,17.17,17.58,17.4358,8696579,0.0,1.0
2019-06-05,19.71,19.9,18.44,18.54,18.388,9009709,0.0,1.0
2019-06-04,18.27,18.76,18.26,18.52,18.3681,7013039,0.0,1.0
2019-06-03,17.38,18.065,17.38,17.92,17.773,6030154,0.0,1.0
2019-05-31,17.21,17.585,17.09,17.4,17.2573,4738197,0.0,1.0
2019-05-30,17.77,18.08,17.53,17.72,17.5747,4392859,0.0,1.0
2019-05-29,17.89,18.32,17.48,17.7,17.5549,8929329,0.0,1.0
2019-05-28,18.7,19.345,18.7,18.89,18.7351,4881725,0.0,1.0
2019-05-24,18.54,18.76,18.395,18.7,18.5467,2607084,0.0,1.0
2019-05-23,18.4,18.93,18.265,18.46,18.3086,4791215,0.0,1.0
2019-05-22,19.81,19.81,18.61,18.72,18.5665,6471928,0.0,1.0
2019-05-21,19.94,20.11,19.66,19.99,19.8261,2202658,0.0,1.0
2019-05-20,19.87,20.05,19.74,19.96,19.7963,2871079,0.0,1.0
2019-05-17,19.93,20.425,19.77,20.0,19.836,3339616,0.0,1.0
2019-05-16,20.07,20.49,19.9416,20.05,19.8856,3389851,0.0,1.0
2019-05-15,20.29,20.31,19.83,19.98,19.8162,4199673,0.0,1.0
2019-05-14,20.45,20.695,20.15,20.53,20.3616,3717008,0.0,1.0
2019-05-13,21.36,21.36,20.185,20.44,20.2724,4156284,0.0,1.0
2019-05-10,22.38,22.38,21.14,21.79,21.6113,4956128,0.0,1.0
2019-05-09,22.28,22.63,22.1,22.45,22.2659,4551213,0.0,1.0
2019-05-08,22.75,23.11,22.6,22.92,22.732,3043693,0.0,1.0
2019-05-07,23.44,23.61,22.46,22.71,22.5238,4479979,0.0,1.0
2019-05-06,23.76,23.95,23.3,23.52,23.3271,3505231,0.0,1.0
2019-05-03,24.26,24.3,23.76,24.12,23.9222,2279713,0.0,1.0
2019-05-02,23.91,24.11,23.575,24.04,23.8429,2794712,0.0,1.0
2019-05-01,23.81,24.115,23.7,23.82,23.6247,2672131,0.0,1.0
2019-04-30,23.97,24.06,23.51,23.78,23.585,3418290,0.0,1.0
2019-04-29,23.38,24.03,23.38,23.97,23.7734,3245602,0.0,1.0
2019-04-26,22.98,23.355,22.76,23.26,23.0693,2400770,0.0,1.0
2019-04-25,23.38,23.61,23.08,23.09,22.9007,2903317,0.0,1.0
2019-04-24,22.7,23.485,22.64,23.37,23.1784,3238417,0.0,1.0
2019-04-23,22.37,22.57,22.04,22.54,22.3552,5455209,0.0,1.0
2019-04-22,22.42,22.6,22.04,22.21,22.0279,3356385,0.0,1.0
2019-04-18,22.73,23.095,22.45,22.46,22.2758,4089814,0.0,1.0
2019-04-17,22.16,22.85,22.15,22.79,22.6031,4373831,0.0,1.0
2019-04-16,21.96,22.25,21.78,22.02,21.8394,4149249,0.0,1.0
2019-04-15,21.27,21.93,21.2339,21.78,21.6014,3587458,0.0,1.0
2019-04-12,21.61,21.79,21.125,21.26,21.0857,2930748,0.0,1.0
2019-04-11,21.92,22.08,21.5,21.59,21.413,3624767,0.1375,1.0
2019-04-10,21.65,22.13,21.65,22.06,21.7406,3475069,0.0,1.0
2019-04-09,22.12,22.23,21.63,21.67,21.3563,3487144,0.0,1.0
2019-04-08,22.71,22.78,22.06,22.24,21.918,4456654,0.0,1.0
2019-04-05,22.8,23.29,22.71,22.82,22.4896,4005681,0.0,1.0
2019-04-04,21.88,22.8,21.71,22.77,22.4404,3627882,0.0,1.0
2019-04-03,21.93,22.13,21.77,21.84,21.5238,2783998,0.0,1.0
2019-04-02,22.1,22.1,21.4,21.72,21.4056,4565354,0.0,1.0
2019-04-01,22.38,22.39,21.6,22.11,21.7899,3223010,0.0,1.0
2019-03-29,22.03,22.29,21.83,22.17,21.849,3614469,0.0,1.0
2019-03-28,22.34,22.48,21.68,21.91,21.5928,4513307,0.0,1.0
2019-03-27,21.5,22.2,21.48,22.09,21.7702,5097511,0.0,1.0
2019-03-26,21.01,21.7,20.97,21.41,21.1001,4764751,0.0,1.0
2019-03-25,19.88,21.11,19.81,20.95,20.6467,5087913,0.0,1.0
2019-03-22,20.24,20.4,19.83,20.0,19.7105,3417968,0.0,1.0
2019-03-21,20.31,20.65,20.225,20.33,20.0357,2944729,0.0,1.0
2019-03-20,20.68,20.95,20.315,20.44,20.1441,3706989,0.0,1.0
2019-03-19,20.8,20.9,20.61,20.72,20.42,3533259,0.0,1.0
