timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,64.73,65.57,63.32,63.86,63.86,1598495,0.0,1.0
2019-07-24,65.1,65.91,64.85,65.57,65.57,1007577,0.0,1.0
2019-07-23,63.1,65.4,62.83,65.1,65.1,1458419,0.0,1.0
2019-07-22,63.76,64.2,62.86,62.87,62.87,1303889,0.0,1.0
2019-07-19,64.52,65.14,63.48,63.49,63.49,1143271,0.0,1.0
2019-07-18,63.75,64.42,63.341,64.36,64.36,1018779,0.0,1.0
2019-07-17,65.27,65.32,63.73,63.78,63.78,1178975,0.0,1.0
2019-07-16,63.36,65.62,63.3,65.41,65.41,1384989,0.0,1.0
2019-07-15,64.14,64.585,63.25,63.36,63.36,946292,0.0,1.0
2019-07-12,63.56,64.61,63.326,64.24,64.24,958705,0.0,1.0
2019-07-11,63.2,63.55,62.42,63.31,63.31,982458,0.0,1.0
2019-07-10,64.15,64.39,62.56,62.94,62.94,1197020,0.0,1.0
2019-07-09,64.3,64.62,63.315,63.69,63.69,910717,0.0,1.0
2019-07-08,64.17,64.91,64.08,64.68,64.68,1228542,0.0,1.0
2019-07-05,63.72,64.22,63.15,64.07,64.07,566810,0.0,1.0
2019-07-03,63.42,64.69,63.3,63.84,63.84,759894,0.0,1.0
2019-07-02,64.2,64.53,63.08,63.09,63.09,1098178,0.0,1.0
2019-07-01,64.1,64.6,62.91,63.71,63.71,1122714,0.0,1.0
2019-06-28,63.3,64.0,63.05,63.91,63.91,2179741,0.0,1.0
2019-06-27,62.15,63.49,62.15,63.11,63.11,862642,0.0,1.0
2019-06-26,61.85,62.23,61.42,61.91,61.91,646459,0.0,1.0
2019-06-25,62.37,63.2,61.65,61.94,61.94,1388330,0.0,1.0
2019-06-24,62.23,62.67,61.91,62.42,62.42,936461,0.0,1.0
2019-06-21,60.86,62.59,60.3013,62.08,62.08,2177557,0.0,1.0
2019-06-20,63.25,63.3,60.32,60.72,60.72,2019301,0.0,1.0
2019-06-19,63.17,63.22,62.38,62.86,62.86,589883,0.0,1.0
2019-06-18,62.7,63.63,62.51,62.94,62.94,673005,0.0,1.0
2019-06-17,63.2,63.2,62.49,62.52,62.52,916087,0.0,1.0
2019-06-14,62.33,63.41,61.62,63.12,63.12,1236882,0.0,1.0
2019-06-13,61.01,62.33,61.01,62.16,62.16,916637,0.0,1.0
2019-06-12,60.92,61.3832,60.52,60.96,60.96,593878,0.0,1.0
2019-06-11,61.0,61.28,60.53,60.76,60.76,645385,0.0,1.0
2019-06-10,60.88,61.8,60.57,60.64,60.64,814967,0.0,1.0
2019-06-07,61.0,61.53,60.49,60.53,60.53,984242,0.0,1.0
2019-06-06,61.51,61.7,60.29,60.95,60.95,618481,0.0,1.0
2019-06-05,61.46,61.82,61.21,61.61,61.61,1103096,0.0,1.0
2019-06-04,59.68,61.0,59.68,60.86,60.86,1197755,0.0,1.0
2019-06-03,58.01,59.38,57.85,59.07,59.07,877479,0.0,1.0
2019-05-31,58.15,58.46,57.82,58.2,58.2,812426,0.0,1.0
2019-05-30,59.5,59.75,58.5,58.78,58.78,1239978,0.0,1.0
2019-05-29,60.01,60.26,58.73,59.27,59.27,957882,0.0,1.0
2019-05-28,60.55,60.81,59.85,60.05,60.05,853309,0.0,1.0
2019-05-24,61.34,61.88,60.37,60.59,60.59,722530,0.0,1.0
2019-05-23,60.23,61.45,59.41,61.36,61.36,1104827,0.0,1.0
2019-05-22,62.08,62.25,60.6,60.68,60.68,1308801,0.0,1.0
2019-05-21,62.13,62.865,61.9,62.62,62.62,803728,0.0,1.0
2019-05-20,61.5,62.45,61.22,61.95,61.95,935389,0.35,1.0
2019-05-17,61.94,63.2,61.68,62.39,62.0395,870850,0.0,1.0
2019-05-16,61.71,63.19,61.6,62.64,62.2881,1353845,0.0,1.0
2019-05-15,60.79,61.79,60.5,61.49,61.1446,1128628,0.0,1.0
2019-05-14,60.28,61.67,60.08,61.38,61.0352,989426,0.0,1.0
2019-05-13,60.01,60.18,59.22,60.13,59.7922,939841,0.0,1.0
2019-05-10,60.21,61.42,59.3001,61.27,60.9258,862209,0.0,1.0
2019-05-09,60.21,60.4,59.46,60.3,59.9612,1097452,0.0,1.0
2019-05-08,60.84,61.27,60.31,60.69,60.349,762172,0.0,1.0
2019-05-07,61.71,61.71,60.25,61.09,60.7468,944809,0.0,1.0
2019-05-06,61.37,62.29,61.15,62.19,61.8406,716421,0.0,1.0
2019-05-03,62.35,63.2609,62.35,62.48,62.129,702536,0.0,1.0
2019-05-02,62.15,63.2,61.98,62.34,61.9898,1166290,0.0,1.0
2019-05-01,62.0,62.46,61.72,62.07,61.7213,1126438,0.0,1.0
2019-04-30,61.41,62.38,61.175,61.9,61.5522,1500668,0.0,1.0
2019-04-29,60.3,60.98,60.15,60.54,60.1999,1373182,0.0,1.0
2019-04-26,59.1,60.99,58.7,60.62,60.2794,2519151,0.0,1.0
2019-04-25,60.79,61.25,58.25,59.17,58.8376,1959987,0.0,1.0
2019-04-24,60.99,61.55,60.28,60.8,60.4584,985724,0.0,1.0
2019-04-23,60.27,61.23,60.18,60.89,60.5479,1118878,0.0,1.0
2019-04-22,61.16,61.2,60.045,60.3,59.9612,2194077,0.0,1.0
2019-04-18,61.29,61.75,60.7,61.67,61.3235,976590,0.0,1.0
2019-04-17,61.87,62.1,61.07,61.38,61.0352,1157198,0.0,1.0
2019-04-16,60.3,61.105,60.19,60.97,60.6275,1040679,0.0,1.0
2019-04-15,60.82,60.82,59.82,60.06,59.7226,1065830,0.0,1.0
2019-04-12,60.39,61.09,59.77,60.63,60.2894,1988579,0.0,1.0
2019-04-11,58.92,60.57,58.86,59.71,59.3746,2174210,0.0,1.0
2019-04-10,58.66,59.04,57.72,58.78,58.4498,1838488,0.0,1.0
2019-04-09,58.01,58.31,57.54,57.84,57.5151,1026724,0.0,1.0
2019-04-08,58.19,58.63,57.82,58.33,58.0023,988702,0.0,1.0
2019-04-05,57.99,58.85,57.99,58.54,58.2111,1010756,0.0,1.0
2019-04-04,57.94,58.39,57.13,57.82,57.4952,1055835,0.0,1.0
2019-04-03,58.64,59.06,57.72,57.79,57.4653,1922974,0.0,1.0
2019-04-02,58.19,58.52,57.12,58.14,57.8134,1563395,0.0,1.0
2019-04-01,56.3,57.89,56.1133,57.32,56.998,1950740,0.0,1.0
2019-03-29,55.47,56.25,55.28,56.12,55.8047,1521634,0.0,1.0
2019-03-28,55.17,55.38,54.73,55.17,54.8601,1118221,0.0,1.0
2019-03-27,53.99,55.3,53.8,54.99,54.6811,1873329,0.0,1.0
2019-03-26,53.93,54.4899,53.53,53.91,53.6071,1323956,0.0,1.0
2019-03-25,54.09,54.385,53.3895,53.6,53.2989,1435069,0.0,1.0
2019-03-22,55.08,55.3799,54.24,54.25,53.9452,1550477,0.0,1.0
2019-03-21,55.02,55.565,55.02,55.22,54.9098,1544654,0.0,1.0
2019-03-20,56.0,56.19,54.88,55.19,54.8799,1649286,0.0,1.0
2019-03-19,55.99,56.9,55.92,56.11,55.7948,1478445,0.0,1.0
2019-03-18,55.73,56.1,55.22,55.81,55.4965,1351500,0.0,1.0
2019-03-15,55.58,56.06,55.455,55.76,55.4467,2798763,0.0,1.0
2019-03-14,56.16,56.72,55.26,55.49,55.1783,2204257,0.0,1.0
2019-03-13,54.58,56.18,54.4317,56.03,55.7152,3544371,0.0,1.0
2019-03-12,55.44,55.44,53.7,54.09,53.7861,4294162,0.0,1.0
2019-03-11,55.35,55.975,54.6001,55.42,55.1087,2414342,0.0,1.0
2019-03-08,55.38,55.92,54.95,55.62,55.3075,2833811,0.0,1.0
2019-03-07,55.72,56.25,55.2,55.95,55.6357,4076994,0.0,1.0
2019-03-06,57.9,57.9226,55.83,55.83,55.5163,4119042,0.0,1.0
2019-03-05,59.76,59.77,57.62,57.78,57.4554,3692241,0.0,1.0
2019-03-04,61.24,61.34,59.2201,59.5,59.1657,1856221,0.0,1.0
2019-03-01,61.86,62.02,60.27,61.31,60.9656,1952577,0.0,1.0
2019-02-28,61.98,62.13,60.97,61.7,61.3534,1158512,0.0,1.0
