timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,129.98,133.48,128.32,132.41,132.41,477078,0.0,1.0
2019-07-24,127.63,130.305,126.065,130.16,130.16,235329,0.0,1.0
2019-07-23,126.6,128.49,124.6289,128.09,128.09,223967,0.0,1.0
2019-07-22,127.72,128.99,125.51,126.21,126.21,354037,0.0,1.0
2019-07-19,127.28,128.11,126.13,127.75,127.75,235264,0.0,1.0
2019-07-18,125.87,130.0,125.77,127.56,127.56,393646,0.0,1.0
2019-07-17,123.6,126.6972,122.76,126.07,126.07,378180,0.0,1.0
2019-07-16,124.33,125.42,123.62,123.79,123.79,436638,0.0,1.0
2019-07-15,123.4,127.56,123.16,124.1,124.1,385913,0.0,1.0
2019-07-12,122.58,123.38,121.39,123.0,123.0,302520,0.0,1.0
2019-07-11,121.91,124.0,120.77,123.0,123.0,438476,0.0,1.0
2019-07-10,121.14,122.21,120.15,120.79,120.79,214579,0.0,1.0
2019-07-09,121.93,123.39,118.79,120.58,120.58,221877,0.0,1.0
2019-07-08,121.96,123.22,120.95,122.71,122.71,258786,0.0,1.0
2019-07-05,118.95,122.28,118.95,122.01,122.01,231524,0.0,1.0
2019-07-03,119.76,121.76,119.59,120.06,120.06,148236,0.0,1.0
2019-07-02,117.88,120.18,115.41,119.57,119.57,216584,0.0,1.0
2019-07-01,122.33,122.33,116.68,117.97,117.97,299851,0.0,1.0
2019-06-28,119.63,122.85,118.98,121.41,121.41,1159678,0.0,1.0
2019-06-27,119.0,120.47,118.55,119.67,119.67,254293,0.0,1.0
2019-06-26,122.43,123.33,118.59,118.7,118.7,221333,0.0,1.0
2019-06-25,122.52,123.0725,121.04,121.51,121.51,209076,0.0,1.0
2019-06-24,122.66,123.0076,120.8753,121.92,121.92,267721,0.0,1.0
2019-06-21,119.93,123.245,118.7,123.07,123.07,555118,0.0,1.0
2019-06-20,121.64,122.84,118.24,120.65,120.65,338294,0.0,1.0
2019-06-19,120.46,121.56,119.84,121.42,121.42,215758,0.0,1.0
2019-06-18,119.75,121.69,119.165,120.71,120.71,203830,0.0,1.0
2019-06-17,118.78,120.74,118.78,119.53,119.53,236128,0.0,1.0
2019-06-14,118.3,119.64,118.06,118.47,118.47,190927,0.0,1.0
2019-06-13,118.21,119.02,117.3,118.65,118.65,317676,0.0,1.0
2019-06-12,116.92,118.62,115.19,118.04,118.04,306156,0.0,1.0
2019-06-11,118.35,118.63,115.27,117.6,117.6,559615,0.0,1.0
2019-06-10,115.99,118.98,115.94,117.41,117.41,236759,0.0,1.0
2019-06-07,113.52,116.08,113.0,115.72,115.72,345371,0.0,1.0
2019-06-06,114.67,115.92,113.065,113.33,113.33,302099,0.0,1.0
2019-06-05,114.65,115.56,113.675,114.43,114.43,324986,0.0,1.0
2019-06-04,111.77,114.14,110.92,113.49,113.49,337162,0.0,1.0
2019-06-03,112.11,113.46,108.655,110.63,110.63,449357,0.0,1.0
2019-05-31,110.7,112.69,110.7,112.31,112.31,423191,0.0,1.0
2019-05-30,108.99,113.69,108.41,112.34,112.34,503461,0.0,1.0
2019-05-29,109.85,110.91,108.1,108.77,108.77,371500,0.0,1.0
2019-05-28,109.81,112.22,109.34,110.8,110.8,427190,0.0,1.0
2019-05-24,108.01,110.54,107.17,110.07,110.07,262846,0.0,1.0
2019-05-23,109.93,110.8,107.22,108.08,108.08,308238,0.0,1.0
2019-05-22,111.12,113.44,109.66,110.82,110.82,189311,0.0,1.0
2019-05-21,110.17,113.34,109.58,111.6,111.6,321217,0.0,1.0
2019-05-20,108.12,110.1299,106.65,109.22,109.22,432209,0.0,1.0
2019-05-17,110.46,113.61,107.54,108.34,108.34,456217,0.0,1.0
2019-05-16,111.01,113.85,110.92,112.23,112.23,280721,0.0,1.0
2019-05-15,110.55,112.26,109.21,110.88,110.88,565940,0.0,1.0
2019-05-14,112.7,113.59,109.72,110.75,110.75,416943,0.0,1.0
2019-05-13,113.34,113.89,111.593,112.52,112.52,410343,0.0,1.0
2019-05-10,116.14,117.0,112.85,115.8,115.8,246607,0.0,1.0
2019-05-09,114.57,117.06,113.44,116.59,116.59,317145,0.0,1.0
2019-05-08,117.4,118.155,115.75,116.22,116.22,287768,0.0,1.0
2019-05-07,117.87,119.52,116.22,117.64,117.64,403000,0.0,1.0
2019-05-06,115.49,120.12,115.49,119.1,119.1,499573,0.0,1.0
2019-05-03,120.87,120.87,115.44,117.68,117.68,786956,0.0,1.0
2019-05-02,122.19,123.07,111.68,120.62,120.62,2767179,0.0,1.0
2019-05-01,128.7,129.73,115.83,119.88,119.88,2219793,0.0,1.0
2019-04-30,127.88,128.73,125.84,127.82,127.82,525097,0.0,1.0
2019-04-29,127.8,128.62,125.8955,127.88,127.88,373612,0.0,1.0
2019-04-26,126.27,128.14,124.51,127.89,127.89,435578,0.0,1.0
2019-04-25,123.32,127.0,122.2,125.92,125.92,293267,0.0,1.0
2019-04-24,123.5,126.38,123.23,123.58,123.58,348006,0.0,1.0
2019-04-23,113.94,123.96,113.94,123.86,123.86,658218,0.0,1.0
2019-04-22,116.73,118.65,112.82,114.0,114.0,576194,0.0,1.0
2019-04-18,115.47,120.07,115.18,117.22,117.22,507085,0.0,1.0
2019-04-17,116.92,116.98,111.28,115.64,115.64,705764,0.0,1.0
2019-04-16,129.28,129.69,115.32,115.89,115.89,609004,0.0,1.0
2019-04-15,126.17,128.83,125.93,128.62,128.62,181953,0.0,1.0
2019-04-12,127.51,129.26,125.95,126.3,126.3,229177,0.0,1.0
2019-04-11,128.02,128.35,126.17,127.13,127.13,299728,0.0,1.0
2019-04-10,129.98,130.32,127.11,127.93,127.93,291884,0.0,1.0
2019-04-09,128.01,130.76,126.85,129.67,129.67,298080,0.0,1.0
2019-04-08,128.87,129.2,126.31,128.78,128.78,224126,0.0,1.0
2019-04-05,127.72,131.38,127.395,129.48,129.48,311137,0.0,1.0
2019-04-04,126.47,127.3937,125.43,126.77,126.77,224619,0.0,1.0
2019-04-03,125.06,126.8,124.29,126.29,126.29,317802,0.0,1.0
2019-04-02,122.87,124.53,121.38,124.2,124.2,277946,0.0,1.0
2019-04-01,124.06,125.79,121.91,122.94,122.94,318291,0.0,1.0
2019-03-29,120.67,123.34,119.925,123.26,123.26,581115,0.0,1.0
2019-03-28,120.2,120.59,118.88,120.01,120.01,176343,0.0,1.0
2019-03-27,121.17,122.15,116.3429,119.56,119.56,230360,0.0,1.0
2019-03-26,124.41,124.57,121.26,121.91,121.91,227679,0.0,1.0
2019-03-25,122.3,124.25,120.02,123.88,123.88,242782,0.0,1.0
2019-03-22,125.99,127.2,122.57,122.6,122.6,228466,0.0,1.0
2019-03-21,123.13,126.8,123.13,126.29,126.29,152516,0.0,1.0
2019-03-20,126.52,127.33,123.18,123.77,123.77,285808,0.0,1.0
2019-03-19,125.18,126.9,123.42,126.52,126.52,208023,0.0,1.0
2019-03-18,122.85,124.45,122.42,124.3,124.3,202474,0.0,1.0
2019-03-15,125.67,126.31,122.53,122.86,122.86,456806,0.0,1.0
2019-03-14,122.63,124.97,121.675,124.62,124.62,375761,0.0,1.0
2019-03-13,121.87,123.86,121.25,122.25,122.25,435102,0.0,1.0
2019-03-12,119.72,121.99,119.545,121.48,121.48,247254,0.0,1.0
2019-03-11,118.44,120.09,118.1,119.68,119.68,291309,0.0,1.0
2019-03-08,117.71,119.72,115.71,118.28,118.28,198560,0.0,1.0
2019-03-07,118.39,120.22,117.86,118.46,118.46,226138,0.0,1.0
2019-03-06,121.98,122.785,117.96,118.08,118.08,392869,0.0,1.0
2019-03-05,121.18,123.22,120.2,122.4,122.4,288002,0.0,1.0
2019-03-04,124.7,124.75,118.54,121.01,121.01,436081,0.0,1.0
2019-03-01,125.46,125.46,121.48,124.2,124.2,372157,0.0,1.0
2019-02-28,118.4,128.07,115.0,124.3,124.3,914407,0.0,1.0
2019-02-27,123.56,125.67,120.93,122.65,122.65,602299,0.0,1.0
2019-02-26,127.37,128.15,124.02,124.27,124.27,630973,0.0,1.0
2019-02-25,129.62,130.16,126.7,126.89,126.89,354108,0.0,1.0
2019-02-22,127.48,129.86,125.64,128.84,128.84,363337,0.0,1.0
2019-02-21,126.9,128.71,125.89,126.71,126.71,577439,0.0,1.0
2019-02-20,131.94,132.82,126.9,127.11,127.11,6211801,0.0,1.0
2019-02-19,135.75,136.06,130.94,132.7,132.7,579404,0.0,1.0
2019-02-15,136.1,136.76,134.49,136.22,136.22,698499,0.0,1.0
