timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,5.29,5.35,5.195,5.22,5.22,700038,0.0,1.0
2019-07-25,5.44,5.48,5.16,5.24,5.24,1040223,0.0,1.0
2019-07-24,5.1,5.48,5.1,5.46,5.46,1812952,0.0,1.0
2019-07-23,4.99,5.09,4.812,5.08,5.08,1002965,0.0,1.0
2019-07-22,5.08,5.11,4.58,4.94,4.94,2680553,0.0,1.0
2019-07-19,5.21,5.24,5.04,5.05,5.05,1229085,0.0,1.0
2019-07-18,5.22,5.26,5.15,5.21,5.21,887958,0.0,1.0
2019-07-17,5.3,5.44,5.155,5.25,5.25,1522704,0.0,1.0
2019-07-16,5.31,5.54,5.2,5.27,5.27,2235320,0.0,1.0
2019-07-15,5.23,5.31,5.1741,5.27,5.27,621270,0.0,1.0
2019-07-12,5.32,5.37,5.11,5.21,5.21,1213371,0.0,1.0
2019-07-11,5.2,5.39,5.1701,5.32,5.32,1118035,0.0,1.0
2019-07-10,5.29,5.3085,5.12,5.19,5.19,896267,0.0,1.0
2019-07-09,5.2,5.27,5.15,5.24,5.24,987875,0.0,1.0
2019-07-08,5.22,5.24,5.0111,5.21,5.21,1286351,0.0,1.0
2019-07-05,5.36,5.38,5.1,5.26,5.26,1793597,0.0,1.0
2019-07-03,5.14,5.41,5.06,5.35,5.35,1427868,0.0,1.0
2019-07-02,5.15,5.34,4.855,5.11,5.11,2190799,0.0,1.0
2019-07-01,5.05,5.28,5.05,5.15,5.15,2439309,0.0,1.0
2019-06-28,5.1,5.16,4.87,5.0,5.0,11298581,0.0,1.0
2019-06-27,4.76,5.1,4.76,5.06,5.06,3054256,0.0,1.0
2019-06-26,4.59,4.7,4.55,4.68,4.68,953528,0.0,1.0
2019-06-25,4.63,4.72,4.5,4.56,4.56,1327942,0.0,1.0
2019-06-24,4.73,4.79,4.55,4.65,4.65,1008607,0.0,1.0
2019-06-21,4.64,4.74,4.47,4.73,4.73,1079765,0.0,1.0
2019-06-20,4.82,4.835,4.6,4.66,4.66,1215450,0.0,1.0
2019-06-19,4.57,4.85,4.52,4.73,4.73,1751625,0.0,1.0
2019-06-18,4.58,4.685,4.455,4.51,4.51,1031479,0.0,1.0
2019-06-17,4.73,4.81,4.48,4.5,4.5,1237283,0.0,1.0
2019-06-14,4.68,4.81,4.55,4.72,4.72,1194812,0.0,1.0
2019-06-13,4.65,4.72,4.49,4.69,4.69,1152483,0.0,1.0
2019-06-12,4.39,4.67,4.38,4.64,4.64,917179,0.0,1.0
2019-06-11,4.64,4.66,4.3615,4.4,4.4,1202252,0.0,1.0
2019-06-10,4.79,4.96,4.39,4.41,4.41,2161300,0.0,1.0
2019-06-07,4.74,4.93,4.666,4.75,4.75,2172540,0.0,1.0
2019-06-06,4.6,4.695,4.39,4.64,4.64,1910177,0.0,1.0
2019-06-05,4.4,4.67,4.29,4.64,4.64,3853941,0.0,1.0
2019-06-04,4.02,4.4,3.95,4.29,4.29,6415664,0.0,1.0
2019-06-03,3.81,3.85,3.63,3.68,3.68,1144298,0.0,1.0
2019-05-31,3.73,3.87,3.64,3.77,3.77,698976,0.0,1.0
2019-05-30,3.66,3.83,3.64,3.79,3.79,1075030,0.0,1.0
2019-05-29,3.82,3.84,3.62,3.67,3.67,1230459,0.0,1.0
2019-05-28,3.84,3.935,3.82,3.84,3.84,584835,0.0,1.0
2019-05-24,3.98,4.02,3.8168,3.86,3.86,693535,0.0,1.0
2019-05-23,3.86,3.9576,3.81,3.94,3.94,616107,0.0,1.0
2019-05-22,3.85,3.9413,3.84,3.9,3.9,593630,0.0,1.0
2019-05-21,3.93,4.005,3.85,3.88,3.88,1007209,0.0,1.0
2019-05-20,3.93,3.94,3.82,3.9,3.9,476434,0.0,1.0
2019-05-17,4.09,4.0972,3.93,3.96,3.96,577717,0.0,1.0
2019-05-16,4.06,4.12,4.06,4.09,4.09,698152,0.0,1.0
2019-05-15,3.87,4.06,3.87,4.06,4.06,948786,0.0,1.0
2019-05-14,3.77,3.943,3.74,3.87,3.87,1247024,0.0,1.0
2019-05-13,3.73,3.79,3.65,3.75,3.75,636573,0.0,1.0
2019-05-10,3.75,3.89,3.65,3.82,3.82,878120,0.0,1.0
2019-05-09,3.84,3.89,3.65,3.8,3.8,888572,0.0,1.0
2019-05-08,3.93,3.99,3.84,3.89,3.89,720042,0.0,1.0
2019-05-07,4.05,4.06,3.86,3.95,3.95,780408,0.0,1.0
2019-05-06,3.96,4.13,3.85,4.06,4.06,1033573,0.0,1.0
2019-05-03,3.93,4.18,3.9,4.07,4.07,1253189,0.0,1.0
2019-05-02,4.01,4.12,3.8,3.89,3.89,1215006,0.0,1.0
2019-05-01,3.8,4.04,3.76,3.97,3.97,2267467,0.0,1.0
2019-04-30,3.65,3.8,3.59,3.78,3.78,1089450,0.0,1.0
2019-04-29,3.64,3.75,3.6001,3.65,3.65,1116772,0.0,1.0
2019-04-26,3.55,3.64,3.5301,3.6,3.6,618099,0.0,1.0
2019-04-25,3.59,3.62,3.52,3.57,3.57,348269,0.0,1.0
2019-04-24,3.56,3.64,3.52,3.59,3.59,459703,0.0,1.0
2019-04-23,3.57,3.66,3.51,3.56,3.56,628294,0.0,1.0
2019-04-22,3.43,3.578,3.43,3.57,3.57,471434,0.0,1.0
2019-04-18,3.5,3.55,3.4,3.43,3.43,577637,0.0,1.0
2019-04-17,3.62,3.63,3.45,3.5,3.5,662124,0.0,1.0
2019-04-16,3.44,3.67,3.431,3.57,3.57,1180592,0.0,1.0
2019-04-15,3.46,3.56,3.3,3.5,3.5,971872,0.0,1.0
2019-04-12,3.54,3.6,3.4,3.49,3.49,902128,0.0,1.0
2019-04-11,3.64,3.695,3.51,3.56,3.56,879745,0.0,1.0
2019-04-10,3.63,3.72,3.55,3.66,3.66,853716,0.0,1.0
2019-04-09,3.81,3.875,3.73,3.74,3.74,926780,0.0,1.0
2019-04-08,3.64,3.9,3.55,3.85,3.85,2232423,0.0,1.0
2019-04-05,3.6,3.73,3.55,3.57,3.57,850979,0.0,1.0
2019-04-04,3.67,3.78,3.475,3.63,3.63,1382756,0.0,1.0
2019-04-03,3.76,3.85,3.61,3.65,3.65,1371061,0.0,1.0
2019-04-02,3.57,3.75,3.57,3.72,3.72,1402901,0.0,1.0
2019-04-01,3.56,3.69,3.55,3.56,3.56,1430607,0.0,1.0
2019-03-29,3.38,3.52,3.33,3.5,3.5,2492332,0.0,1.0
2019-03-28,3.33,3.38,3.26,3.35,3.35,749171,0.0,1.0
2019-03-27,3.25,3.36,3.16,3.29,3.29,911853,0.0,1.0
2019-03-26,3.17,3.42,3.1678,3.22,3.22,1841221,0.0,1.0
2019-03-25,3.59,3.59,3.07,3.09,3.09,3180645,0.0,1.0
2019-03-22,3.77,3.78,3.45,3.6,3.6,1195799,0.0,1.0
2019-03-21,3.62,3.8196,3.62,3.77,3.77,1378505,0.0,1.0
2019-03-20,3.63,3.67,3.5,3.62,3.62,1716586,0.0,1.0
2019-03-19,3.5,3.97,3.48,3.55,3.55,4513813,0.0,1.0
2019-03-18,3.15,3.46,3.1,3.39,3.39,2242029,0.0,1.0
2019-03-15,3.16,3.19,3.02,3.06,3.06,1160075,0.0,1.0
2019-03-14,3.13,3.22,3.08,3.15,3.15,1106985,0.0,1.0
2019-03-13,3.15,3.25,3.11,3.11,3.11,1067789,0.0,1.0
2019-03-12,3.06,3.19,3.035,3.15,3.15,642548,0.0,1.0
2019-03-11,3.12,3.15,3.05,3.05,3.05,690377,0.0,1.0
2019-03-08,3.13,3.1765,3.038,3.1,3.1,800306,0.0,1.0
2019-03-07,3.21,3.2628,3.13,3.15,3.15,552403,0.0,1.0
2019-03-06,3.28,3.33,3.15,3.21,3.21,878450,0.0,1.0
2019-03-05,3.28,3.305,3.19,3.28,3.28,666135,0.0,1.0
2019-03-04,3.35,3.44,3.14,3.26,3.26,1819916,0.0,1.0
2019-03-01,3.19,3.32,3.16,3.27,3.27,1313495,0.0,1.0
2019-02-28,3.17,3.225,3.13,3.18,3.18,692261,0.0,1.0
2019-02-27,3.18,3.28,3.11,3.2,3.2,922780,0.0,1.0
2019-02-26,3.12,3.3,3.005,3.2,3.2,1991764,0.0,1.0
2019-02-25,3.21,3.35,3.12,3.12,3.12,1518175,0.0,1.0
2019-02-22,2.99,3.25,2.95,3.2,3.2,2054999,0.0,1.0
2019-02-21,2.81,2.98,2.65,2.98,2.98,1627029,0.0,1.0
2019-02-20,2.91,2.9155,2.79,2.85,2.85,1133501,0.0,1.0
2019-02-19,3.08,3.1399,2.78,2.88,2.88,2544136,0.0,1.0
2019-02-15,3.0,3.23,3.0,3.05,3.05,3186360,0.0,1.0
2019-02-14,2.88,3.08,2.87,2.99,2.99,2023215,0.0,1.0
2019-02-13,2.99,3.01,2.81,2.89,2.89,2250149,0.0,1.0
2019-02-12,2.75,2.95,2.7,2.92,2.92,2885459,0.0,1.0
2019-02-11,2.59,2.78,2.59,2.7,2.7,2115315,0.0,1.0
2019-02-08,2.5,2.59,2.48,2.54,2.54,935008,0.0,1.0
2019-02-07,2.45,2.61,2.4,2.51,2.51,2113846,0.0,1.0
2019-02-06,2.35,2.48,2.27,2.44,2.44,3068045,0.0,1.0
2019-02-05,2.2,2.28,2.1,2.19,2.19,1001378,0.0,1.0
2019-02-04,2.21,2.34,2.17,2.18,2.18,846481,0.0,1.0
2019-02-01,2.22,2.31,2.15,2.21,2.21,963808,0.0,1.0
2019-01-31,2.3,2.36,2.16,2.2,2.2,1127897,0.0,1.0
2019-01-30,2.13,2.33,2.13,2.27,2.27,778764,0.0,1.0
2019-01-29,2.13,2.167,2.1,2.13,2.13,361061,0.0,1.0
2019-01-28,2.18,2.21,2.0925,2.15,2.15,332078,0.0,1.0
2019-01-25,2.13,2.26,2.13,2.19,2.19,819793,0.0,1.0
2019-01-24,2.18,2.19,2.09,2.13,2.13,283333,0.0,1.0
2019-01-23,2.14,2.19,2.12,2.18,2.18,444186,0.0,1.0
2019-01-22,2.12,2.16,2.07,2.12,2.12,510631,0.0,1.0
2019-01-18,2.12,2.21,2.08,2.12,2.12,390041,0.0,1.0
2019-01-17,2.03,2.12,2.03,2.1,2.1,364952,0.0,1.0
2019-01-16,2.18,2.19,1.94,2.05,2.05,517522,0.0,1.0
2019-01-15,2.16,2.22,2.08,2.15,2.15,421665,0.0,1.0
2019-01-14,2.18,2.23,2.1,2.15,2.15,212220,0.0,1.0
2019-01-11,2.2,2.24,2.14,2.21,2.21,303245,0.0,1.0
2019-01-10,2.2,2.22,2.08,2.2,2.2,390843,0.0,1.0
2019-01-09,2.19,2.25,2.18,2.19,2.19,821013,0.0,1.0
2019-01-08,2.31,2.37,2.182,2.22,2.22,1192141,0.0,1.0
2019-01-07,2.17,2.32,2.145,2.29,2.29,1410392,0.0,1.0
2019-01-04,2.01,2.17,1.995,2.15,2.15,978957,0.0,1.0
2019-01-03,1.84,2.01,1.81,1.97,1.97,474699,0.0,1.0
2019-01-02,1.85,1.9,1.8133,1.89,1.89,344488,0.0,1.0
2018-12-31,1.87,1.88,1.79,1.83,1.83,219708,0.0,1.0
2018-12-28,1.71,1.86,1.7,1.85,1.85,389464,0.0,1.0
2018-12-27,1.68,1.74,1.64,1.69,1.69,349124,0.0,1.0
2018-12-26,1.69,1.74,1.65,1.69,1.69,325477,0.0,1.0
2018-12-24,1.63,1.7,1.61,1.67,1.67,157136,0.0,1.0
2018-12-21,1.76,1.7688,1.61,1.66,1.66,322118,0.0,1.0
2018-12-20,1.74,1.78,1.64,1.75,1.75,411765,0.0,1.0
2018-12-19,1.77,1.91,1.68,1.71,1.71,329134,0.0,1.0
2018-12-18,1.83,1.9,1.73,1.76,1.76,412843,0.0,1.0
2018-12-17,2.0,2.03,1.82,1.88,1.88,577252,0.0,1.0
2018-12-14,2.03,2.04,1.97,2.0,2.0,301126,0.0,1.0
2018-12-13,2.04,2.0798,1.9901,2.03,2.03,395429,0.0,1.0
2018-12-12,2.01,2.08,1.99,2.04,2.04,261801,0.0,1.0
2018-12-11,2.0,2.11,1.98,2.01,2.01,753307,0.0,1.0
2018-12-10,1.86,2.0,1.86,1.98,1.98,463413,0.0,1.0
2018-12-07,1.98,2.04,1.87,1.89,1.89,351428,0.0,1.0
