timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,44.9,47.59,44.8,45.0,45.0,149365,0.0,1.0
2019-07-23,45.29,45.37,44.29,44.76,44.76,52148,0.0,1.0
2019-07-22,44.93,45.77,44.46,44.92,44.92,52492,0.0,1.0
2019-07-19,44.88,45.82,44.5,44.5,44.5,40740,0.0,1.0
2019-07-18,44.2,46.14,44.19,44.75,44.75,91774,0.0,1.0
2019-07-17,43.58,44.94,43.56,44.2,44.2,107395,0.0,1.0
2019-07-16,44.83,45.255,43.76,43.93,43.93,45801,0.0,1.0
2019-07-15,44.83,45.775,43.6652,45.0,45.0,37738,0.0,1.0
2019-07-12,45.15,46.265,43.46,45.0,45.0,34711,0.0,1.0
2019-07-11,45.25,45.9,44.48,44.69,44.69,46713,0.0,1.0
2019-07-10,45.42,46.83,44.45,45.24,45.24,405272,0.0,1.0
2019-07-09,45.09,45.81,44.7,44.74,44.74,19695,0.0,1.0
2019-07-08,44.73,46.3,43.29,44.95,44.95,74677,0.0,1.0
2019-07-05,41.29,46.65,41.29,44.76,44.76,43294,0.0,1.0
2019-07-03,43.76,44.235,40.1325,41.53,41.53,138308,0.0,1.0
2019-07-02,43.86,44.85,42.86,43.98,43.98,190013,0.0,1.0
2019-07-01,43.66,44.64,42.24,43.92,43.92,47237,0.0,1.0
2019-06-28,45.29,45.29,43.31,43.78,43.78,28064,0.0,1.0
2019-06-27,44.04,46.1,43.75,45.13,45.13,38053,0.0,1.0
2019-06-26,42.95,43.65,42.18,43.65,43.65,80677,0.0,1.0
2019-06-25,43.54,44.475,41.965,42.78,42.78,109108,0.0,1.0
2019-06-24,45.99,46.5,43.11,43.53,43.53,104870,0.0,1.0
2019-06-21,44.97,45.75,43.885,45.74,45.74,63361,0.0,1.0
2019-06-20,46.34,46.34,43.3,44.85,44.85,32652,0.0,1.0
2019-06-19,43.54,45.72,43.11,45.68,45.68,42996,0.0,1.0
2019-06-18,44.51,44.9,43.2,43.73,43.73,67097,0.0,1.0
2019-06-17,43.87,44.55,43.72,43.9,43.9,23414,0.0,1.0
2019-06-14,44.51,44.51,41.4942,44.2,44.2,17699,0.0,1.0
2019-06-13,44.3,44.7579,43.87,44.26,44.26,45390,0.0,1.0
2019-06-12,41.89,44.0458,41.58,43.44,43.44,40672,0.0,1.0
2019-06-11,42.1,42.79,40.67,41.74,41.74,116400,0.0,1.0
2019-06-10,44.24,44.8,41.05,42.29,42.29,86150,0.0,1.0
2019-06-07,42.88,44.79,42.3471,43.49,43.49,127637,0.0,1.0
2019-06-06,41.83,42.84,40.8,42.57,42.57,63895,0.0,1.0
2019-06-05,42.94,43.4,41.28,41.64,41.64,140038,0.0,1.0
2019-06-04,40.42,42.08,39.91,42.08,42.08,96160,0.0,1.0
2019-06-03,37.91,40.0,37.08,39.4,39.4,160730,0.0,1.0
2019-05-31,38.67,38.67,37.64,38.4,38.4,14717,0.0,1.0
2019-05-30,38.41,39.46,38.02,38.62,38.62,48943,0.0,1.0
2019-05-29,38.92,39.73,38.0789,38.67,38.67,50985,0.0,1.0
2019-05-28,37.1,39.845,36.3,38.6,38.6,61117,0.0,1.0
2019-05-24,36.21,37.73,35.8,36.3,36.3,16547,0.0,1.0
2019-05-23,36.6,36.62,35.81,35.83,35.83,75827,0.0,1.0
2019-05-22,36.14,37.66,35.83,36.24,36.24,84850,0.0,1.0
2019-05-21,37.96,38.43,36.76,37.4,37.4,7459,0.0,1.0
2019-05-20,35.4765,37.8,35.4765,37.16,37.16,18502,0.0,1.0
2019-05-17,37.52,37.745,35.98,36.53,36.53,13492,0.0,1.0
2019-05-16,36.09,39.33,36.09,37.26,37.26,86413,0.0,1.0
2019-05-15,38.27,38.4,35.55,36.6,36.6,79389,0.0,1.0
2019-05-14,38.47,39.34,37.71,38.68,38.68,72903,0.0,1.0
2019-05-13,38.32,38.76,36.91,37.8,37.8,28270,0.0,1.0
2019-05-10,38.65,40.0,36.77,38.36,38.36,39733,0.0,1.0
2019-05-09,38.82,39.58,37.0203,38.99,38.99,112688,0.0,1.0
2019-05-08,32.59,39.99,32.45,38.69,38.69,316300,0.0,1.0
2019-05-07,31.09,31.95,30.7665,31.33,31.33,10680,0.0,1.0
2019-05-06,32.82,33.19,31.07,31.3,31.3,47016,0.0,1.0
2019-05-03,32.21,34.48,31.46,33.1,33.1,51153,0.0,1.0
2019-05-02,31.43,32.795,30.829,32.25,32.25,33843,0.0,1.0
2019-05-01,33.3835,33.3835,30.98,31.49,31.49,93253,0.0,1.0
2019-04-30,33.24,34.44,31.96,32.13,32.13,39101,0.0,1.0
2019-04-29,32.25,33.3,32.25,33.0,33.0,44631,0.0,1.0
2019-04-26,30.43,32.44,30.2,31.93,31.93,24373,0.0,1.0
2019-04-25,29.97,31.45,29.97,30.14,30.14,11692,0.0,1.0
2019-04-24,31.24,31.46,30.0,30.05,30.05,39566,0.0,1.0
2019-04-23,29.38,31.31,29.1395,31.25,31.25,18381,0.0,1.0
2019-04-22,30.43,30.64,28.35,29.49,29.49,121645,0.0,1.0
2019-04-18,32.66,32.66,30.04,30.43,30.43,31776,0.0,1.0
2019-04-17,33.97,33.97,32.3421,32.65,32.65,47532,0.0,1.0
2019-04-16,33.6,34.115,33.35,33.93,33.93,40545,0.0,1.0
2019-04-15,32.59,33.61,32.515,33.42,33.42,37204,0.0,1.0
2019-04-12,32.21,33.0,32.11,32.63,32.63,43584,0.0,1.0
2019-04-11,32.43,33.08,32.07,32.4,32.4,56262,0.0,1.0
2019-04-10,32.0,32.89,32.0,32.6,32.6,7520,0.0,1.0
2019-04-09,32.43,32.43,31.78,32.03,32.03,7109,0.0,1.0
2019-04-08,31.29,32.58,30.73,32.52,32.52,25312,0.0,1.0
2019-04-05,33.34,33.34,30.925,31.3,31.3,85902,0.0,1.0
2019-04-04,32.05,32.98,31.54,32.9,32.9,34721,0.0,1.0
2019-04-03,31.89,32.8,31.6977,32.14,32.14,13885,0.0,1.0
2019-04-02,32.08,32.08,31.475,31.59,31.59,63596,0.0,1.0
2019-04-01,32.27,32.65,31.15,31.84,31.84,61268,0.0,1.0
2019-03-29,32.145,33.1345,31.81,32.29,32.29,54427,0.0,1.0
2019-03-28,31.32,32.25,30.69,31.9,31.9,9499,0.0,1.0
2019-03-27,31.01,31.365,30.12,31.34,31.34,232870,0.0,1.0
2019-03-26,31.52,31.72,30.805,31.05,31.05,218209,0.0,1.0
2019-03-25,31.44,32.055,30.94,31.71,31.71,99681,0.0,1.0
2019-03-22,30.01,31.3,29.975,30.94,30.94,90622,0.0,1.0
2019-03-21,30.23,30.89,29.0244,29.71,29.71,65319,0.0,1.0
2019-03-20,29.46,32.24,27.8,30.61,30.61,176155,0.0,1.0
