timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,22.99,23.04,22.48,22.49,22.49,239981,0.0,1.0
2019-07-24,22.68,23.31,22.68,23.2,23.2,225990,0.0,1.0
2019-07-23,22.27,23.05,22.17,22.93,22.93,329985,0.0,1.0
2019-07-22,22.36,22.55,22.19,22.28,22.28,395938,0.0,1.0
2019-07-19,22.13,22.61,22.11,22.25,22.25,312877,0.0,1.0
2019-07-18,22.44,22.56,22.025,22.14,22.14,380668,0.0,1.0
2019-07-17,23.04,23.1,22.5,22.5,22.5,495348,0.0,1.0
2019-07-16,22.81,23.225,22.59,23.11,23.11,383706,0.0,1.0
2019-07-15,22.66,23.03,22.37,22.83,22.83,311452,0.0,1.0
2019-07-12,22.05,22.88,22.05,22.64,22.64,432167,0.0,1.0
2019-07-11,22.54,22.54,21.93,22.17,22.17,529468,0.0,1.0
2019-07-10,23.17,23.25,22.27,22.48,22.48,373300,0.0,1.0
2019-07-09,23.76,23.87,23.02,23.13,23.13,380861,0.0,1.0
2019-07-08,24.0,24.11,23.75,23.94,23.94,201288,0.0,1.0
2019-07-05,24.02,24.13,23.6,24.08,24.08,232047,0.0,1.0
2019-07-03,24.27,24.27,24.02,24.2,24.2,83416,0.0,1.0
2019-07-02,24.76,24.76,24.12,24.17,24.17,158660,0.0,1.0
2019-07-01,25.15,25.35,24.6485,24.83,24.83,283703,0.0,1.0
2019-06-28,23.95,24.84,23.95,24.81,24.81,903521,0.0,1.0
2019-06-27,22.85,24.0,22.75,23.99,23.99,393084,0.0,1.0
2019-06-26,23.82,24.0,22.515,22.78,22.78,574866,0.0,1.0
2019-06-25,23.6,24.48,23.5405,24.15,24.15,349816,0.0,1.0
2019-06-24,24.0,24.14,23.64,23.64,23.64,288134,0.0,1.0
2019-06-21,24.12,24.41,23.96,23.96,23.96,321291,0.0,1.0
2019-06-20,24.48,24.62,24.18,24.31,24.31,192481,0.0,1.0
2019-06-19,24.26,24.36,23.92,24.01,24.01,162390,0.0,1.0
2019-06-18,23.79,24.43,23.79,24.28,24.28,149783,0.0,1.0
2019-06-17,23.85,23.93,23.54,23.59,23.59,247355,0.0,1.0
2019-06-14,24.15,24.18,23.7,23.84,23.84,99789,0.0,1.0
2019-06-13,24.07,24.39,24.03,24.23,24.23,113488,0.0,1.0
2019-06-12,23.83,24.05,23.65,23.85,23.85,103999,0.0,1.0
2019-06-11,24.32,24.52,23.66,23.84,23.84,190360,0.0,1.0
2019-06-10,24.11,24.31,23.84,24.04,24.04,217243,0.0,1.0
2019-06-07,23.83,24.12,23.67,24.02,24.02,107101,0.0,1.0
2019-06-06,23.85,23.94,23.29,23.58,23.58,130756,0.0,1.0
2019-06-05,23.75,23.94,23.22,23.89,23.89,245849,0.0,1.0
2019-06-04,23.22,23.72,23.12,23.67,23.67,217518,0.0,1.0
2019-06-03,22.16,22.92,22.16,22.89,22.89,252862,0.0,1.0
2019-05-31,22.28,22.33,22.06,22.14,22.14,258133,0.0,1.0
2019-05-30,22.62,22.78,22.47,22.63,22.63,141899,0.0,1.0
2019-05-29,22.51,22.74,22.3,22.5,22.5,230601,0.0,1.0
2019-05-28,23.06,23.08,22.66,22.69,22.69,158631,0.0,1.0
2019-05-24,23.08,23.28,22.795,22.98,22.98,188468,0.0,1.0
2019-05-23,23.58,23.58,22.68,22.88,22.88,152477,0.0,1.0
2019-05-22,24.25,24.38,23.91,23.93,23.93,89993,0.0,1.0
2019-05-21,24.26,24.57,24.23,24.35,24.35,146359,0.0,1.0
2019-05-20,23.9,24.23,23.86,24.06,24.06,138429,0.0,1.0
2019-05-17,24.25,24.55,24.085,24.11,24.11,273480,0.0,1.0
2019-05-16,24.61,24.87,24.44,24.54,24.54,312757,0.0,1.0
2019-05-15,23.85,24.62,23.85,24.5,24.5,146812,0.0,1.0
2019-05-14,23.77,24.19,23.61,24.19,24.19,271707,0.0,1.0
2019-05-13,24.0,24.0,23.52,23.68,23.68,127776,0.0,1.0
2019-05-10,24.41,24.53,23.92,24.51,24.51,291562,0.0,1.0
2019-05-09,24.33,24.69,24.11,24.56,24.56,74279,0.0,1.0
2019-05-08,24.96,25.005,24.58,24.59,24.59,238599,0.0,1.0
2019-05-07,25.16,25.3,24.64,24.92,24.92,158328,0.0,1.0
2019-05-06,25.28,25.69,25.21,25.53,25.53,297902,0.0,1.0
2019-05-03,25.41,25.94,25.41,25.82,25.82,124444,0.0,1.0
2019-05-02,25.17,25.53,25.055,25.2,25.2,109606,0.0,1.0
2019-05-01,25.65,25.74,25.25,25.34,25.34,503282,0.0,1.0
2019-04-30,26.02,26.0449,25.47,25.58,25.58,370136,0.0,1.0
2019-04-29,25.86,26.23,25.86,25.94,25.94,179193,0.0,1.0
2019-04-26,25.48,25.91,25.33,25.86,25.86,107919,0.0,1.0
2019-04-25,25.89,25.89,25.26,25.38,25.38,110182,0.0,1.0
2019-04-24,25.94,26.21,25.83,26.03,26.03,112488,0.0,1.0
2019-04-23,25.63,26.02,25.52,25.92,25.92,101428,0.0,1.0
2019-04-22,25.89,25.89,25.48,25.67,25.67,81548,0.0,1.0
2019-04-18,25.85,26.26,25.78,25.98,25.98,347882,0.0,1.0
2019-04-17,25.81,25.97,25.64,25.87,25.87,132126,0.0,1.0
2019-04-16,25.73,25.76,25.5,25.6,25.6,167394,0.0,1.0
2019-04-15,25.8,25.8,25.45,25.59,25.59,125691,0.0,1.0
2019-04-12,26.0,26.0,25.63,25.75,25.75,104898,0.0,1.0
2019-04-11,25.78,25.98,25.61,25.76,25.76,130452,0.0,1.0
2019-04-10,25.55,25.89,25.345,25.74,25.74,211423,0.0,1.0
2019-04-09,25.53,25.62,25.35,25.41,25.41,206699,0.0,1.0
2019-04-08,25.66,25.77,25.48,25.74,25.74,163983,0.0,1.0
2019-04-05,25.75,25.885,25.63,25.69,25.69,179044,0.0,1.0
2019-04-04,25.21,25.77,25.21,25.69,25.69,192382,0.0,1.0
2019-04-03,25.31,25.47,25.06,25.25,25.25,122228,0.0,1.0
2019-04-02,25.13,25.21,24.84,25.12,25.12,173442,0.0,1.0
2019-04-01,24.61,25.12,24.61,25.1,25.1,166879,0.0,1.0
2019-03-29,24.55,24.6,24.13,24.37,24.37,239965,0.0,1.0
2019-03-28,24.29,24.67,23.92,24.28,24.28,205021,0.0,1.0
2019-03-27,23.66,24.35,23.56,24.26,24.26,242632,0.0,1.0
2019-03-26,24.05,24.13,23.48,23.66,23.66,297652,0.0,1.0
2019-03-25,23.54,24.07,23.3,23.71,23.71,617857,0.0,1.0
2019-03-22,24.34,24.34,23.48,23.49,23.49,462302,0.0,1.0
2019-03-21,25.24,25.73,24.07,24.16,24.16,490116,0.0,1.0
2019-03-20,25.16,25.95,24.88,25.69,25.69,445692,0.0,1.0
2019-03-19,25.35,25.45,25.09,25.17,25.17,197904,0.0,1.0
2019-03-18,24.88,25.11,24.74,25.06,25.06,220933,0.0,1.0
2019-03-15,24.35,25.16,24.35,24.79,24.79,643859,0.0,1.0
2019-03-14,24.38,24.41,24.24,24.3,24.3,184007,0.0,1.0
2019-03-13,24.65,24.88,24.39,24.41,24.41,217694,0.0,1.0
2019-03-12,24.52,24.63,24.28,24.55,24.55,210420,0.0,1.0
2019-03-11,23.73,24.52,23.705,24.49,24.49,252942,0.0,1.0
2019-03-08,23.46,23.7013,23.43,23.67,23.67,159864,0.0,1.0
2019-03-07,24.09,24.09,23.61,23.68,23.68,169592,0.0,1.0
2019-03-06,24.41,24.47,24.12,24.12,24.12,218721,0.0,1.0
2019-03-05,24.57,24.67,24.37,24.41,24.41,113041,0.0,1.0
2019-03-04,24.6,24.7,24.27,24.47,24.47,128035,0.0,1.0
2019-03-01,24.65,24.75,24.32,24.49,24.49,209810,0.0,1.0
2019-02-28,24.49,25.0,24.19,24.45,24.45,178580,0.0,1.0
2019-02-27,24.38,24.5823,24.25,24.43,24.43,135558,0.0,1.0
2019-02-26,24.8,24.83,24.48,24.48,24.48,88883,0.0,1.0
2019-02-25,25.03,25.21,24.78,24.8,24.8,215836,0.0,1.0
2019-02-22,24.78,24.95,24.72,24.91,24.91,141332,0.0,1.0
2019-02-21,24.59,24.79,24.39,24.66,24.66,164105,0.0,1.0
2019-02-20,24.35,24.81,24.23,24.73,24.73,256187,0.0,1.0
2019-02-19,24.27,24.57,24.16,24.36,24.36,232288,0.0,1.0
2019-02-15,24.05,24.48,23.99,24.46,24.46,221216,0.0,1.0
2019-02-14,23.66,24.18,23.66,23.82,23.82,247287,0.0,1.0
