timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,26.18,27.79,26.05,27.69,27.69,980781,0.0,1.0
2019-07-25,25.72,26.72,25.44,26.05,26.05,776971,0.0,1.0
2019-07-24,26.08,26.25,25.01,25.85,25.85,844117,0.0,1.0
2019-07-23,26.3,26.7,25.64,26.13,26.13,932744,0.0,1.0
2019-07-22,25.1,26.87,24.58,26.31,26.31,1019432,0.0,1.0
2019-07-19,25.2,25.25,24.4254,24.85,24.85,846438,0.0,1.0
2019-07-18,24.98,25.48,24.13,25.3,25.3,528860,0.0,1.0
2019-07-17,25.68,25.86,24.78,25.02,25.02,647211,0.0,1.0
2019-07-16,26.01,26.25,25.34,25.57,25.57,490425,0.0,1.0
2019-07-15,26.08,26.85,25.89,26.0,26.0,653270,0.0,1.0
2019-07-12,25.46,26.12,24.65,26.04,26.04,910234,0.0,1.0
2019-07-11,25.88,26.18,24.655,25.76,25.76,785218,0.0,1.0
2019-07-10,26.7,27.14,25.11,26.05,26.05,1611729,0.0,1.0
2019-07-09,27.39,27.88,26.33,26.68,26.68,835220,0.0,1.0
2019-07-08,26.83,27.645,26.37,27.4,27.4,787578,0.0,1.0
2019-07-05,27.27,28.0,26.6,27.04,27.04,1024827,0.0,1.0
2019-07-03,27.42,27.87,26.77,27.33,27.33,618955,0.0,1.0
2019-07-02,26.61,27.44,26.12,27.42,27.42,900978,0.0,1.0
2019-07-01,26.31,27.2,25.18,26.47,26.47,1349904,0.0,1.0
2019-06-28,25.65,26.09,25.2,25.75,25.75,4823003,0.0,1.0
2019-06-27,22.9,25.7525,22.69,25.39,25.39,2253862,0.0,1.0
2019-06-26,23.89,24.37,22.23,22.43,22.43,1129559,0.0,1.0
2019-06-25,23.47,24.4,23.01,23.98,23.98,754219,0.0,1.0
2019-06-24,24.42,24.62,23.27,23.47,23.47,903700,0.0,1.0
2019-06-21,25.29,25.3,23.43,24.17,24.17,1634974,0.0,1.0
2019-06-20,25.05,25.59,24.89,25.31,25.31,1104171,0.0,1.0
2019-06-19,24.25,25.3876,24.25,24.78,24.78,1195644,0.0,1.0
2019-06-18,23.27,24.7812,23.155,24.25,24.25,1185127,0.0,1.0
2019-06-17,23.01,23.24,21.86,23.17,23.17,985112,0.0,1.0
2019-06-14,22.91,23.23,22.4,22.83,22.83,586629,0.0,1.0
2019-06-13,22.24,23.2,22.01,22.95,22.95,772531,0.0,1.0
2019-06-12,21.0,22.25,20.68,22.12,22.12,1208761,0.0,1.0
2019-06-11,21.39,21.5,20.67,20.85,20.85,954011,0.0,1.0
2019-06-10,22.07,22.4658,21.31,21.45,21.45,899509,0.0,1.0
2019-06-07,20.96,22.1669,20.3,22.03,22.03,1240711,0.0,1.0
2019-06-06,21.13,21.73,20.16,21.58,21.58,1158008,0.0,1.0
2019-06-05,23.25,23.85,20.73,21.14,21.14,1673719,0.0,1.0
2019-06-04,23.16,24.05,22.54,23.22,23.22,1224893,0.0,1.0
2019-06-03,22.88,23.77,22.53,23.15,23.15,765879,0.0,1.0
2019-05-31,23.69,24.19,22.39,22.96,22.96,1293281,0.0,1.0
2019-05-30,24.91,25.2,23.67,24.42,24.42,844778,0.0,1.0
2019-05-29,25.0,25.5,24.1301,24.91,24.91,1028069,0.0,1.0
2019-05-28,25.58,26.4499,24.85,25.2,25.2,1671682,0.0,1.0
2019-05-24,24.25,25.36,24.01,24.73,24.73,1138924,0.0,1.0
2019-05-23,24.8,25.8,21.08,23.57,23.57,2561740,0.0,1.0
2019-05-22,23.6,25.24,23.6,25.09,25.09,1707129,0.0,1.0
2019-05-21,23.23,23.79,22.7,23.6,23.6,1279928,0.0,1.0
2019-05-20,23.09,23.39,22.35,22.7,22.7,1035868,0.0,1.0
