timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,17.2,17.33,17.16,17.308,17.308,404987,0.0,1.0
2019-07-25,17.49,17.59,17.225,17.53,17.53,345665,0.0,1.0
2019-07-24,17.78,17.91,17.78,17.89,17.89,270141,0.0,1.0
2019-07-23,17.85,17.94,17.66,17.8018,17.8018,898502,0.0,1.0
2019-07-22,17.29,17.32,17.2,17.28,17.28,758621,0.0,1.0
2019-07-19,17.0825,17.2,17.06,17.11,17.11,265014,0.0,1.0
2019-07-18,17.02,17.14,16.97,17.1399,17.1399,177604,0.0,1.0
2019-07-17,17.185,17.2,17.03,17.03,17.03,333639,0.0,1.0
2019-07-16,17.25,17.41,17.25,17.36,17.36,577386,0.0,1.0
2019-07-15,17.17,17.27,17.09,17.24,17.24,598193,0.0,1.0
2019-07-12,16.965,17.0,16.9,17.0,17.0,252564,0.0,1.0
2019-07-11,16.77,16.84,16.68,16.81,16.81,227692,0.0,1.0
2019-07-10,16.97,16.97,16.82,16.914,16.914,436667,0.0,1.0
2019-07-09,16.715,17.02,16.7,17.01,17.01,994532,0.0,1.0
2019-07-08,17.47,17.51,16.3901,16.56,16.56,851350,0.0,1.0
2019-07-05,17.51,17.58,17.42,17.47,17.47,546486,0.0,1.0
2019-07-03,17.66,17.75,17.59,17.685,17.685,128414,0.0,1.0
2019-07-02,17.74,17.79,17.71,17.72,17.72,370865,0.0,1.0
2019-07-01,18.27,18.27,18.0101,18.096,18.096,352477,0.0,1.0
2019-06-28,18.17,18.25,18.12,18.25,18.25,151243,0.0,1.0
2019-06-27,17.96,18.04,17.93,18.0,18.0,1358449,0.0,1.0
2019-06-26,17.6875,17.695,17.56,17.59,17.59,200806,0.0,1.0
2019-06-25,17.68,17.69,17.4201,17.428,17.428,191081,0.0,1.0
2019-06-24,17.62,17.69,17.57,17.6,17.6,225819,0.0,1.0
2019-06-21,17.64,17.74,17.6,17.68,17.68,303434,0.0,1.0
2019-06-20,17.68,17.7,17.57,17.64,17.64,259970,0.0,1.0
2019-06-19,17.43,17.5,17.31,17.46,17.46,296395,0.0,1.0
2019-06-18,17.03,17.28,17.02,17.15,17.15,367075,0.0,1.0
2019-06-17,16.84,16.86,16.73,16.75,16.75,255293,0.0,1.0
2019-06-14,16.96,17.04,16.88,16.93,16.93,948414,0.0,1.0
2019-06-13,17.32,17.3699,17.22,17.32,17.32,224935,0.0,1.0
2019-06-12,17.5,17.5399,17.41,17.4599,17.4599,120894,0.0,1.0
2019-06-11,17.89,17.9,17.66,17.69,17.69,313891,0.0,1.0
2019-06-10,17.45,17.45,17.33,17.34,17.34,198057,0.0,1.0
2019-06-07,17.36,17.47,17.33,17.36,17.36,308189,0.0,1.0
2019-06-06,17.16,17.26,17.02,17.23,17.23,459116,0.0,1.0
2019-06-05,17.28,17.28,17.08,17.13,17.13,563638,0.0,1.0
2019-06-04,17.2,17.29,17.154,17.2775,17.2775,245878,0.0,1.0
2019-06-03,16.51,16.675,16.44,16.63,16.63,478099,0.0,1.0
2019-05-31,16.35,16.67,16.3,16.44,16.44,372771,0.0,1.0
2019-05-30,16.6,16.69,16.59,16.66,16.66,262591,0.0,1.0
2019-05-29,16.52,16.67,16.46,16.6,16.6,316220,0.0,1.0
2019-05-28,16.95,16.99,16.68,16.68,16.68,248649,0.0,1.0
2019-05-24,17.075,17.11,16.9801,17.08,17.08,189969,0.0,1.0
2019-05-23,16.84,16.96,16.765,16.92,16.92,238437,0.0,1.0
2019-05-22,17.21,17.31,17.19,17.22,17.22,192289,0.0,1.0
2019-05-21,17.29,17.44,17.2501,17.4,17.4,357548,0.0,1.0
2019-05-20,17.29,17.4001,17.2,17.25,17.25,220319,0.0,1.0
2019-05-17,17.57,17.78,17.57,17.63,17.63,216072,0.0,1.0
2019-05-16,17.89,18.12,17.86,17.97,17.97,208882,0.0,1.0
2019-05-15,17.47,17.92,17.43,17.82,17.82,272764,0.0,1.0
2019-05-14,17.68,17.82,17.67,17.735,17.735,308998,0.0,1.0
2019-05-13,17.88,17.925,17.7,17.73,17.73,288466,0.0,1.0
2019-05-10,18.4,18.6,18.31,18.52,18.52,233115,0.0,1.0
2019-05-09,18.4,18.62,18.35,18.57,18.57,158156,0.0,1.0
2019-05-08,18.62,18.84,18.61,18.79,18.79,360888,0.0,1.0
2019-05-07,18.77,18.795,18.51,18.57,18.57,255097,0.0,1.0
2019-05-06,19.08,19.45,19.05,19.395,19.395,175478,0.644,1.0
2019-05-03,20.365,20.65,20.33,20.65,19.9864,206050,0.0,1.0
2019-05-02,20.09,20.2,20.04,20.11,19.4637,136178,0.0,1.0
2019-05-01,20.385,20.49,20.14,20.19,19.5412,233727,0.0,1.0
2019-04-30,20.275,20.41,20.16,20.41,19.7541,170595,0.0,1.0
2019-04-29,20.23,20.31,20.16,20.28,19.6283,125745,0.0,1.0
2019-04-26,20.24,20.31,20.185,20.25,19.5992,138057,0.0,1.0
2019-04-25,20.21,20.2575,20.12,20.195,19.546,118950,0.0,1.0
2019-04-24,20.435,20.45,20.24,20.355,19.7009,259561,0.0,1.0
2019-04-23,20.75,20.88,20.72,20.865,20.1945,95490,0.0,1.0
2019-04-22,20.9425,20.9425,20.73,20.83,20.1606,90861,0.0,1.0
2019-04-18,20.76,20.88,20.73,20.84,20.1703,228088,0.0,1.0
2019-04-17,20.95,20.98,20.82,20.98,20.3058,127779,0.0,1.0
2019-04-16,20.58,20.63,20.5,20.59,19.9283,268700,0.0,1.0
2019-04-15,20.46,20.49,20.3201,20.365,19.7105,119690,0.0,1.0
2019-04-12,20.18,20.42,20.05,20.29,19.638,165958,0.0,1.0
2019-04-11,19.57,19.64,19.5,19.54,18.9121,158571,0.0,1.0
2019-04-10,19.37,19.45,19.3,19.395,18.7717,113892,0.0,1.0
2019-04-09,19.45,19.48,19.33,19.335,18.7136,273488,0.0,1.0
2019-04-08,19.42,19.4899,19.4,19.455,18.8298,133319,0.0,1.0
2019-04-05,19.4,19.5282,19.4,19.46,18.8346,103145,0.0,1.0
2019-04-04,19.415,19.475,19.31,19.395,18.7717,283861,0.0,1.0
2019-04-03,19.31,19.525,19.3,19.48,18.854,644240,0.0,1.0
2019-04-02,18.815,18.91,18.76,18.91,18.3023,369089,0.0,1.0
2019-04-01,18.67,18.76,18.63,18.71,18.1087,236635,0.0,1.0
2019-03-29,18.45,18.47,18.275,18.44,17.8474,131952,0.0,1.0
2019-03-28,18.435,18.51,18.345,18.45,17.8571,220427,0.0,1.0
2019-03-27,18.43,18.5,18.2,18.4,17.8087,139809,0.0,1.0
2019-03-26,18.45,18.495,18.35,18.4,17.8087,206489,0.0,1.0
2019-03-25,18.45,18.5299,18.364,18.44,17.8474,131353,0.0,1.0
2019-03-22,18.81,18.81,18.37,18.43,17.8377,261105,0.0,1.0
2019-03-21,19.01,19.15,19.0,19.13,18.5152,154272,0.0,1.0
