timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,51.41,51.765,50.995,51.25,51.25,5676010,0.0,1.0
2019-07-24,50.98,51.66,50.75,51.54,51.54,3918820,0.0,1.0
2019-07-23,50.58,51.205,50.49,50.98,50.98,3381484,0.0,1.0
2019-07-22,50.5,50.77,50.25,50.44,50.44,4737312,0.0,1.0
2019-07-19,50.99,51.17,50.46,50.65,50.65,5127391,0.0,1.0
2019-07-18,49.75,51.29,49.3,51.03,51.03,5878735,0.0,1.0
2019-07-17,49.49,49.75,49.3,49.64,49.64,5221413,0.0,1.0
2019-07-16,50.0,50.0,49.39,49.64,49.64,4114230,0.0,1.0
2019-07-15,50.49,50.49,49.77,49.97,49.97,5197557,0.0,1.0
2019-07-12,50.47,50.56,50.22,50.45,50.45,3896119,0.0,1.0
2019-07-11,49.79,50.41,49.58,50.31,50.31,3452925,0.0,1.0
2019-07-10,50.04,50.04,49.61,49.75,49.75,4246226,0.0,1.0
2019-07-09,49.25,50.21,49.04,50.05,50.05,4756483,0.0,1.0
2019-07-08,49.51,49.56,49.18,49.39,49.39,3349015,0.0,1.0
2019-07-05,49.4,49.96,49.38,49.94,49.94,3302233,0.0,1.0
2019-07-03,49.22,49.27,48.76,49.07,49.07,2586415,0.0,1.0
2019-07-02,49.39,49.64,48.67,48.79,48.79,3034861,0.0,1.0
2019-07-01,49.53,49.96,49.195,49.56,49.56,3724044,0.0,1.0
2019-06-28,48.7,49.29,48.52,49.13,49.13,7337837,0.0,1.0
2019-06-27,48.22,48.39,47.75,48.18,48.18,6204382,0.0,1.0
2019-06-26,48.48,48.77,48.06,48.08,48.08,3797043,0.0,1.0
2019-06-25,48.45,48.575,47.78,48.33,48.33,4348328,0.0,1.0
2019-06-24,48.57,49.13,48.23,48.49,48.49,2834694,0.0,1.0
2019-06-21,48.71,49.24,48.56,48.63,48.63,6221285,0.0,1.0
2019-06-20,49.35,49.379,47.98,48.71,48.71,4004475,0.0,1.0
2019-06-19,49.64,50.29,49.01,49.05,49.05,4500045,0.0,1.0
2019-06-18,48.74,49.61,48.63,49.37,49.37,4128894,0.0,1.0
