timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,12.93,13.0575,12.8955,12.96,12.96,18460,0.0,1.0
2019-07-25,12.91,12.95,12.78,12.85,12.85,8483,0.0,1.0
2019-07-24,12.96,13.06,12.8388,12.99,12.99,23917,0.0,1.0
2019-07-23,12.84,12.97,12.6885,12.97,12.97,8085,0.0,1.0
2019-07-22,12.75,12.94,12.75,12.91,12.91,5685,0.0,1.0
2019-07-19,12.77,12.93,12.71,12.77,12.77,9859,0.0,1.0
2019-07-18,12.76,12.86,12.76,12.86,12.86,6255,0.0,1.0
2019-07-17,12.87,12.94,12.69,12.69,12.69,10451,0.0,1.0
2019-07-16,12.99,13.055,12.85,12.95,12.95,30692,0.0,1.0
2019-07-15,13.08,13.105,12.75,13.02,13.02,18107,0.0,1.0
2019-07-12,12.91,13.2,12.91,13.14,13.14,32372,0.0,1.0
2019-07-11,12.88,13.11,12.88,12.96,12.96,15966,0.0,1.0
2019-07-10,12.94,13.07,12.86,12.92,12.92,25470,0.0,1.0
2019-07-09,12.91,13.14,12.91,13.04,13.04,15990,0.0,1.0
2019-07-08,13.03,13.16,12.99,13.01,13.01,19447,0.0,1.0
2019-07-05,12.8127,13.1,12.7602,13.02,13.02,6783,0.0,1.0
2019-07-03,12.56,12.83,12.56,12.79,12.79,7488,0.0,1.0
2019-07-02,13.29,13.29,12.66,12.74,12.74,17220,0.0,1.0
2019-07-01,13.76,13.76,12.9,13.23,13.23,60144,0.0,1.0
2019-06-28,12.68,14.96,12.68,13.85,13.85,244589,0.0,1.0
2019-06-27,12.23,12.6,12.23,12.6,12.6,17416,0.0,1.0
2019-06-26,12.34,12.35,12.225,12.24,12.24,5712,0.0,1.0
2019-06-25,12.44,12.44,12.16,12.21,12.21,10461,0.0,1.0
2019-06-24,12.35,12.74,12.17,12.2,12.2,27897,0.0,1.0
2019-06-21,12.45,12.57,12.34,12.35,12.35,28405,0.0,1.0
2019-06-20,12.59,12.6,12.54,12.54,12.54,8509,0.0,1.0
2019-06-19,12.59,12.65,12.5,12.59,12.59,5966,0.0,1.0
2019-06-18,12.66,12.66,12.434,12.57,12.57,9730,0.0,1.0
2019-06-17,12.52,12.5781,12.3371,12.37,12.37,12932,0.0,1.0
2019-06-14,12.61,12.625,12.38,12.46,12.46,14844,0.0,1.0
2019-06-13,12.45,12.64,12.45,12.53,12.53,17035,0.0,1.0
2019-06-12,12.64,12.71,12.45,12.49,12.49,11964,0.0,1.0
2019-06-11,12.81,12.81,12.56,12.63,12.63,15557,0.0,1.0
2019-06-10,12.69,12.72,12.58,12.7,12.7,8191,0.0,1.0
2019-06-07,12.55,12.7,12.51,12.51,12.51,9619,0.0,1.0
2019-06-06,12.71,12.7769,12.59,12.61,12.61,5718,0.0,1.0
2019-06-05,12.86,12.87,12.75,12.77,12.77,8545,0.0,1.0
2019-06-04,12.89,13.08,12.89,12.98,12.98,22768,0.0,1.0
2019-06-03,12.2,12.89,12.2,12.85,12.85,32337,0.0,1.0
2019-05-31,12.29,12.29,12.16,12.24,12.24,11662,0.0,1.0
2019-05-30,12.54,12.54,12.26,12.31,12.31,19639,0.0,1.0
2019-05-29,12.52,12.65,12.47,12.49,12.49,10456,0.0,1.0
2019-05-28,12.69,12.69,12.502,12.54,12.54,9533,0.0,1.0
2019-05-24,12.44,12.72,12.34,12.6,12.6,17225,0.0,1.0
2019-05-23,12.45,12.58,12.34,12.44,12.44,40451,0.0,1.0
2019-05-22,12.59,12.6,12.47,12.59,12.59,15987,0.0,1.0
2019-05-21,12.45,12.57,12.45,12.56,12.56,16974,0.0,1.0
2019-05-20,12.52,12.67,12.45,12.48,12.48,20630,0.0,1.0
2019-05-17,12.68,12.76,12.54,12.54,12.54,11315,0.0,1.0
2019-05-16,12.69,12.83,12.69,12.79,12.79,13982,0.0,1.0
2019-05-15,12.69,12.8,12.61,12.69,12.69,20802,0.0,1.0
2019-05-14,12.62,12.81,12.62,12.81,12.81,14026,0.0,1.0
2019-05-13,12.9,13.0,12.64,12.64,12.64,19917,0.0,1.0
2019-05-10,12.8789,13.08,12.84,13.03,13.03,12233,0.0,1.0
2019-05-09,12.86,13.1,12.85,12.92,12.92,13155,0.14,1.0
2019-05-08,13.24,13.24,12.97,12.98,12.8409,16633,0.0,1.0
2019-05-07,13.17,13.28,12.61,13.08,12.9398,19220,0.0,1.0
2019-05-06,13.3,13.4,13.25,13.25,13.108,11136,0.0,1.0
2019-05-03,13.25,13.38,13.18,13.32,13.1772,10599,0.0,1.0
2019-05-02,13.12,13.12,12.95,13.04,12.9002,20931,0.0,1.0
2019-05-01,13.37,13.37,12.94,13.07,12.9299,33811,0.0,1.0
2019-04-30,13.36,13.36,13.04,13.22,13.0783,19992,0.0,1.0
