timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-29,1.57,1.61,1.41,1.47,1.47,549238,0.0,1.0
2019-07-26,1.5,1.545,1.4826,1.52,1.52,209375,0.0,1.0
2019-07-25,1.5,1.545,1.45,1.47,1.47,298170,0.0,1.0
2019-07-24,1.45,1.5659,1.3902,1.54,1.54,448516,0.0,1.0
2019-07-23,1.54,1.55,1.47,1.48,1.48,375299,0.0,1.0
2019-07-22,1.6,1.65,1.5,1.54,1.54,430279,0.0,1.0
2019-07-19,1.7,1.74,1.59,1.6,1.6,314494,0.0,1.0
2019-07-18,1.65,1.74,1.65,1.73,1.73,283903,0.0,1.0
2019-07-17,1.74,1.81,1.64,1.68,1.68,613478,0.0,1.0
2019-07-16,1.78,1.86,1.68,1.73,1.73,1017085,0.0,1.0
2019-07-15,1.8,1.85,1.73,1.81,1.81,444595,0.0,1.0
2019-07-12,1.73,1.81,1.655,1.8,1.8,378737,0.0,1.0
2019-07-11,1.76,1.8,1.65,1.72,1.72,792079,0.0,1.0
2019-07-10,1.77,1.81,1.71,1.77,1.77,330391,0.0,1.0
2019-07-09,1.77,1.82,1.71,1.78,1.78,594899,0.0,1.0
2019-07-08,1.89,1.91,1.73,1.8,1.8,1135681,0.0,1.0
2019-07-05,1.61,1.785,1.6,1.76,1.76,841930,0.0,1.0
2019-07-03,1.58,1.63,1.56,1.59,1.59,377629,0.0,1.0
2019-07-02,1.61,1.64,1.52,1.58,1.58,909990,0.0,1.0
2019-07-01,1.81,1.87,1.56,1.62,1.62,1896102,0.0,1.0
2019-06-28,2.01,2.038,1.7,1.7,1.7,4580443,0.0,1.0
2019-06-27,1.87,2.04,1.85,1.99,1.99,549093,0.0,1.0
2019-06-26,2.0,2.04,1.85,1.85,1.85,509405,0.0,1.0
2019-06-25,2.14,2.184,1.96,2.02,2.02,538132,0.0,1.0
2019-06-24,2.25,2.4,2.09,2.11,2.11,880229,0.0,1.0
2019-06-21,2.02,2.25,1.98,2.22,2.22,541628,0.0,1.0
2019-06-20,2.07,2.12,2.0,2.04,2.04,417615,0.0,1.0
2019-06-19,2.05,2.07,1.99,2.03,2.03,311919,0.0,1.0
2019-06-18,1.95,2.12,1.95,2.03,2.03,561393,0.0,1.0
2019-06-17,1.94,1.98,1.85,1.92,1.92,431814,0.0,1.0
2019-06-14,1.99,2.02,1.87,1.93,1.93,703072,0.0,1.0
2019-06-13,1.92,1.98,1.82,1.96,1.96,324794,0.0,1.0
2019-06-12,1.86,1.95,1.78,1.9,1.9,343034,0.0,1.0
2019-06-11,2.13,2.15,1.87,1.87,1.87,662832,0.0,1.0
2019-06-10,1.77,2.13,1.76,2.08,2.08,986584,0.0,1.0
2019-06-07,1.7,1.79,1.54,1.76,1.76,596204,0.0,1.0
2019-06-06,1.88,1.89,1.62,1.68,1.68,970095,0.0,1.0
2019-06-05,2.09,2.09,1.85,1.89,1.89,671718,0.0,1.0
2019-06-04,1.98,2.18,1.92,1.97,1.97,464419,0.0,1.0
2019-06-03,2.1,2.14,1.89,1.96,1.96,872803,0.0,1.0
2019-05-31,2.0,2.105,1.92,2.06,2.06,951041,0.0,1.0
