timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,16.39,17.12,16.39,16.84,16.84,63081,0.0,1.0
2019-07-25,16.5,16.55,16.31,16.35,16.35,35762,0.0,1.0
2019-07-24,16.18,16.525,16.16,16.42,16.42,31011,0.0,1.0
2019-07-23,16.3,16.44,16.0,16.21,16.21,42069,0.0,1.0
2019-07-22,16.22,16.64,16.17,16.22,16.22,65557,0.0,1.0
2019-07-19,16.2,16.45,15.77,16.33,16.33,89523,0.0,1.0
2019-07-18,16.49,16.605,15.85,16.05,16.05,85474,0.0,1.0
2019-07-17,16.89,16.95,15.76,16.87,16.87,697944,0.0,1.0
2019-07-16,19.3,19.39,19.02,19.11,19.11,10337,0.0,1.0
2019-07-15,20.56,20.57,19.15,19.35,19.35,31996,0.0,1.0
2019-07-12,19.8,21.0,19.0,20.7,20.7,52967,0.0,1.0
2019-07-11,20.1,20.11,19.66,19.8,19.8,19620,0.0,1.0
2019-07-10,20.24,20.29,19.66,20.07,20.07,41299,0.0,1.0
2019-07-09,20.5,20.5,19.55,20.19,20.19,28043,0.0,1.0
2019-07-08,20.46,20.46,19.1,20.21,20.21,67924,0.0,1.0
2019-07-05,22.99,22.99,19.75,20.06,20.06,58755,0.0,1.0
2019-07-03,23.41,23.41,21.28,21.28,21.28,35666,0.0,1.0
2019-07-02,24.8,24.8,23.21,23.39,23.39,52027,0.0,1.0
2019-07-01,23.65,23.85,23.0001,23.85,23.85,70840,0.0,1.0
2019-06-28,22.59,23.92,22.469,23.7,23.7,1288139,0.0,1.0
2019-06-27,20.77,22.5,20.42,22.5,22.5,58925,0.0,1.0
2019-06-26,20.64,21.56,20.32,21.56,21.56,37265,0.0,1.0
2019-06-25,21.0,21.4,20.16,20.79,20.79,23917,0.0,1.0
2019-06-24,21.12,21.12,20.415,20.89,20.89,24081,0.0,1.0
2019-06-21,22.875,23.01,20.1,21.28,21.28,26984,0.0,1.0
2019-06-20,23.55,23.79,22.5,22.57,22.57,16955,0.0,1.0
2019-06-19,23.64,23.8535,22.5,23.12,23.12,20062,0.0,1.0
2019-06-18,21.84,23.1,21.4901,22.46,22.46,38544,0.0,1.0
2019-06-17,21.86,22.16,20.98,21.8,21.8,26145,0.0,1.0
2019-06-14,22.0,22.0,20.03,21.15,21.15,34820,0.0,1.0
2019-06-13,20.8,22.4082,20.6418,21.15,21.15,79181,0.0,1.0
2019-06-12,17.66,20.3888,17.65,20.3413,20.3413,88294,0.0,1.0
2019-06-11,16.955,19.3367,16.72,17.66,17.66,97352,0.0,1.0
2019-06-10,15.92,17.63,15.92,16.9,16.9,103887,0.0,1.0
2019-06-07,15.61,16.52,15.3,15.72,15.72,47964,0.0,1.0
2019-06-06,15.41,15.425,15.04,15.39,15.39,19674,0.0,1.0
2019-06-05,15.55,15.79,14.905,15.0,15.0,33224,0.0,1.0
2019-06-04,16.0,16.48,15.32,15.37,15.37,24194,0.0,1.0
2019-06-03,16.05,16.85,16.0,16.2,16.2,30484,0.0,1.0
2019-05-31,15.815,16.5,15.815,16.35,16.35,19400,0.0,1.0
2019-05-30,16.0,16.39,14.94,16.04,16.04,32147,0.0,1.0
2019-05-29,15.295,15.855,15.25,15.85,15.85,19717,0.0,1.0
2019-05-28,15.185,15.185,14.5101,15.15,15.15,5670,0.0,1.0
2019-05-24,15.0,15.39,14.48,14.51,14.51,9820,0.0,1.0
2019-05-23,15.44,15.99,14.39,14.5,14.5,22053,0.0,1.0
2019-05-22,15.67,16.3973,15.19,15.19,15.19,11099,0.0,1.0
2019-05-21,15.7,16.44,15.0,16.29,16.29,18796,0.0,1.0
2019-05-20,15.5,15.7,14.884,15.51,15.51,7732,0.0,1.0
2019-05-17,14.85,16.01,14.76,15.25,15.25,8942,0.0,1.0
2019-05-16,14.7,15.3,14.4,15.3,15.3,31024,0.0,1.0
2019-05-15,15.3,16.37,14.21,14.69,14.69,61914,0.0,1.0
2019-05-14,15.0,15.3,14.885,15.0,15.0,26936,0.0,1.0
2019-05-13,14.42,15.3,14.42,15.07,15.07,8246,0.0,1.0
2019-05-10,14.4,15.28,14.286,15.26,15.26,19563,0.0,1.0
2019-05-09,14.69,15.75,13.846,14.69,14.69,91700,0.0,1.0
2019-05-08,14.99,15.0,14.5,14.66,14.66,4014,0.0,1.0
2019-05-07,14.8,15.085,14.25,14.48,14.48,7798,0.0,1.0
2019-05-06,15.277,15.2797,14.25,14.25,14.25,6718,0.0,1.0
2019-05-03,14.72,15.2962,13.67,14.83,14.83,36687,0.0,1.0
2019-05-02,13.4,15.3,13.4,14.5,14.5,87837,0.0,1.0
2019-05-01,16.0,16.48,13.06,13.36,13.36,33408,0.0,1.0
2019-04-30,15.64,16.295,15.0,15.0,15.0,20802,0.0,1.0
2019-04-29,14.95,16.9733,14.51,15.54,15.54,14750,0.0,1.0
2019-04-26,14.33,14.398,13.57,14.15,14.15,57342,0.0,1.0
2019-04-25,14.0,14.25,13.8,14.21,14.21,11778,0.0,1.0
2019-04-24,14.54,14.64,13.3079,13.95,13.95,60130,0.0,1.0
2019-04-23,15.69,15.7,14.2,14.54,14.54,12371,0.0,1.0
2019-04-22,15.12,15.72,15.12,15.13,15.13,25538,0.0,1.0
2019-04-18,15.1,15.52,15.0999,15.47,15.47,12031,0.0,1.0
2019-04-17,15.15,15.2358,15.06,15.12,15.12,7063,0.0,1.0
2019-04-16,15.34,15.4,15.21,15.39,15.39,7245,0.0,1.0
2019-04-15,15.59,15.59,14.8011,15.3458,15.3458,4223,0.0,1.0
