timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,22.91,23.31,22.56,23.04,23.04,1321517,0.0,1.0
2019-07-25,23.84,24.3,22.74,22.75,22.75,4453252,0.0,1.0
2019-07-24,25.4,26.32,25.12,26.27,26.27,446829,0.0,1.0
2019-07-23,25.76,25.93,25.11,25.48,25.48,448854,0.0,1.0
2019-07-22,26.18,26.49,25.27,25.86,25.86,1066706,0.0,1.0
2019-07-19,25.57,26.1,25.35,25.91,25.91,534860,0.0,1.0
2019-07-18,26.79,27.17,24.18,25.34,25.34,1999722,0.0,1.0
2019-07-17,26.25,27.55,26.01,26.91,26.91,1322975,0.0,1.0
2019-07-16,25.53,26.15,24.6975,26.07,26.07,1089622,0.0,1.0
2019-07-15,24.28,26.6,24.2,25.42,25.42,2430439,0.0,1.0
2019-07-12,22.71,24.37,22.71,24.28,24.28,1122510,0.0,1.0
2019-07-11,22.42,22.969,22.3114,22.71,22.71,578872,0.0,1.0
2019-07-10,22.06,22.64,21.575,22.44,22.44,713078,0.0,1.0
2019-07-09,21.4,22.27,21.4,22.0,22.0,457092,0.0,1.0
2019-07-08,21.8,22.15,21.395,21.52,21.52,585494,0.0,1.0
2019-07-05,22.03,22.17,21.6,21.81,21.81,343979,0.0,1.0
2019-07-03,22.26,22.4,21.71,22.08,22.08,334029,0.0,1.0
2019-07-02,22.29,22.29,21.76,22.25,22.25,421422,0.0,1.0
2019-07-01,21.75,22.64,21.58,22.37,22.37,790972,0.0,1.0
2019-06-28,21.11,21.86,21.09,21.5,21.5,1088409,0.0,1.0
2019-06-27,20.15,21.17,20.13,21.15,21.15,567615,0.0,1.0
2019-06-26,19.85,20.495,19.85,20.1,20.1,535809,0.0,1.0
2019-06-25,19.68,19.98,19.52,19.73,19.73,315475,0.0,1.0
2019-06-24,20.55,20.79,19.56,19.57,19.57,899831,0.0,1.0
2019-06-21,20.16,20.77,19.78,20.64,20.64,746919,0.0,1.0
2019-06-20,19.91,20.39,19.8,20.27,20.27,497312,0.0,1.0
2019-06-19,19.88,20.01,19.53,19.73,19.73,440175,0.0,1.0
2019-06-18,19.98,20.35,19.73,19.83,19.83,528734,0.0,1.0
2019-06-17,19.58,19.86,18.97,19.84,19.84,484415,0.0,1.0
2019-06-14,20.0,20.13,19.35,19.37,19.37,402299,0.0,1.0
2019-06-13,19.74,20.01,19.38,19.96,19.96,841959,0.0,1.0
2019-06-12,19.77,19.89,19.29,19.63,19.63,487902,0.0,1.0
2019-06-11,20.45,20.6035,19.7,19.8,19.8,525095,0.0,1.0
2019-06-10,20.19,20.585,20.14,20.3,20.3,515284,0.0,1.0
2019-06-07,20.16,20.2849,19.9,20.04,20.04,442068,0.0,1.0
2019-06-06,20.41,20.41,19.81,20.07,20.07,351929,0.0,1.0
2019-06-05,20.57,20.6475,19.88,20.44,20.44,636715,0.0,1.0
2019-06-04,20.61,20.89,20.19,20.47,20.47,612953,0.0,1.0
2019-06-03,20.34,20.92,19.9,20.23,20.23,1181452,0.0,1.0
2019-05-31,20.94,21.32,20.3302,20.56,20.56,726860,0.0,1.0
2019-05-30,20.9,21.93,20.651,21.39,21.39,1275511,0.0,1.0
2019-05-29,20.45,21.81,19.79,21.57,21.57,6833074,0.0,1.0
2019-05-28,18.07,18.35,17.8,17.98,17.98,415729,0.0,1.0
2019-05-24,18.48,18.82,17.6173,18.05,18.05,1183159,0.0,1.0
2019-05-23,18.75,18.99,18.31,18.43,18.43,426174,0.0,1.0
2019-05-22,19.0,19.1,18.285,18.95,18.95,486516,0.0,1.0
2019-05-21,18.37,19.1373,18.26,19.0,19.0,485216,0.0,1.0
2019-05-20,18.94,18.94,18.1,18.21,18.21,624823,0.0,1.0
2019-05-17,18.99,19.84,18.99,19.03,19.03,717479,0.0,1.0
2019-05-16,18.83,19.45,18.81,19.16,19.16,995162,0.0,1.0
2019-05-15,18.0,18.83,17.82,18.71,18.71,507973,0.0,1.0
2019-05-14,17.93,18.55,17.705,18.23,18.23,586119,0.0,1.0
2019-05-13,18.44,18.71,17.63,17.68,17.68,1250905,0.0,1.0
2019-05-10,19.06,19.73,18.71,18.81,18.81,1003653,0.0,1.0
2019-05-09,18.87,19.64,18.56,19.28,19.28,515922,0.0,1.0
2019-05-08,18.78,19.47,17.92,19.13,19.13,762332,0.0,1.0
2019-05-07,19.9,20.04,18.79,19.0,19.0,1115942,0.0,1.0
2019-05-06,19.4,20.22,19.02,20.15,20.15,557453,0.0,1.0
2019-05-03,19.57,20.08,19.43,19.75,19.75,757001,0.0,1.0
2019-05-02,18.96,19.61,18.73,19.56,19.56,525177,0.0,1.0
2019-05-01,19.1,19.4699,18.84,18.94,18.94,470002,0.0,1.0
2019-04-30,19.46,19.65,18.85,19.08,19.08,690663,0.0,1.0
2019-04-29,19.45,19.62,19.34,19.47,19.47,507926,0.0,1.0
2019-04-26,19.38,19.495,18.9166,19.35,19.35,442857,0.0,1.0
2019-04-25,19.24,19.5399,18.64,19.4,19.4,489317,0.0,1.0
2019-04-24,19.0,19.32,18.37,19.04,19.04,753053,0.0,1.0
2019-04-23,17.75,19.15,17.7,18.91,18.91,858696,0.0,1.0
2019-04-22,18.14,18.2517,17.46,17.7,17.7,745707,0.0,1.0
2019-04-18,18.1,18.46,17.32,18.14,18.14,750432,0.0,1.0
2019-04-17,19.46,19.79,18.01,18.07,18.07,1137151,0.0,1.0
2019-04-16,19.54,19.63,19.1,19.28,19.28,745934,0.0,1.0
2019-04-15,18.75,19.83,18.59,19.44,19.44,1255693,0.0,1.0
2019-04-12,19.37,19.63,18.62,18.73,18.73,713667,0.0,1.0
2019-04-11,20.25,20.25,19.39,19.47,19.47,806833,0.0,1.0
2019-04-10,20.52,20.67,20.142,20.34,20.34,620009,0.0,1.0
2019-04-09,20.13,20.59,19.98,20.46,20.46,443481,0.0,1.0
2019-04-08,19.78,20.85,19.67,20.17,20.17,1323080,0.0,1.0
2019-04-05,19.67,19.88,19.56,19.67,19.67,443466,0.0,1.0
2019-04-04,19.76,19.77,19.3,19.6,19.6,333680,0.0,1.0
2019-04-03,19.82,19.94,19.51,19.78,19.78,342973,0.0,1.0
2019-04-02,19.57,19.688,19.22,19.61,19.61,335542,0.0,1.0
2019-04-01,19.78,19.94,19.49,19.59,19.59,375389,0.0,1.0
2019-03-29,19.3,19.68,19.01,19.62,19.62,461200,0.0,1.0
2019-03-28,18.84,19.18,18.62,19.1,19.1,480756,0.0,1.0
2019-03-27,18.98,19.23,18.52,18.79,18.79,531777,0.0,1.0
2019-03-26,18.37,19.03,18.37,18.99,18.99,395178,0.0,1.0
2019-03-25,18.31,18.86,18.17,18.25,18.25,450832,0.0,1.0
2019-03-22,19.49,19.53,18.27,18.3,18.3,591544,0.0,1.0
2019-03-21,19.17,19.69,19.17,19.64,19.64,470006,0.0,1.0
2019-03-20,19.51,19.91,19.19,19.37,19.37,564685,0.0,1.0
2019-03-19,19.17,19.85,19.15,19.52,19.52,658817,0.0,1.0
2019-03-18,18.37,19.1,18.2396,19.06,19.06,615265,0.0,1.0
2019-03-15,18.97,19.23,18.17,18.37,18.37,1716739,0.0,1.0
2019-03-14,19.45,19.49,18.91,18.95,18.95,795322,0.0,1.0
2019-03-13,19.12,19.87,17.88,19.48,19.48,3535456,0.0,1.0
2019-03-12,17.26,17.52,16.76,17.43,17.43,600270,0.0,1.0
2019-03-11,16.67,17.16,16.3559,17.13,17.13,601445,0.0,1.0
2019-03-08,16.14,16.65,16.0805,16.6,16.6,413516,0.0,1.0
2019-03-07,16.13,16.61,15.7339,16.35,16.35,433218,0.0,1.0
2019-03-06,16.66,16.79,16.03,16.1,16.1,610544,0.0,1.0
2019-03-05,17.08,17.19,16.63,16.64,16.64,438513,0.0,1.0
2019-03-04,17.34,17.5,16.55,17.13,17.13,679198,0.0,1.0
2019-03-01,17.14,17.35,16.85,17.22,17.22,509571,0.0,1.0
2019-02-28,17.4,17.5,17.01,17.05,17.05,520992,0.0,1.0
2019-02-27,16.86,17.49,16.83,17.39,17.39,653059,0.0,1.0
2019-02-26,17.05,17.12,16.73,16.91,16.91,432520,0.0,1.0
2019-02-25,17.18,17.51,16.66,17.14,17.14,542690,0.0,1.0
2019-02-22,16.63,17.06,16.5105,16.95,16.95,495815,0.0,1.0
2019-02-21,16.56,16.78,16.2,16.64,16.64,462182,0.0,1.0
2019-02-20,16.79,16.91,16.28,16.54,16.54,527710,0.0,1.0
2019-02-19,17.06,17.38,16.8499,16.9,16.9,528576,0.0,1.0
2019-02-15,16.72,17.07,16.52,17.05,17.05,593742,0.0,1.0
2019-02-14,16.65,16.92,16.35,16.55,16.55,420958,0.0,1.0
2019-02-13,16.57,16.98,16.25,16.73,16.73,482717,0.0,1.0
2019-02-12,16.49,16.82,16.17,16.56,16.56,585319,0.0,1.0
2019-02-11,16.97,16.9767,16.034,16.37,16.37,846076,0.0,1.0
2019-02-08,15.22,17.11,15.22,16.8,16.8,1526309,0.0,1.0
2019-02-07,15.58,15.6,15.0,15.23,15.23,483785,0.0,1.0
2019-02-06,15.77,16.03,15.51,15.58,15.58,432442,0.0,1.0
2019-02-05,15.39,16.1,15.2129,15.49,15.49,595382,0.0,1.0
2019-02-04,15.16,15.45,15.11,15.37,15.37,347690,0.0,1.0
2019-02-01,15.27,15.3899,14.85,15.11,15.11,464242,0.0,1.0
2019-01-31,15.13,15.41,15.0388,15.25,15.25,432253,0.0,1.0
2019-01-30,14.68,15.26,14.49,15.16,15.16,569582,0.0,1.0
2019-01-29,14.79,14.9073,14.1,14.68,14.68,584979,0.0,1.0
2019-01-28,15.37,15.44,14.78,14.82,14.82,620050,0.0,1.0
2019-01-25,15.0,15.45,14.76,15.44,15.44,565278,0.0,1.0
2019-01-24,15.03,15.1985,14.82,14.97,14.97,367731,0.0,1.0
2019-01-23,15.39,15.85,14.86,15.02,15.02,485654,0.0,1.0
2019-01-22,15.3,15.56,15.09,15.34,15.34,520671,0.0,1.0
2019-01-18,15.5,15.5,15.02,15.35,15.35,419662,0.0,1.0
2019-01-17,15.28,15.52,15.24,15.39,15.39,328480,0.0,1.0
2019-01-16,15.18,15.59,15.13,15.25,15.25,444928,0.0,1.0
2019-01-15,15.15,15.79,14.89,15.2,15.2,600834,0.0,1.0
2019-01-14,15.71,15.85,15.12,15.13,15.13,548809,0.0,1.0
2019-01-11,15.7,16.1499,15.6,15.83,15.83,443969,0.0,1.0
2019-01-10,15.51,15.93,15.25,15.77,15.77,614560,0.0,1.0
2019-01-09,15.54,15.96,15.19,15.67,15.67,481586,0.0,1.0
2019-01-08,16.23,16.4519,15.04,15.45,15.45,773231,0.0,1.0
2019-01-07,15.39,16.12,15.19,15.99,15.99,847967,0.0,1.0
2019-01-04,14.69,15.3,14.49,15.18,15.18,825624,0.0,1.0
2019-01-03,14.57,14.8488,13.88,14.41,14.41,982748,0.0,1.0
2019-01-02,13.01,14.92,12.83,14.56,14.56,1755217,0.0,1.0
2018-12-31,12.8,13.02,12.6,13.0,13.0,510140,0.0,1.0
2018-12-28,12.98,13.0,12.31,12.7,12.7,551133,0.0,1.0
2018-12-27,13.02,13.19,12.36,12.96,12.96,563982,0.0,1.0
2018-12-26,12.47,13.27,12.41,13.19,13.19,640720,0.0,1.0
2018-12-24,12.5,12.81,12.19,12.45,12.45,359038,0.0,1.0
2018-12-21,13.03,13.29,12.5299,12.65,12.65,1181813,0.0,1.0
2018-12-20,13.7,13.86,12.72,12.98,12.98,866616,0.0,1.0
2018-12-19,13.85,14.34,13.34,13.36,13.36,687017,0.0,1.0
2018-12-18,14.11,14.3,13.46,13.8,13.8,1100494,0.0,1.0
2018-12-17,14.0,14.55,13.58,13.98,13.98,1286681,0.0,1.0
2018-12-14,14.05,14.48,13.88,14.05,14.05,748834,0.0,1.0
2018-12-13,15.64,15.78,13.92,14.08,14.08,1009921,0.0,1.0
2018-12-12,15.88,16.0,15.4561,15.54,15.54,449803,0.0,1.0
2018-12-11,16.02,16.39,15.49,15.7,15.7,674812,0.0,1.0
2018-12-10,16.2,16.49,15.39,15.83,15.83,663109,0.0,1.0
2018-12-07,17.08,17.25,15.95,16.07,16.07,1201817,0.0,1.0
2018-12-06,17.46,17.6498,17.03,17.1,17.1,602677,0.0,1.0
2018-12-04,18.62,18.8,17.72,17.76,17.76,608454,0.0,1.0
2018-12-03,18.36,18.71,17.9,18.71,18.71,464603,0.0,1.0
2018-11-30,18.38,18.52,17.97,18.18,18.18,323913,0.0,1.0
2018-11-29,18.6,18.79,18.38,18.44,18.44,239925,0.0,1.0
2018-11-28,18.48,18.72,18.16,18.72,18.72,363232,0.0,1.0
2018-11-27,18.6,18.763,18.15,18.35,18.35,317117,0.0,1.0
2018-11-26,18.77,18.96,18.28,18.79,18.79,310783,0.0,1.0
2018-11-23,18.28,19.06,18.1137,18.58,18.58,243587,0.0,1.0
2018-11-21,17.97,18.44,17.79,18.37,18.37,347528,0.0,1.0
2018-11-20,17.8,18.47,17.3301,17.75,17.75,459834,0.0,1.0
2018-11-19,19.0,19.13,17.87,17.98,17.98,443874,0.0,1.0
2018-11-16,18.75,19.19,18.41,19.04,19.04,413598,0.0,1.0
2018-11-15,18.0,18.8,17.9,18.76,18.76,392611,0.0,1.0
2018-11-14,19.07,19.43,17.85,18.11,18.11,622094,0.0,1.0
2018-11-13,19.09,19.41,18.8271,18.9,18.9,359973,0.0,1.0
2018-11-12,19.63,19.6951,18.7,18.92,18.92,468106,0.0,1.0
