timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,0.9461,1.01,0.926,0.9951,0.9951,1675482,0.0,1.0
2019-07-25,1.02,1.07,0.92,0.92,0.92,3624278,0.0,1.0
2019-07-24,1.0,1.1,1.0,1.02,1.02,2880615,0.0,1.0
2019-07-23,0.9445,1.05,0.942,1.0,1.0,2070226,0.0,1.0
2019-07-22,0.97,1.009,0.9087,0.9434,0.9434,2177825,0.0,1.0
2019-07-19,1.0,1.01,0.92,0.92,0.92,3889691,0.0,1.0
2019-07-18,1.1,1.11,0.98,1.01,1.01,1997519,0.0,1.0
2019-07-17,1.16,1.1763,1.06,1.09,1.09,3023218,0.0,1.0
2019-07-16,1.15,1.19,1.11,1.16,1.16,1708471,0.0,1.0
2019-07-15,1.14,1.15,1.08,1.12,1.12,2386034,0.0,1.0
2019-07-12,1.19,1.22,1.1,1.15,1.15,2289802,0.0,1.0
2019-07-11,1.24,1.26,1.12,1.18,1.18,2770042,0.0,1.0
2019-07-10,1.2,1.28,1.16,1.23,1.23,4345248,0.0,1.0
2019-07-09,1.13,1.21,1.09,1.18,1.18,2728450,0.0,1.0
2019-07-08,1.05,1.15,1.03,1.12,1.12,3276088,0.0,1.0
2019-07-05,1.02,1.05,0.9778,1.05,1.05,932618,0.0,1.0
2019-07-03,1.03,1.06,1.01,1.03,1.03,717912,0.0,1.0
2019-07-02,1.05,1.05,1.0,1.01,1.01,1043205,0.0,1.0
2019-07-01,1.07,1.075,1.0,1.03,1.03,1614808,0.0,1.0
2019-06-28,1.01,1.07,0.99,1.04,1.04,2808497,0.0,1.0
2019-06-27,0.9638,1.01,0.9521,0.9894,0.9894,2125305,0.0,1.0
2019-06-26,1.01,1.04,0.96,0.961,0.961,2651435,0.0,1.0
2019-06-25,0.995,1.06,0.9629,1.01,1.01,2970639,0.0,1.0
2019-06-24,0.9546,1.03,0.9546,1.0,1.0,2264251,0.0,1.0
2019-06-21,1.08,1.12,0.9459,0.9544,0.9544,3827852,0.0,1.0
2019-06-20,1.2,1.21,1.1,1.1,1.1,2574899,0.0,1.0
2019-06-19,1.21,1.23,1.16,1.2,1.2,2054166,0.0,1.0
2019-06-18,1.17,1.22,1.16,1.19,1.19,1242009,0.0,1.0
2019-06-17,1.09,1.2,1.07,1.17,1.17,2280834,0.0,1.0
2019-06-14,1.11,1.14,1.08,1.1,1.1,1829423,0.0,1.0
2019-06-13,1.08,1.14,1.05,1.13,1.13,2732677,0.0,1.0
2019-06-12,1.1,1.1,1.04,1.07,1.07,1370314,0.0,1.0
2019-06-11,1.12,1.1263,1.07,1.11,1.11,1568082,0.0,1.0
2019-06-10,1.01,1.12,0.9001,1.12,1.12,3740228,0.0,1.0
2019-06-07,0.8662,1.08,0.853,1.01,1.01,10279947,0.0,1.0
2019-06-06,0.92,0.92,0.8353,0.8654,0.8654,3747503,0.0,1.0
2019-06-05,0.907,0.907,0.8335,0.8789,0.8789,1425441,0.0,1.0
2019-06-04,0.8344,0.88,0.8022,0.8559,0.8559,3279948,0.0,1.0
2019-06-03,0.87,0.8921,0.796,0.8024,0.8024,3180711,0.0,1.0
2019-05-31,0.8633,0.8691,0.7749,0.8143,0.8143,3522882,0.0,1.0
2019-05-30,0.8885,0.9005,0.8299,0.8301,0.8301,1768005,0.0,1.0
2019-05-29,0.9801,0.9901,0.8361,0.8544,0.8544,3945612,0.0,1.0
2019-05-28,1.03,1.05,0.9758,0.9758,0.9758,10769497,0.0,1.0
2019-05-24,1.05,1.07,1.02,1.04,1.04,2017317,0.0,1.0
2019-05-23,1.04,1.1,1.02,1.04,1.04,2041268,0.0,1.0
2019-05-22,1.08,1.09,1.02,1.07,1.07,2732547,0.0,1.0
2019-05-21,1.08,1.1,1.07,1.1,1.1,1469195,0.0,1.0
2019-05-20,1.21,1.22,1.07,1.09,1.09,2817293,0.0,1.0
