timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,5.65,5.65,5.41,5.51,5.51,52739,0.0,1.0
2019-07-25,5.47,5.73,5.46,5.65,5.65,17218,0.0,1.0
2019-07-24,5.4,5.53,5.37,5.43,5.43,7848,0.0,1.0
2019-07-23,5.49,5.49,5.29,5.37,5.37,7061,0.0,1.0
2019-07-22,5.216,5.4,5.216,5.3,5.3,5286,0.0,1.0
2019-07-19,5.44,5.44,5.2,5.29,5.29,20625,0.0,1.0
2019-07-18,5.2,5.37,5.1901,5.32,5.32,9629,0.0,1.0
2019-07-17,5.2387,5.29,5.2387,5.26,5.26,7539,0.0,1.0
2019-07-16,5.32,5.38,5.2001,5.34,5.34,9897,0.0,1.0
2019-07-15,5.32,5.32,5.16,5.28,5.28,8897,0.0,1.0
2019-07-12,5.38,5.44,5.295,5.32,5.32,22108,0.0,1.0
2019-07-11,5.32,5.49,5.28,5.33,5.33,17660,0.0,1.0
2019-07-10,5.39,5.47,5.25,5.29,5.29,18068,0.0,1.0
2019-07-09,5.51,5.53,5.25,5.32,5.32,33212,0.0,1.0
2019-07-08,5.55,5.55,5.45,5.47,5.47,8276,0.0,1.0
2019-07-05,5.38,5.5,5.25,5.46,5.46,56342,0.0,1.0
2019-07-03,5.35,5.5,5.2,5.49,5.49,13748,0.0,1.0
2019-07-02,5.49,5.49,5.27,5.31,5.31,8261,0.0,1.0
2019-07-01,5.55,5.6,5.435,5.49,5.49,32248,0.0,1.0
2019-06-28,5.41,5.63,5.35,5.5,5.5,342362,0.0,1.0
2019-06-27,5.51,5.51,5.33,5.41,5.41,22039,0.0,1.0
2019-06-26,5.47,5.5,5.29,5.5,5.5,21688,0.0,1.0
2019-06-25,5.6,5.61,5.41,5.42,5.42,31584,0.0,1.0
2019-06-24,5.46,5.5244,5.4539,5.49,5.49,35454,0.0,1.0
2019-06-21,5.45,5.66,5.29,5.44,5.44,182033,0.0,1.0
2019-06-20,5.55,5.56,5.45,5.49,5.49,17458,0.0,1.0
2019-06-19,5.93,5.93,5.42,5.45,5.45,75841,0.0,1.0
2019-06-18,5.44,5.84,5.435,5.77,5.77,50315,0.0,1.0
2019-06-17,5.22,5.68,5.21,5.62,5.62,45274,0.0,1.0
2019-06-14,5.25,5.41,5.115,5.4,5.4,22841,0.0,1.0
2019-06-13,4.63,5.33,4.63,5.23,5.23,53039,0.0,1.0
2019-06-12,4.64,4.85,4.53,4.78,4.78,46158,0.0,1.0
2019-06-11,4.78,4.84,4.45,4.64,4.64,37391,0.0,1.0
2019-06-10,4.65,4.85,4.54,4.75,4.75,19801,0.0,1.0
2019-06-07,4.68,4.84,4.66,4.8,4.8,9717,0.0,1.0
2019-06-06,4.56,4.85,4.535,4.82,4.82,13621,0.0,1.0
2019-06-05,4.55,4.7,4.42,4.69,4.69,37059,0.0,1.0
2019-06-04,4.65,4.65,4.43,4.53,4.53,19512,0.0,1.0
2019-06-03,4.59,4.64,4.52,4.61,4.61,16913,0.0,1.0
2019-05-31,4.93,4.93,4.5,4.66,4.66,32033,0.0,1.0
2019-05-30,4.63,4.865,4.62,4.8,4.8,46948,0.0,1.0
2019-05-29,4.65,4.79,4.5303,4.63,4.63,104732,0.0,1.0
2019-05-28,4.79,4.79,4.42,4.62,4.62,77135,0.0,1.0
2019-05-24,4.9,4.97,4.7,4.76,4.76,57922,0.0,1.0
2019-05-23,4.82,4.94,4.71,4.86,4.86,101984,0.0,1.0
2019-05-22,4.8536,4.95,4.76,4.86,4.86,53926,0.0,1.0
2019-05-21,4.63,5.01,4.63,4.96,4.96,83300,0.0,1.0
2019-05-20,4.51,4.93,4.45,4.9,4.9,182404,0.0,1.0
2019-05-17,4.56,4.81,4.55,4.64,4.64,118359,0.0,1.0
2019-05-16,4.6,4.99,4.4,4.83,4.83,378266,0.0,1.0
2019-05-15,6.64,6.64,3.95,4.03,4.03,1487123,0.0,1.0
2019-05-14,6.84,6.84,6.62,6.71,6.71,16864,0.0,1.0
2019-05-13,6.73,6.925,6.69,6.71,6.71,22575,0.0,1.0
2019-05-10,6.9,7.035,6.7001,6.83,6.83,107989,0.0,1.0
2019-05-09,7.0999,7.1,6.825,6.97,6.97,19094,0.0,1.0
2019-05-08,7.1,7.235,7.05,7.1,7.1,8635,0.0,1.0
2019-05-07,6.99,7.17,6.79,7.09,7.09,253459,0.0,1.0
2019-05-06,6.85,7.09,6.8,6.95,6.95,23274,0.0,1.0
2019-05-03,7.0,7.18,6.92,7.01,7.01,105448,0.0,1.0
2019-05-02,7.18,7.18,6.77,7.03,7.03,11712,0.0,1.0
