timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,1.15,1.2,1.15,1.1942,1.1942,3669,0.0,1.0
2019-07-25,1.23,1.24,1.14,1.15,1.15,57528,0.0,1.0
2019-07-24,1.23,1.24,1.18,1.21,1.21,44632,0.0,1.0
2019-07-23,1.2,1.25,1.18,1.25,1.25,17744,0.0,1.0
2019-07-22,1.24,1.25,1.15,1.22,1.22,7465,0.0,1.0
2019-07-19,1.18,1.25,1.1738,1.22,1.22,74876,0.0,1.0
2019-07-18,1.19,1.2,1.15,1.17,1.17,13141,0.0,1.0
2019-07-17,1.16,1.29,1.09,1.22,1.22,68667,0.0,1.0
2019-07-16,1.29,1.29,1.15,1.16,1.16,70143,0.0,1.0
2019-07-15,1.19,1.21,1.165,1.21,1.21,37179,0.0,1.0
2019-07-12,1.17,1.265,1.16,1.2,1.2,10999,0.0,1.0
2019-07-11,1.22,1.27,1.15,1.16,1.16,42669,0.0,1.0
2019-07-10,1.18,1.2598,1.18,1.25,1.25,20049,0.0,1.0
2019-07-09,1.32,1.33,1.15,1.15,1.15,32115,0.0,1.0
2019-07-08,1.34,1.3799,1.2801,1.3065,1.3065,17782,0.0,1.0
2019-07-05,1.35,1.3625,1.33,1.33,1.33,21651,0.0,1.0
2019-07-03,1.35,1.36,1.33,1.33,1.33,10724,0.0,1.0
2019-07-02,1.34,1.39,1.31,1.36,1.36,32177,0.0,1.0
2019-07-01,1.37,1.4,1.33,1.33,1.33,25095,0.0,1.0
2019-06-28,1.37,1.43,1.35,1.35,1.35,27123,0.0,1.0
2019-06-27,1.39,1.4,1.36,1.36,1.36,4708,0.0,1.0
2019-06-26,1.3494,1.4,1.3443,1.375,1.375,13591,0.0,1.0
2019-06-25,1.35,1.3933,1.34,1.3714,1.3714,5676,0.0,1.0
2019-06-24,1.37,1.37,1.315,1.335,1.335,30375,0.0,1.0
2019-06-21,1.37,1.4,1.35,1.36,1.36,10561,0.0,1.0
2019-06-20,1.4,1.44,1.38,1.39,1.39,53484,0.0,1.0
2019-06-19,1.36,1.41,1.3406,1.39,1.39,24110,0.0,1.0
2019-06-18,1.33,1.41,1.33,1.3434,1.3434,28660,0.0,1.0
