timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,4.56,4.72,4.56,4.6269,4.6269,224080,0.0,1.0
2019-07-24,4.56,4.6356,4.55,4.56,4.56,33121,0.0,1.0
2019-07-23,4.55,4.61,4.5461,4.6,4.6,35419,0.0,1.0
2019-07-22,4.61,4.65,4.55,4.65,4.65,35037,0.0,1.0
2019-07-19,4.54,4.6,4.52,4.6,4.6,19146,0.0,1.0
2019-07-18,4.55,4.55,4.51,4.52,4.52,4797,0.0,1.0
2019-07-17,4.47,4.63,4.47,4.62,4.62,17132,0.0,1.0
2019-07-16,4.52,4.6565,4.5,4.5,4.5,13367,0.0,1.0
2019-07-15,4.5,4.66,4.48,4.66,4.66,10123,0.0,1.0
2019-07-12,4.43,4.56,4.4,4.43,4.43,16601,0.0,1.0
2019-07-11,4.48,4.4893,4.41,4.4165,4.4165,7905,0.0,1.0
2019-07-10,4.47,4.57,4.4617,4.5,4.5,11734,0.0,1.0
2019-07-09,4.48,4.53,4.422,4.53,4.53,7891,0.0,1.0
2019-07-08,4.48,4.4841,4.4,4.4,4.4,14516,0.0,1.0
2019-07-05,4.42,4.5567,4.42,4.456,4.456,21488,0.0,1.0
2019-07-03,4.52,4.55,4.44,4.55,4.55,4809,0.0,1.0
2019-07-02,4.49,4.55,4.3901,4.51,4.51,13871,0.0,1.0
2019-07-01,4.45,4.65,4.38,4.55,4.55,77511,0.0,1.0
2019-06-28,4.45,4.75,4.3914,4.7,4.7,65473,0.0,1.0
2019-06-27,4.49,4.5,4.4342,4.455,4.455,5999,0.0,1.0
2019-06-26,4.4199,4.52,4.4001,4.52,4.52,20972,0.0,1.0
2019-06-25,4.36,4.49,4.3582,4.47,4.47,29848,0.0,1.0
2019-06-24,4.36,4.4,4.35,4.36,4.36,17057,0.0,1.0
2019-06-21,4.45,4.49,4.35,4.35,4.35,25542,0.0,1.0
2019-06-20,4.55,4.55,4.47,4.47,4.47,21667,0.0,1.0
2019-06-19,4.58,4.58,4.5,4.55,4.55,39673,0.0,1.0
2019-06-18,4.565,4.6,4.53,4.53,4.53,24382,0.0,1.0
2019-06-17,4.49,4.53,4.44,4.53,4.53,62173,0.0,1.0
2019-06-14,4.75,4.75,4.43,4.46,4.46,49834,0.0,1.0
2019-06-13,4.9,5.15,4.59,4.76,4.76,229210,0.08,1.0
2019-06-12,4.72,4.9,4.701,4.8,4.7207,94715,0.0,1.0
2019-06-11,4.8,4.87,4.68,4.68,4.6026,13572,0.0,1.0
2019-06-10,4.86,4.9433,4.82,4.82,4.7403,15274,0.0,1.0
2019-06-07,4.98,4.98,4.88,4.89,4.8092,23195,0.0,1.0
2019-06-06,4.95,5.04,4.95,5.0,4.9174,13185,0.0,1.0
2019-06-05,5.03,5.09,4.9,4.95,4.8682,8184,0.0,1.0
2019-06-04,4.95,5.05,4.95,5.05,4.9665,17330,0.0,1.0
2019-06-03,5.05,5.05,4.72,5.0,4.9174,26632,0.0,1.0
2019-05-31,4.98,5.08,4.9743,5.03,4.9469,3742,0.0,1.0
2019-05-30,5.02,5.095,5.02,5.06,4.9764,12623,0.0,1.0
2019-05-29,4.88,5.12,4.88,5.0595,4.9759,109807,0.0,1.0
2019-05-28,4.9001,4.97,4.85,4.8999,4.8189,19895,0.0,1.0
2019-05-24,4.9126,4.92,4.9,4.9,4.819,10215,0.0,1.0
2019-05-23,4.8,4.885,4.78,4.8599,4.7796,30431,0.0,1.0
2019-05-22,4.8,4.8269,4.8,4.8,4.7207,5133,0.0,1.0
2019-05-21,4.81,4.8503,4.76,4.76,4.6813,10648,0.0,1.0
2019-05-20,4.79,4.87,4.76,4.83,4.7502,24845,0.0,1.0
2019-05-17,4.84,4.84,4.71,4.76,4.6813,27067,0.0,1.0
2019-05-16,4.75,4.88,4.75,4.8484,4.7683,28172,0.0,1.0
2019-05-15,4.55,4.74,4.55,4.73,4.6518,48135,0.0,1.0
2019-05-14,5.25,5.45,4.01,4.51,4.4355,753202,0.0,1.0
2019-05-13,5.37,5.37,5.1501,5.23,5.1436,61627,0.0,1.0
2019-05-10,5.18,5.3899,5.1758,5.3899,5.3008,71349,0.0,1.0
2019-05-09,5.283,5.283,5.19,5.2,5.114,9663,0.0,1.0
2019-05-08,5.23,5.39,5.05,5.2605,5.1735,117208,0.0,1.0
2019-05-07,5.228,5.2505,5.18,5.2,5.114,12351,0.0,1.0
2019-05-06,5.15,5.2599,5.15,5.23,5.1436,32268,0.0,1.0
2019-05-03,5.22,5.2513,5.16,5.2,5.114,21631,0.0,1.0
2019-05-02,5.17,5.24,5.17,5.2,5.114,6444,0.0,1.0
2019-05-01,5.2196,5.22,5.156,5.2,5.114,15490,0.0,1.0
2019-04-30,5.1809,5.2087,5.1809,5.2,5.114,16668,0.0,1.0
2019-04-29,5.14,5.245,5.11,5.2,5.114,50820,0.0,1.0
2019-04-26,5.0928,5.16,5.05,5.13,5.0452,13439,0.0,1.0
2019-04-25,5.1,5.15,5.0801,5.1,5.0157,8757,0.0,1.0
2019-04-24,5.0949,5.16,5.07,5.07,4.9862,16193,0.0,1.0
2019-04-23,4.97,5.05,4.95,5.05,4.9665,103357,0.0,1.0
2019-04-22,4.92,4.995,4.92,4.97,4.8879,23078,0.0,1.0
2019-04-18,4.79,4.94,4.79,4.9202,4.8389,19797,0.0,1.0
2019-04-17,4.96,4.9615,4.79,4.79,4.7108,83683,0.0,1.0
2019-04-16,5.04,5.04,4.98,4.98,4.8977,11938,0.0,1.0
2019-04-15,4.93,5.02,4.91,5.0,4.9174,25150,0.0,1.0
2019-04-12,4.95,4.9594,4.9,4.9,4.819,4381,0.0,1.0
2019-04-11,4.83,4.93,4.8201,4.915,4.8338,52936,0.0,1.0
2019-04-10,5.06,5.06,4.75,4.79,4.7108,933276,0.0,1.0
2019-04-09,5.12,5.12,5.01,5.0256,4.9425,38607,0.0,1.0
2019-04-08,5.2,5.2,5.1,5.12,5.0354,112753,0.0,1.0
2019-04-05,5.22,5.22,5.15,5.15,5.0649,14691,0.0,1.0
2019-04-04,5.23,5.23,5.16,5.2,5.114,8330,0.0,1.0
2019-04-03,5.17,5.2999,5.17,5.22,5.1337,10148,0.0,1.0
2019-04-02,5.18,5.18,5.1106,5.17,5.0845,8621,0.0,1.0
2019-04-01,5.17,5.25,5.15,5.15,5.0649,29555,0.0,1.0
2019-03-29,5.16,5.19,5.16,5.16,5.0747,4702,0.0,1.0
2019-03-28,5.2,5.2,5.15,5.1531,5.0679,3914,0.0,1.0
2019-03-27,5.18,5.22,5.168,5.175,5.0895,5793,0.0,1.0
2019-03-26,5.29,5.3,5.1655,5.22,5.1337,12676,0.0,1.0
2019-03-25,5.17,5.2995,5.14,5.16,5.0747,25902,0.0,1.0
2019-03-22,5.18,5.18,5.05,5.1595,5.0742,27272,0.0,1.0
2019-03-21,5.15,5.1892,5.1102,5.14,5.055,27106,0.0,1.0
2019-03-20,5.14,5.2,5.14,5.165,5.0796,9582,0.0,1.0
2019-03-19,5.2399,5.2399,5.12,5.19,5.1042,41703,0.0,1.0
2019-03-18,5.24,5.24,5.2116,5.2266,5.1402,7955,0.0,1.0
2019-03-15,5.2306,5.2405,5.2,5.2,5.114,11662,0.0,1.0
2019-03-14,5.3,5.3,5.2,5.2,5.114,22852,0.08,1.0
2019-03-13,5.4531,5.4799,5.271,5.3,5.1334,25378,0.0,1.0
2019-03-12,5.5,5.5,5.2,5.24,5.0753,17484,0.0,1.0
2019-03-11,5.5,5.5764,5.315,5.45,5.2787,32122,0.0,1.0
2019-03-08,5.285,5.3069,5.285,5.3069,5.1401,2262,0.0,1.0
2019-03-07,5.27,5.3394,5.24,5.27,5.1044,12615,0.0,1.0
2019-03-06,5.4,5.4,5.2,5.23,5.0656,77032,0.0,1.0
2019-03-05,5.43,5.5899,5.3301,5.401,5.2312,4797,0.0,1.0
2019-03-04,5.47,5.588,5.38,5.38,5.2109,31555,0.0,1.0
2019-03-01,5.4356,5.5024,5.4101,5.4101,5.2401,5039,0.0,1.0
2019-02-28,5.451,5.72,5.43,5.45,5.2787,56131,0.0,1.0
2019-02-27,5.5001,5.565,5.42,5.45,5.2787,22369,0.0,1.0
2019-02-26,5.5666,5.72,5.46,5.46,5.2884,9372,0.0,1.0
2019-02-25,5.63,5.7516,5.5,5.51,5.3368,15202,0.0,1.0
2019-02-22,5.5601,5.63,5.55,5.55,5.3756,17340,0.0,1.0
2019-02-21,5.5606,5.67,5.5606,5.66,5.4821,19653,0.0,1.0
2019-02-20,5.6,5.7266,5.52,5.52,5.3465,26774,0.0,1.0
2019-02-19,5.6,5.73,5.5227,5.5227,5.3491,18096,0.0,1.0
2019-02-15,5.6619,5.6619,5.6356,5.64,5.4627,5985,0.0,1.0
2019-02-14,5.7,5.79,5.7,5.7,5.5208,13197,0.0,1.0
2019-02-13,5.6116,5.7,5.5979,5.63,5.453,7258,0.0,1.0
2019-02-12,5.62,5.7003,5.57,5.59,5.4143,12716,0.0,1.0
2019-02-11,5.6719,5.8,5.62,5.62,5.4434,6822,0.0,1.0
2019-02-08,5.66,5.67,5.5476,5.56,5.3852,5479,0.0,1.0
2019-02-07,5.88,5.88,5.5,5.5,5.3271,125272,0.0,1.0
2019-02-06,5.793,5.85,5.75,5.85,5.6661,9662,0.0,1.0
2019-02-05,5.8629,5.9,5.7357,5.75,5.5693,12643,0.0,1.0
2019-02-04,5.89,5.89,5.7386,5.89,5.7049,5164,0.0,1.0
2019-02-01,5.89,5.89,5.89,5.89,5.7049,1588,0.0,1.0
2019-01-31,5.805,5.8999,5.7774,5.845,5.6613,4910,0.0,1.0
