timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,0.4251,0.465,0.4251,0.4501,0.4501,302158,0.0,1.0
2019-07-24,0.4299,0.44,0.4101,0.44,0.44,108076,0.0,1.0
2019-07-23,0.41,0.4299,0.4022,0.4299,0.4299,285795,0.0,1.0
2019-07-22,0.44,0.4447,0.4126,0.4146,0.4146,450604,0.0,1.0
2019-07-19,0.4571,0.4572,0.43,0.435,0.435,740723,0.0,1.0
2019-07-18,0.4595,0.46,0.4312,0.4525,0.4525,993753,0.0,1.0
2019-07-17,0.4599,0.4599,0.4232,0.4232,0.4232,208374,0.0,1.0
2019-07-16,0.4399,0.4599,0.425,0.432,0.432,207477,0.0,1.0
2019-07-15,0.45,0.4825,0.43,0.44,0.44,247687,0.0,1.0
2019-07-12,0.4006,0.4699,0.4002,0.45,0.45,463796,0.0,1.0
2019-07-11,0.42,0.425,0.392,0.4011,0.4011,438947,0.0,1.0
2019-07-10,0.4271,0.438,0.4182,0.4185,0.4185,130708,0.0,1.0
2019-07-09,0.4136,0.4499,0.4136,0.4162,0.4162,409768,0.0,1.0
2019-07-08,0.46,0.46,0.445,0.445,0.445,178635,0.0,1.0
2019-07-05,0.466,0.47,0.4516,0.46,0.46,170220,0.0,1.0
2019-07-03,0.463,0.4699,0.455,0.4659,0.4659,176295,0.0,1.0
2019-07-02,0.4551,0.49,0.455,0.4625,0.4625,130696,0.0,1.0
2019-07-01,0.4994,0.4994,0.455,0.4627,0.4627,266898,0.0,1.0
2019-06-28,0.465,0.48,0.44,0.465,0.465,358984,0.0,1.0
2019-06-27,0.46,0.4799,0.455,0.465,0.465,145178,0.0,1.0
2019-06-26,0.4799,0.4799,0.46,0.46,0.46,215216,0.0,1.0
2019-06-25,0.4877,0.5095,0.4701,0.4702,0.4702,110259,0.0,1.0
2019-06-24,0.49,0.49,0.47,0.4879,0.4879,219889,0.0,1.0
2019-06-21,0.5,0.5095,0.49,0.5,0.5,328123,0.0,1.0
2019-06-20,0.51,0.52,0.4584,0.4998,0.4998,494496,0.0,1.0
2019-06-19,0.525,0.545,0.5055,0.515,0.515,1018192,0.0,1.0
2019-06-18,0.5,0.53,0.475,0.52,0.52,952265,0.0,1.0
2019-06-17,0.445,0.4799,0.437,0.4799,0.4799,464249,0.0,1.0
2019-06-14,0.45,0.45,0.43,0.44,0.44,167589,0.0,1.0
2019-06-13,0.449,0.45,0.4301,0.4401,0.4401,362236,0.0,1.0
2019-06-12,0.47,0.47,0.4301,0.445,0.445,412384,0.0,1.0
2019-06-11,0.4,0.4392,0.395,0.43,0.43,511912,0.0,1.0
2019-06-10,0.3999,0.4,0.3895,0.396,0.396,397869,0.0,1.0
2019-06-07,0.39,0.4,0.385,0.3931,0.3931,924360,0.0,1.0
2019-06-06,0.4,0.4,0.388,0.389,0.389,499729,0.0,1.0
2019-06-05,0.3896,0.4,0.383,0.393,0.393,684963,0.0,1.0
2019-06-04,0.3922,0.4,0.3882,0.3942,0.3942,223810,0.0,1.0
2019-06-03,0.391,0.4,0.385,0.3999,0.3999,251094,0.0,1.0
2019-05-31,0.398,0.405,0.391,0.391,0.391,398339,0.0,1.0
2019-05-30,0.39,0.4,0.3825,0.4,0.4,523477,0.0,1.0
2019-05-29,0.395,0.408,0.38,0.382,0.382,1217145,0.0,1.0
2019-05-28,0.4251,0.44,0.394,0.395,0.395,534208,0.0,1.0
2019-05-24,0.415,0.4179,0.4,0.4075,0.4075,411666,0.0,1.0
2019-05-23,0.4399,0.445,0.4,0.405,0.405,303013,0.0,1.0
2019-05-22,0.45,0.45,0.42,0.4379,0.4379,434406,0.0,1.0
2019-05-21,0.4699,0.488,0.435,0.4402,0.4402,669027,0.0,1.0
2019-05-20,0.44,0.4744,0.44,0.4627,0.4627,425189,0.0,1.0
2019-05-17,0.4199,0.4655,0.4199,0.439,0.439,411978,0.0,1.0
2019-05-16,0.394,0.4275,0.3751,0.4101,0.4101,824240,0.0,1.0
2019-05-15,0.4225,0.43,0.37,0.3898,0.3898,1861319,0.0,1.0
2019-05-14,0.424,0.465,0.415,0.425,0.425,463835,0.0,1.0
2019-05-13,0.4699,0.475,0.43,0.459,0.459,497608,0.0,1.0
2019-05-10,0.49,0.49,0.46,0.4699,0.4699,747679,0.0,1.0
2019-05-09,0.427,0.49,0.42,0.4892,0.4892,855881,0.0,1.0
2019-05-08,0.4,0.427,0.395,0.4249,0.4249,748286,0.0,1.0
2019-05-07,0.42,0.425,0.401,0.401,0.401,540762,0.0,1.0
2019-05-06,0.42,0.435,0.401,0.41,0.41,487317,0.0,1.0
2019-05-03,0.405,0.4198,0.3905,0.401,0.401,444530,0.0,1.0
2019-05-02,0.4152,0.42,0.39,0.405,0.405,531589,0.0,1.0
2019-05-01,0.42,0.429,0.4104,0.42,0.42,484370,0.0,1.0
2019-04-30,0.435,0.44,0.42,0.424,0.424,395060,0.0,1.0
2019-04-29,0.43,0.435,0.42,0.435,0.435,351588,0.0,1.0
2019-04-26,0.4479,0.4479,0.421,0.431,0.431,371122,0.0,1.0
2019-04-25,0.4598,0.4598,0.4188,0.4359,0.4359,774804,0.0,1.0
2019-04-24,0.45,0.453,0.44,0.453,0.453,205590,0.0,1.0
2019-04-23,0.449,0.4501,0.44,0.4495,0.4495,90092,0.0,1.0
2019-04-22,0.46,0.46,0.4425,0.443,0.443,295614,0.0,1.0
2019-04-18,0.4455,0.468,0.4455,0.459,0.459,306525,0.0,1.0
2019-04-17,0.45,0.4515,0.441,0.45,0.45,347865,0.0,1.0
2019-04-16,0.4495,0.455,0.44,0.448,0.448,353308,0.0,1.0
2019-04-15,0.456,0.46,0.431,0.4395,0.4395,451157,0.0,1.0
2019-04-12,0.45,0.46,0.43,0.45,0.45,417642,0.0,1.0
2019-04-11,0.48,0.48,0.45,0.4511,0.4511,655600,0.0,1.0
2019-04-10,0.499,0.499,0.464,0.47,0.47,578018,0.0,1.0
2019-04-09,0.499,0.505,0.48,0.495,0.495,649142,0.0,1.0
2019-04-08,0.515,0.515,0.4975,0.5,0.5,767118,0.0,1.0
2019-04-05,0.51,0.515,0.4988,0.505,0.505,230443,0.0,1.0
2019-04-04,0.4999,0.51,0.4965,0.4975,0.4975,283201,0.0,1.0
2019-04-03,0.53,0.535,0.5,0.5,0.5,997302,0.0,1.0
2019-04-02,0.51,0.55,0.475,0.52,0.52,1355904,0.0,1.0
2019-04-01,0.485,0.5,0.475,0.4825,0.4825,644422,0.0,1.0
2019-03-29,0.4975,0.5,0.475,0.4799,0.4799,488479,0.0,1.0
2019-03-28,0.5,0.5,0.47,0.48,0.48,482134,0.0,1.0
2019-03-27,0.4975,0.5049,0.487,0.4999,0.4999,296947,0.0,1.0
2019-03-26,0.505,0.509,0.495,0.496,0.496,350434,0.0,1.0
2019-03-25,0.51,0.51,0.5,0.5,0.5,147090,0.0,1.0
2019-03-22,0.5075,0.513,0.5,0.504,0.504,289114,0.0,1.0
2019-03-21,0.505,0.515,0.5,0.51,0.51,650775,0.0,1.0
2019-03-20,0.505,0.505,0.4902,0.5025,0.5025,270260,0.0,1.0
2019-03-19,0.5,0.515,0.4994,0.5025,0.5025,286698,0.0,1.0
2019-03-18,0.5025,0.52,0.49,0.51,0.51,510147,0.0,1.0
2019-03-15,0.525,0.53,0.481,0.5,0.5,839413,0.0,1.0
2019-03-14,0.498,0.525,0.4979,0.52,0.52,3098160,0.0,1.0
2019-03-13,0.483,0.5,0.48,0.4979,0.4979,331350,0.0,1.0
2019-03-12,0.495,0.51,0.4801,0.4999,0.4999,302623,0.0,1.0
2019-03-11,0.5148,0.52,0.4801,0.4944,0.4944,417244,0.0,1.0
2019-03-08,0.52,0.52,0.5,0.5,0.5,467765,0.0,1.0
2019-03-07,0.52,0.52,0.51,0.5105,0.5105,361725,0.0,1.0
2019-03-06,0.5198,0.52,0.5076,0.52,0.52,374180,0.0,1.0
2019-03-05,0.53,0.53,0.505,0.5198,0.5198,437272,0.0,1.0
2019-03-04,0.5299,0.5299,0.5,0.525,0.525,291890,0.0,1.0
2019-03-01,0.53,0.5378,0.5011,0.515,0.515,497948,0.0,1.0
2019-02-28,0.5225,0.535,0.5,0.5001,0.5001,680467,0.0,1.0
2019-02-27,0.51,0.5225,0.5,0.5225,0.5225,462103,0.0,1.0
2019-02-26,0.53,0.53,0.4947,0.5,0.5,877088,0.0,1.0
2019-02-25,0.54,0.55,0.53,0.535,0.535,915209,0.0,1.0
2019-02-22,0.515,0.54,0.515,0.53,0.53,605091,0.0,1.0
2019-02-21,0.51,0.52,0.502,0.5175,0.5175,493715,0.0,1.0
2019-02-20,0.545,0.55,0.5,0.51,0.51,1087594,0.0,1.0
2019-02-19,0.53,0.53,0.5,0.5003,0.5003,706451,0.0,1.0
2019-02-15,0.5398,0.5398,0.51,0.514,0.514,143990,0.0,1.0
2019-02-14,0.52,0.52,0.4951,0.51,0.51,331186,0.0,1.0
2019-02-13,0.54,0.54,0.495,0.51,0.51,570147,0.0,1.0
2019-02-12,0.545,0.56,0.52,0.54,0.54,330176,0.0,1.0
2019-02-11,0.565,0.57,0.0552,0.54,0.54,587158,0.0,1.0
2019-02-08,0.5869,0.5886,0.5501,0.5599,0.5599,514219,0.0,1.0
