timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,49.25,50.33,49.18,50.31,50.31,361384,0.0,1.0
2019-07-23,48.8,49.64,48.72,49.58,49.58,301746,0.0,1.0
2019-07-22,48.42,48.75,48.195,48.58,48.58,217721,0.0,1.0
2019-07-19,48.65,49.19,48.32,48.34,48.34,328964,0.0,1.0
2019-07-18,48.96,48.97,48.3,48.43,48.43,291893,0.0,1.0
2019-07-17,49.27,49.61,48.82,48.82,48.82,444054,0.0,1.0
2019-07-16,48.42,49.66,48.42,49.33,49.33,476214,0.0,1.0
2019-07-15,48.69,48.86,48.21,48.52,48.52,336339,0.0,1.0
2019-07-12,47.75,48.69,47.38,48.56,48.56,541105,0.0,1.0
2019-07-11,48.08,48.08,47.4661,47.78,47.78,476062,0.0,1.0
2019-07-10,49.19,49.65,47.9,48.06,48.06,395481,0.0,1.0
2019-07-09,49.14,49.28,48.83,48.94,48.94,286913,0.0,1.0
2019-07-08,49.66,49.84,49.2,49.41,49.41,234071,0.0,1.0
2019-07-05,50.09,50.09,49.28,49.87,49.87,206106,0.0,1.0
2019-07-03,50.32,50.49,50.02,50.46,50.46,155321,0.0,1.0
2019-07-02,50.72,50.72,49.88,50.21,50.21,374032,0.0,1.0
2019-07-01,51.52,51.52,50.26,50.75,50.75,351734,0.0,1.0
2019-06-28,50.71,51.25,50.6,50.86,50.86,691021,0.0,1.0
2019-06-27,50.12,50.61,49.84,50.58,50.58,299235,0.0,1.0
2019-06-26,49.62,50.13,49.49,49.92,49.92,210721,0.0,1.0
2019-06-25,49.53,49.845,49.22,49.57,49.57,329247,0.0,1.0
2019-06-24,49.52,49.8,49.24,49.38,49.38,220702,0.0,1.0
2019-06-21,50.31,50.37,49.35,49.52,49.52,737471,0.0,1.0
2019-06-20,50.01,50.45,49.66,50.38,50.38,323356,0.0,1.0
2019-06-19,49.13,49.61,48.82,49.49,49.49,352170,0.0,1.0
2019-06-18,48.3,49.32,48.3,49.03,49.03,365910,0.0,1.0
2019-06-17,48.74,48.75,47.82,47.89,47.89,273786,0.0,1.0
2019-06-14,49.65,49.65,48.6,48.82,48.82,327739,0.0,1.0
2019-06-13,49.56,49.95,49.09,49.74,49.74,335319,0.0,1.0
2019-06-12,49.29,49.56,48.925,49.31,49.31,501274,0.21,1.0
2019-06-11,50.05,50.43,49.46,49.55,49.3399,475942,0.0,1.0
2019-06-10,49.23,49.84,49.18,49.41,49.2005,403335,0.0,1.0
2019-06-07,48.92,49.49,48.8,49.14,48.9316,429326,0.0,1.0
2019-06-06,48.66,48.88,47.64,48.52,48.3142,588906,0.0,1.0
2019-06-05,48.77,48.92,46.75,48.89,48.6827,584821,0.0,1.0
2019-06-04,47.64,49.18,46.0,48.72,48.5134,1105488,0.0,1.0
2019-06-03,47.52,49.1,47.17,48.54,48.3342,573797,0.0,1.0
2019-05-31,47.17,47.67,46.88,47.45,47.2488,537386,0.0,1.0
2019-05-30,47.53,48.01,47.18,47.62,47.4181,329890,0.0,1.0
2019-05-29,47.44,47.73,47.22,47.52,47.3185,299548,0.0,1.0
2019-05-28,48.37,48.59,47.6,47.66,47.4579,340750,0.0,1.0
2019-05-24,48.0,48.3707,48.0,48.19,47.9856,330050,0.0,1.0
2019-05-23,48.77,48.77,47.52,47.9,47.6969,337757,0.0,1.0
2019-05-22,49.52,49.88,49.38,49.4,49.1905,313277,0.0,1.0
2019-05-21,49.7,50.145,49.35,49.84,49.6286,379535,0.0,1.0
2019-05-20,49.16,49.83,49.155,49.24,49.0312,293225,0.0,1.0
2019-05-17,50.12,50.41,49.57,49.59,49.3797,356810,0.0,1.0
2019-05-16,50.73,51.02,50.43,50.66,50.4452,229882,0.0,1.0
2019-05-15,49.98,50.55,49.76,50.36,50.1464,299288,0.0,1.0
