timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,142.6,143.71,141.78,143.21,143.21,1317585,0.0,1.0
2019-07-24,142.44,142.88,141.05,142.69,142.69,2946316,0.0,1.0
2019-07-23,141.86,142.86,141.51,142.51,142.51,3298358,0.0,1.0
2019-07-22,142.0,142.32,141.03,141.62,141.62,2391170,0.0,1.0
2019-07-19,143.5,143.7,141.43,141.61,141.61,3822195,0.0,1.0
2019-07-18,141.45,144.0,140.87,143.0,143.0,4990084,0.0,1.0
2019-07-17,140.39,141.32,139.43,139.65,139.65,2755316,0.0,1.0
2019-07-16,141.45,141.73,139.7,139.83,139.83,2178579,0.0,1.0
2019-07-15,140.38,141.36,139.53,141.11,141.11,2434173,0.0,1.0
2019-07-12,142.4,142.64,139.509,140.03,140.03,4283819,0.0,1.0
2019-07-11,143.19,143.23,141.96,142.71,142.71,2320107,0.0,1.0
2019-07-10,142.73,143.62,142.56,142.6,142.6,2352335,0.0,1.0
2019-07-09,143.08,143.31,142.1,142.29,142.29,2502017,0.0,1.0
2019-07-08,143.97,144.0,142.65,143.62,143.62,1954994,0.0,1.0
2019-07-05,144.57,145.5,143.11,144.45,144.45,1124728,0.0,1.0
2019-07-03,144.54,145.34,144.19,145.31,145.31,1453374,0.0,1.0
2019-07-02,144.41,144.51,143.0,144.14,144.14,1770896,0.0,1.0
2019-07-01,144.04,144.88,143.36,144.0,144.0,1519425,0.0,1.0
2019-06-28,141.98,143.11,140.73,142.92,142.92,3777817,0.0,1.0
2019-06-27,141.76,142.1,140.61,141.98,141.98,1616070,0.17,1.0
2019-06-26,142.01,142.49,139.83,140.91,140.7415,2317379,0.0,1.0
2019-06-25,142.43,143.59,141.81,142.2,142.0299,2333817,0.0,1.0
2019-06-24,143.63,144.085,142.12,142.15,141.98,2170594,0.0,1.0
2019-06-21,143.3,144.08,142.57,143.73,143.5581,3016134,0.0,1.0
2019-06-20,143.93,144.57,142.63,143.65,143.4782,2053704,0.0,1.0
2019-06-19,140.75,143.18,140.75,142.54,142.3695,1923144,0.0,1.0
2019-06-18,140.46,141.5378,139.62,141.01,140.8414,1830116,0.0,1.0
2019-06-17,139.99,140.23,138.65,139.35,139.1833,2199785,0.0,1.0
2019-06-14,139.42,140.25,139.09,139.63,139.463,2297201,0.0,1.0
2019-06-13,139.1,139.46,138.365,139.42,139.2533,1527493,0.0,1.0
2019-06-12,137.98,138.99,137.86,138.77,138.604,1825437,0.0,1.0
2019-06-11,138.72,139.475,136.2,137.91,137.7451,1747240,0.0,1.0
2019-06-10,138.19,138.99,137.02,137.97,137.805,1755638,0.0,1.0
2019-06-07,135.78,137.85,135.23,137.52,137.3555,2381496,0.0,1.0
2019-06-06,134.26,135.8,133.87,134.92,134.7586,2141960,0.0,1.0
2019-06-05,133.69,134.82,132.725,134.2,134.0395,3029726,0.0,1.0
2019-06-04,133.71,133.71,131.85,132.45,132.2916,3339969,0.0,1.0
2019-06-03,132.2,133.82,131.21,131.92,131.7622,2306716,0.0,1.0
2019-05-31,131.6,132.83,130.75,132.01,131.8521,1991874,0.0,1.0
2019-05-30,130.26,132.58,130.12,132.44,132.2816,1991463,0.0,1.0
2019-05-29,129.94,130.58,129.16,130.28,130.1242,1803413,0.0,1.0
2019-05-28,132.64,134.11,129.89,130.13,129.9744,3548163,0.0,1.0
2019-05-24,132.64,133.24,131.8,132.04,131.8821,1789555,0.0,1.0
2019-05-23,130.75,131.72,130.22,131.63,131.4726,1664561,0.0,1.0
2019-05-22,130.37,132.13,130.09,131.74,131.5824,1923765,0.0,1.0
2019-05-21,131.3,132.1,130.2,130.21,130.0543,2871397,0.0,1.0
2019-05-20,130.18,130.94,129.39,130.32,130.1641,2548417,0.0,1.0
2019-05-17,130.86,132.89,130.86,131.1,130.9432,2729460,0.0,1.0
