timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,1.47,1.52,1.45,1.49,1.49,34611,0.0,1.0
2019-07-24,1.47,1.54,1.4601,1.4901,1.4901,78014,0.0,1.0
2019-07-23,1.44,1.47,1.43,1.4534,1.4534,64208,0.0,1.0
2019-07-22,1.48,1.5,1.44,1.45,1.45,87392,0.0,1.0
2019-07-19,1.51,1.51,1.47,1.4807,1.4807,61323,0.0,1.0
2019-07-18,1.5,1.51,1.47,1.51,1.51,79051,0.0,1.0
2019-07-17,1.51,1.56,1.49,1.51,1.51,42329,0.0,1.0
2019-07-16,1.5119,1.56,1.4801,1.5,1.5,109061,0.0,1.0
2019-07-15,1.58,1.58,1.45,1.5046,1.5046,131229,0.0,1.0
2019-07-12,1.52,1.59,1.4601,1.58,1.58,255982,0.0,1.0
2019-07-11,1.5,1.53,1.35,1.52,1.52,464491,0.0,1.0
2019-07-10,1.33,1.6298,1.31,1.5,1.5,742971,0.0,1.0
2019-07-09,1.3,1.33,1.3,1.3,1.3,54674,0.0,1.0
2019-07-08,1.3,1.33,1.29,1.3,1.3,48262,0.0,1.0
2019-07-05,1.28,1.35,1.28,1.292,1.292,56216,0.0,1.0
2019-07-03,1.28,1.33,1.28,1.2921,1.2921,39378,0.0,1.0
2019-07-02,1.31,1.33,1.27,1.29,1.29,47508,0.0,1.0
2019-07-01,1.32,1.35,1.27,1.3,1.3,52446,0.0,1.0
2019-06-28,1.31,1.33,1.3,1.3,1.3,68873,0.0,1.0
2019-06-27,1.29,1.35,1.29,1.314,1.314,26801,0.0,1.0
2019-06-26,1.3,1.34,1.29,1.3,1.3,87862,0.0,1.0
2019-06-25,1.31,1.33,1.28,1.31,1.31,56464,0.0,1.0
2019-06-24,1.34,1.34,1.3,1.32,1.32,40046,0.0,1.0
2019-06-21,1.3,1.33,1.28,1.31,1.31,72118,0.0,1.0
2019-06-20,1.34,1.34,1.2739,1.32,1.32,98244,0.0,1.0
2019-06-19,1.35,1.35,1.23,1.31,1.31,339928,0.0,1.0
2019-06-18,1.32,1.47,1.31,1.43,1.43,580681,0.0,1.0
2019-06-17,1.34,1.34,1.2901,1.32,1.32,64847,0.0,1.0
2019-06-14,1.32,1.35,1.3,1.3,1.3,91704,0.0,1.0
2019-06-13,1.37,1.4,1.3,1.33,1.33,99393,0.0,1.0
2019-06-12,1.38,1.4,1.275,1.38,1.38,247679,0.0,1.0
2019-06-11,1.35,1.54,1.25,1.42,1.42,1637355,0.0,1.0
2019-06-10,1.16,1.39,1.16,1.29,1.29,647266,0.0,1.0
2019-06-07,1.15,1.16,1.15,1.15,1.15,96516,0.0,1.0
2019-06-06,1.13,1.17,1.13,1.15,1.15,68309,0.0,1.0
2019-06-05,1.15,1.17,1.13,1.16,1.16,128137,0.0,1.0
2019-06-04,1.13,1.16,1.13,1.15,1.15,103894,0.0,1.0
2019-06-03,1.12,1.17,1.12,1.13,1.13,141995,0.0,1.0
