timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,106.25,107.98,104.675,107.93,107.93,2473127,0.0,1.0
2019-07-24,105.94,108.87,105.73,107.14,107.14,1622322,0.0,1.0
2019-07-23,105.0,109.9,104.5,107.32,107.32,3958749,0.0,1.0
2019-07-22,97.56,98.4,96.88,98.29,98.29,1262634,0.0,1.0
2019-07-19,97.84,98.87,96.99,97.0,97.0,1010505,0.0,1.0
2019-07-18,95.8,97.41,94.885,96.74,96.74,728038,0.0,1.0
2019-07-17,96.85,96.93,95.77,95.87,95.87,627971,0.0,1.0
2019-07-16,94.96,98.085,94.5992,96.41,96.41,977014,0.0,1.0
2019-07-15,94.73,97.8,94.48,94.88,94.88,1069576,0.0,1.0
2019-07-12,92.7,94.6,91.98,92.82,92.82,1253200,0.0,1.0
2019-07-11,90.98,92.16,89.88,92.03,92.03,740596,0.0,1.0
2019-07-10,93.3,93.745,90.27,90.53,90.53,938382,0.0,1.0
2019-07-09,90.85,93.33,90.42,93.3,93.3,1303118,0.0,1.0
2019-07-08,95.43,95.48,90.795,90.99,90.99,1770765,0.0,1.0
2019-07-05,97.08,97.31,95.62,95.88,95.88,842799,0.0,1.0
2019-07-03,97.86,97.97,96.2,97.08,97.08,472503,0.0,1.0
2019-07-02,98.27,98.96,96.73,97.92,97.92,1610677,0.0,1.0
2019-07-01,99.56,101.46,97.55,98.42,98.42,1663765,0.0,1.0
2019-06-28,95.74,96.77,95.04,96.58,96.58,964809,0.0,1.0
2019-06-27,96.25,97.83,94.53,95.75,95.75,1179857,0.0,1.0
2019-06-26,92.27,96.16,91.92,95.62,95.62,1747210,0.0,1.0
2019-06-25,92.62,93.6,90.82,91.35,91.35,1142419,0.0,1.0
2019-06-24,94.99,95.29,92.4,93.67,93.67,987814,0.0,1.0
2019-06-21,93.24,94.85,92.09,94.6,94.6,973368,0.0,1.0
2019-06-20,94.69,95.95,93.34,93.48,93.48,1533982,0.0,1.0
2019-06-19,92.57,93.69,91.52,93.41,93.41,1083288,0.0,1.0
2019-06-18,90.33,92.68,89.35,91.59,91.59,860646,0.0,1.0
2019-06-17,90.69,90.7299,87.06,89.17,89.17,573209,0.0,1.0
2019-06-14,89.87,90.82,89.145,90.76,90.76,646375,0.0,1.0
2019-06-13,90.14,90.525,89.43,90.19,90.19,668201,0.0,1.0
2019-06-12,90.26,90.7,88.665,89.6,89.6,723414,0.0,1.0
2019-06-11,91.3,92.85,90.155,91.35,91.35,844926,0.0,1.0
2019-06-10,90.3,91.64,89.3,89.44,89.44,948843,0.0,1.0
2019-06-07,88.8,90.31,88.26,89.29,89.29,888316,0.0,1.0
2019-06-06,88.12,88.5,87.005,88.0,88.0,1006139,0.0,1.0
2019-06-05,91.55,91.57,86.92,88.5,88.5,1243535,0.0,1.0
2019-06-04,88.09,91.11,87.51,90.89,90.89,1811658,0.0,1.0
2019-06-03,85.65,88.53,85.12,87.98,87.98,1790886,0.0,1.0
2019-05-31,83.82,86.32,83.37,85.65,85.65,1147530,0.0,1.0
2019-05-30,83.59,85.24,83.56,84.11,84.11,962216,0.0,1.0
2019-05-29,82.26,83.98,81.9,83.19,83.19,943266,0.0,1.0
