timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,66.96,67.19,66.285,66.93,66.93,2204841,0.0,1.0
2019-07-24,66.27,67.375,66.09,67.26,67.26,1924367,0.0,1.0
2019-07-23,65.8,66.87,65.5,66.85,66.85,2112878,0.0,1.0
2019-07-22,65.41,65.75,64.99,65.4,65.4,2216041,0.0,1.0
2019-07-19,64.85,65.61,64.59,65.29,65.29,2929193,0.0,1.0
2019-07-18,64.47,64.64,63.97,64.23,64.23,3174599,0.0,1.0
2019-07-17,66.07,66.18,64.58,64.67,64.67,2174874,0.0,1.0
2019-07-16,65.61,66.83,65.43,66.24,66.24,1892828,0.0,1.0
2019-07-15,65.87,65.965,65.2893,65.69,65.69,1617872,0.0,1.0
2019-07-12,64.6,66.02,64.5,65.69,65.69,2595285,0.0,1.0
2019-07-11,63.8,64.27,63.45,64.16,64.16,2077960,0.0,1.0
2019-07-10,64.71,64.85,63.51,63.7,63.7,2723388,0.0,1.0
2019-07-09,64.33,64.67,63.79,64.25,64.25,2254845,0.0,1.0
2019-07-08,65.09,65.66,64.66,64.85,64.85,2143359,0.0,1.0
2019-07-05,65.47,65.79,64.2,65.4,65.4,2277188,0.0,1.0
2019-07-03,66.46,66.56,65.58,66.19,66.19,1596742,0.0,1.0
2019-07-02,66.46,66.59,65.69,66.3,66.3,3214474,0.0,1.0
2019-07-01,67.9,68.07,66.435,66.71,66.71,2900787,0.0,1.0
2019-06-28,66.23,67.05,66.06,66.72,66.72,7114971,0.0,1.0
2019-06-27,66.11,66.45,65.7,66.1,66.1,3291064,0.0,1.0
2019-06-26,65.53,66.11,65.35,65.85,65.85,2602591,0.0,1.0
2019-06-25,65.49,65.58,65.15,65.29,65.29,2093805,0.0,1.0
2019-06-24,65.64,65.89,65.33,65.41,65.41,2717207,0.0,1.0
2019-06-21,65.5,66.11,65.2,65.63,65.63,4356395,0.0,1.0
2019-06-20,64.67,65.63,63.99,65.51,65.51,3797455,0.0,1.0
2019-06-19,64.14,64.3,63.34,63.48,63.48,2695179,0.0,1.0
2019-06-18,63.16,64.46,62.96,63.96,63.96,3877731,0.0,1.0
2019-06-17,62.83,63.05,62.52,62.68,62.68,2968686,0.0,1.0
2019-06-14,63.04,63.11,62.02,62.77,62.77,2822252,0.0,1.0
2019-06-13,63.17,63.36,62.75,63.2,63.2,2762720,0.0,1.0
2019-06-12,63.19,63.43,62.34,62.74,62.74,3710899,0.0,1.0
2019-06-11,65.34,65.64,63.43,63.46,63.46,3892467,0.0,1.0
2019-06-10,64.16,65.2,64.02,64.63,64.63,2995158,0.0,1.0
2019-06-07,62.98,64.16,62.83,63.68,63.68,3463344,0.0,1.0
2019-06-06,63.29,63.44,62.01,62.65,62.65,3169764,0.0,1.0
2019-06-05,63.07,63.53,62.3448,63.29,63.29,5091581,0.0,1.0
2019-06-04,61.4,62.56,61.02,62.46,62.46,3262618,0.0,1.0
2019-06-03,60.27,61.24,60.105,60.58,60.58,3198032,0.0,1.0
2019-05-31,60.43,61.05,60.13,60.24,60.24,3937992,0.0,1.0
2019-05-30,61.29,61.805,60.98,61.2,61.2,2125461,0.0,1.0
2019-05-29,60.62,61.29,60.375,60.99,60.99,4191652,0.0,1.0
2019-05-28,62.76,63.0,61.18,61.2,61.2,3907990,0.0,1.0
2019-05-24,63.36,63.49,62.38,62.53,62.53,2630665,0.0,1.0
2019-05-23,63.85,63.85,62.0,62.68,62.68,2950346,0.0,1.0
2019-05-22,65.06,65.19,64.6,64.67,64.67,2579482,0.0,1.0
2019-05-21,64.33,65.6195,64.31,65.33,65.33,3715564,0.0,1.0
2019-05-20,64.43,64.5299,63.58,63.9,63.9,3454789,0.0,1.0
2019-05-17,64.89,65.54,64.68,64.82,64.82,2689138,0.0,1.0
2019-05-16,65.54,65.85,65.16,65.66,65.66,2373893,0.49,1.0
2019-05-15,64.52,65.95,64.28,65.55,65.0644,2037158,0.0,1.0
2019-05-14,65.25,65.86,64.88,65.15,64.6674,2151101,0.0,1.0
2019-05-13,65.55,65.58,64.14,64.64,64.1612,2737267,0.0,1.0
2019-05-10,66.25,67.15,65.06,66.93,66.4342,2799686,0.0,1.0
2019-05-09,65.61,66.88,65.27,66.8,66.3052,2902258,0.0,1.0
2019-05-08,67.33,67.49,66.2,66.29,65.799,4312052,0.0,1.0
2019-05-07,67.5,68.41,66.33,67.53,67.0298,5980715,0.0,1.0
2019-05-06,69.74,70.41,69.15,70.15,69.6304,3327003,0.0,1.0
2019-05-03,70.5,71.19,70.5,71.1,70.5733,2516296,0.0,1.0
2019-05-02,70.24,70.6,69.53,70.1,69.5807,3067072,0.0,1.0
2019-05-01,71.1,71.32,70.25,70.28,69.7594,2251739,0.0,1.0
2019-04-30,70.9,71.05,69.64,70.99,70.4641,4805175,0.0,1.0
2019-04-29,71.72,71.79,70.44,71.07,70.5436,3209941,0.0,1.0
2019-04-26,71.46,71.73,71.14,71.72,71.1887,2175123,0.0,1.0
2019-04-25,72.22,72.22,70.8,71.28,70.752,2809606,0.0,1.0
2019-04-24,72.92,73.15,72.4,72.53,71.9927,2740686,0.0,1.0
2019-04-23,72.67,73.24,72.34,73.16,72.6181,2145294,0.0,1.0
2019-04-22,72.11,72.965,71.8,72.73,72.1913,2458166,0.0,1.0
2019-04-18,72.59,72.95,72.305,72.51,71.9729,3219574,0.0,1.0
2019-04-17,72.79,73.04,72.265,72.31,71.7744,2530576,0.0,1.0
2019-04-16,72.05,72.29,71.86,72.18,71.6453,1676598,0.0,1.0
2019-04-15,72.07,72.11,71.49,71.8,71.2681,1395912,0.0,1.0
2019-04-12,72.11,72.4,71.7,72.1,71.5659,1784851,0.0,1.0
2019-04-11,71.27,71.59,71.06,71.46,70.9307,1489899,0.0,1.0
2019-04-10,71.03,71.47,70.61,71.13,70.6031,1750165,0.0,1.0
2019-04-09,71.57,71.58,70.74,70.81,70.2855,2300721,0.0,1.0
2019-04-08,71.51,71.73,70.79,71.71,71.1788,2351931,0.0,1.0
2019-04-05,71.41,71.46,70.74,71.14,70.613,1981035,0.0,1.0
2019-04-04,70.88,71.16,70.3,71.12,70.5932,2190013,0.0,1.0
2019-04-03,70.4,70.99,69.99,70.77,70.2458,2916069,0.0,1.0
2019-04-02,70.17,70.3,69.5,69.93,69.412,2726159,0.0,1.0
2019-04-01,69.59,70.23,69.16,70.13,69.6105,2822430,0.0,1.0
2019-03-29,68.23,68.52,67.926,68.47,67.9628,3034901,0.0,1.0
2019-03-28,67.21,67.84,67.0,67.56,67.0596,1782316,0.0,1.0
2019-03-27,67.34,67.47,66.77,67.15,66.6526,1723814,0.0,1.0
2019-03-26,67.11,67.63,66.84,67.28,66.7816,2068078,0.0,1.0
2019-03-25,66.8,67.175,66.17,66.48,65.9876,3626101,0.0,1.0
2019-03-22,68.76,68.935,66.8,66.86,66.3647,3482281,0.0,1.0
2019-03-21,68.01,69.415,67.8116,69.26,68.747,3603829,0.0,1.0
2019-03-20,68.35,68.9,67.68,68.28,67.7742,3903752,0.0,1.0
2019-03-19,69.2,69.34,68.1401,68.42,67.9132,2446811,0.0,1.0
2019-03-18,67.44,68.91,67.44,68.79,68.2804,4139302,0.0,1.0
2019-03-15,67.54,67.61,66.92,67.33,66.8313,11044474,0.0,1.0
2019-03-14,67.82,68.01,67.38,67.48,66.9801,3077245,0.0,1.0
2019-03-13,67.69,68.32,67.56,67.92,67.4169,3967911,0.0,1.0
2019-03-12,67.58,67.98,67.235,67.32,66.8213,3048469,0.0,1.0
2019-03-11,66.39,67.47,66.38,67.44,66.9404,3830691,0.0,1.0
2019-03-08,66.44,66.82,65.91,66.6,66.1067,3876267,0.0,1.0
2019-03-07,67.6,67.6,66.41,67.3,66.8015,3593841,0.0,1.0
2019-03-06,67.89,68.0,67.6,67.7,67.1985,2942992,0.0,1.0
2019-03-05,67.97,68.18,67.71,67.73,67.2283,2415164,0.0,1.0
2019-03-04,68.79,69.04,67.53,68.06,67.5559,2941126,0.0,1.0
2019-03-01,68.64,68.91,68.025,68.4,67.8933,2778043,0.0,1.0
2019-02-28,68.39,68.49,67.96,68.15,67.6452,2626495,0.0,1.0
2019-02-27,68.2,68.6647,67.95,68.54,68.0323,1439174,0.0,1.0
2019-02-26,68.36,68.83,68.29,68.34,67.8338,2099816,0.0,1.0
2019-02-25,69.0,69.29,68.57,68.75,68.2407,2785782,0.0,1.0
2019-02-22,68.11,68.57,67.94,68.55,68.0422,2354995,0.0,1.0
2019-02-21,68.18,68.36,67.57,67.74,67.2382,2549891,0.0,1.0
2019-02-20,68.02,68.71,67.88,68.58,68.072,3851361,0.0,1.0
2019-02-19,67.99,68.205,67.44,67.89,67.3871,2479324,0.0,1.0
2019-02-15,67.13,68.38,66.88,68.31,67.804,3901281,0.0,1.0
2019-02-14,67.56,67.62,66.46,66.48,65.9876,4359859,0.49,1.0
2019-02-13,68.44,68.58,68.01,68.41,67.4064,3173719,0.0,1.0
2019-02-12,67.55,68.32,67.22,68.07,67.0714,2708454,0.0,1.0
2019-02-11,66.87,67.1,66.49,66.92,65.9383,2706222,0.0,1.0
2019-02-08,66.02,66.81,65.7462,66.74,65.7609,4531898,0.0,1.0
2019-02-07,66.5,66.82,65.9,66.34,65.3668,4039864,0.0,1.0
2019-02-06,67.07,67.23,66.25,67.01,66.027,5068320,0.0,1.0
2019-02-05,66.11,67.28,65.1985,66.9,65.9186,7144522,0.0,1.0
2019-02-04,66.75,67.78,66.28,67.65,66.6576,6672875,0.0,1.0
2019-02-01,65.96,66.68,65.55,66.65,65.6722,3806849,0.0,1.0
2019-01-31,65.75,65.91,65.075,65.47,64.5096,6009358,0.0,1.0
2019-01-30,64.27,65.895,64.08,65.69,64.7263,5843123,0.0,1.0
2019-01-29,63.04,63.57,62.69,63.43,62.4995,3200324,0.0,1.0
2019-01-28,63.16,63.22,62.02,62.41,61.4945,4324417,0.0,1.0
2019-01-25,63.94,64.23,63.66,63.94,63.002,2060636,0.0,1.0
2019-01-24,62.4,63.12,62.27,63.04,62.1152,2974398,0.0,1.0
2019-01-23,63.21,63.55,61.94,62.4,61.4846,2989301,0.0,1.0
2019-01-22,63.15,63.26,62.08,63.01,62.0856,5795210,0.0,1.0
2019-01-18,62.44,64.11,62.44,63.68,62.7458,4507754,0.0,1.0
2019-01-17,60.98,62.36,60.85,62.0,61.0905,5191155,0.0,1.0
2019-01-16,61.5,61.61,61.19,61.38,60.4796,2644346,0.0,1.0
2019-01-15,61.87,61.98,61.08,61.52,60.6175,2649575,0.0,1.0
2019-01-14,61.47,62.02,61.18,61.69,60.785,2693609,0.0,1.0
2019-01-11,61.89,62.16,61.41,62.02,61.1102,2250726,0.0,1.0
2019-01-10,60.79,62.48,60.79,62.11,61.1989,2836780,0.0,1.0
2019-01-09,61.24,61.875,61.13,61.4,60.4993,3662634,0.0,1.0
2019-01-08,60.78,61.31,60.02,60.67,59.78,3952871,0.0,1.0
2019-01-07,60.0,60.82,59.48,60.17,59.2873,6251119,0.0,1.0
2019-01-04,59.2,59.9,58.75,59.72,58.8439,5663528,0.0,1.0
2019-01-03,59.34,60.15,58.23,58.46,57.6024,5843145,0.0,1.0
2019-01-02,58.8,59.82,58.54,59.75,58.8735,3341907,0.0,1.0
2018-12-31,59.37,59.875,59.09,59.75,58.8735,4149435,0.0,1.0
2018-12-28,59.5,60.03,58.92,59.13,58.2626,4261681,0.0,1.0
2018-12-27,57.51,59.33,57.25,59.33,58.4596,5717038,0.0,1.0
2018-12-26,55.9,58.52,55.385,58.47,57.6122,5450856,0.0,1.0
2018-12-24,56.33,56.8451,55.445,55.49,54.676,3719786,0.0,1.0
2018-12-21,56.7,57.97,56.6,56.87,56.0357,10205368,0.0,1.0
2018-12-20,57.22,57.63,56.18,56.7,55.8682,7058258,0.0,1.0
2018-12-19,58.49,59.94,57.11,57.68,56.8338,5091739,0.0,1.0
2018-12-18,59.2,59.97,58.13,58.49,57.632,6674372,0.0,1.0
2018-12-17,60.1,60.21,58.27,58.72,57.8586,7234684,0.0,1.0
2018-12-14,60.13,60.93,59.96,60.44,59.5534,6152242,0.0,1.0
2018-12-13,61.46,61.665,60.5,60.73,59.8391,6478236,0.0,1.0
2018-12-12,60.67,62.14,60.571,61.08,60.184,7496961,0.0,1.0
2018-12-11,63.71,64.0,61.71,62.28,61.3664,3220452,0.0,1.0
2018-12-10,62.48,63.04,61.135,62.55,61.6324,4060995,0.0,1.0
