timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,49.7,49.77,48.96,49.11,49.11,1760687,0.0,1.0
2019-07-24,48.43,49.835,48.01,49.72,49.72,3467557,0.0,1.0
2019-07-23,47.99,48.73,47.67,48.63,48.63,3604087,0.0,1.0
2019-07-22,47.28,47.87,46.47,47.6,47.6,3133260,0.0,1.0
2019-07-19,47.0,48.43,47.0,47.35,47.35,5804312,0.0,1.0
2019-07-18,45.65,46.91,45.65,46.51,46.51,4541876,0.0,1.0
2019-07-17,46.15,46.36,45.54,45.72,45.72,2452463,0.0,1.0
2019-07-16,45.9,46.935,45.61,46.4,46.4,3298882,0.0,1.0
2019-07-15,45.92,45.92,45.18,45.64,45.64,2744731,0.0,1.0
2019-07-12,45.39,45.92,45.22,45.75,45.75,2402631,0.0,1.0
2019-07-11,44.56,45.35,44.52,45.26,45.26,2436693,0.0,1.0
2019-07-10,45.29,45.34,44.295,44.55,44.55,2984048,0.0,1.0
2019-07-09,44.83,45.395,44.57,45.3,45.3,3099324,0.0,1.0
2019-07-08,45.72,45.98,44.85,45.11,45.11,2240002,0.0,1.0
2019-07-05,45.75,46.83,45.65,46.15,46.15,1267689,0.0,1.0
2019-07-03,45.59,45.79,45.35,45.53,45.53,823502,0.0,1.0
2019-07-02,45.41,45.94,45.1,45.56,45.56,1501926,0.0,1.0
2019-07-01,45.43,46.05,45.36,45.65,45.65,2922895,0.0,1.0
2019-06-28,45.18,45.74,44.365,44.6,44.6,4823219,0.0,1.0
2019-06-27,44.39,45.33,44.38,44.99,44.99,2498083,0.0,1.0
2019-06-26,44.52,44.875,43.955,44.26,44.26,2661935,0.0,1.0
2019-06-25,44.49,44.88,43.4926,44.47,44.47,2165707,0.0,1.0
2019-06-24,45.88,46.0,44.505,44.56,44.56,1903396,0.0,1.0
2019-06-21,45.38,46.47,45.22,46.23,46.23,3250855,0.0,1.0
2019-06-20,46.03,46.03,44.545,45.45,45.45,2077711,0.0,1.0
2019-06-19,46.4,46.46,45.01,45.06,45.06,2718033,0.0,1.0
2019-06-18,45.22,46.405,45.05,46.05,46.05,2777947,0.0,1.0
2019-06-17,45.42,46.01,45.02,45.17,45.17,1885823,0.0,1.0
2019-06-14,45.85,45.89,44.735,45.31,45.31,1926019,0.0,1.0
2019-06-13,45.62,46.11,45.51,45.9,45.9,1415567,0.0,1.0
2019-06-12,46.62,46.63,45.43,45.49,45.49,1712474,0.0,1.0
2019-06-11,47.12,47.48,46.51,46.64,46.64,1570023,0.0,1.0
2019-06-10,46.53,47.46,46.511,46.64,46.64,1728581,0.0,1.0
2019-06-07,46.46,46.55,45.89,46.06,46.06,2441224,0.0,1.0
2019-06-06,46.57,46.73,46.05,46.51,46.51,2116251,0.0,1.0
2019-06-05,46.78,47.1,46.35,46.76,46.76,2062324,0.0,1.0
2019-06-04,45.51,46.79,45.51,46.69,46.69,2584746,0.0,1.0
2019-06-03,44.75,45.67,44.61,44.79,44.79,2900998,0.0,1.0
2019-05-31,45.24,45.3,44.67,44.8,44.8,2010424,0.0,1.0
2019-05-30,46.16,46.79,45.65,45.95,45.95,1809351,0.0,1.0
2019-05-29,45.34,46.23,44.98,46.04,46.04,4501084,0.0,1.0
2019-05-28,46.72,46.76,45.66,45.68,45.68,2632743,0.0,1.0
2019-05-24,46.7,47.03,46.55,46.85,46.85,1356561,0.0,1.0
2019-05-23,47.17,47.5,46.15,46.44,46.44,3150625,0.0,1.0
2019-05-22,48.3,48.31,47.595,47.66,47.66,1871860,0.0,1.0
2019-05-21,48.53,48.87,48.3,48.51,48.51,2545851,0.0,1.0
2019-05-20,47.48,48.4625,47.31,48.18,48.18,1759542,0.0,1.0
2019-05-17,47.9,48.56,47.68,47.96,47.96,1591837,0.0,1.0
2019-05-16,47.97,48.87,47.8852,48.4,48.4,2093095,0.0,1.0
2019-05-15,48.0,48.14,47.37,47.68,47.68,2611796,0.0,1.0
2019-05-14,47.58,48.91,47.55,48.5,48.5,3191742,0.0,1.0
2019-05-13,48.55,48.65,47.41,47.51,47.51,3335011,0.0,1.0
2019-05-10,49.61,49.96,48.87,49.65,49.65,2043235,0.14,1.0
2019-05-09,49.21,50.22,48.63,50.08,49.9392,2799326,0.0,1.0
2019-05-08,49.78,50.49,49.475,49.78,49.64,2536448,0.0,1.0
2019-05-07,49.92,50.45,49.45,49.83,49.6899,2062309,0.0,1.0
2019-05-06,49.6,50.675,49.22,50.45,50.3081,1779841,0.0,1.0
2019-05-03,50.57,51.02,50.48,50.6,50.4577,1082230,0.0,1.0
2019-05-02,50.03,51.07,50.01,50.46,50.3181,1425357,0.0,1.0
2019-05-01,50.7,51.0,49.75,50.1,49.9591,2277944,0.0,1.0
2019-04-30,51.37,51.81,50.43,50.66,50.5176,2058317,0.0,1.0
2019-04-29,50.28,51.36,50.21,51.27,51.1258,1699480,0.0,1.0
2019-04-26,50.24,50.47,49.09,50.26,50.1187,2666400,0.0,1.0
2019-04-25,49.76,50.73,49.53,50.19,50.0489,1863293,0.0,1.0
2019-04-24,50.25,50.325,49.17,49.96,49.8195,2979683,0.0,1.0
2019-04-23,50.37,50.99,49.84,50.46,50.3181,2013044,0.0,1.0
2019-04-22,50.87,51.36,50.34,50.41,50.2683,2030508,0.0,1.0
2019-04-18,51.51,52.35,50.55,51.14,50.9962,5335105,0.0,1.0
2019-04-17,50.0,50.13,49.07,49.97,49.8295,3442624,0.0,1.0
2019-04-16,48.93,49.85,48.93,49.82,49.6799,2499053,0.0,1.0
2019-04-15,49.69,49.81,48.755,48.97,48.8323,1809011,0.0,1.0
2019-04-12,49.03,49.67,48.86,49.29,49.1514,2009821,0.0,1.0
2019-04-11,48.34,48.85,48.12,48.28,48.1442,1677017,0.0,1.0
2019-04-10,48.04,48.13,47.53,48.04,47.9049,1705540,0.0,1.0
2019-04-09,48.36,48.67,47.69,47.99,47.8551,1895530,0.0,1.0
2019-04-08,48.51,48.77,48.29,48.67,48.5331,1156671,0.0,1.0
2019-04-05,48.44,48.85,48.01,48.77,48.6329,1903832,0.0,1.0
2019-04-04,47.99,48.7,47.99,48.43,48.2938,1128755,0.0,1.0
2019-04-03,48.56,48.91,47.77,48.03,47.8949,1692628,0.0,1.0
2019-04-02,47.91,48.17,47.59,48.06,47.9249,1832072,0.0,1.0
2019-04-01,46.97,48.3,46.885,47.97,47.8351,2104125,0.0,1.0
2019-03-29,46.38,46.66,46.15,46.43,46.2994,2227252,0.0,1.0
2019-03-28,45.28,45.96,45.08,45.94,45.8108,2414740,0.0,1.0
2019-03-27,45.71,46.0,45.02,45.2,45.0729,1811664,0.0,1.0
2019-03-26,45.41,45.94,45.25,45.64,45.5117,1989483,0.0,1.0
2019-03-25,45.05,45.64,44.71,45.09,44.9632,2459979,0.0,1.0
2019-03-22,46.11,46.29,44.45,45.02,44.8934,4064044,0.0,1.0
2019-03-21,47.23,47.5093,46.33,46.6,46.469,2921128,0.0,1.0
2019-03-20,49.06,49.27,47.39,47.46,47.3266,2636807,0.0,1.0
2019-03-19,49.96,49.99,49.04,49.18,49.0417,2019133,0.0,1.0
2019-03-18,49.31,49.85,49.24,49.59,49.4506,1223207,0.0,1.0
2019-03-15,48.88,49.44,48.78,49.02,48.8822,3351262,0.0,1.0
2019-03-14,48.51,48.93,48.2293,48.9,48.7625,2097554,0.0,1.0
