timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,104.29,104.8,103.47,104.02,104.02,1369809,0.0,1.0
2019-07-24,105.39,105.57,103.89,104.66,104.66,1141897,0.0,1.0
2019-07-23,105.42,105.55,104.67,104.86,104.86,1148845,0.0,1.0
2019-07-22,106.06,106.06,104.985,105.4,105.4,1343471,0.0,1.0
2019-07-19,106.62,107.345,105.59,105.6,105.6,1583371,0.0,1.0
2019-07-18,105.61,106.78,104.96,106.75,106.75,1059888,0.0,1.0
2019-07-17,105.3,105.92,105.05,105.54,105.54,962960,0.0,1.0
2019-07-16,104.7,104.99,103.96,104.88,104.88,1250833,0.0,1.0
2019-07-15,104.13,104.84,103.4,104.84,104.84,1612134,0.0,1.0
2019-07-12,104.71,104.71,103.4,103.87,103.87,1107709,0.0,1.0
2019-07-11,104.33,105.25,103.55,104.45,104.45,1316952,0.0,1.0
2019-07-10,104.66,105.55,104.17,104.67,104.67,1193446,0.0,1.0
2019-07-09,104.27,104.49,103.35,104.24,104.24,2149487,0.0,1.0
2019-07-08,104.46,104.89,103.68,104.37,104.37,1470401,0.0,1.0
2019-07-05,103.49,104.43,102.61,104.34,104.34,1159425,0.0,1.0
2019-07-03,103.79,105.14,103.79,104.54,104.54,1454500,0.0,1.0
2019-07-02,102.47,104.09,102.345,103.69,103.69,1863600,0.0,1.0
2019-07-01,102.81,102.93,101.13,102.0,102.0,2366006,0.0,1.0
2019-06-28,101.51,103.07,101.49,102.93,102.93,3015668,0.0,1.0
2019-06-27,101.4,102.07,100.87,101.66,101.66,1153681,0.0,1.0
2019-06-26,103.22,103.31,101.09,101.21,101.21,2325465,0.0,1.0
2019-06-25,103.47,103.85,102.99,103.24,103.24,1818538,0.0,1.0
2019-06-24,104.32,104.48,103.44,103.69,103.69,1264223,0.0,1.0
2019-06-21,103.5,104.41,102.62,104.26,104.26,2815297,0.0,1.0
2019-06-20,103.0,103.79,102.525,103.44,103.44,1763815,0.0,1.0
2019-06-19,100.81,102.85,100.81,102.48,102.48,1353386,0.0,1.0
