timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,0.41,0.42,0.4005,0.4198,0.4198,50263,0.0,1.0
2019-07-25,0.4,0.405,0.3871,0.392,0.392,82979,0.0,1.0
2019-07-24,0.39,0.4338,0.386,0.41,0.41,114953,0.0,1.0
2019-07-23,0.42,0.42,0.3926,0.4,0.4,73868,0.0,1.0
2019-07-22,0.42,0.43,0.3658,0.41,0.41,645035,0.0,1.0
2019-07-19,0.425,0.44,0.42,0.4332,0.4332,71003,0.0,1.0
2019-07-18,0.45,0.45,0.4,0.43,0.43,203519,0.0,1.0
2019-07-17,0.56,0.56,0.39,0.46,0.46,983608,0.0,1.0
2019-07-16,0.42,0.4399,0.42,0.4256,0.4256,98577,0.0,1.0
2019-07-15,0.4204,0.429,0.42,0.425,0.425,193523,0.0,1.0
2019-07-12,0.4242,0.4445,0.4201,0.4299,0.4299,181533,0.0,1.0
2019-07-11,0.42,0.4449,0.42,0.42,0.42,86054,0.0,1.0
2019-07-10,0.43,0.4599,0.42,0.4218,0.4218,542272,0.0,1.0
2019-07-09,0.43,0.43,0.4101,0.4237,0.4237,89153,0.0,1.0
2019-07-08,0.41,0.43,0.4,0.42,0.42,368730,0.0,1.0
2019-07-05,0.411,0.428,0.4046,0.428,0.428,64123,0.0,1.0
2019-07-03,0.41,0.4299,0.4021,0.4125,0.4125,31966,0.0,1.0
2019-07-02,0.4005,0.43,0.4001,0.41,0.41,205326,0.0,1.0
2019-07-01,0.4342,0.4342,0.4007,0.41,0.41,83830,0.0,1.0
2019-06-28,0.3901,0.4329,0.3901,0.4329,0.4329,217276,0.0,1.0
2019-06-27,0.3944,0.4199,0.389,0.3902,0.3902,102222,0.0,1.0
2019-06-26,0.4163,0.4164,0.3844,0.395,0.395,133150,0.0,1.0
2019-06-25,0.39,0.4221,0.39,0.4098,0.4098,341537,0.0,1.0
2019-06-24,0.4226,0.43,0.3844,0.3909,0.3909,428684,0.0,1.0
2019-06-21,0.432,0.44,0.42,0.42,0.42,268432,0.0,1.0
2019-06-20,0.44,0.447,0.4329,0.4399,0.4399,171480,0.0,1.0
2019-06-19,0.4485,0.45,0.44,0.443,0.443,221514,0.0,1.0
2019-06-18,0.449,0.4498,0.435,0.448,0.448,181021,0.0,1.0
2019-06-17,0.4433,0.45,0.43,0.4459,0.4459,149221,0.0,1.0
2019-06-14,0.449,0.4499,0.427,0.4397,0.4397,128047,0.0,1.0
2019-06-13,0.4391,0.4449,0.4303,0.439,0.439,56961,0.0,1.0
2019-06-12,0.449,0.449,0.4236,0.4349,0.4349,176278,0.0,1.0
2019-06-11,0.4424,0.4494,0.43,0.436,0.436,71679,0.0,1.0
2019-06-10,0.45,0.45,0.4235,0.436,0.436,229625,0.0,1.0
2019-06-07,0.4321,0.45,0.4267,0.4301,0.4301,126778,0.0,1.0
2019-06-06,0.4326,0.45,0.41,0.427,0.427,693803,0.0,1.0
2019-06-05,0.445,0.46,0.4242,0.4291,0.4291,325833,0.0,1.0
2019-06-04,0.46,0.46,0.4402,0.459,0.459,181584,0.0,1.0
2019-06-03,0.4541,0.49,0.44,0.4544,0.4544,476277,0.0,1.0
2019-05-31,0.46,0.48,0.44,0.45,0.45,345349,0.0,1.0
2019-05-30,0.45,0.4889,0.45,0.455,0.455,727628,0.0,1.0
2019-05-29,0.42,0.46,0.42,0.43,0.43,1555878,0.0,1.0
2019-05-28,0.47,0.49,0.45,0.45,0.45,1046823,0.0,1.0
2019-05-24,0.4398,0.47,0.4242,0.453,0.453,473208,0.0,1.0
2019-05-23,0.4433,0.4779,0.431,0.435,0.435,773201,0.0,1.0
2019-05-22,0.43,0.4448,0.425,0.439,0.439,158826,0.0,1.0
2019-05-21,0.447,0.447,0.42,0.4259,0.4259,207132,0.0,1.0
2019-05-20,0.4325,0.447,0.4223,0.435,0.435,254384,0.0,1.0
2019-05-17,0.4518,0.4518,0.4286,0.4358,0.4358,203033,0.0,1.0
2019-05-16,0.45,0.458,0.4242,0.445,0.445,502289,0.0,1.0
2019-05-15,0.4326,0.45,0.4294,0.4417,0.4417,244681,0.0,1.0
2019-05-14,0.42,0.47,0.42,0.4301,0.4301,1486066,0.0,1.0
2019-05-13,0.455,0.47,0.41,0.4268,0.4268,699933,0.0,1.0
2019-05-10,0.46,0.479,0.4502,0.4515,0.4515,315641,0.0,1.0
2019-05-09,0.5,0.5,0.4625,0.4799,0.4799,646026,0.0,1.0
2019-05-08,0.505,0.505,0.4602,0.48,0.48,814858,0.0,1.0
2019-05-07,0.52,0.53,0.5,0.505,0.505,1024694,0.0,1.0
2019-05-06,0.6,0.62,0.48,0.52,0.52,5976524,0.0,1.0
2019-05-03,0.544,0.6989,0.4663,0.609,0.609,19103534,0.0,1.0
2019-05-02,0.3722,0.3878,0.364,0.366,0.366,1221274,0.0,1.0
2019-05-01,0.3819,0.385,0.362,0.38,0.38,143290,0.0,1.0
