timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,175.6,176.76,174.625,175.87,175.87,1985678,0.0,1.0
2019-07-24,174.79,178.5,174.42,176.01,176.01,2679115,0.0,1.0
2019-07-23,171.0,173.95,171.0,173.77,173.77,2866649,0.0,1.0
2019-07-22,168.54,171.13,168.24,169.55,169.55,2130947,0.0,1.0
2019-07-19,166.17,168.87,166.145,167.13,167.13,2067593,0.0,1.0
2019-07-18,164.64,166.5,163.7611,165.38,165.38,1681925,0.0,1.0
2019-07-17,169.57,169.78,164.74,165.05,165.05,3074906,0.0,1.0
2019-07-16,168.82,172.96,168.82,169.79,169.79,2744309,0.0,1.0
2019-07-15,167.51,168.85,166.27,167.9,167.9,2021976,0.0,1.0
2019-07-12,164.63,168.44,164.31,167.47,167.47,3310762,0.0,1.0
2019-07-11,160.11,163.36,159.76,162.6,162.6,2499014,0.0,1.0
2019-07-10,162.17,162.82,159.7559,159.99,159.99,2077597,0.0,1.0
2019-07-09,159.41,159.94,158.69,159.19,159.19,1218151,0.0,1.0
2019-07-08,160.26,161.72,159.045,160.82,160.82,1586347,0.0,1.0
2019-07-05,161.08,162.42,159.52,161.97,161.97,1125345,0.0,1.0
2019-07-03,160.39,161.53,159.34,161.42,161.42,1180574,0.0,1.0
2019-07-02,163.07,163.23,159.51,159.79,159.79,1860779,0.0,1.0
2019-07-01,168.02,168.02,161.56,162.97,162.97,2349532,0.0,1.0
2019-06-28,164.23,166.39,164.0,164.19,164.19,5312095,0.0,1.0
2019-06-27,160.4,164.35,160.04,163.31,163.31,3460854,0.0,1.0
2019-06-26,156.45,161.26,153.51,159.92,159.92,6247649,0.0,1.0
2019-06-25,159.97,160.0,155.98,155.98,155.98,4793134,0.0,1.0
2019-06-24,164.0,164.98,160.58,160.9,160.9,3563673,0.0,1.0
2019-06-21,167.73,168.06,165.13,165.35,165.35,2527508,0.65,1.0
2019-06-20,168.39,169.54,166.79,168.5,167.8402,2087355,0.0,1.0
2019-06-19,166.68,167.45,165.67,166.56,165.9078,1608599,0.0,1.0
2019-06-18,165.01,169.1196,164.71,166.34,165.6887,2184255,0.0,1.0
2019-06-17,164.47,165.0,163.06,163.72,163.0789,1313377,0.0,1.0
2019-06-14,165.2,165.4847,162.26,164.55,163.9057,1590262,0.0,1.0
2019-06-13,163.0,165.88,162.87,165.67,165.0213,2239573,0.0,1.0
2019-06-12,158.73,162.01,158.08,161.37,160.7381,1412600,0.0,1.0
2019-06-11,163.46,163.9,158.85,159.44,158.8157,1857079,0.0,1.0
2019-06-10,159.78,164.0024,159.7,161.84,161.2063,2054705,0.0,1.0
2019-06-07,157.23,159.44,156.25,158.02,157.4012,2129926,0.0,1.0
2019-06-06,158.3,158.6,155.6,156.85,156.2358,1585277,0.0,1.0
2019-06-05,161.0,161.5,157.77,158.59,157.969,2241037,0.0,1.0
2019-06-04,154.02,159.89,153.71,159.59,158.9651,2854479,0.0,1.0
2019-06-03,151.16,155.41,150.68,152.34,151.7435,3918621,0.0,1.0
2019-05-31,154.9,156.75,153.7863,154.28,153.6759,1912368,0.0,1.0
2019-05-30,159.78,161.705,157.0,158.01,157.3913,1670399,0.0,1.0
2019-05-29,157.69,160.73,156.22,159.57,158.9452,2045895,0.0,1.0
2019-05-28,158.98,160.2,156.81,158.45,157.8296,2528540,0.0,1.0
2019-05-24,161.75,162.011,158.68,159.93,159.3038,1348623,0.0,1.0
2019-05-23,160.1,161.05,158.17,160.59,159.9612,2498423,0.0,1.0
2019-05-22,166.76,166.9,161.93,162.0,161.3657,3021819,0.0,1.0
