timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,1.8088,1.84,1.8,1.84,1.84,7392,0.0,1.0
2019-07-24,1.84,1.84,1.835,1.84,1.84,20090,0.0,1.0
2019-07-23,1.84,1.84,1.84,1.84,1.84,1,0.0,1.0
2019-07-22,1.809,1.84,1.809,1.84,1.84,2700,0.0,1.0
2019-07-19,1.86,1.86,1.84,1.85,1.85,6767,0.0,1.0
2019-07-18,1.79,1.88,1.79,1.88,1.88,2244,0.0,1.0
2019-07-17,1.82,1.84,1.82,1.825,1.825,10836,0.0,1.0
2019-07-16,1.79,1.8,1.77,1.8,1.8,4585,0.0,1.0
2019-07-15,1.84,1.84,1.7854,1.83,1.83,361,0.0,1.0
2019-07-12,1.78,1.86,1.78,1.85,1.85,1793,0.0,1.0
2019-07-11,1.82,1.86,1.8,1.83,1.83,7604,0.0,1.0
2019-07-10,1.82,1.88,1.76,1.88,1.88,21265,0.0,1.0
2019-07-09,1.799,1.82,1.7945,1.82,1.82,7451,0.0,1.0
2019-07-08,1.7872,1.8,1.7807,1.8,1.8,15020,0.0,1.0
2019-07-05,1.87,1.87,1.8,1.84,1.84,34058,0.0,1.0
2019-07-03,1.82,1.82,1.82,1.82,1.82,19,0.0,1.0
2019-07-02,1.86,1.86,1.76,1.82,1.82,26885,0.0,1.0
2019-07-01,1.9,1.91,1.8,1.825,1.825,28045,0.0,1.0
2019-06-28,1.83,1.86,1.8,1.8,1.8,31964,0.0,1.0
2019-06-27,1.84,1.84,1.75,1.75,1.75,71338,0.0,1.0
2019-06-26,1.89,1.91,1.83,1.84,1.84,13341,0.0,1.0
2019-06-25,1.91,1.91,1.86,1.86,1.86,9439,0.0,1.0
2019-06-24,1.84,1.91,1.83,1.91,1.91,9535,0.0,1.0
2019-06-21,1.9038,1.94,1.86,1.86,1.86,15464,0.0,1.0
2019-06-20,1.98,1.98,1.91,1.94,1.94,70740,0.0,1.0
2019-06-19,1.944,2.01,1.93,1.94,1.94,56126,0.0,1.0
2019-06-18,1.98,1.98,1.92,1.92,1.92,1394,0.0,1.0
2019-06-17,1.9,1.96,1.9,1.95,1.95,6935,0.0,1.0
2019-06-14,1.97,1.97,1.91,1.91,1.91,7051,0.0,1.0
2019-06-13,2.08,2.08,1.97,1.97,1.97,8708,0.0,1.0
2019-06-12,2.1,2.11,2.08,2.1,2.1,5356,0.0,1.0
2019-06-11,2.18,2.18,2.1,2.11,2.11,6410,0.0,1.0
2019-06-10,2.19,2.19,2.15,2.17,2.17,9269,0.0,1.0
2019-06-07,2.18,2.21,2.15,2.19,2.19,2439,0.0,1.0
2019-06-06,2.16,2.1919,2.15,2.17,2.17,29341,0.0,1.0
2019-06-05,2.24,2.24,2.12,2.17,2.17,14885,0.0,1.0
2019-06-04,2.27,2.28,2.2,2.24,2.24,22155,0.0,1.0
2019-06-03,2.35,2.35,2.28,2.29,2.29,3440,0.0,1.0
2019-05-31,2.33,2.37,2.32,2.35,2.35,66918,0.0,1.0
2019-05-30,2.31,2.39,2.31,2.37,2.37,5231,0.0,1.0
2019-05-29,2.26,2.33,2.25,2.3,2.3,79726,0.0,1.0
2019-05-28,2.19,2.27,2.16,2.25,2.25,72855,0.0,1.0
2019-05-24,2.19,2.24,2.14,2.18,2.18,43912,0.0,1.0
2019-05-23,2.17,2.25,2.1,2.19,2.19,66612,0.0,1.0
2019-05-22,2.17,2.22,2.12,2.2,2.2,49409,0.0,1.0
2019-05-21,2.08,2.18,2.08,2.18,2.18,12284,0.0,1.0
2019-05-20,2.13,2.13,2.04,2.04,2.04,3725,0.0,1.0
2019-05-17,2.14,2.14,2.08,2.14,2.14,20097,0.0,1.0
2019-05-16,2.11,2.18,2.11,2.15,2.15,44786,0.0,1.0
2019-05-15,2.17,2.1893,2.1,2.13,2.13,18684,0.0,1.0
2019-05-14,2.12,2.24,2.1,2.15,2.15,52254,0.0,1.0
2019-05-13,2.2894,2.2894,2.09,2.09,2.09,11082,0.0,1.0
2019-05-10,2.35,2.35,2.2601,2.27,2.27,10819,0.0,1.0
2019-05-09,2.3,2.35,2.24,2.35,2.35,22593,0.0,1.0
2019-05-08,2.21,2.33,2.2096,2.33,2.33,39108,0.0,1.0
2019-05-07,2.28,2.3,2.19,2.22,2.22,30099,0.0,1.0
2019-05-06,2.08,2.32,2.07,2.3,2.3,101399,0.0,1.0
2019-05-03,2.14,2.1999,2.11,2.13,2.13,4720,0.0,1.0
2019-05-02,2.21,2.21,2.115,2.14,2.14,10963,0.0,1.0
2019-05-01,2.17,2.22,2.17,2.18,2.18,14702,0.0,1.0
2019-04-30,2.17,2.19,2.1001,2.19,2.19,16590,0.0,1.0
2019-04-29,2.1,2.1864,2.1,2.1593,2.1593,12982,0.0,1.0
2019-04-26,2.06,2.07,2.06,2.06,2.06,21209,0.0,1.0
2019-04-25,2.13,2.13,2.04,2.06,2.06,40456,0.0,1.0
2019-04-24,2.25,2.25,2.13,2.13,2.13,49472,0.0,1.0
2019-04-23,2.23,2.28,2.23,2.25,2.25,37008,0.0,1.0
2019-04-22,2.13,2.28,2.13,2.23,2.23,40526,0.0,1.0
2019-04-18,2.16,2.18,2.11,2.14,2.14,10680,0.0,1.0
2019-04-17,2.12,2.29,2.1,2.16,2.16,26298,0.0,1.0
2019-04-16,2.0,2.1305,1.99,2.13,2.13,132658,0.0,1.0
2019-04-15,2.05,2.12,1.9445,1.96,1.96,42211,0.0,1.0
2019-04-12,2.07,2.12,2.05,2.09,2.09,33950,0.0,1.0
2019-04-11,2.25,2.25,1.98,2.05,2.05,121584,0.0,1.0
2019-04-10,1.91,2.43,1.91,2.4001,2.4001,246115,0.0,1.0
2019-04-09,1.93,1.94,1.9,1.905,1.905,13555,0.0,1.0
2019-04-08,1.91,1.94,1.8,1.94,1.94,25691,0.0,1.0
2019-04-05,1.9106,1.9162,1.9,1.9162,1.9162,4853,0.0,1.0
2019-04-04,1.9072,1.96,1.9,1.92,1.92,30970,0.0,1.0
2019-04-03,1.8177,1.8855,1.8,1.87,1.87,44985,0.0,1.0
2019-04-02,1.9112,1.9112,1.75,1.78,1.78,55308,0.0,1.0
2019-04-01,1.82,1.88,1.8101,1.88,1.88,1855,0.0,1.0
2019-03-29,1.74,1.8434,1.74,1.78,1.78,23364,0.0,1.0
2019-03-28,1.8215,1.8594,1.7275,1.7275,1.7275,64591,0.0,1.0
2019-03-27,1.89,1.9109,1.74,1.8,1.8,67270,0.0,1.0
2019-03-26,1.89,1.94,1.87,1.88,1.88,22416,0.0,1.0
2019-03-25,1.9,1.99,1.85,1.8715,1.8715,19799,0.0,1.0
2019-03-22,1.91,1.97,1.89,1.92,1.92,10317,0.0,1.0
2019-03-21,1.98,1.99,1.889,1.9,1.9,10575,0.0,1.0
2019-03-20,1.95,1.95,1.83,1.95,1.95,45933,0.0,1.0
2019-03-19,1.93,2.0,1.93,1.95,1.95,11845,0.0,1.0
2019-03-18,2.02,2.0227,1.93,1.93,1.93,65591,0.0,1.0
2019-03-15,2.22,2.26,2.02,2.02,2.02,60188,0.0,1.0
2019-03-14,2.29,2.29,2.1755,2.19,2.19,22942,0.0,1.0
2019-03-13,2.18,2.3,2.17,2.27,2.27,11073,0.0,1.0
2019-03-12,2.22,2.28,2.16,2.17,2.17,46465,0.0,1.0
2019-03-11,2.42,2.42,2.2,2.22,2.22,78120,0.0,1.0
2019-03-08,2.38,2.4654,2.31,2.4,2.4,77131,0.0,1.0
2019-03-07,2.51,2.68,2.2,2.41,2.41,160412,0.0,1.0
2019-03-06,2.15,2.59,2.14,2.49,2.49,420700,0.0,1.0
2019-03-05,2.0,2.2,1.91,2.14,2.14,256329,0.0,1.0
2019-03-04,1.87,1.935,1.82,1.9,1.9,205251,0.0,1.0
2019-03-01,1.92,1.96,1.8323,1.86,1.86,60743,0.0,1.0
2019-02-28,1.89,1.92,1.8,1.91,1.91,111511,0.0,1.0
2019-02-27,2.03,2.03,1.83,1.88,1.88,500510,0.0,1.0
2019-02-26,1.97,2.15,1.94,2.0,2.0,992152,0.0,1.0
2019-02-25,1.97,2.05,1.97,1.98,1.98,39180,0.0,1.0
2019-02-22,1.96,1.9803,1.92,1.95,1.95,69472,0.0,1.0
2019-02-21,1.96,1.9999,1.92,1.94,1.94,15567,0.0,1.0
2019-02-20,1.96,2.0,1.9,1.96,1.96,61255,0.0,1.0
2019-02-19,2.01,2.04,1.94,1.9634,1.9634,30570,0.0,1.0
2019-02-15,2.0,2.0,1.9838,1.99,1.99,23143,0.0,1.0
2019-02-14,2.05,2.1,1.98,2.0,2.0,67365,0.0,1.0
2019-02-13,2.15,2.15,2.05,2.05,2.05,13138,0.0,1.0
2019-02-12,2.14,2.16,2.1,2.1,2.1,2973,0.0,1.0
2019-02-11,2.19,2.19,2.1,2.1,2.1,18916,0.0,1.0
2019-02-08,2.2,2.25,2.1745,2.18,2.18,3066,0.0,1.0
2019-02-07,2.25,2.25,2.1799,2.18,2.18,4829,0.0,1.0
2019-02-06,2.2494,2.2973,2.17,2.17,2.17,6195,0.0,1.0
2019-02-05,2.25,2.25,2.2,2.2,2.2,3148,0.0,1.0
2019-02-04,2.22,2.29,2.17,2.25,2.25,9393,0.0,1.0
2019-02-01,2.28,2.28,2.22,2.22,2.22,16219,0.0,1.0
2019-01-31,2.09,2.33,2.09,2.2304,2.2304,10802,0.0,1.0
2019-01-30,2.2,2.2836,2.05,2.05,2.05,37712,0.0,1.0
2019-01-29,2.48,2.55,2.19,2.19,2.19,21198,0.0,1.0
2019-01-28,2.75,2.75,2.24,2.27,2.27,52737,0.0,1.0
2019-01-25,2.67,2.78,2.661,2.7,2.7,3068,0.0,1.0
2019-01-24,2.71,2.75,2.6105,2.75,2.75,1929,0.0,1.0
2019-01-23,2.72,2.7399,2.6601,2.67,2.67,7202,0.0,1.0
2019-01-22,2.65,2.77,2.6331,2.72,2.72,9064,0.0,1.0
2019-01-18,2.66,2.78,2.64,2.65,2.65,14811,0.0,1.0
2019-01-17,2.66,2.665,2.64,2.6532,2.6532,26347,0.0,1.0
2019-01-16,2.66,2.75,2.66,2.7,2.7,15600,0.0,1.0
2019-01-15,2.63,2.67,2.6,2.6,2.6,2039,0.0,1.0
2019-01-14,2.61,2.69,2.6,2.6256,2.6256,8918,0.0,1.0
2019-01-11,2.6872,2.69,2.59,2.61,2.61,2887,0.0,1.0
2019-01-10,2.59,2.6333,2.5553,2.62,2.62,6057,0.0,1.0
2019-01-09,2.59,2.6405,2.5863,2.59,2.59,3246,0.0,1.0
2019-01-08,2.6,2.6,2.58,2.59,2.59,6058,0.0,1.0
2019-01-07,2.61,2.7,2.5801,2.69,2.69,15231,0.0,1.0
2019-01-04,2.57,2.5774,2.55,2.5774,2.5774,4670,0.0,1.0
2019-01-03,2.54,2.59,2.5,2.5,2.5,1216,0.0,1.0
2019-01-02,2.49,2.53,2.48,2.48,2.48,25250,0.0,1.0
2018-12-31,2.45,2.51,2.4033,2.461,2.461,3347,0.0,1.0
2018-12-28,2.52,2.54,2.41,2.41,2.41,10823,0.0,1.0
2018-12-27,2.771,2.798,2.45,2.45,2.45,7324,0.0,1.0
2018-12-26,2.81,2.86,2.73,2.7672,2.7672,2300,0.0,1.0
2018-12-24,2.77,2.87,2.77,2.78,2.78,15566,0.0,1.0
2018-12-21,3.27,3.27,2.71,2.7848,2.7848,5710,0.0,1.0
2018-12-20,3.34,3.34,3.34,3.34,3.34,0,0.0,1.0
2018-12-19,3.38,3.38,3.27,3.34,3.34,2443,0.0,1.0
2018-12-18,3.4,3.4473,3.4,3.44,3.44,503,0.0,1.0
2018-12-17,3.5027,3.52,3.4,3.4,3.4,4733,0.0,1.0
2018-12-14,3.58,3.58,3.58,3.58,3.58,0,0.0,1.0
2018-12-13,3.58,3.58,3.58,3.58,3.58,2,0.0,1.0
2018-12-12,3.57,3.6,3.57,3.58,3.58,800,0.0,1.0
2018-12-11,3.7973,3.89,3.65,3.65,3.65,23633,0.0,1.0
2018-12-10,3.82,3.82,3.65,3.65,3.65,6999,0.0,1.0
2018-12-07,3.66,3.76,3.66,3.74,3.74,5401,0.0,1.0
2018-12-06,3.5,3.61,3.41,3.6,3.6,5660,0.0,1.0
2018-12-04,3.8,3.8,3.71,3.71,3.71,605,0.0,1.0
2018-12-03,4.04,4.04,3.82,3.83,3.83,6459,0.0,1.0
2018-11-30,4.02,4.02,3.93,3.93,3.93,6128,0.0,1.0
2018-11-29,4.08,4.08,3.99,4.05,4.05,13994,0.0,1.0
2018-11-28,4.1306,4.1306,4.08,4.1,4.1,12822,0.0,1.0
2018-11-27,4.1808,4.24,4.1808,4.2,4.2,3700,0.0,1.0
2018-11-26,4.13,4.25,4.13,4.2,4.2,9530,0.0,1.0
2018-11-23,4.1,4.1,4.04,4.04,4.04,291,0.0,1.0
2018-11-21,4.26,4.26,4.1,4.2,4.2,12053,0.0,1.0
2018-11-20,4.22,4.22,4.02,4.2,4.2,1906,0.0,1.0
2018-11-19,4.28,4.32,4.27,4.32,4.32,8974,0.0,1.0
2018-11-16,4.36,4.36,4.3275,4.3275,4.3275,2594,0.0,1.0
2018-11-15,4.49,4.54,4.17,4.3,4.3,17164,0.0,1.0
2018-11-14,4.52,4.52,4.52,4.52,4.52,269,0.0,1.0
2018-11-13,4.44,4.5662,4.44,4.52,4.52,9149,0.0,1.0
2018-11-12,4.41,4.43,4.375,4.41,4.41,8823,0.0,1.0
2018-11-09,4.34,4.41,4.34,4.41,4.41,801,0.0,1.0
2018-11-08,4.35,4.41,4.2973,4.4,4.4,30093,0.0,1.0
