timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,3.33,3.4,3.16,3.2,3.2,127052,0.0,1.0
2019-07-23,3.28,3.428,3.13,3.33,3.33,150285,0.0,1.0
2019-07-22,3.16,3.36,3.1,3.31,3.31,252585,0.0,1.0
2019-07-19,3.41,3.44,3.09,3.19,3.19,375329,0.0,1.0
2019-07-18,3.49,3.59,3.37,3.4,3.4,606779,0.0,1.0
2019-07-17,5.17,5.38,3.63,3.77,3.77,9501117,0.0,1.0
2019-07-16,3.83,3.9,3.27,3.39,3.39,364239,0.0,1.0
2019-07-15,4.12,4.22,3.9,3.95,3.95,262650,0.0,1.0
2019-07-12,4.43,4.43,4.015,4.11,4.11,322379,0.0,1.0
2019-07-11,4.71,4.72,4.05,4.29,4.29,352738,0.0,1.0
2019-07-10,4.63,4.75,4.43,4.67,4.67,116376,0.0,1.0
2019-07-09,4.61,4.8068,4.58,4.64,4.64,62642,0.0,1.0
2019-07-08,4.9,4.9992,4.68,4.68,4.68,77442,0.0,1.0
2019-07-05,5.08,5.08,4.7112,4.98,4.98,148753,0.0,1.0
2019-07-03,4.57,5.6,4.36,5.15,5.15,218998,0.0,1.0
2019-07-02,4.86,5.08,4.42,4.73,4.73,463565,0.0,0.0833
2019-07-01,0.4843,0.49,0.41,0.441,5.292,1352390,0.0,1.0
2019-06-28,0.4975,0.5395,0.4802,0.4947,5.9364,4096069,0.0,1.0
2019-06-27,0.469,0.53,0.43,0.477,5.724,1073255,0.0,1.0
2019-06-26,0.401,0.51,0.401,0.48,5.76,1045347,0.0,1.0
2019-06-25,0.4208,0.4498,0.4,0.4,4.8,599777,0.0,1.0
2019-06-24,0.4138,0.44,0.4,0.4208,5.0496,681470,0.0,1.0
2019-06-21,0.4,0.4171,0.3821,0.4171,5.0052,1321540,0.0,1.0
2019-06-20,0.405,0.41,0.3701,0.4025,4.83,648042,0.0,1.0
2019-06-19,0.4176,0.43,0.4,0.4041,4.8492,417785,0.0,1.0
2019-06-18,0.436,0.44,0.4,0.4041,4.8492,585545,0.0,1.0
2019-06-17,0.4515,0.492,0.413,0.4351,5.2212,338919,0.0,1.0
2019-06-14,0.4719,0.4761,0.4201,0.4441,5.3292,424848,0.0,1.0
2019-06-13,0.505,0.505,0.4535,0.4719,5.6628,474687,0.0,1.0
2019-06-12,0.508,0.51,0.48,0.505,6.06,826602,0.0,1.0
2019-06-11,0.5,0.5079,0.4695,0.4929,5.9148,363166,0.0,1.0
2019-06-10,0.4847,0.51,0.4791,0.4927,5.9124,423965,0.0,1.0
2019-06-07,0.4786,0.48,0.444,0.4727,5.6724,387058,0.0,1.0
2019-06-06,0.4965,0.4985,0.442,0.4723,5.6676,581717,0.0,1.0
2019-06-05,0.4762,0.51,0.4762,0.4897,5.8764,492297,0.0,1.0
2019-06-04,0.54,0.54,0.482,0.5174,6.2088,582513,0.0,1.0
2019-06-03,0.48,0.54,0.4626,0.5273,6.3276,775994,0.0,1.0
2019-05-31,0.49,0.4995,0.47,0.4765,5.718,568245,0.0,1.0
2019-05-30,0.49,0.509,0.4611,0.4941,5.9292,387316,0.0,1.0
2019-05-29,0.5163,0.5189,0.4757,0.49,5.88,427429,0.0,1.0
2019-05-28,0.5064,0.54,0.49,0.5211,6.2532,399604,0.0,1.0
2019-05-24,0.525,0.5499,0.5,0.5121,6.1452,477899,0.0,1.0
2019-05-23,0.5577,0.5615,0.49,0.5244,6.2928,637793,0.0,1.0
2019-05-22,0.56,0.58,0.5228,0.532,6.384,757023,0.0,1.0
2019-05-21,0.5715,0.5899,0.552,0.5649,6.7788,842696,0.0,1.0
2019-05-20,0.5416,0.5715,0.54,0.5715,6.858,653751,0.0,1.0
2019-05-17,0.54,0.59,0.529,0.549,6.588,1239428,0.0,1.0
2019-05-16,0.5459,0.569,0.5336,0.5376,6.4512,629360,0.0,1.0
2019-05-15,0.5793,0.58,0.5301,0.5481,6.5772,249927,0.0,1.0
2019-05-14,0.5868,0.597,0.5151,0.5603,6.7236,1065564,0.0,1.0
2019-05-13,0.62,0.62,0.58,0.5976,7.1712,525963,0.0,1.0
2019-05-10,0.61,0.645,0.6001,0.6234,7.4808,426143,0.0,1.0
2019-05-09,0.63,0.63,0.58,0.61,7.32,427511,0.0,1.0
2019-05-08,0.6224,0.6282,0.592,0.6144,7.3728,237953,0.0,1.0
2019-05-07,0.6536,0.6536,0.5834,0.6305,7.566,782358,0.0,1.0
2019-05-06,0.6489,0.65,0.622,0.6415,7.698,502195,0.0,1.0
2019-05-03,0.62,0.66,0.51,0.6499,7.7988,1911416,0.0,1.0
2019-05-02,0.68,0.68,0.6052,0.6408,7.6896,1106451,0.0,1.0
2019-05-01,0.6972,0.6972,0.631,0.6524,7.8288,1654712,0.0,1.0
2019-04-30,0.6918,0.72,0.68,0.6917,8.3004,856839,0.0,1.0
2019-04-29,0.677,0.706,0.6721,0.6865,8.238,400013,0.0,1.0
2019-04-26,0.6922,0.697,0.67,0.6778,8.1336,447418,0.0,1.0
2019-04-25,0.6633,0.75,0.6633,0.6957,8.3484,2153289,0.0,1.0
2019-04-24,0.704,0.705,0.6435,0.6687,8.0244,1003735,0.0,1.0
2019-04-23,0.6601,0.7285,0.64,0.704,8.448,1159864,0.0,1.0
2019-04-22,0.8205,0.825,0.66,0.6651,7.9812,2581138,0.0,1.0
2019-04-18,0.7,0.7079,0.675,0.6957,8.3484,881624,0.0,1.0
2019-04-17,0.7049,0.72,0.687,0.6997,8.3964,293635,0.0,1.0
2019-04-16,0.6673,0.75,0.6612,0.6928,8.3136,1012419,0.0,1.0
2019-04-15,0.687,0.7,0.655,0.6598,7.9176,264270,0.0,1.0
2019-04-12,0.679,0.6814,0.6599,0.6731,8.0772,273989,0.0,1.0
2019-04-11,0.678,0.689,0.655,0.67,8.04,271562,0.0,1.0
2019-04-10,0.67,0.6999,0.6546,0.6712,8.0544,904688,0.0,1.0
2019-04-09,0.6881,0.715,0.6722,0.6765,8.118,703241,0.0,1.0
2019-04-08,0.7095,0.7149,0.6522,0.68,8.16,377915,0.0,1.0
2019-04-05,0.657,0.7399,0.6522,0.7202,8.6424,916856,0.0,1.0
2019-04-04,0.6562,0.675,0.64,0.6603,7.9236,453883,0.0,1.0
2019-04-03,0.6749,0.689,0.65,0.6643,7.9716,421501,0.0,1.0
2019-04-02,0.69,0.69,0.647,0.6796,8.1552,383325,0.0,1.0
2019-04-01,0.6888,0.7,0.67,0.6778,8.1336,335893,0.0,1.0
2019-03-29,0.6995,0.7189,0.67,0.6764,8.1168,415146,0.0,1.0
2019-03-28,0.7292,0.7296,0.682,0.7049,8.4588,183368,0.0,1.0
2019-03-27,0.6973,0.74,0.69,0.7199,8.6388,452389,0.0,1.0
2019-03-26,0.698,0.71,0.68,0.7063,8.4756,460744,0.0,1.0
2019-03-25,0.6895,0.7136,0.67,0.6975,8.37,592671,0.0,1.0
2019-03-22,0.667,0.6889,0.6484,0.6813,8.1756,739214,0.0,1.0
2019-03-21,0.73,0.73,0.656,0.664,7.968,1140881,0.0,1.0
2019-03-20,0.7638,0.7889,0.71,0.7266,8.7192,689861,0.0,1.0
2019-03-19,0.7717,0.79,0.7379,0.7599,9.1188,383992,0.0,1.0
2019-03-18,0.8,0.83,0.721,0.7763,9.3156,997576,0.0,1.0
2019-03-15,0.73,0.97,0.7,0.86,10.32,2308600,0.0,1.0
2019-03-14,0.76,0.79,0.6918,0.7345,8.814,869596,0.0,1.0
2019-03-13,0.77,0.7996,0.755,0.758,9.096,277365,0.0,1.0
2019-03-12,0.747,0.7987,0.74,0.7635,9.162,445871,0.0,1.0
2019-03-11,0.77,0.7968,0.73,0.75,9.0,663793,0.0,1.0
2019-03-08,0.8341,0.8381,0.7757,0.7848,9.4176,1201910,0.0,1.0
2019-03-07,0.85,0.874,0.8299,0.8395,10.074,524063,0.0,1.0
2019-03-06,0.86,0.8884,0.84,0.853,10.236,401582,0.0,1.0
2019-03-05,0.86,0.878,0.8361,0.8652,10.3824,301390,0.0,1.0
2019-03-04,0.86,0.87,0.805,0.8595,10.314,816733,0.0,1.0
2019-03-01,0.84,0.9,0.822,0.8659,10.3908,2005572,0.0,1.0
2019-02-28,0.86,0.8724,0.82,0.8374,10.0488,605733,0.0,1.0
2019-02-27,0.88,0.897,0.8521,0.871,10.452,293338,0.0,1.0
2019-02-26,0.8814,0.8998,0.86,0.8824,10.5888,300404,0.0,1.0
2019-02-25,0.9,0.9,0.8701,0.8832,10.5984,190415,0.0,1.0
2019-02-22,0.8665,0.8899,0.8551,0.8779,10.5348,283813,0.0,1.0
2019-02-21,0.8919,0.9139,0.852,0.86,10.32,327424,0.0,1.0
2019-02-20,0.9155,0.9289,0.88,0.897,10.764,482254,0.0,1.0
2019-02-19,0.9346,0.9898,0.9131,0.92,11.04,544457,0.0,1.0
2019-02-15,0.9181,0.95,0.8792,0.9199,11.0388,457722,0.0,1.0
2019-02-14,0.916,0.918,0.868,0.9121,10.9452,350712,0.0,1.0
2019-02-13,0.9091,0.9446,0.8661,0.878,10.536,284387,0.0,1.0
2019-02-12,0.8778,0.9496,0.85,0.915,10.98,705126,0.0,1.0
2019-02-11,0.85,0.8988,0.82,0.8726,10.4712,497029,0.0,1.0
2019-02-08,0.88,0.93,0.8556,0.8597,10.3164,467364,0.0,1.0
2019-02-07,0.92,0.93,0.852,0.9004,10.8048,987852,0.0,1.0
2019-02-06,1.01,1.01,0.8701,0.9382,11.2584,1430297,0.0,1.0
2019-02-05,0.87,1.03,0.83,0.9923,11.9076,3972414,0.0,1.0
2019-02-04,0.8585,0.86,0.805,0.83,9.96,2578032,0.0,1.0
2019-02-01,0.8679,0.875,0.8215,0.8413,10.0956,712163,0.0,1.0
2019-01-31,0.91,0.94,0.81,0.8832,10.5984,3794290,0.0,1.0
2019-01-30,0.84,0.84,0.7827,0.8156,9.7872,813754,0.0,1.0
2019-01-29,0.8523,0.8523,0.83,0.8448,10.1376,590446,0.0,1.0
2019-01-28,0.7856,0.87,0.765,0.8491,10.1892,1538758,0.0,1.0
2019-01-25,0.7588,0.7936,0.7351,0.7898,9.4776,1262176,0.0,1.0
2019-01-24,0.7829,0.8,0.7251,0.7621,9.1452,812116,0.0,1.0
2019-01-23,0.7092,0.8194,0.7,0.7793,9.3516,1491834,0.0,1.0
2019-01-22,0.7313,0.7399,0.685,0.7012,8.4144,2644380,0.0,1.0
2019-01-18,0.7381,0.7739,0.715,0.7332,8.7984,1521675,0.0,1.0
2019-01-17,0.796,0.796,0.7288,0.7395,8.874,1388001,0.0,1.0
2019-01-16,0.82,0.8582,0.7712,0.778,9.336,1335628,0.0,1.0
2019-01-15,0.8619,0.8876,0.8,0.8123,9.7476,1069696,0.0,1.0
2019-01-14,0.9138,0.9491,0.83,0.8402,10.0824,1999892,0.0,1.0
2019-01-11,0.76,0.98,0.76,0.9348,11.2176,5196306,0.0,1.0
2019-01-10,0.8043,0.8199,0.74,0.774,9.288,1364437,0.0,1.0
2019-01-09,0.87,0.92,0.768,0.8204,9.8448,3702643,0.0,1.0
2019-01-08,0.7651,0.8497,0.75,0.815,9.78,2408478,0.0,1.0
