timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,3.5,3.5189,3.14,3.24,3.24,477639,0.0,1.0
2019-07-24,4.0,4.0,3.84,3.92,3.92,160326,0.0,1.0
2019-07-23,3.81,4.0,3.79,3.99,3.99,99277,0.0,1.0
2019-07-22,3.93,4.03,3.76,3.83,3.83,232305,0.0,1.0
2019-07-19,3.75,4.02,3.75,3.86,3.86,130305,0.0,1.0
2019-07-18,3.86,4.04,3.73,3.84,3.84,242808,0.0,1.0
2019-07-17,4.06,4.2,3.9,3.96,3.96,283054,0.0,1.0
2019-07-16,4.17,4.33,4.06,4.08,4.08,156042,0.0,1.0
2019-07-15,4.21,4.27,4.05,4.13,4.13,249071,0.0,1.0
2019-07-12,4.21,4.35,4.12,4.19,4.19,282776,0.0,1.0
2019-07-11,4.51,4.5478,4.21,4.24,4.24,248171,0.0,1.0
2019-07-10,4.29,4.44,4.1989,4.37,4.37,311460,0.0,1.0
2019-07-09,4.11,4.32,4.06,4.22,4.22,287255,0.0,1.0
2019-07-08,4.19,4.24,4.0,4.2,4.2,140598,0.0,1.0
2019-07-05,4.19,4.23,4.0,4.13,4.13,256438,0.0,1.0
2019-07-03,4.1,4.21,3.99,4.13,4.13,199389,0.0,1.0
2019-07-02,4.3,4.3233,4.1319,4.2,4.2,112632,0.0,1.0
2019-07-01,4.7,4.74,3.94,4.32,4.32,521697,0.0,1.0
2019-06-28,4.25,4.6,4.2,4.51,4.51,505767,0.0,1.0
2019-06-27,4.11,4.25,4.06,4.17,4.17,182719,0.0,1.0
2019-06-26,3.97,4.25,3.8084,4.11,4.11,239002,0.0,1.0
2019-06-25,3.93,3.98,3.75,3.91,3.91,98712,0.0,1.0
2019-06-24,3.75,3.98,3.75,3.86,3.86,128968,0.0,1.0
2019-06-21,4.01,4.1095,3.7,3.75,3.75,259125,0.0,1.0
2019-06-20,4.34,4.35,4.0066,4.05,4.05,139074,0.0,1.0
2019-06-19,4.21,4.22,4.0207,4.2,4.2,141392,0.0,1.0
2019-06-18,4.32,4.32,4.02,4.17,4.17,240640,0.0,1.0
2019-06-17,3.99,4.37,3.88,4.28,4.28,360280,0.0,1.0
2019-06-14,4.05,4.07,3.75,3.93,3.93,174628,0.0,1.0
2019-06-13,4.04,4.3895,3.9301,4.0,4.0,463034,0.0,1.0
2019-06-12,3.79,4.0,3.7,3.92,3.92,358579,0.0,1.0
2019-06-11,3.83,3.95,3.51,3.74,3.74,212094,0.0,1.0
2019-06-10,3.55,3.8,3.3,3.69,3.69,424044,0.0,1.0
2019-06-07,3.14,3.4,3.1051,3.35,3.35,185234,0.0,1.0
2019-06-06,3.2,3.34,3.0,3.07,3.07,270199,0.0,1.0
2019-06-05,3.14,3.25,2.98,3.18,3.18,346406,0.0,1.0
2019-06-04,3.07,3.2,2.79,3.07,3.07,388230,0.0,1.0
2019-06-03,3.34,3.42,2.88,2.97,2.97,538010,0.0,1.0
2019-05-31,4.04,4.08,3.26,3.46,3.46,563449,0.0,1.0
2019-05-30,3.67,4.05,3.66,4.04,4.04,654348,0.0,1.0
2019-05-29,3.52,3.74,3.4,3.62,3.62,356510,0.0,1.0
2019-05-28,3.29,4.05,3.27,3.3552,3.3552,1109871,0.0,1.0
2019-05-24,3.18,3.29,3.13,3.25,3.25,324853,0.0,1.0
2019-05-23,3.14,3.15,3.0,3.09,3.09,98627,0.0,1.0
2019-05-22,3.04,3.19,3.04,3.11,3.11,102032,0.0,1.0
