timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,1.33,1.36,1.28,1.28,1.28,1849540,0.0,1.0
2019-07-24,1.3,1.33,1.27,1.32,1.32,1525969,0.0,1.0
2019-07-23,1.31,1.33,1.28,1.29,1.29,714382,0.0,1.0
2019-07-22,1.3,1.36,1.285,1.31,1.31,1770850,0.0,1.0
2019-07-19,1.35,1.39,1.31,1.31,1.31,2306846,0.0,1.0
2019-07-18,1.36,1.43,1.33,1.39,1.39,1336024,0.0,1.0
2019-07-17,1.5,1.57,1.37,1.38,1.38,3315518,0.0,1.0
2019-07-16,1.68,1.68,1.53,1.55,1.55,2492448,0.0,1.0
2019-07-15,1.73,1.73,1.67,1.67,1.67,678102,0.0,1.0
2019-07-12,1.78,1.78,1.6504,1.71,1.71,2316319,0.0,1.0
2019-07-11,1.79,1.79,1.72,1.73,1.73,998594,0.0,1.0
2019-07-10,1.72,1.78,1.665,1.78,1.78,2984948,0.0,1.0
2019-07-09,1.71,1.72,1.635,1.7,1.7,757918,0.0,1.0
2019-07-08,1.78,1.81,1.68,1.69,1.69,2367745,0.0,1.0
2019-07-05,1.75,1.81,1.71,1.77,1.77,1040523,0.0,1.0
2019-07-03,1.75,1.83,1.75,1.77,1.77,1144346,0.0,1.0
2019-07-02,1.73,1.79,1.675,1.78,1.78,2555150,0.0,1.0
2019-07-01,1.76,1.79,1.7,1.75,1.75,1940388,0.0,1.0
2019-06-28,1.7,1.77,1.64,1.75,1.75,4042614,0.0,1.0
2019-06-27,1.6,1.71,1.56,1.7,1.7,6594771,0.0,1.0
2019-06-26,1.5,1.63,1.48,1.63,1.63,4581871,0.0,1.0
2019-06-25,1.42,1.54,1.345,1.51,1.51,4805317,0.0,1.0
2019-06-24,1.42,1.47,1.34,1.43,1.43,3899807,0.0,1.0
2019-06-21,1.36,1.44,1.29,1.39,1.39,8604656,0.0,1.0
2019-06-20,1.22,1.485,1.22,1.35,1.35,6731490,0.0,1.0
2019-06-19,1.32,1.33,1.205,1.21,1.21,5242020,0.0,1.0
2019-06-18,1.4,1.43,1.31,1.33,1.33,4683717,0.0,1.0
2019-06-17,1.46,1.46,1.39,1.4,1.4,2508063,0.0,1.0
2019-06-14,1.51,1.52,1.32,1.46,1.46,3852580,0.0,1.0
2019-06-13,1.48,1.54,1.43,1.52,1.52,2415586,0.0,1.0
2019-06-12,1.66,1.72,1.47,1.49,1.49,5455482,0.0,1.0
2019-06-11,1.78,1.83,1.66,1.69,1.69,2995622,0.0,1.0
2019-06-10,1.86,1.86,1.75,1.78,1.78,1515974,0.0,1.0
2019-06-07,1.99,1.99,1.72,1.74,1.74,5237201,0.0,1.0
2019-06-06,1.98,2.0,1.92,1.98,1.98,1198364,0.0,1.0
2019-06-05,2.05,2.05,1.93,1.95,1.95,2550956,0.0,1.0
2019-06-04,1.9,2.03,1.85,2.02,2.02,3417573,0.0,1.0
2019-06-03,1.87,1.88,1.82,1.88,1.88,1137127,0.0,1.0
2019-05-31,1.86,1.9,1.82,1.88,1.88,3083385,0.0,1.0
2019-05-30,1.87,1.91,1.855,1.88,1.88,3370650,0.0,1.0
2019-05-29,2.165,2.17,1.83,1.85,1.85,7272845,0.0,1.0
2019-05-28,1.8,1.82,1.66,1.73,1.73,2455339,0.0,1.0
2019-05-24,1.8,1.83,1.76,1.77,1.77,1526337,0.0,1.0
2019-05-23,1.94,1.95,1.75,1.78,1.78,4439072,0.0,1.0
