timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,76.45,77.62,75.72,77.13,77.13,172594,0.0,1.0
2019-07-25,77.77,77.825,76.32,76.55,76.55,180806,0.0,1.0
2019-07-24,76.34,77.91,76.34,77.83,77.83,236886,0.0,1.0
2019-07-23,76.82,77.865,76.26,76.65,76.65,256477,0.0,1.0
2019-07-22,75.31,76.8,74.22,76.36,76.36,264327,0.0,1.0
2019-07-19,77.71,78.335,75.03,75.12,75.12,354727,0.0,1.0
2019-07-18,77.88,79.8,75.6,77.8,77.8,387021,0.0,1.0
2019-07-17,76.41,76.76,75.2,75.86,75.86,269973,0.0,1.0
2019-07-16,76.05,77.68,75.82,76.86,76.86,231509,0.0,1.0
2019-07-15,77.2,77.29,75.66,75.88,75.88,244949,0.0,1.0
2019-07-12,75.66,77.37,75.54,77.23,77.23,218462,0.0,1.0
2019-07-11,75.08,75.5,74.08,75.5,75.5,173377,0.0,1.0
2019-07-10,75.8,76.02,74.99,75.02,75.02,235280,0.0,1.0
2019-07-09,76.25,76.29,74.944,75.43,75.43,263847,0.0,1.0
2019-07-08,77.5,77.89,76.68,76.75,76.75,171487,0.0,1.0
2019-07-05,77.01,78.0,76.7,77.94,77.94,153957,0.0,1.0
2019-07-03,77.48,77.5,76.7,77.39,77.39,151772,0.0,1.0
2019-07-02,78.64,78.64,76.94,77.26,77.26,195754,0.0,1.0
2019-07-01,80.24,80.24,78.36,78.97,78.97,191836,0.0,1.0
2019-06-28,77.79,79.56,77.79,79.29,79.29,395068,0.0,1.0
2019-06-27,76.6,77.8,76.6,77.74,77.74,155575,0.0,1.0
2019-06-26,76.02,76.99,75.8,76.33,76.33,186016,0.0,1.0
2019-06-25,75.69,76.1,74.74,75.69,75.69,311736,0.0,1.0
2019-06-24,77.57,77.61,75.4,75.4,75.4,242719,0.0,1.0
2019-06-21,77.07,78.98,77.05,77.45,77.45,423104,0.0,1.0
2019-06-20,76.97,77.61,76.22,77.5,77.5,293015,0.0,1.0
2019-06-19,75.52,76.58,75.52,76.01,76.01,288498,0.0,1.0
2019-06-18,73.4,75.54,73.06,75.49,75.49,239529,0.0,1.0
2019-06-17,74.08,74.51,72.58,72.73,72.73,369662,0.0,1.0
2019-06-14,74.75,74.75,73.23,74.01,74.01,302130,0.0,1.0
2019-06-13,74.86,75.42,74.2,74.8,74.8,335433,0.46,1.0
2019-06-12,75.27,75.35,74.44,74.87,74.4124,256913,0.0,1.0
2019-06-11,75.88,76.35,75.14,75.32,74.8596,248420,0.0,1.0
2019-06-10,74.59,75.8436,74.59,75.23,74.7702,160672,0.0,1.0
2019-06-07,73.89,74.755,73.26,74.37,73.9154,213443,0.0,1.0
2019-06-06,73.21,73.965,72.35,73.6,73.1501,223061,0.0,1.0
2019-06-05,73.83,73.86,72.06,73.37,72.9216,197809,0.0,1.0
2019-06-04,71.75,73.91,71.62,73.65,73.1998,242194,0.0,1.0
2019-06-03,70.09,71.07,69.5,70.84,70.407,329113,0.0,1.0
2019-05-31,71.07,71.07,69.71,69.82,69.3933,253111,0.0,1.0
2019-05-30,72.62,73.53,71.78,72.16,71.7189,188809,0.0,1.0
2019-05-29,72.9,73.47,72.13,72.5,72.0569,202261,0.0,1.0
2019-05-28,73.41,74.15,73.13,73.37,72.9216,246498,0.0,1.0
2019-05-24,74.11,74.11,72.78,73.28,72.8321,183234,0.0,1.0
2019-05-23,74.16,74.54,73.185,73.46,73.011,190369,0.0,1.0
2019-05-22,76.59,76.74,74.84,75.12,74.6609,162640,0.0,1.0
2019-05-21,76.27,76.76,75.72,76.63,76.1616,107904,0.0,1.0
2019-05-20,76.28,77.3,75.58,75.77,75.3069,178197,0.0,1.0
2019-05-17,76.56,77.46,76.05,77.0,76.5294,274310,0.0,1.0
2019-05-16,77.7,78.63,77.16,77.49,77.0164,194798,0.0,1.0
2019-05-15,75.83,77.765,75.7167,77.37,76.8971,111988,0.0,1.0
2019-05-14,75.41,76.97,75.26,76.65,76.1815,149526,0.0,1.0
2019-05-13,74.66,75.61,74.32,75.46,74.9988,206428,0.0,1.0
2019-05-10,75.3,76.52,74.31,76.2,75.7343,139758,0.0,1.0
2019-05-09,74.32,76.0,73.51,75.64,75.1777,175423,0.0,1.0
2019-05-08,75.58,75.89,74.85,75.08,74.6211,127107,0.0,1.0
2019-05-07,76.3,77.37,73.96,75.37,74.9093,238372,0.0,1.0
2019-05-06,76.64,78.81,76.47,77.42,76.9468,464024,0.0,1.0
2019-05-03,77.27,78.975,77.27,78.28,77.8015,184916,0.0,1.0
2019-05-02,76.76,76.88,75.34,76.57,76.102,158741,0.0,1.0
2019-05-01,77.26,78.025,76.45,76.99,76.5194,145793,0.0,1.0
2019-04-30,77.66,77.98,76.395,77.13,76.6586,217886,0.0,1.0
2019-04-29,77.11,77.81,76.53,77.6,77.1257,197901,0.0,1.0
2019-04-26,75.34,77.42,75.05,77.42,76.9468,163676,0.0,1.0
2019-04-25,78.24,78.24,75.225,75.42,74.959,228050,0.0,1.0
2019-04-24,78.19,82.27,76.08,78.59,78.1096,231641,0.0,1.0
2019-04-23,77.1,78.54,76.87,78.11,77.6326,253762,0.0,1.0
2019-04-22,78.0,78.33,76.555,77.23,76.758,130454,0.0,1.0
2019-04-18,77.46,78.75,77.23,78.26,77.7817,157460,0.0,1.0
2019-04-17,78.36,78.84,77.01,77.4,76.9269,127851,0.0,1.0
2019-04-16,77.58,78.14,76.58,78.12,77.6425,155973,0.0,1.0
2019-04-15,79.33,80.0,76.68,77.18,76.7083,227729,0.0,1.0
2019-04-12,77.92,80.0413,77.65,79.39,78.9048,190617,0.0,1.0
2019-04-11,77.02,77.9596,76.325,77.34,76.8673,149301,0.0,1.0
2019-04-10,75.98,77.03,75.39,76.75,76.2809,148128,0.0,1.0
2019-04-09,77.31,77.31,75.75,75.94,75.4758,140139,0.0,1.0
2019-04-08,78.01,78.26,77.27,77.47,76.9965,117705,0.0,1.0
2019-04-05,78.5,79.65,78.03,78.42,77.9407,186999,0.0,1.0
2019-04-04,77.39,78.59,76.84,78.03,77.5531,128425,0.0,1.0
2019-04-03,77.6,78.07,76.95,77.24,76.7679,102572,0.0,1.0
2019-04-02,77.15,77.62,76.27,76.95,76.4797,174458,0.0,1.0
2019-04-01,77.05,78.2,76.295,77.33,76.8573,177896,0.0,1.0
2019-03-29,76.09,76.72,75.31,76.37,75.9032,307115,0.0,1.0
2019-03-28,75.05,75.9,74.4,75.33,74.8696,197964,0.0,1.0
2019-03-27,74.13,75.47,73.88,75.14,74.6807,313134,0.0,1.0
2019-03-26,72.65,74.44,72.65,74.32,73.8657,273780,0.0,1.0
2019-03-25,72.03,73.18,71.55,71.95,71.5102,447004,0.0,1.0
2019-03-22,76.93,76.93,72.14,72.2,71.7587,392108,0.0,1.0
2019-03-21,76.15,78.3,76.11,77.85,77.3742,222070,0.0,1.0
2019-03-20,76.25,77.41,75.29,76.29,75.8237,217008,0.0,1.0
2019-03-19,77.14,77.52,76.44,76.55,76.0821,202873,0.0,1.0
2019-03-18,75.5,76.9,75.38,76.7,76.2312,152854,0.0,1.0
2019-03-15,75.76,76.4,74.96,75.3,74.8398,516946,0.0,1.0
2019-03-14,76.43,76.585,75.17,75.34,74.8795,197038,0.0,1.0
2019-03-13,76.32,77.27,76.255,76.62,76.1517,216138,0.0,1.0
2019-03-12,76.04,76.33,75.41,76.01,75.5454,143746,0.0,1.0
2019-03-11,75.21,76.06,74.81,76.0,75.5355,155873,0.0,1.0
2019-03-08,74.89,75.47,74.59,75.2,74.7404,152535,0.0,1.0
2019-03-07,75.38,75.75,74.19,75.44,74.9789,204970,0.0,1.0
