timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,21.74,21.89,21.6666,21.85,21.85,162165,0.0,1.0
2019-07-24,21.51,21.85,21.4994,21.76,21.76,111378,0.0,1.0
2019-07-23,21.46,21.55,21.29,21.52,21.52,73764,0.0,1.0
2019-07-22,21.26,21.37,21.05,21.36,21.36,84570,0.0,1.0
2019-07-19,21.22,21.25,20.93,21.22,21.22,82931,0.0,1.0
2019-07-18,21.12,21.29,21.06,21.22,21.22,47888,0.0,1.0
2019-07-17,21.52,21.5637,21.17,21.31,21.31,73088,0.0,1.0
2019-07-16,21.69,21.73,21.41,21.46,21.46,87132,0.0,1.0
2019-07-15,21.73,21.73,21.55,21.63,21.63,97025,0.0,1.0
2019-07-12,21.5,21.71,21.355,21.68,21.68,161326,0.0,1.0
2019-07-11,21.29,21.53,21.07,21.44,21.44,70561,0.0,1.0
2019-07-10,21.29,21.41,21.05,21.1,21.1,137080,0.0,1.0
2019-07-09,21.55,21.5701,21.06,21.1,21.1,138052,0.0,1.0
2019-07-08,21.48,21.63,21.3907,21.63,21.63,98814,0.0,1.0
2019-07-05,21.24,21.48,21.22,21.48,21.48,133117,0.0,1.0
2019-07-03,21.24,21.3,21.06,21.26,21.26,42366,0.0,1.0
2019-07-02,21.13,21.14,20.84,21.11,21.11,90108,0.0,1.0
2019-07-01,21.39,21.45,21.15,21.16,21.16,132374,0.0,1.0
2019-06-28,21.0,21.39,20.9,21.23,21.23,149140,0.0,1.0
2019-06-27,21.06,21.27,20.98,21.26,21.26,140266,0.0,1.0
2019-06-26,20.66,21.3,20.5918,20.96,20.96,113512,0.0,1.0
2019-06-25,20.87,21.15,20.49,20.6,20.6,223816,0.0,1.0
2019-06-24,21.34,21.34,20.86,21.19,21.19,133608,0.0,1.0
2019-06-21,21.45,21.53,21.23,21.51,21.51,142710,0.0,1.0
2019-06-20,21.6,21.6,21.175,21.37,21.37,94779,0.0,1.0
2019-06-19,21.26,21.41,21.18,21.39,21.39,62165,0.0,1.0
2019-06-18,21.3,21.48,21.18,21.34,21.34,77871,0.0,1.0
2019-06-17,21.12,21.2,20.9919,21.17,21.17,67672,0.0,1.0
2019-06-14,21.05,21.1,20.81,21.09,21.09,87996,0.0,1.0
2019-06-13,20.57,21.0,20.52,20.93,20.93,88582,0.0,1.0
2019-06-12,20.56,20.6495,20.32,20.36,20.36,117465,0.0,1.0
2019-06-11,20.91,20.98,20.63,20.65,20.65,149847,0.0,1.0
2019-06-10,21.04,21.045,20.74,20.75,20.75,91821,0.0,1.0
2019-06-07,21.0,21.19,20.85,20.94,20.94,119331,0.0,1.0
2019-06-06,21.52,21.52,20.9,20.97,20.97,114869,0.0,1.0
2019-06-05,21.8,21.8,21.245,21.44,21.44,148609,0.0,1.0
2019-06-04,21.7,21.81,21.48,21.76,21.76,119999,0.0,1.0
2019-06-03,21.17,21.64,21.17,21.51,21.51,162373,0.0,1.0
2019-05-31,20.76,21.5,20.55,21.13,21.13,472673,0.0,1.0
2019-05-30,21.21,21.227,20.83,20.9,20.9,130115,0.0,1.0
2019-05-29,20.94,21.15,20.62,21.12,21.12,135269,0.0,1.0
2019-05-28,21.45,21.45,21.0773,21.17,21.17,93120,0.0,1.0
2019-05-24,21.16,21.42,21.0848,21.26,21.26,128252,0.0,1.0
2019-05-23,21.1,21.12,20.8,20.98,20.98,185005,0.0,1.0
2019-05-22,21.5,21.5,20.95,21.21,21.21,105162,0.0,1.0
2019-05-21,21.15,21.5,21.12,21.46,21.46,126621,0.0,1.0
2019-05-20,21.1,21.14,20.822,21.12,21.12,92886,0.0,1.0
2019-05-17,21.15,21.48,21.1,21.13,21.13,78863,0.0,1.0
2019-05-16,21.05,21.43,21.04,21.27,21.27,127108,0.0,1.0
2019-05-15,20.75,21.03,20.66,20.99,20.99,80014,0.0,1.0
2019-05-14,20.87,20.91,20.53,20.74,20.74,103678,0.0,1.0
2019-05-13,20.95,20.96,20.53,20.66,20.66,165056,0.0,1.0
2019-05-10,20.52,20.91,20.3511,20.86,20.86,122754,0.0,1.0
