timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,7.16,7.49,7.12,7.43,7.43,1622097,0.0,1.0
2019-07-23,7.16,7.23,6.925,7.21,7.21,2626120,0.0,1.0
2019-07-22,7.43,7.43,7.1317,7.15,7.15,2745889,0.0,1.0
2019-07-19,7.42,7.58,7.39,7.41,7.41,2286586,0.0,1.0
2019-07-18,7.28,7.45,7.19,7.43,7.43,1683672,0.0,1.0
2019-07-17,7.44,7.44,7.14,7.3,7.3,3980382,0.0,1.0
2019-07-16,7.64,7.76,7.295,7.44,7.44,3664625,0.0,1.0
2019-07-15,7.35,7.68,7.32,7.65,7.65,3486604,0.0,1.0
2019-07-12,7.29,7.34,7.21,7.33,7.33,1256842,0.0,1.0
2019-07-11,7.14,7.29,7.1,7.28,7.28,1575895,0.0,1.0
2019-07-10,7.2,7.2501,7.14,7.15,7.15,3024933,0.0,1.0
2019-07-09,7.02,7.2324,7.02,7.16,7.16,1915753,0.0,1.0
2019-07-08,7.1,7.1093,6.89,7.02,7.02,3058785,0.0,1.0
2019-07-05,7.1,7.16,7.02,7.16,7.16,800078,0.0,1.0
2019-07-03,7.19,7.19,7.065,7.12,7.12,885751,0.0,1.0
2019-07-02,7.1,7.19,6.99,7.17,7.17,1321122,0.0,1.0
2019-07-01,7.28,7.34,7.05,7.08,7.08,1362038,0.0,1.0
2019-06-28,7.01,7.22,6.91,7.18,7.18,2948347,0.0,1.0
2019-06-27,6.92,7.08,6.7699,7.0,7.0,1688214,0.0,1.0
2019-06-26,7.13,7.23,6.91,6.93,6.93,1717021,0.0,1.0
2019-06-25,7.12,7.29,7.09,7.1,7.1,1380141,0.0,1.0
2019-06-24,7.41,7.48,7.12,7.14,7.14,2079400,0.0,1.0
2019-06-21,7.53,7.564,7.27,7.42,7.42,2601604,0.0,1.0
2019-06-20,7.42,7.805,7.42,7.54,7.54,3966149,0.0,1.0
2019-06-19,7.12,7.44,7.102,7.35,7.35,3044611,0.0,1.0
2019-06-18,7.16,7.28,7.03,7.08,7.08,3077466,0.0,1.0
2019-06-17,7.12,7.2,7.02,7.11,7.11,1402324,0.0,1.0
2019-06-14,7.28,7.35,7.03,7.09,7.09,1902349,0.0,1.0
2019-06-13,7.34,7.43,7.22,7.31,7.31,1446544,0.0,1.0
2019-06-12,7.27,7.34,7.155,7.29,7.29,1262047,0.0,1.0
2019-06-11,7.29,7.46,7.13,7.25,7.25,1897099,0.0,1.0
2019-06-10,7.26,7.44,7.19,7.28,7.28,2421208,0.0,1.0
2019-06-07,7.25,7.525,7.105,7.2,7.2,5421785,0.0,1.0
2019-06-06,7.61,7.7,7.01,7.05,7.05,4790207,0.0,1.0
2019-06-05,7.87,7.96,7.57,7.66,7.66,1926712,0.0,1.0
2019-06-04,7.96,8.0,7.565,7.84,7.84,4169200,0.0,1.0
2019-06-03,7.96,8.18,7.8,7.89,7.89,3532999,0.0,1.0
2019-05-31,8.04,8.355,7.9,7.98,7.98,5227539,0.0,1.0
2019-05-30,8.15,8.28,8.08,8.15,8.15,1984759,0.0,1.0
2019-05-29,8.13,8.39,8.03,8.15,8.15,2954754,0.0,1.0
2019-05-28,8.3,8.43,8.145,8.21,8.21,3417516,0.0,1.0
2019-05-24,8.45,8.545,8.22,8.33,8.33,2108928,0.0,1.0
2019-05-23,8.35,8.55,8.15,8.42,8.42,3281303,0.0,1.0
2019-05-22,8.79,8.8,8.41,8.43,8.43,3078433,0.0,1.0
2019-05-21,8.74,8.9001,8.66,8.85,8.85,1773024,0.0,1.0
2019-05-20,8.93,9.0,8.56,8.73,8.73,3191455,0.0,1.0
2019-05-17,9.11,9.16,8.87,9.02,9.02,2655900,0.0,1.0
2019-05-16,8.78,9.21,8.78,9.15,9.15,2747381,0.0,1.0
2019-05-15,8.6,8.9556,8.5502,8.79,8.79,1998890,0.0,1.0
2019-05-14,8.91,8.98,8.61,8.63,8.63,2853917,0.0,1.0
2019-05-13,8.74,8.94,8.46,8.85,8.85,3513517,0.0,1.0
2019-05-10,9.04,9.2545,8.66,8.95,8.95,2877745,0.0,1.0
2019-05-09,9.24,9.32,8.86,9.1,9.1,3021809,0.0,1.0
2019-05-08,9.2,9.64,9.1801,9.3,9.3,6041980,0.0,1.0
2019-05-07,10.52,10.54,9.13,9.18,9.18,9280566,0.0,1.0
2019-05-06,10.54,11.28,10.31,11.22,11.22,4594584,0.0,1.0
2019-05-03,10.83,10.89,10.63,10.8,10.8,1910059,0.0,1.0
2019-05-02,10.81,11.06,10.63,10.75,10.75,1512342,0.0,1.0
2019-05-01,11.0,11.05,10.73,10.79,10.79,1489437,0.0,1.0
2019-04-30,11.0,11.1,10.88,10.94,10.94,1152934,0.0,1.0
2019-04-29,11.07,11.22,10.97,11.0,11.0,1198753,0.0,1.0
2019-04-26,10.99,11.16,10.9,11.08,11.08,1271592,0.0,1.0
2019-04-25,11.24,11.25,10.73,11.0,11.0,1413570,0.0,1.0
2019-04-24,11.11,11.27,11.03,11.17,11.17,1677390,0.0,1.0
2019-04-23,10.91,11.13,10.86,11.1,11.1,2205220,0.0,1.0
2019-04-22,10.64,10.88,10.56,10.85,10.85,1252588,0.0,1.0
2019-04-18,10.43,10.74,10.2636,10.63,10.63,2170888,0.0,1.0
2019-04-17,10.68,10.79,10.28,10.43,10.43,1843107,0.0,1.0
2019-04-16,11.1,11.1,10.55,10.65,10.65,3751379,0.0,1.0
2019-04-15,11.55,11.61,10.83,11.07,11.07,2882858,0.0,1.0
2019-04-12,11.5,11.645,11.385,11.54,11.54,1813259,0.0,1.0
2019-04-11,11.49,11.575,11.39,11.45,11.45,1004104,0.0,1.0
2019-04-10,11.41,11.592,11.39,11.48,11.48,1690657,0.0,1.0
2019-04-09,11.36,11.5501,11.35,11.41,11.41,1394904,0.0,1.0
2019-04-08,11.44,11.47,11.09,11.43,11.43,1966372,0.0,1.0
2019-04-05,11.44,11.75,11.29,11.36,11.36,3170464,0.0,1.0
2019-04-04,11.39,11.55,11.195,11.38,11.38,2335154,0.0,1.0
2019-04-03,11.4,11.56,11.21,11.32,11.32,2826593,0.0,1.0
2019-04-02,10.93,11.315,10.739,11.28,11.28,2902096,0.0,1.0
2019-04-01,11.14,11.15,10.565,10.93,10.93,2003251,0.0,1.0
2019-03-29,10.86,11.06,10.79,10.94,10.94,2087587,0.0,1.0
2019-03-28,10.79,10.925,10.68,10.78,10.78,2080870,0.0,1.0
2019-03-27,11.15,11.29,10.44,10.79,10.79,3543873,0.0,1.0
2019-03-26,11.1,11.46,11.02,11.12,11.12,2631245,0.0,1.0
2019-03-25,10.65,11.17,10.6,11.02,11.02,3028423,0.0,1.0
2019-03-22,10.8,10.87,10.55,10.7,10.7,2189860,0.0,1.0
2019-03-21,10.62,10.94,10.6168,10.87,10.87,2448646,0.0,1.0
2019-03-20,10.41,10.71,10.37,10.65,10.65,2147551,0.0,1.0
2019-03-19,9.97,10.58,9.885,10.39,10.39,3305687,0.0,1.0
2019-03-18,9.81,9.9779,9.78,9.87,9.87,1370396,0.0,1.0
2019-03-15,10.02,10.19,9.82,9.83,9.83,2841297,0.0,1.0
