timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,44.74,45.45,44.63,45.29,45.29,600658,0.0,1.0
2019-07-23,44.16,44.84,43.8,44.79,44.79,555907,0.0,1.0
2019-07-22,44.24,44.9525,43.72,43.73,43.73,808707,0.0,1.0
2019-07-19,43.83,44.325,43.57,44.24,44.24,694745,0.0,1.0
2019-07-18,43.45,43.95,43.2,43.67,43.67,485296,0.0,1.0
2019-07-17,44.09,44.37,43.435,43.46,43.46,807028,0.0,1.0
2019-07-16,43.64,44.37,43.6,44.12,44.12,652072,0.0,1.0
2019-07-15,43.79,44.36,43.04,43.62,43.62,708575,0.0,1.0
2019-07-12,41.92,43.94,41.88,43.79,43.79,1125356,0.0,1.0
2019-07-11,42.46,42.879,41.32,41.92,41.92,1015871,0.0,1.0
2019-07-10,41.63,42.33,41.2,42.26,42.26,1085648,0.0,1.0
2019-07-09,40.15,41.78,40.0401,41.22,41.22,1120588,0.0,1.0
2019-07-08,40.48,40.77,39.99,40.57,40.57,1065160,0.0,1.0
2019-07-05,39.87,40.88,39.62,40.79,40.79,615306,0.0,1.0
2019-07-03,39.84,40.02,39.62,39.91,39.91,409820,0.0,1.0
2019-07-02,39.64,39.98,38.95,39.57,39.57,893852,0.0,1.0
2019-07-01,39.6,40.08,39.0,39.72,39.72,1892471,0.0,1.0
2019-06-28,37.88,38.81,37.84,38.73,38.73,1051630,0.0,1.0
2019-06-27,36.67,37.75,36.48,37.52,37.52,785729,0.0,1.0
2019-06-26,36.32,36.9438,36.23,36.35,36.35,782392,0.0,1.0
2019-06-25,36.71,37.25,35.87,36.04,36.04,1015168,0.0,1.0
2019-06-24,37.06,37.31,36.76,37.07,37.07,713186,0.0,1.0
2019-06-21,36.81,37.33,36.58,37.06,37.06,724258,0.0,1.0
2019-06-20,37.31,37.58,36.9004,37.19,37.19,822559,0.0,1.0
2019-06-19,36.89,37.22,36.28,36.8,36.8,572550,0.0,1.0
2019-06-18,36.22,37.36,36.03,36.89,36.89,1176194,0.0,1.0
2019-06-17,36.76,36.88,35.965,36.17,36.17,988854,0.0,1.0
2019-06-14,36.33,37.22,36.1059,36.67,36.67,1656156,0.0,1.0
2019-06-13,34.59,36.61,34.47,36.23,36.23,2277216,0.0,1.0
2019-06-12,35.32,35.82,34.39,34.46,34.46,1193409,0.0,1.0
2019-06-11,34.73,35.56,34.31,35.28,35.28,1784821,0.0,1.0
2019-06-10,34.51,35.14,33.87,34.3,34.3,2077354,0.0,1.0
2019-06-07,33.02,34.24,32.75,34.15,34.15,2355611,0.0,1.0
2019-06-06,32.97,33.21,31.67,32.95,32.95,3046041,0.0,1.0
2019-06-05,34.92,34.94,32.83,32.92,32.92,3237795,0.0,1.0
2019-06-04,34.47,34.96,33.56,34.63,34.63,2878027,0.0,1.0
2019-06-03,33.4,34.15,32.83,34.08,34.08,4067736,0.0,1.0
2019-05-31,35.42,36.3387,33.01,33.65,33.65,6369427,0.0,1.0
