timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,9.9,10.63,9.6681,10.42,10.42,156057,0.0,1.0
2019-07-24,9.9,10.19,9.61,9.81,9.81,106919,0.0,1.0
2019-07-23,10.25,10.25,9.81,9.92,9.92,63021,0.0,1.0
2019-07-22,10.07,10.24,9.83,10.2,10.2,63820,0.0,1.0
2019-07-19,10.16,10.66,10.01,10.12,10.12,75820,0.0,1.0
2019-07-18,10.45,10.46,9.84,10.31,10.31,104353,0.0,1.0
2019-07-17,10.45,10.85,10.2,10.42,10.42,149422,0.0,1.0
2019-07-16,11.1,11.1,10.31,10.45,10.45,142973,0.0,1.0
2019-07-15,11.14,11.29,10.8701,11.05,11.05,87902,0.0,1.0
2019-07-12,12.25,12.59,11.025,11.12,11.12,338960,0.0,1.0
2019-07-11,12.11,12.45,11.52,12.28,12.28,165896,0.0,1.0
2019-07-10,11.51,12.29,11.5,12.15,12.15,144158,0.0,1.0
2019-07-09,11.13,11.785,11.015,11.44,11.44,126562,0.0,1.0
2019-07-08,11.46,11.725,10.98,11.26,11.26,161886,0.0,1.0
2019-07-05,11.3,11.74,11.12,11.48,11.48,110070,0.0,1.0
2019-07-03,11.32,11.46,11.02,11.3,11.3,85312,0.0,1.0
2019-07-02,11.26,11.45,11.1,11.25,11.25,106655,0.0,1.0
2019-07-01,11.16,11.36,10.95,11.26,11.26,250193,0.0,1.0
2019-06-28,10.04,11.44,10.019,11.14,11.14,2460879,0.0,1.0
2019-06-27,10.0,10.34,9.81,9.99,9.99,109483,0.0,1.0
2019-06-26,9.99,10.24,9.75,9.97,9.97,90539,0.0,1.0
2019-06-25,9.78,10.44,9.515,9.82,9.82,102411,0.0,1.0
2019-06-24,10.75,10.84,9.63,9.75,9.75,174828,0.0,1.0
2019-06-21,10.41,10.92,10.25,10.77,10.77,130850,0.0,1.0
2019-06-20,10.95,11.0125,10.3,10.48,10.48,119676,0.0,1.0
2019-06-19,10.95,11.01,10.65,10.86,10.86,120482,0.0,1.0
2019-06-18,10.63,11.0,10.34,10.92,10.92,110646,0.0,1.0
2019-06-17,9.83,10.41,9.76,10.3,10.3,161641,0.0,1.0
2019-06-14,9.94,10.11,9.78,9.83,9.83,102773,0.0,1.0
2019-06-13,9.77,10.12,9.37,9.97,9.97,127722,0.0,1.0
2019-06-12,9.62,9.93,9.34,9.65,9.65,139667,0.0,1.0
