timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,2.06,2.07,1.9401,1.97,1.97,282908,0.0,1.0
2019-07-24,2.01,2.1681,1.98,2.06,2.06,465410,0.0,1.0
2019-07-23,2.01,2.0299,1.93,2.01,2.01,221844,0.0,1.0
2019-07-22,2.02,2.0567,1.98,2.0,2.0,236462,0.0,1.0
2019-07-19,2.09,2.14,2.01,2.02,2.02,236861,0.0,1.0
2019-07-18,2.13,2.15,2.02,2.1,2.1,380455,0.0,1.0
2019-07-17,2.2,2.2191,2.07,2.14,2.14,466280,0.0,1.0
2019-07-16,2.19,2.25,2.18,2.2,2.2,139807,0.0,1.0
2019-07-15,2.25,2.26,2.15,2.17,2.17,277690,0.0,1.0
2019-07-12,2.4,2.4,2.245,2.25,2.25,216809,0.0,1.0
2019-07-11,2.2,2.43,2.19,2.4,2.4,502669,0.0,1.0
2019-07-10,2.25,2.25,2.1775,2.2,2.2,199789,0.0,1.0
2019-07-09,2.26,2.26,2.22,2.24,2.24,168795,0.0,1.0
2019-07-08,2.25,2.29,2.22,2.26,2.26,254358,0.0,1.0
2019-07-05,2.31,2.3388,2.24,2.25,2.25,264243,0.0,1.0
2019-07-03,2.33,2.37,2.3,2.33,2.33,100596,0.0,1.0
2019-07-02,2.31,2.34,2.2665,2.34,2.34,198929,0.0,1.0
2019-07-01,2.39,2.42,2.28,2.3,2.3,295292,0.0,1.0
2019-06-28,2.44,2.47,2.28,2.36,2.36,4433424,0.0,1.0
2019-06-27,2.48,2.54,2.43,2.45,2.45,344218,0.0,1.0
2019-06-26,2.43,2.5,2.37,2.49,2.49,254614,0.0,1.0
2019-06-25,2.33,2.5,2.27,2.43,2.43,316002,0.0,1.0
2019-06-24,2.25,2.38,2.2386,2.34,2.34,311094,0.0,1.0
2019-06-21,2.36,2.39,2.26,2.26,2.26,504974,0.0,1.0
2019-06-20,2.38,2.39,2.25,2.38,2.38,301081,0.0,1.0
2019-06-19,2.45,2.47,2.3,2.35,2.35,304427,0.0,1.0
2019-06-18,2.55,2.55,2.43,2.44,2.44,193577,0.0,1.0
2019-06-17,2.49,2.57,2.46,2.52,2.52,318938,0.0,1.0
2019-06-14,2.45,2.47,2.35,2.42,2.42,157732,0.0,1.0
2019-06-13,2.3,2.47,2.2519,2.45,2.45,273639,0.0,1.0
2019-06-12,2.34,2.35,2.29,2.31,2.31,282231,0.0,1.0
2019-06-11,2.48,2.48,2.33,2.35,2.35,197504,0.0,1.0
2019-06-10,2.35,2.56,2.345,2.45,2.45,646122,0.0,1.0
2019-06-07,2.44,2.44,2.32,2.34,2.34,235680,0.0,1.0
2019-06-06,2.52,2.52,2.31,2.44,2.44,245304,0.0,1.0
2019-06-05,2.65,2.66,2.5,2.52,2.52,235821,0.0,1.0
