timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,9.99,9.99,9.94,9.975,9.975,21228,0.0,1.0
2019-07-25,10.01,10.1,9.97,10.03,10.03,25179,0.0,1.0
2019-07-24,10.1,10.12,10.08,10.105,10.105,12864,0.0,1.0
2019-07-23,10.044,10.09,10.044,10.08,10.08,20624,0.0,1.0
2019-07-22,10.08,10.085,10.025,10.03,10.03,11987,0.0,1.0
2019-07-19,10.034,10.06,9.98,9.992,9.992,12352,0.0,1.0
2019-07-18,9.97,10.01,9.935,9.99,9.99,29843,0.0,1.0
2019-07-17,9.866,9.89,9.85,9.875,9.875,13057,0.0,1.0
2019-07-16,9.77,9.83,9.76,9.8,9.8,102608,0.0,1.0
2019-07-15,9.84,9.9,9.78,9.79,9.79,49904,0.0,1.0
2019-07-12,9.76,9.85,9.76,9.83,9.83,8951,0.0,1.0
2019-07-11,9.71,9.735,9.67,9.7,9.7,12126,0.0,1.0
2019-07-10,9.73,9.73,9.65,9.71,9.71,27983,0.0,1.0
2019-07-09,9.566,9.61,9.56,9.61,9.61,15067,0.0,1.0
2019-07-08,9.64,9.77,9.61,9.62,9.62,21394,0.0,1.0
2019-07-05,9.68,9.7445,9.625,9.695,9.695,6451,0.0,1.0
2019-07-03,9.74,9.748,9.713,9.748,9.748,2993,0.0,1.0
2019-07-02,9.604,9.63,9.58,9.61,9.61,42494,0.0,1.0
2019-07-01,9.7,9.794,9.63,9.675,9.675,18589,0.0,1.0
2019-06-28,9.72,9.7475,9.69,9.724,9.724,12621,0.0,1.0
2019-06-27,9.8,9.8,9.75,9.76,9.76,13748,0.0,1.0
2019-06-26,9.77,9.77,9.74,9.742,9.742,19667,0.0,1.0
2019-06-25,9.82,9.82,9.72,9.72,9.72,16580,0.0,1.0
2019-06-24,9.82,9.87,9.82,9.84,9.84,5959,0.0,1.0
2019-06-21,9.85,9.9,9.84,9.884,9.884,5550,0.0,1.0
2019-06-20,10.0,10.05,9.91,9.98,9.98,58446,0.0,1.0
2019-06-19,9.83,9.872,9.79,9.85,9.85,125039,0.0,1.0
2019-06-18,9.672,9.773,9.672,9.715,9.715,24826,0.0,1.0
2019-06-17,9.56,9.57,9.52,9.57,9.57,8758,0.0,1.0
2019-06-14,9.7,9.72,9.67,9.71,9.71,13576,0.0,1.0
2019-06-13,9.81,9.83,9.78,9.79,9.79,6617,0.0,1.0
2019-06-12,9.71,9.715,9.61,9.63,9.63,15557,0.0,1.0
2019-06-11,10.17,10.25,9.84,9.94,9.94,90969,0.0,1.0
2019-06-10,9.996,10.0,9.96,10.0,10.0,12706,0.0,1.0
2019-06-07,10.007,10.03,9.969,9.98,9.98,21033,0.0,1.0
2019-06-06,9.88,9.88,9.84,9.85,9.85,44638,0.0,1.0
2019-06-05,9.9,9.96,9.87,9.9,9.9,11105,0.0,1.0
2019-06-04,9.71,9.9399,9.71,9.78,9.78,22071,0.0,1.0
2019-06-03,9.534,9.6699,9.534,9.612,9.612,10720,0.0,1.0
2019-05-31,9.47,9.545,9.47,9.53,9.53,36626,0.0,1.0
2019-05-30,9.62,9.81,9.6,9.66,9.66,16216,0.0,1.0
2019-05-29,9.58,9.63,9.56,9.615,9.615,16484,0.0,1.0
2019-05-28,9.88,9.88,9.8,9.82,9.82,35514,0.0,1.0
2019-05-24,9.98,10.03,9.96,10.01,10.01,13477,0.0,1.0
2019-05-23,9.94,9.94,9.9,9.925,9.925,38397,0.0,1.0
2019-05-22,10.2,10.28,10.169,10.28,10.28,53702,0.0,1.0
2019-05-21,10.134,10.27,10.134,10.21,10.21,18127,0.0,1.0
2019-05-20,9.96,10.12,9.96,10.075,10.075,21136,0.3468,1.0
2019-05-17,10.53,10.69,10.485,10.5,10.1506,22028,0.0,1.0
2019-05-16,10.458,10.55,10.45,10.55,10.1989,1506237,0.0,1.0
2019-05-15,10.41,10.58,10.41,10.58,10.2279,21900,0.0,1.0
2019-05-14,10.122,10.27,10.12,10.27,9.9282,30049,0.0,1.0
2019-05-13,9.94,9.97,9.91,9.95,9.6189,14450,0.0,1.0
2019-05-10,10.17,10.25,10.15,10.25,9.9089,12361,0.0,1.0
2019-05-09,9.812,10.02,9.812,9.935,9.6044,7868,0.0,1.0
2019-05-08,10.0,10.05,9.944,10.05,9.7155,13840,0.0,1.0
2019-05-07,9.99,10.01,9.9,9.94,9.6092,22302,0.0,1.0
2019-05-06,10.006,10.15,10.006,10.15,9.8122,9170,0.0,1.0
2019-05-03,10.3,10.37,10.3,10.355,10.0104,7741,0.0,1.0
2019-05-02,10.28,10.31,10.272,10.29,9.9476,12385,0.0,1.0
2019-05-01,10.27,10.32,10.245,10.25,9.9089,11746,0.0,1.0
2019-04-30,10.236,10.28,10.21,10.265,9.9234,21873,0.0,1.0
