timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,27.9,27.9,27.42,27.44,27.44,3249089,0.0,1.0
2019-07-24,27.72,28.12,27.51,27.99,27.99,2736082,0.0,1.0
2019-07-23,27.95,27.98,27.2,27.77,27.77,2289159,0.0,1.0
2019-07-22,28.13,28.21,27.875,27.9,27.9,1780003,0.0,1.0
2019-07-19,28.23,28.505,28.01,28.02,28.02,3140435,0.0,1.0
2019-07-18,28.1,28.41,28.01,28.18,28.18,3166464,0.0,1.0
2019-07-17,28.5,28.5,28.09,28.19,28.19,1694222,0.0,1.0
2019-07-16,28.03,28.49,28.03,28.44,28.44,2077407,0.0,1.0
2019-07-15,28.27,28.315,27.825,27.96,27.96,1746952,0.0,1.0
2019-07-12,28.12,28.37,28.085,28.33,28.33,2151097,0.0,1.0
2019-07-11,28.56,28.58,28.05,28.13,28.13,2236816,0.0,1.0
2019-07-10,28.83,28.89,28.34,28.44,28.44,2692220,0.0,1.0
2019-07-09,28.7,29.12,28.7,28.84,28.84,3255547,0.0,1.0
2019-07-08,28.83,29.24,28.81,29.12,29.12,3230909,0.0,1.0
2019-07-05,28.96,29.01,28.67,28.83,28.83,1606625,0.0,1.0
2019-07-03,28.91,29.33,28.67,29.09,29.09,1909790,0.0,1.0
2019-07-02,28.97,28.97,28.02,28.81,28.81,3042930,0.0,1.0
2019-07-01,29.45,29.62,28.75,28.96,28.96,3404454,0.0,1.0
2019-06-28,29.04,29.55,28.96,29.3,29.3,4375754,0.0,1.0
2019-06-27,28.37,29.08,28.32,29.01,29.01,3679007,0.0,1.0
2019-06-26,27.94,28.4,27.765,28.25,28.25,6568703,0.0,1.0
2019-06-25,27.64,28.0,27.62,27.87,27.87,3862625,0.0,1.0
2019-06-24,27.89,27.98,27.54,27.61,27.61,1467737,0.0,1.0
2019-06-21,27.95,27.99,27.715,27.9,27.9,2721786,0.0,1.0
2019-06-20,28.41,28.41,27.88,28.04,28.04,2783614,0.26,1.0
2019-06-19,28.42,28.74,28.27,28.62,28.3571,3769617,0.0,1.0
2019-06-18,28.39,28.71,28.18,28.47,28.2084,3057894,0.0,1.0
2019-06-17,28.78,28.83,28.26,28.35,28.0895,2593369,0.0,1.0
2019-06-14,28.45,29.02,28.37,28.69,28.4264,2846799,0.0,1.0
2019-06-13,28.07,28.57,27.98,28.43,28.1688,2292258,0.0,1.0
2019-06-12,27.7,28.24,27.42,28.07,27.8121,5594834,0.0,1.0
2019-06-11,27.47,29.29,27.11,27.78,27.5248,7567200,0.0,1.0
2019-06-10,27.25,27.3,26.72,26.94,26.6925,3819288,0.0,1.0
2019-06-07,27.31,27.515,27.16,27.21,26.96,2465714,0.0,1.0
2019-06-06,27.6,27.74,27.08,27.2,26.9501,2016613,0.0,1.0
2019-06-05,27.3,27.6,27.07,27.55,27.2969,2068584,0.0,1.0
2019-06-04,26.7,27.16,26.69,27.1,26.851,3233518,0.0,1.0
2019-06-03,26.19,26.78,26.0,26.6,26.3556,2542475,0.0,1.0
2019-05-31,26.58,26.62,26.13,26.25,26.0088,2844067,0.0,1.0
2019-05-30,26.56,26.75,26.5,26.66,26.4151,1747735,0.0,1.0
2019-05-29,26.94,26.97,26.385,26.53,26.2863,3258932,0.0,1.0
2019-05-28,27.59,27.68,27.06,27.1,26.851,3029773,0.0,1.0
2019-05-24,27.24,27.54,27.145,27.54,27.287,1585399,0.0,1.0
2019-05-23,26.86,27.24,26.7,27.22,26.9699,1977826,0.0,1.0
2019-05-22,27.27,27.32,26.91,26.96,26.7123,2029456,0.0,1.0
2019-05-21,27.09,27.45,26.94,27.34,27.0888,1846808,0.0,1.0
2019-05-20,26.99,27.09,26.86,26.98,26.7321,1650892,0.0,1.0
2019-05-17,27.31,27.56,26.99,27.02,26.7718,2429919,0.0,1.0
2019-05-16,27.44,27.63,27.355,27.44,27.1879,1398923,0.0,1.0
2019-05-15,27.06,27.43,26.92,27.4,27.1483,1595138,0.0,1.0
2019-05-14,27.22,27.435,27.12,27.14,26.8907,2009583,0.0,1.0
2019-05-13,26.79,27.27,26.685,27.17,26.9204,2122096,0.0,1.0
2019-05-10,26.78,27.29,26.69,27.19,26.9402,1631584,0.0,1.0
2019-05-09,26.35,26.915,26.3,26.8,26.5538,2295548,0.0,1.0
2019-05-08,26.79,26.85,26.25,26.52,26.2764,3101204,0.0,1.0
2019-05-07,26.82,27.215,26.73,26.85,26.6033,2691063,0.0,1.0
