timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,13.0,13.44,12.92,13.35,13.35,160830,0.0,1.0
2019-07-25,13.15,13.24,12.8,12.91,12.91,272915,0.0,1.0
2019-07-24,13.16,13.38,12.95,13.15,13.15,152088,0.0,1.0
2019-07-23,13.31,13.4,13.08,13.17,13.17,113161,0.0,1.0
2019-07-22,13.56,13.76,13.19,13.3,13.3,121050,0.0,1.0
2019-07-19,13.79,13.91,13.54,13.55,13.55,110077,0.0,1.0
2019-07-18,13.87,13.97,13.67,13.81,13.81,109245,0.0,1.0
2019-07-17,13.99,14.03,13.65,13.95,13.95,116320,0.0,1.0
2019-07-16,13.86,14.2,13.79,14.0,14.0,163179,0.0,1.0
2019-07-15,14.0,14.01,13.64,13.88,13.88,97019,0.0,1.0
2019-07-12,13.89,14.3,13.84,14.0,14.0,231989,0.0,1.0
2019-07-11,13.96,14.0,13.49,13.87,13.87,135530,0.0,1.0
2019-07-10,14.26,14.31,13.82,13.91,13.91,118582,0.0,1.0
2019-07-09,14.12,14.26,13.965,14.19,14.19,219139,0.0,1.0
2019-07-08,14.06,14.37,14.06,14.25,14.25,169689,0.0,1.0
2019-07-05,13.96,14.21,13.9,14.14,14.14,108190,0.0,1.0
2019-07-03,14.04,14.19,13.93,14.01,14.01,79323,0.0,1.0
2019-07-02,13.99,14.105,13.7201,13.97,13.97,187380,0.0,1.0
2019-07-01,13.9,14.31,13.895,13.96,13.96,350133,0.0,1.0
2019-06-28,14.05,14.29,13.77,13.79,13.79,1411569,0.0,1.0
2019-06-27,13.88,14.05,13.79,14.0,14.0,237272,0.0,1.0
2019-06-26,13.71,14.04,13.67,13.84,13.84,233371,0.0,1.0
2019-06-25,13.79,13.94,13.61,13.75,13.75,101529,0.0,1.0
2019-06-24,13.74,14.06,13.64,13.79,13.79,186049,0.0,1.0
2019-06-21,13.75,13.82,13.565,13.75,13.75,155140,0.0,1.0
2019-06-20,13.95,14.18,13.62,13.76,13.76,127816,0.0,1.0
2019-06-19,13.64,14.01,13.5,13.88,13.88,135781,0.0,1.0
2019-06-18,13.66,13.9,13.59,13.69,13.69,141352,0.0,1.0
2019-06-17,13.74,13.82,13.56,13.65,13.65,117578,0.0,1.0
2019-06-14,13.47,14.04,13.2825,13.71,13.71,264702,0.0,1.0
2019-06-13,13.67,13.86,13.41,13.65,13.65,485104,0.0,1.0
2019-06-12,13.34,13.65,13.2015,13.6,13.6,163457,0.0,1.0
2019-06-11,13.25,13.61,13.11,13.22,13.22,109837,0.0,1.0
2019-06-10,13.62,13.68,13.05,13.19,13.19,121677,0.0,1.0
2019-06-07,13.16,13.4,13.12,13.37,13.37,106993,0.0,1.0
2019-06-06,13.51,13.58,13.05,13.21,13.21,133930,0.0,1.0
2019-06-05,13.42,14.0,13.42,13.57,13.57,282463,0.0,1.0
2019-06-04,13.9,13.97,13.35,13.64,13.64,422582,0.0,1.0
2019-06-03,13.53,13.73,13.34,13.64,13.64,189153,0.0,1.0
2019-05-31,13.34,13.67,13.31,13.58,13.58,162325,0.0,1.0
2019-05-30,13.56,13.6499,13.24,13.51,13.51,169551,0.0,1.0
2019-05-29,14.14,14.175,13.48,13.54,13.54,231624,0.0,1.0
2019-05-28,14.42,14.75,14.26,14.31,14.31,300472,0.0,1.0
2019-05-24,14.64,14.82,14.37,14.46,14.46,323767,0.0,1.0
2019-05-23,14.65,14.7804,14.53,14.62,14.62,168459,0.0,1.0
2019-05-22,14.67,14.99,14.67,14.84,14.84,116749,0.0,1.0
2019-05-21,14.69,14.96,14.6,14.81,14.81,242219,0.0,1.0
2019-05-20,14.82,14.875,14.59,14.62,14.62,303099,0.0,1.0
2019-05-17,14.94,15.11,14.78,15.0,15.0,350347,0.0,1.0
2019-05-16,15.06,15.39,14.91,15.1,15.1,189785,0.0,1.0
2019-05-15,15.19,15.4,14.09,15.01,15.01,351597,0.0,1.0
2019-05-14,15.93,16.23,15.09,15.39,15.39,295207,0.0,1.0
2019-05-13,16.09,16.5,15.55,15.64,15.64,364062,0.0,1.0
2019-05-10,15.87,16.11,15.62,16.09,16.09,162796,0.0,1.0
2019-05-09,15.82,16.2,15.8,15.9,15.9,106106,0.0,1.0
2019-05-08,16.24,16.28,15.66,16.12,16.12,267641,0.0,1.0
2019-05-07,16.27,16.3404,15.73,15.94,15.94,158871,0.0,1.0
2019-05-06,16.24,16.59,16.08,16.37,16.37,137380,0.0,1.0
2019-05-03,16.57,16.95,16.3,16.45,16.45,479959,0.0,1.0
2019-05-02,16.54,16.64,16.09,16.48,16.48,150752,0.0,1.0
2019-05-01,15.95,16.65,15.75,16.53,16.53,318837,0.0,1.0
2019-04-30,15.68,15.68,15.24,15.34,15.34,150530,0.0,1.0
2019-04-29,16.07,16.3,15.68,15.68,15.68,281071,0.0,1.0
2019-04-26,15.44,16.21,15.2,16.09,16.09,280168,0.0,1.0
2019-04-25,15.6,15.71,15.26,15.5,15.5,174259,0.0,1.0
2019-04-24,15.76,15.92,15.55,15.7,15.7,327550,0.0,1.0
2019-04-23,15.54,15.95,15.415,15.74,15.74,257806,0.0,1.0
2019-04-22,15.94,15.94,15.315,15.47,15.47,139042,0.0,1.0
2019-04-18,15.48,15.78,15.2923,15.53,15.53,171263,0.0,1.0
2019-04-17,15.12,15.57,15.03,15.51,15.51,249769,0.0,1.0
2019-04-16,15.05,15.18,14.97,14.98,14.98,161248,0.0,1.0
2019-04-15,15.03,15.24,14.93,15.01,15.01,84822,0.0,1.0
2019-04-12,15.2,15.3,14.9,15.11,15.11,141730,0.0,1.0
2019-04-11,15.0,15.32,15.0,15.11,15.11,210207,0.0,1.0
2019-04-10,14.7,15.05,14.7,15.02,15.02,150091,0.0,1.0
2019-04-09,14.7,14.84,14.615,14.74,14.74,379723,0.0,1.0
2019-04-08,14.53,14.83,14.45,14.75,14.75,275776,0.0,1.0
2019-04-05,14.45,14.77,14.19,14.55,14.55,182399,0.0,1.0
2019-04-04,13.71,14.515,13.61,14.42,14.42,342325,0.0,1.0
2019-04-03,13.46,13.83,13.29,13.7,13.7,242546,0.0,1.0
2019-04-02,14.03,14.03,12.89,13.37,13.37,422885,0.0,1.0
2019-04-01,13.8,13.83,13.32,13.76,13.76,211795,0.0,1.0
2019-03-29,13.83,14.0,13.64,13.75,13.75,255387,0.0,1.0
2019-03-28,13.84,14.0706,13.69,13.78,13.78,258595,0.0,1.0
2019-03-27,13.54,13.9,13.54,13.78,13.78,179789,0.0,1.0
2019-03-26,13.37,13.75,13.35,13.63,13.63,197268,0.0,1.0
2019-03-25,13.31,13.53,13.09,13.25,13.25,291024,0.0,1.0
2019-03-22,14.25,14.4051,13.33,13.34,13.34,347928,0.0,1.0
2019-03-21,14.07,14.42,14.07,14.36,14.36,281679,0.0,1.0
2019-03-20,14.49,14.76,14.17,14.28,14.28,367072,0.0,1.0
2019-03-19,14.57,14.69,14.11,14.52,14.52,257523,0.0,1.0
2019-03-18,13.97,14.24,13.69,14.12,14.12,452334,0.0,1.0
2019-03-15,14.29,14.48,13.8,14.03,14.03,747343,0.0,1.0
2019-03-14,13.83,15.37,13.58,14.29,14.29,825438,0.0,1.0
2019-03-13,13.7,14.16,13.68,14.09,14.09,598640,0.0,1.0
2019-03-12,13.85,13.85,13.46,13.65,13.65,176017,0.0,1.0
2019-03-11,13.84,13.97,13.67,13.75,13.75,273438,0.0,1.0
2019-03-08,13.94,14.01,13.65,13.84,13.84,208201,0.0,1.0
2019-03-07,13.93,14.49,13.72,14.09,14.09,289731,0.0,1.0
2019-03-06,14.32,14.3581,13.8,13.81,13.81,197912,0.0,1.0
2019-03-05,14.76,14.89,14.16,14.3,14.3,163250,0.0,1.0
2019-03-04,14.85,14.85,14.58,14.64,14.64,218316,0.0,1.0
2019-03-01,15.6,15.6,14.53,14.81,14.81,151006,0.0,1.0
2019-02-28,14.99,15.02,14.67,14.9,14.9,221703,0.0,1.0
