timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,18.16,18.345,17.09,17.11,17.11,116060,0.0,1.0
2019-07-24,16.93,18.27,16.81,18.18,18.18,143213,0.0,1.0
2019-07-23,17.76,17.91,16.82,16.94,16.94,287476,0.0,1.0
2019-07-22,17.75,18.09,17.32,17.69,17.69,192324,0.0,1.0
2019-07-19,18.46,19.43,17.52,17.88,17.88,761878,0.0,1.0
2019-07-18,20.31,20.65,20.12,20.2,20.2,176107,0.0,1.0
2019-07-17,20.65,20.755,19.91,20.3,20.3,142257,0.0,1.0
2019-07-16,21.43,21.6,20.58,20.62,20.62,88731,0.0,1.0
2019-07-15,20.93,21.67,20.8531,21.18,21.18,128015,0.0,1.0
2019-07-12,21.65,21.65,20.41,20.84,20.84,172870,0.0,1.0
2019-07-11,21.98,22.1,21.44,21.51,21.51,99800,0.0,1.0
2019-07-10,21.8,22.47,21.66,21.92,21.92,135966,0.0,1.0
2019-07-09,22.4,22.55,21.54,21.67,21.67,162592,0.0,1.0
2019-07-08,23.35,23.57,22.29,22.4,22.4,79031,0.0,1.0
2019-07-05,22.98,23.35,22.85,23.34,23.34,59110,0.0,1.0
2019-07-03,23.42,23.84,22.68,23.01,23.01,64648,0.0,1.0
2019-07-02,23.68,23.8429,22.9021,23.3,23.3,93789,0.0,1.0
2019-07-01,23.76,24.68,23.5,23.64,23.64,117067,0.0,1.0
2019-06-28,22.81,23.84,22.81,23.36,23.36,220011,0.0,1.0
2019-06-27,22.45,22.86,22.2,22.83,22.83,81163,0.0,1.0
2019-06-26,22.77,23.05,22.2,22.3,22.3,78770,0.0,1.0
2019-06-25,22.8,23.02,22.485,22.62,22.62,112697,0.0,1.0
2019-06-24,23.91,24.0,22.66,22.77,22.77,83300,0.0,1.0
2019-06-21,24.76,25.08,23.81,23.97,23.97,77722,0.0,1.0
2019-06-20,24.75,25.11,23.88,24.92,24.92,154509,0.0,1.0
2019-06-19,23.75,24.39,23.58,24.36,24.36,89448,0.0,1.0
2019-06-18,23.18,23.89,23.0,23.81,23.81,114925,0.0,1.0
2019-06-17,22.51,23.15,22.44,23.04,23.04,138201,0.0,1.0
2019-06-14,22.59,23.55,22.49,22.5,22.5,227822,0.0,1.0
2019-06-13,22.69,22.97,21.89,22.64,22.64,153142,0.0,1.0
2019-06-12,23.03,23.354,22.35,22.68,22.68,171996,0.0,1.0
2019-06-11,23.43,24.29,22.5,23.0,23.0,308629,0.0,1.0
2019-06-10,25.05,26.9346,23.73,23.9,23.9,445509,0.0,1.0
2019-06-07,26.9,28.31,26.31,27.86,27.86,141425,0.0,1.0
2019-06-06,27.38,27.44,26.28,26.7,26.7,88663,0.0,1.0
2019-06-05,26.35,27.49,26.05,27.33,27.33,134403,0.0,1.0
2019-06-04,26.0,26.34,25.38,26.27,26.27,107316,0.0,1.0
2019-06-03,26.09,26.09,24.8,25.54,25.54,113320,0.0,1.0
2019-05-31,25.75,27.2,25.45,26.09,26.09,189605,0.0,1.0
2019-05-30,25.12,26.34,24.61,26.24,26.24,113729,0.0,1.0
2019-05-29,24.08,25.3577,23.7,25.1,25.1,110747,0.0,1.0
2019-05-28,24.85,25.07,24.13,24.32,24.32,94731,0.0,1.0
2019-05-24,24.75,25.03,24.2,24.94,24.94,63079,0.0,1.0
2019-05-23,25.66,25.66,23.89,24.53,24.53,142703,0.0,1.0
2019-05-22,25.47,26.19,25.02,25.99,25.99,127398,0.0,1.0
