timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,4.5,4.6,4.2908,4.57,4.57,30410,0.0,1.0
2019-07-23,4.57,4.66,4.5,4.5,4.5,9800,0.0,1.0
2019-07-22,4.61,4.67,4.56,4.62,4.62,18572,0.0,1.0
2019-07-19,4.52,4.66,4.52,4.56,4.56,22612,0.0,1.0
2019-07-18,4.6029,4.63,4.54,4.54,4.54,14118,0.0,1.0
2019-07-17,4.56,4.6572,4.56,4.57,4.57,16359,0.0,1.0
2019-07-16,4.67,4.81,4.67,4.7,4.7,15015,0.0,1.0
2019-07-15,4.62,4.73,4.6,4.67,4.67,11674,0.0,1.0
2019-07-12,4.58,4.7,4.58,4.61,4.61,35794,0.0,1.0
2019-07-11,4.62,4.74,4.59,4.6,4.6,28677,0.0,1.0
2019-07-10,4.63,4.74,4.63,4.71,4.71,17546,0.0,1.0
2019-07-09,4.69,4.74,4.62,4.67,4.67,33070,0.0,1.0
2019-07-08,4.75,4.7601,4.6,4.67,4.67,138490,0.0,1.0
2019-07-05,4.69,4.755,4.59,4.755,4.755,31944,0.0,1.0
2019-07-03,4.61,4.655,4.53,4.655,4.655,222141,0.0,1.0
2019-07-02,4.68,4.69,4.54,4.57,4.57,94019,0.0,1.0
2019-07-01,4.79,4.85,4.67,4.68,4.68,34611,0.0,1.0
2019-06-28,4.66,4.82,4.58,4.81,4.81,11236,0.0,1.0
2019-06-27,4.55,4.85,4.55,4.67,4.67,11949,0.0,1.0
2019-06-26,4.62,4.7165,4.5,4.54,4.54,68967,0.0,1.0
2019-06-25,4.66,4.6916,4.57,4.57,4.57,32349,0.0,1.0
2019-06-24,4.74,4.77,4.67,4.67,4.67,25499,0.0,1.0
2019-06-21,4.79,4.8,4.74,4.74,4.74,26324,0.0,1.0
2019-06-20,4.8,4.84,4.79,4.8,4.8,58148,0.0,1.0
2019-06-19,4.85,4.94,4.83,4.83,4.83,8148,0.0,1.0
2019-06-18,4.76,4.9139,4.76,4.81,4.81,40883,0.0,1.0
2019-06-17,4.83,5.01,4.8,4.8,4.8,3855,0.0,1.0
2019-06-14,4.9632,5.14,4.8446,4.88,4.88,14714,0.0,1.0
2019-06-13,4.8,4.98,4.8,4.92,4.92,14487,0.0,1.0
2019-06-12,5.0,5.02,4.77,4.82,4.82,66020,0.0,1.0
2019-06-11,4.9617,4.9617,4.9,4.95,4.95,16175,0.0,1.0
2019-06-10,4.92,4.98,4.92,4.93,4.93,25593,0.0,1.0
