timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,19.43,19.62,19.18,19.61,19.61,5359433,0.0,1.0
2019-07-25,20.19,20.33,19.09,19.53,19.53,8730694,0.0,1.0
2019-07-24,19.56,20.145,19.54,20.06,20.06,7285806,0.0,1.0
2019-07-23,19.65,19.775,19.47,19.67,19.67,5169238,0.0,1.0
2019-07-22,19.77,19.86,19.345,19.52,19.52,5129055,0.0,1.0
2019-07-19,19.73,20.015,19.73,19.77,19.77,3630225,0.0,1.0
2019-07-18,19.42,19.6953,19.39,19.67,19.67,3909113,0.0,1.0
2019-07-17,19.8,19.88,19.28,19.45,19.45,5117819,0.0,1.0
2019-07-16,20.18,20.18,19.88,19.9,19.9,4735806,0.0,1.0
2019-07-15,20.15,20.4316,20.07,20.12,20.12,4083800,0.0,1.0
2019-07-12,19.91,20.285,19.9,20.13,20.13,4727980,0.0,1.0
2019-07-11,20.32,20.37,19.67,19.8,19.8,7060882,0.0,1.0
2019-07-10,20.71,20.83,20.37,20.43,20.43,4426398,0.0,1.0
2019-07-09,20.45,20.725,20.37,20.63,20.63,3880584,0.0,1.0
2019-07-08,20.77,20.93,20.54,20.59,20.59,3997925,0.0,1.0
2019-07-05,20.88,21.095,20.84,20.97,20.97,2752911,0.0,1.0
2019-07-03,20.63,21.0,20.6,20.82,20.82,2291586,0.0,1.0
2019-07-02,20.48,20.62,20.43,20.54,20.54,11650990,0.0,1.0
2019-07-01,20.77,20.85,20.26,20.54,20.54,4704701,0.0,1.0
2019-06-28,20.54,20.665,20.305,20.46,20.46,5301424,0.0,1.0
2019-06-27,20.2,20.49,20.2,20.36,20.36,3817397,0.0,1.0
2019-06-26,20.13,20.23,19.915,20.1,20.1,5906954,0.0,1.0
2019-06-25,20.35,20.37,19.955,20.01,20.01,4425411,0.0,1.0
2019-06-24,20.6,20.93,20.43,20.46,20.46,3333091,0.0,1.0
2019-06-21,20.69,20.95,20.45,20.59,20.59,6079990,0.0,1.0
2019-06-20,20.55,20.81,20.47,20.74,20.74,2874820,0.0,1.0
2019-06-19,20.52,20.645,20.26,20.34,20.34,3384075,0.0,1.0
2019-06-18,20.2,20.64,20.09,20.35,20.35,4438116,0.0,1.0
2019-06-17,20.62,20.62,20.08,20.15,20.15,3723227,0.0,1.0
2019-06-14,20.58,20.7,20.26,20.64,20.64,2953008,0.0,1.0
2019-06-13,20.52,20.67,20.29,20.59,20.59,3686325,0.0,1.0
2019-06-12,20.61,20.65,20.235,20.47,20.47,3447786,0.0,1.0
2019-06-11,20.7,21.025,20.49,20.61,20.61,4689684,0.0,1.0
2019-06-10,20.75,20.82,20.355,20.48,20.48,5363580,0.0,1.0
2019-06-07,20.5,20.75,20.48,20.58,20.58,4441445,0.0,1.0
2019-06-06,20.55,20.85,20.49,20.76,20.76,4757945,0.0,1.0
2019-06-05,20.73,20.78,20.27,20.62,20.62,5065303,0.0,1.0
2019-06-04,20.36,20.71,20.15,20.7,20.7,4357951,0.0,1.0
2019-06-03,19.46,20.04,19.44,19.99,19.99,7050711,0.0,1.0
2019-05-31,20.03,20.05,19.45,19.54,19.54,9862696,0.0,1.0
2019-05-30,20.51,20.68,20.33,20.38,20.38,6119722,0.0,1.0
2019-05-29,19.97,20.52,19.79,20.42,20.42,6529484,0.0,1.0
2019-05-28,20.3,20.45,20.08,20.11,20.11,4698739,0.0,1.0
2019-05-24,20.39,20.57,20.36,20.42,20.42,2715533,0.0,1.0
2019-05-23,20.44,20.45,20.09,20.22,20.22,4678684,0.0,1.0
2019-05-22,20.77,21.01,20.7,20.75,20.75,3427062,0.0,1.0
2019-05-21,20.73,21.005,20.71,20.88,20.88,3982676,0.0,1.0
2019-05-20,20.25,20.7,20.22,20.65,20.65,3142625,0.0,1.0
