timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,25.51,26.4875,25.47,26.43,26.43,1663459,0.0,1.0
2019-07-23,26.52,26.52,25.48,25.53,25.53,1722729,0.0,1.0
2019-07-22,26.72,26.85,26.301,26.33,26.33,1273492,0.0,1.0
2019-07-19,26.71,26.81,26.46,26.64,26.64,1418993,0.0,1.0
2019-07-18,26.8,27.03,26.43,26.79,26.79,1501070,0.0,1.0
2019-07-17,27.01,27.1,26.575,26.8,26.8,1321681,0.0,1.0
2019-07-16,26.23,26.84,26.14,26.74,26.74,1077954,0.0,1.0
2019-07-15,26.63,26.72,26.1,26.32,26.32,1002259,0.0,1.0
2019-07-12,25.86,26.655,25.86,26.37,26.37,1291882,0.0,1.0
2019-07-11,26.32,26.36,25.52,25.84,25.84,1691085,0.0,1.0
2019-07-10,26.57,26.68,25.89,26.32,26.32,1602156,0.0,1.0
2019-07-09,26.48,26.53,26.09,26.3,26.3,1064012,0.0,1.0
2019-07-08,25.99,26.56,25.8,26.48,26.48,1719393,0.0,1.0
2019-07-05,26.35,26.4,25.53,25.96,25.96,1226149,0.0,1.0
2019-07-03,26.14,26.65,26.05,26.59,26.59,1018985,0.0,1.0
2019-07-02,25.94,26.21,25.5444,26.14,26.14,2392855,0.0,1.0
2019-07-01,26.25,26.42,25.55,25.95,25.95,1611206,0.0,1.0
2019-06-28,25.55,26.11,25.55,25.73,25.73,3296365,0.0,1.0
2019-06-27,25.21,25.7204,24.56,25.39,25.39,7066931,0.0,1.0
2019-06-26,23.7,23.9971,23.3,23.53,23.53,3791045,0.0,1.0
2019-06-25,24.96,25.05,23.32,23.82,23.82,3202859,0.0,1.0
2019-06-24,24.73,24.9334,24.18,24.47,24.47,1752891,0.0,1.0
2019-06-21,25.33,25.4435,24.53,24.62,24.62,1666512,0.0,1.0
2019-06-20,25.32,25.64,25.06,25.51,25.51,1344115,0.0,1.0
2019-06-19,25.48,25.48,24.503,25.09,25.09,2143577,0.0,1.0
2019-06-18,25.7,26.36,25.4,25.56,25.56,2290153,0.0,1.0
2019-06-17,26.5,26.5,25.57,26.2,26.2,1328503,0.0,1.0
2019-06-14,26.38,26.65,26.18,26.46,26.46,983296,0.0,1.0
2019-06-13,26.08,26.55,26.02,26.47,26.47,899724,0.0,1.0
2019-06-12,26.07,26.36,25.91,25.98,25.98,896357,0.0,1.0
2019-06-11,26.57,26.64,25.7,26.0,26.0,977454,0.0,1.0
2019-06-10,26.59,26.81,26.24,26.42,26.42,587858,0.0,1.0
2019-06-07,26.36,26.75,26.25,26.55,26.55,807604,0.0,1.0
2019-06-06,26.4,26.79,25.96,26.19,26.19,971842,0.0,1.0
2019-06-05,26.55,26.7,26.04,26.33,26.33,1688421,0.0,1.0
2019-06-04,25.89,26.45,25.3,26.39,26.39,1711643,0.0,1.0
2019-06-03,25.19,26.05,25.07,25.8,25.8,1286489,0.0,1.0
2019-05-31,25.36,25.75,24.87,25.13,25.13,1288508,0.0,1.0
2019-05-30,25.99,26.27,25.24,25.59,25.59,1237807,0.0,1.0
2019-05-29,26.31,26.56,25.84,26.06,26.06,1568696,0.0,1.0
