timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,60.94,61.035,59.36,60.3,60.3,58162,0.0,1.0
2019-07-25,60.6,61.12,59.83,60.39,60.39,84453,0.0,1.0
2019-07-24,60.29,61.15,59.78,60.72,60.72,70655,0.0,1.0
2019-07-23,61.51,61.82,59.78,60.49,60.49,84594,0.0,1.0
2019-07-22,61.44,61.77,60.91,61.29,61.29,34736,0.0,1.0
2019-07-19,61.52,61.94,61.23,61.52,61.52,39702,0.0,1.0
2019-07-18,61.87,61.88,60.66,61.71,61.71,74733,0.0,1.0
2019-07-17,62.53,62.95,61.56,61.6,61.6,30988,0.0,1.0
2019-07-16,62.99,62.99,62.07,62.63,62.63,44399,0.0,1.0
2019-07-15,62.48,62.99,61.91,62.79,62.79,22400,0.0,1.0
2019-07-12,62.92,62.92,61.62,62.07,62.07,30730,0.0,1.0
2019-07-11,62.17,62.61,61.9201,62.39,62.39,33354,0.0,1.0
2019-07-10,61.53,62.57,61.53,62.39,62.39,28645,0.0,1.0
2019-07-09,63.1,63.43,61.02,61.73,61.73,140088,0.0,1.0
2019-07-08,63.1,63.195,62.67,63.12,63.12,214402,0.0,1.0
2019-07-05,62.95,63.31,62.195,62.98,62.98,59788,0.0,1.0
2019-07-03,62.87,63.3,62.87,62.95,62.95,14572,0.0,1.0
2019-07-02,62.79,63.1,62.77,63.09,63.09,48651,0.0,1.0
2019-07-01,62.29,63.1,62.095,62.55,62.55,31415,0.0,1.0
2019-06-28,62.21,63.2,61.81,62.14,62.14,25482,0.0,1.0
2019-06-27,62.92,63.27,61.74,62.13,62.13,42689,0.0,1.0
2019-06-26,62.84,63.35,61.98,62.52,62.52,70310,0.0,1.0
2019-06-25,63.3,63.31,62.54,62.75,62.75,24712,0.0,1.0
2019-06-24,62.96,63.64,62.46,62.82,62.82,30348,0.0,1.0
2019-06-21,63.8,64.37,62.41,62.62,62.62,29700,0.0,1.0
2019-06-20,64.31,64.68,63.25,63.87,63.87,108745,0.0,1.0
2019-06-19,63.84,63.84,63.26,63.48,63.48,60691,0.0,1.0
2019-06-18,63.95,64.9,63.33,63.41,63.41,43372,0.0,1.0
2019-06-17,64.15,64.41,63.11,63.15,63.15,33543,0.0,1.0
2019-06-14,64.39,64.75,64.0,64.18,64.18,27736,0.0,1.0
2019-06-13,64.9,65.32,64.38,64.65,64.65,29898,0.0,1.0
2019-06-12,64.72,65.58,64.4,64.59,64.59,65764,0.0,1.0
2019-06-11,64.58,64.93,63.69,64.84,64.84,74176,0.0,1.0
2019-06-10,63.55,64.51,63.49,63.92,63.92,57987,0.0,1.0
2019-06-07,63.75,63.8,62.97,63.07,63.07,24902,0.0,1.0
2019-06-06,63.31,63.67,62.36,63.42,63.42,62568,0.0,1.0
2019-06-05,63.34,65.37,63.34,63.65,63.65,44792,0.0,1.0
2019-06-04,62.99,63.93,62.82,63.27,63.27,40564,0.0,1.0
2019-06-03,62.55,62.79,62.03,62.68,62.68,56413,0.0,1.0
2019-05-31,62.5,62.99,61.09,62.3,62.3,57092,0.0,1.0
2019-05-30,63.44,64.29,62.99,63.45,63.45,40773,0.0,1.0
2019-05-29,62.67,63.2,61.94,62.91,62.91,63176,0.0,1.0
2019-05-28,64.05,64.05,62.33,62.35,62.35,95978,0.0,1.0
2019-05-24,64.92,64.92,63.28,63.3,63.3,117677,0.0,1.0
2019-05-23,63.41,64.84,63.41,64.39,64.39,61294,0.0,1.0
2019-05-22,64.3,64.42,63.47,64.13,64.13,37286,0.0,1.0
2019-05-21,63.61,64.11,62.63,64.11,64.11,103129,0.0,1.0
2019-05-20,62.32,63.42,62.11,63.24,63.24,44385,0.0,1.0
2019-05-17,62.36,63.62,62.36,62.73,62.73,50668,0.0,1.0
2019-05-16,63.22,64.34,63.01,63.14,63.14,140777,0.0,1.0
2019-05-15,62.67,63.7,62.02,63.43,63.43,56479,0.0,1.0
2019-05-14,62.56,63.34,62.26,62.69,62.69,40953,0.0,1.0
2019-05-13,61.53,62.35,61.02,62.03,62.03,36876,0.0,1.0
2019-05-10,62.21,63.025,61.33,62.62,62.62,76008,0.0,1.0
2019-05-09,62.35,62.69,61.7,62.18,62.18,101493,0.0,1.0
2019-05-08,64.28,64.28,62.95,63.06,63.06,66931,0.0,1.0
2019-05-07,64.27,64.57,63.65,63.85,63.85,71432,0.0,1.0
2019-05-06,64.1,65.03,63.24,64.85,64.85,57910,0.0,1.0
2019-05-03,64.33,65.04,64.33,64.91,64.91,136894,0.7699,1.0
2019-05-02,64.11,65.06,64.11,64.64,63.8823,102896,0.0,1.0
2019-05-01,64.06,64.72,64.06,64.21,63.4573,123718,0.0,1.0
2019-04-30,64.2,65.0135,63.89,64.12,63.3684,80233,0.0,1.0
2019-04-29,63.65,64.94,63.65,64.08,63.3288,27386,0.0,1.0
2019-04-26,62.87,63.58,62.63,63.3,62.558,174171,0.0,1.0
2019-04-25,63.31,63.335,62.5,62.83,62.0935,64478,0.0,1.0
2019-04-24,63.85,64.0,62.65,63.69,62.9434,77472,0.0,1.0
2019-04-23,64.63,64.63,63.57,63.77,63.0225,80561,0.0,1.0
2019-04-22,64.3,64.88,63.61,64.01,63.2596,60439,0.0,1.0
2019-04-18,65.03,65.31,64.5,64.64,63.8823,32639,0.0,1.0
2019-04-17,65.75,65.75,64.72,65.2,64.4357,53576,0.0,1.0
2019-04-16,65.59,65.77,64.85,65.15,64.3863,87032,0.0,1.0
2019-04-15,65.7,66.17,65.25,65.6,64.831,49782,0.0,1.0
2019-04-12,66.09,66.74,65.62,65.85,65.0781,45320,0.0,1.0
2019-04-11,66.89,67.27,66.015,66.14,65.3647,32123,0.0,1.0
2019-04-10,68.32,68.32,66.9,67.2,66.4123,64329,0.0,1.0
2019-04-09,69.0,69.0,67.34,67.7,66.9064,157265,0.0,1.0
2019-04-08,67.86,68.69,67.825,68.51,67.7069,42793,0.0,1.0
2019-04-05,67.0,68.26,66.95,68.02,67.2226,38658,0.0,1.0
2019-04-04,65.94,66.93,65.49,66.75,65.9675,90236,0.0,1.0
2019-04-03,66.2,66.82,66.02,66.1,65.3251,83259,0.0,1.0
2019-04-02,66.94,66.94,65.84,66.32,65.5426,89393,0.0,1.0
2019-04-01,66.74,66.82,66.02,66.57,65.7896,101428,0.0,1.0
2019-03-29,65.56,66.19,65.39,66.0,65.2263,163260,0.0,1.0
2019-03-28,64.7518,65.76,63.57,65.28,64.5148,143363,0.0,1.0
2019-03-27,64.38,65.03,63.96,64.14,63.3881,132610,0.0,1.0
2019-03-26,64.89,65.33,64.66,65.17,64.406,58861,0.0,1.0
2019-03-25,63.19,64.6729,62.95,64.4,63.6451,61115,0.0,1.0
2019-03-22,64.13,64.49,62.67,63.0,62.2615,103220,0.0,1.0
2019-03-21,64.79,66.24,64.79,64.99,64.2282,95449,0.0,1.0
2019-03-20,62.26,66.0,62.26,65.17,64.406,142186,0.0,1.0
2019-03-19,63.03,64.19,63.03,63.26,62.5184,126178,0.0,1.0
2019-03-18,62.35,63.16,62.35,63.09,62.3504,28430,0.0,1.0
2019-03-15,61.32,62.5,60.75,62.1,61.372,131501,0.0,1.0
2019-03-14,60.86,61.22,60.21,60.38,59.6722,59996,0.0,1.0
