timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,90.44,91.86,89.74,91.46,91.46,52213,0.0,1.0
2019-07-25,90.24,90.505,89.35,90.07,90.07,49303,0.0,1.0
2019-07-24,88.3,90.45,87.83,90.22,90.22,86046,0.0,1.0
2019-07-23,88.43,89.54,88.37,88.71,88.71,76043,0.0,1.0
2019-07-22,87.3,88.2,85.99,88.11,88.11,62014,0.0,1.0
2019-07-19,85.29,88.03,85.18,86.8,86.8,121462,0.0,1.0
2019-07-18,86.2,86.9,85.19,85.34,85.34,69789,0.0,1.0
2019-07-17,85.43,86.73,84.6,86.2,86.2,71081,0.0,1.0
2019-07-16,84.65,86.6,83.25,85.42,85.42,81463,0.0,1.0
2019-07-15,88.37,88.94,84.23,85.65,85.65,98560,0.0,1.0
2019-07-12,85.24,88.555,85.22,88.05,88.05,68925,0.0,1.0
2019-07-11,84.92,85.37,83.0,85.19,85.19,112488,0.0,1.0
2019-07-10,90.2,92.41,84.65,84.99,84.99,225148,0.0,1.0
2019-07-09,73.6,89.89,73.0,89.13,89.13,751472,0.0,1.0
2019-07-08,82.68,83.3,79.17,79.55,79.55,163833,0.0,1.0
2019-07-05,82.33,83.6,81.665,83.06,83.06,59918,0.0,1.0
2019-07-03,81.64,82.62,81.33,82.11,82.11,29507,0.0,1.0
2019-07-02,81.38,82.17,80.78,82.05,82.05,70146,0.0,1.0
2019-07-01,83.0,83.84,80.63,81.51,81.51,102679,0.0,1.0
2019-06-28,81.18,83.22,81.18,82.21,82.21,314120,0.0,1.0
2019-06-27,80.0,81.35,79.29,81.12,81.12,56088,0.0,1.0
2019-06-26,80.43,81.15,78.8,79.9,79.9,46538,0.0,1.0
2019-06-25,78.23,80.47,77.97,80.3,80.3,62781,0.0,1.0
2019-06-24,79.67,80.31,78.04,78.24,78.24,79549,0.0,1.0
2019-06-21,80.12,81.6,79.825,79.9,79.9,113900,0.0,1.0
2019-06-20,79.71,80.79,78.545,80.61,80.61,130448,0.0,1.0
2019-06-19,80.86,81.18,78.75,78.85,78.85,83529,0.0,1.0
2019-06-18,79.56,81.72,79.56,81.0,81.0,54477,0.0,1.0
2019-06-17,78.21,80.34,77.86,79.06,79.06,101238,0.0,1.0
2019-06-14,79.78,80.805,77.77,78.23,78.23,69207,0.0,1.0
2019-06-13,79.69,80.39,79.26,79.81,79.81,80687,0.0,1.0
2019-06-12,78.58,79.8,78.3,79.36,79.36,130212,0.0,1.0
2019-06-11,78.45,79.82,78.45,78.87,78.87,78948,0.0,1.0
2019-06-10,83.1,83.96,77.5,77.72,77.72,108439,0.0,1.0
2019-06-07,84.91,85.75,82.83,83.0,83.0,66095,0.0,1.0
2019-06-06,84.1,84.8,82.49,84.31,84.31,73384,0.0,1.0
2019-06-05,84.18,84.2583,82.91,84.13,84.13,30749,0.0,1.0
2019-06-04,83.16,85.09,82.6,83.94,83.94,88463,0.0,1.0
2019-06-03,79.9,82.74,79.9,82.38,82.38,71379,0.0,1.0
2019-05-31,79.79,80.14,78.99,79.38,79.38,60652,0.0,1.0
2019-05-30,81.11,81.54,79.46,80.79,80.79,79721,0.0,1.0
2019-05-29,77.64,81.05,77.64,80.8,80.8,70500,0.0,1.0
2019-05-28,77.63,79.29,77.09,78.26,78.26,42810,0.0,1.0
2019-05-24,78.32,78.43,77.09,77.31,77.31,77074,0.0,1.0
2019-05-23,79.4,79.5,76.95,77.62,77.62,101182,0.0,1.0
2019-05-22,79.85,81.02,79.75,79.95,79.95,52217,0.0,1.0
2019-05-21,78.75,81.46,78.64,80.61,80.61,67371,0.0,1.0
2019-05-20,76.78,78.36,76.75,78.24,78.24,70641,0.0,1.0
2019-05-17,77.43,78.4,77.0,77.57,77.57,131622,0.0,1.0
2019-05-16,76.94,78.49,76.35,78.43,78.43,184583,0.31,1.0
2019-05-15,82.38,84.62,76.56,77.16,76.8562,255420,0.0,1.0
2019-05-14,85.23,86.45,84.725,85.64,85.3028,76067,0.0,1.0
2019-05-13,84.95,85.66,83.24,84.47,84.1374,71599,0.0,1.0
2019-05-10,85.64,87.05,85.3,86.74,86.3985,51629,0.0,1.0
2019-05-09,85.21,86.82,84.385,86.28,85.9403,64025,0.0,1.0
2019-05-08,86.99,87.56,85.9,86.36,86.02,92182,0.0,1.0
2019-05-07,88.21,88.21,86.6788,87.2,86.8567,84372,0.0,1.0
2019-05-06,87.94,90.2,86.76,89.1,88.7492,112029,0.0,1.0
2019-05-03,85.79,88.44,85.79,88.2,87.8528,111287,0.0,1.0
2019-05-02,84.66,85.9,84.2,85.3,84.9642,58078,0.0,1.0
2019-05-01,85.27,85.795,84.41,84.93,84.5956,114177,0.0,1.0
2019-04-30,85.54,85.54,83.65,85.0,84.6654,52571,0.0,1.0
2019-04-29,84.95,86.33,84.95,85.55,85.2132,71715,0.0,1.0
2019-04-26,82.81,84.94,82.47,84.94,84.6056,74603,0.0,1.0
2019-04-25,83.12,83.55,82.45,83.07,82.743,81652,0.0,1.0
2019-04-24,83.58,84.27,83.17,83.68,83.3506,86230,0.0,1.0
2019-04-23,85.6,85.9,83.65,83.91,83.5796,93134,0.0,1.0
2019-04-22,86.93,87.15,85.07,85.74,85.4024,100775,0.0,1.0
2019-04-18,86.91,88.25,86.8622,87.33,86.9862,141427,0.0,1.0
2019-04-17,86.89,87.5,85.89,87.02,86.6774,153958,0.0,1.0
2019-04-16,84.5,86.95,84.12,86.79,86.4483,141789,0.0,1.0
2019-04-15,84.5,86.82,84.255,84.5,84.1673,122875,0.0,1.0
2019-04-12,85.25,85.25,83.305,84.72,84.3865,137024,0.0,1.0
2019-04-11,85.43,85.43,82.84,84.09,83.7589,330111,0.0,1.0
2019-04-10,84.48,87.0,84.07,84.86,84.5259,438851,0.0,1.0
2019-04-09,83.28,87.9,82.41,85.11,84.7749,770028,0.0,1.0
