timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,10.23,10.3,10.05,10.15,10.15,365101,0.0,1.0
2019-07-25,10.31,10.4,10.08,10.19,10.19,365638,0.0,1.0
2019-07-24,10.2,10.38,10.08,10.32,10.32,540267,0.0,1.0
2019-07-23,10.23,10.38,10.16,10.19,10.19,251643,0.0,1.0
2019-07-22,10.26,10.29,10.095,10.2,10.2,266170,0.0,1.0
2019-07-19,10.32,10.485,10.25,10.26,10.26,281377,0.0,1.0
2019-07-18,10.27,10.48,10.225,10.34,10.34,384824,0.0,1.0
2019-07-17,10.25,10.32,10.04,10.26,10.26,449905,0.0,1.0
2019-07-16,10.39,10.42,10.24,10.25,10.25,387713,0.0,1.0
2019-07-15,10.51,10.51,10.35,10.43,10.43,277359,0.0,1.0
2019-07-12,10.43,10.53,10.305,10.49,10.49,358947,0.0,1.0
2019-07-11,10.44,10.4601,10.29,10.4,10.4,352170,0.0,1.0
2019-07-10,10.57,10.57,10.32,10.46,10.46,386444,0.0,1.0
2019-07-09,10.56,10.675,10.51,10.54,10.54,229002,0.0,1.0
2019-07-08,10.63,10.74,10.49,10.6,10.6,318235,0.0,1.0
2019-07-05,10.61,10.71,10.58,10.67,10.67,221529,0.0,1.0
2019-07-03,10.42,10.69,10.42,10.62,10.62,224252,0.0,1.0
2019-07-02,10.46,10.5,10.36,10.42,10.42,245065,0.0,1.0
2019-07-01,10.72,10.79,10.41,10.48,10.48,273933,0.0,1.0
2019-06-28,10.64,10.755,10.62,10.66,10.66,291550,0.0,1.0
2019-06-27,10.4,10.625,10.36,10.58,10.58,251864,0.0,1.0
2019-06-26,10.4,10.5,10.23,10.365,10.365,255087,0.0,1.0
2019-06-25,10.46,10.5399,10.3,10.39,10.39,289577,0.0,1.0
2019-06-24,10.81,10.9,10.4,10.46,10.46,321881,0.0,1.0
2019-06-21,10.95,11.18,10.71,10.78,10.78,588862,0.0,1.0
2019-06-20,10.81,11.14,10.75,11.0,11.0,632619,0.0,1.0
2019-06-19,10.93,10.96,10.68,10.78,10.78,235100,0.0,1.0
2019-06-18,11.07,11.17,10.86,10.95,10.95,227560,0.0,1.0
2019-06-17,11.17,11.17,11.02,11.06,11.06,195165,0.0,1.0
2019-06-14,11.19,11.4,11.07,11.17,11.17,337253,0.0,1.0
2019-06-13,11.31,11.41,11.12,11.15,11.15,274578,0.0,1.0
2019-06-12,10.83,11.29,10.82,11.27,11.27,463163,0.0,1.0
2019-06-11,10.97,11.1342,10.86,10.87,10.87,348702,0.0,1.0
2019-06-10,11.08,11.2,10.8101,10.9,10.9,407885,0.0,1.0
2019-06-07,11.16,11.25,11.02,11.03,11.03,217940,0.0,1.0
2019-06-06,10.92,11.19,10.87,11.11,11.11,245057,0.0,1.0
2019-06-05,10.84,10.98,10.7,10.95,10.95,533622,0.0,1.0
2019-06-04,10.76,10.97,10.71,10.82,10.82,285498,0.0,1.0
2019-06-03,10.41,10.7,10.335,10.69,10.69,394163,0.0,1.0
2019-05-31,10.08,10.49,10.02,10.48,10.48,303658,0.0,1.0
