timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,2.0,2.2,1.9732,2.19,2.19,957579,0.0,1.0
2019-07-25,1.99,2.1,1.96,2.0,2.0,691973,0.0,1.0
2019-07-24,1.89,2.02,1.89,1.93,1.93,229636,0.0,1.0
2019-07-23,1.94,1.965,1.8702,1.92,1.92,283448,0.0,1.0
2019-07-22,1.96,2.0,1.91,1.92,1.92,250032,0.0,1.0
2019-07-19,2.03,2.03,1.845,1.95,1.95,317900,0.0,1.0
2019-07-18,2.03,2.09,2.01,2.03,2.03,288786,0.0,1.0
2019-07-17,2.02,2.05,1.96,1.99,1.99,241765,0.0,1.0
2019-07-16,2.07,2.08,1.96,2.02,2.02,294707,0.0,1.0
2019-07-15,2.0,2.07,1.9706,2.03,2.03,267258,0.0,1.0
2019-07-12,1.99,2.0884,1.9515,1.97,1.97,513523,0.0,1.0
2019-07-11,1.89,2.0369,1.7,1.99,1.99,790939,0.0,1.0
2019-07-10,2.08,2.09,1.93,2.06,2.06,296670,0.0,1.0
2019-07-09,2.02,2.07,2.0,2.045,2.045,351808,0.0,1.0
2019-07-08,2.0,2.15,1.99,2.03,2.03,1002038,0.0,1.0
2019-07-05,1.74,1.959,1.74,1.94,1.94,637589,0.0,1.0
2019-07-03,1.72,1.8,1.715,1.74,1.74,196285,0.0,1.0
2019-07-02,1.75,1.79,1.7,1.74,1.74,127818,0.0,1.0
2019-07-01,1.83,1.83,1.7,1.74,1.74,143152,0.0,1.0
2019-06-28,1.73,1.82,1.68,1.79,1.79,345882,0.0,1.0
2019-06-27,1.63,1.7348,1.62,1.7348,1.7348,161472,0.0,1.0
2019-06-26,1.63,1.69,1.63,1.64,1.64,67756,0.0,1.0
2019-06-25,1.66,1.7299,1.63,1.65,1.65,141622,0.0,1.0
2019-06-24,1.68,1.72,1.61,1.65,1.65,139859,0.0,1.0
2019-06-21,1.71,1.74,1.61,1.68,1.68,206864,0.0,1.0
2019-06-20,1.58,1.74,1.57,1.69,1.69,294977,0.0,1.0
2019-06-19,1.53,1.6,1.52,1.55,1.55,107222,0.0,1.0
2019-06-18,1.55,1.5922,1.51,1.55,1.55,143904,0.0,1.0
2019-06-17,1.52,1.5967,1.51,1.52,1.52,114015,0.0,1.0
2019-06-14,1.51,1.55,1.47,1.53,1.53,187728,0.0,1.0
2019-06-13,1.4,1.54,1.39,1.5,1.5,276925,0.0,1.0
2019-06-12,1.42,1.42,1.37,1.41,1.41,85389,0.0,1.0
