timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,6.68,6.77,6.4801,6.7,6.7,1545442,0.0,1.0
2019-07-25,6.89,6.985,6.42,6.67,6.67,2521635,0.0,1.0
2019-07-24,6.8,7.0,6.8,6.89,6.89,1631772,0.0,1.0
2019-07-23,6.95,7.08,6.825,6.85,6.85,1277281,0.0,1.0
2019-07-22,7.0,7.08,6.89,6.93,6.93,717386,0.0,1.0
2019-07-19,6.88,7.09,6.87,6.99,6.99,969310,0.0,1.0
2019-07-18,6.98,6.99,6.8,6.89,6.89,814098,0.0,1.0
2019-07-17,7.09,7.16,6.92,6.97,6.97,1802581,0.0,1.0
2019-07-16,7.17,7.25,6.98,7.1,7.1,1927320,0.0,1.0
2019-07-15,7.0,7.155,6.875,7.14,7.14,1182813,0.0,1.0
2019-07-12,6.94,7.07,6.87,7.01,7.01,1423750,0.0,1.0
2019-07-11,6.81,6.93,6.74,6.89,6.89,888106,0.0,1.0
2019-07-10,6.86,6.96,6.72,6.79,6.79,890490,0.0,1.0
2019-07-09,6.89,6.97,6.59,6.81,6.81,1559359,0.0,1.0
2019-07-08,7.22,7.25,6.87,6.92,6.92,1289139,0.0,1.0
2019-07-05,7.21,7.25,6.97,7.22,7.22,1136013,0.0,1.0
2019-07-03,7.08,7.27,6.92,7.25,7.25,953803,0.0,1.0
2019-07-02,7.03,7.29,7.01,7.14,7.14,2036317,0.0,1.0
2019-07-01,7.01,7.18,6.9,6.95,6.95,1381868,0.0,1.0
2019-06-28,7.06,7.11,6.81,6.92,6.92,3800339,0.0,1.0
2019-06-27,6.9,7.1901,6.84,7.05,7.05,2659570,0.0,1.0
2019-06-26,6.89,6.9699,6.77,6.9,6.9,1134053,0.0,1.0
2019-06-25,6.84,6.91,6.65,6.88,6.88,1644736,0.0,1.0
2019-06-24,6.98,7.01,6.62,6.8,6.8,1244788,0.0,1.0
2019-06-21,6.85,7.055,6.765,6.97,6.97,3417045,0.0,1.0
2019-06-20,7.2,7.2,6.78,6.83,6.83,1618256,0.0,1.0
2019-06-19,7.01,7.29,6.97,7.09,7.09,1648387,0.0,1.0
2019-06-18,7.16,7.335,7.0,7.01,7.01,1770591,0.0,1.0
2019-06-17,6.72,7.47,6.71,7.12,7.12,2735902,0.0,1.0
2019-06-14,7.18,7.25,6.66,6.67,6.67,1308524,0.0,1.0
2019-06-13,6.87,7.27,6.84,7.25,7.25,1115557,0.0,1.0
2019-06-12,7.21,7.28,6.76,6.79,6.79,1637768,0.0,1.0
2019-06-11,6.95,7.29,6.84,7.26,7.26,2660050,0.0,1.0
2019-06-10,6.79,7.14,6.69,6.83,6.83,1562098,0.0,1.0
2019-06-07,6.56,6.77,6.42,6.69,6.69,1595000,0.0,1.0
2019-06-06,6.69,6.77,6.41,6.57,6.57,1475058,0.0,1.0
2019-06-05,7.0,7.08,6.63,6.68,6.68,1498202,0.0,1.0
2019-06-04,6.75,6.99,6.63,6.94,6.94,1883588,0.0,1.0
2019-06-03,6.35,6.96,6.35,6.65,6.65,3180388,0.0,1.0
2019-05-31,6.25,6.44,6.22,6.32,6.32,1624841,0.0,1.0
2019-05-30,6.4,6.59,6.36,6.39,6.39,1552334,0.0,1.0
2019-05-29,6.54,6.62,6.34,6.44,6.44,2270808,0.0,1.0
2019-05-28,6.92,6.98,6.53,6.62,6.62,2315448,0.0,1.0
2019-05-24,6.97,7.09,6.72,6.9,6.9,2834207,0.0,1.0
2019-05-23,6.84,6.93,6.67,6.9,6.9,2428932,0.0,1.0
2019-05-22,7.3,7.38,6.86,6.97,6.97,2682148,0.0,1.0
2019-05-21,7.29,7.435,7.18,7.26,7.26,2211727,0.0,1.0
2019-05-20,7.32,7.36,7.06,7.19,7.19,2122752,0.0,1.0
2019-05-17,7.66,7.71,7.31,7.36,7.36,2858536,0.0,1.0
2019-05-16,7.65,7.98,7.63,7.77,7.77,2411702,0.0,1.0
2019-05-15,7.64,7.93,7.56,7.79,7.79,2466371,0.0,1.0
2019-05-14,7.67,7.8,7.56,7.7,7.7,2962700,0.0,1.0
2019-05-13,7.86,8.06,7.57,7.61,7.61,3931169,0.0,1.0
2019-05-10,8.22,8.29,7.92,8.06,8.06,5227066,0.0,1.0
2019-05-09,8.74,8.79,8.3,8.41,8.41,4220883,0.0,1.0
2019-05-08,9.13,9.2,7.85,9.03,9.03,15026338,0.0,1.0
2019-05-07,10.8,11.07,10.64,10.73,10.73,1530926,0.0,1.0
2019-05-06,11.0,11.17,10.735,10.98,10.98,1342228,0.0,1.0
2019-05-03,10.95,11.41,10.91,11.29,11.29,1839436,0.0,1.0
2019-05-02,10.65,10.87,10.56,10.83,10.83,1072608,0.0,1.0
2019-05-01,10.83,11.05,10.59,10.62,10.62,1862518,0.0,1.0
2019-04-30,10.88,11.01,10.74,10.78,10.78,1600762,0.0,1.0
2019-04-29,10.91,11.05,10.75,10.85,10.85,1763106,0.0,1.0
2019-04-26,10.4,11.01,10.4,10.86,10.86,2252785,0.0,1.0
2019-04-25,10.75,10.79,10.3,10.42,10.42,3765587,0.0,1.0
2019-04-24,11.61,11.77,10.77,10.83,10.83,3149819,0.0,1.0
2019-04-23,12.06,12.13,11.56,11.59,11.59,4131285,0.0,1.0
2019-04-22,12.06,12.2,11.88,12.13,12.13,862538,0.0,1.0
2019-04-18,12.01,12.17,11.96,12.05,12.05,1664773,0.0,1.0
2019-04-17,12.2,12.28,11.96,12.0,12.0,2510743,0.0,1.0
2019-04-16,12.23,12.45,12.15,12.16,12.16,1896033,0.0,1.0
2019-04-15,12.03,12.31,11.945,12.2,12.2,1721747,0.0,1.0
2019-04-12,12.34,12.5,12.2403,12.36,12.36,1499869,0.0,1.0
2019-04-11,12.5,12.59,12.19,12.23,12.23,3209501,0.0,1.0
2019-04-10,12.51,12.635,12.395,12.57,12.57,1980178,0.0,1.0
2019-04-09,12.82,12.92,12.46,12.5,12.5,2651292,0.0,1.0
2019-04-08,12.1,12.89,12.09,12.8,12.8,2143273,0.0,1.0
2019-04-05,12.15,12.2,11.97,12.09,12.09,1783866,0.0,1.0
2019-04-04,12.05,12.22,11.981,12.11,12.11,2182379,0.0,1.0
2019-04-03,12.1,12.3,11.88,12.02,12.02,3450286,0.0,1.0
2019-04-02,12.31,12.43,11.92,12.01,12.01,2701910,0.0,1.0
2019-04-01,12.35,12.66,12.14,12.25,12.25,2442720,0.0,1.0
2019-03-29,12.35,12.43,12.09,12.28,12.28,2765914,0.0,1.0
2019-03-28,12.32,12.5,12.05,12.27,12.27,1936051,0.0,1.0
2019-03-27,12.35,12.61,12.04,12.32,12.32,2407953,0.0,1.0
2019-03-26,12.81,13.09,12.32,12.4,12.4,2603939,0.0,1.0
2019-03-25,12.81,12.9,12.35,12.71,12.71,2618635,0.0,1.0
2019-03-22,13.24,13.6,12.71,12.92,12.92,2076068,0.0,1.0
2019-03-21,12.72,13.42,12.62,13.29,13.29,2151461,0.0,1.0
2019-03-20,13.01,13.21,12.65,12.67,12.67,3523165,0.0,1.0
2019-03-19,13.0,13.485,12.99,13.09,13.09,4633812,0.0,1.0
2019-03-18,12.59,12.92,12.23,12.91,12.91,4622767,0.0,1.0
2019-03-15,12.13,12.68,11.92,12.59,12.59,5842022,0.0,1.0
2019-03-14,12.67,12.75,12.05,12.09,12.09,2566514,0.0,1.0
2019-03-13,12.48,12.75,12.38,12.66,12.66,3678121,0.0,1.0
2019-03-12,13.1,13.1,12.46,12.58,12.58,3935832,0.0,1.0
2019-03-11,12.75,13.1,12.53,13.07,13.07,4875320,0.0,1.0
2019-03-08,11.79,12.81,11.55,12.77,12.77,8329487,0.0,1.0
2019-03-07,12.8,12.92,11.88,12.1,12.1,25268843,0.0,1.0
2019-03-06,13.18,13.38,12.4,13.05,13.05,6552200,0.0,1.0
2019-03-05,12.18,13.65,11.89,13.22,13.22,7217764,0.0,1.0
2019-03-04,13.0,13.1325,12.18,12.58,12.58,46155400,0.0,1.0
2019-03-01,13.15,13.8,13.15,13.25,13.25,60596,0.0,1.0
2019-02-28,12.53,12.8,12.53,12.8,12.8,663384,0.0,1.0
2019-02-27,12.5,13.75,12.02,12.72,12.72,214900,0.0,1.0
2019-02-26,13.39,13.39,13.39,13.39,13.39,0,0.0,1.0
2019-02-25,13.39,13.39,13.39,13.39,13.39,0,0.0,1.0
2019-02-22,13.39,13.39,13.39,13.39,13.39,0,0.0,1.0
2019-02-21,13.42,13.6644,12.61,13.39,13.39,1091239,0.0,1.0
2019-02-20,12.67,13.3,12.66,13.26,13.26,691699,0.0,1.0
2019-02-19,12.75,12.85,12.16,12.67,12.67,1255509,0.0,1.0
2019-02-15,12.6,12.88,12.585,12.85,12.85,788478,0.0,1.0
2019-02-14,13.03,13.4,12.43,12.52,12.52,1265731,0.0,1.0
2019-02-13,12.6,13.13,12.3938,13.09,13.09,2030546,0.0,1.0
2019-02-12,12.42,12.71,11.55,12.55,12.55,3773286,0.0,1.0
2019-02-11,12.85,13.4,12.43,13.12,13.12,1467802,0.0,1.0
2019-02-08,12.54,12.72,12.4001,12.67,12.67,614895,0.0,1.0
2019-02-07,12.72,12.9,12.51,12.55,12.55,837288,0.0,1.0
2019-02-06,12.7,13.245,12.57,12.84,12.84,765420,0.0,1.0
2019-02-05,12.56,12.94,12.53,12.72,12.72,1575341,0.0,1.0
2019-02-04,12.61,12.72,12.45,12.59,12.59,927212,0.0,1.0
2019-02-01,12.66,13.07,12.43,12.49,12.49,1012227,0.0,1.0
2019-01-31,12.59,12.955,12.505,12.66,12.66,936899,0.0,1.0
2019-01-30,12.84,12.9862,12.635,12.7,12.7,462745,0.0,1.0
2019-01-29,13.2,13.39,12.7,12.87,12.87,548612,0.0,1.0
2019-01-28,13.32,13.48,13.15,13.2,13.2,691038,0.0,1.0
2019-01-25,12.84,13.43,12.65,13.42,13.42,809875,0.0,1.0
2019-01-24,12.7,12.85,12.49,12.52,12.52,517751,0.0,1.0
2019-01-23,12.94,13.07,12.56,12.78,12.78,750559,0.0,1.0
2019-01-22,12.99,13.33,12.54,12.85,12.85,723150,0.0,1.0
2019-01-18,13.07,13.28,12.86,13.06,13.06,1397495,0.0,1.0
2019-01-17,13.15,13.4,12.79,13.0,13.0,632478,0.0,1.0
2019-01-16,13.4,13.68,13.08,13.23,13.23,1018393,0.0,1.0
2019-01-15,13.43,14.13,13.23,13.42,13.42,1557620,0.0,1.0
2019-01-14,14.09,14.25,13.8,14.06,14.06,565226,0.0,1.0
2019-01-11,14.49,14.68,14.05,14.18,14.18,930957,0.0,1.0
2019-01-10,14.2,14.76,14.01,14.56,14.56,396060,0.0,1.0
2019-01-09,14.31,14.59,13.99,14.3,14.3,812621,0.0,1.0
2019-01-08,14.44,14.84,14.09,14.35,14.35,671667,0.0,1.0
2019-01-07,14.19,14.45,14.06,14.4,14.4,478446,0.0,1.0
2019-01-04,13.64,14.41,13.64,14.26,14.26,442652,0.0,1.0
2019-01-03,13.93,13.95,13.29,13.59,13.59,987934,0.0,1.0
2019-01-02,13.64,14.26,13.5,13.99,13.99,800849,0.0,1.0
2018-12-31,14.14,14.36,13.26,13.8,13.8,1146544,0.0,1.0
2018-12-28,13.51,14.16,13.3401,14.09,14.09,1211074,0.0,1.0
2018-12-27,12.9,13.595,12.75,13.51,13.51,752034,0.0,1.0
2018-12-26,12.38,13.06,12.1,13.06,13.06,798923,0.0,1.0
2018-12-24,12.83,13.09,12.26,12.3,12.3,645418,0.0,1.0
2018-12-21,12.83,13.25,12.715,12.91,12.91,4247596,0.0,1.0
2018-12-20,14.09,14.2696,12.47,12.85,12.85,2962463,0.0,1.0
2018-12-19,14.54,14.99,13.81,14.22,14.22,1413781,0.0,1.0
2018-12-18,14.63,14.799,14.37,14.54,14.54,1056283,0.0,1.0
2018-12-17,15.33,15.4,14.39,14.59,14.59,1421614,0.0,1.0
2018-12-14,16.0,16.16,15.25,15.35,15.35,1410763,0.0,1.0
2018-12-13,16.39,16.7,16.04,16.04,16.04,1175590,0.0,1.0
2018-12-12,16.41,16.5,16.05,16.22,16.22,1019820,0.0,1.0
2018-12-11,17.0,17.22,16.11,16.19,16.19,461259,0.0,1.0
2018-12-10,16.83,16.9825,16.45,16.66,16.66,700508,0.0,1.0
2018-12-07,17.26,17.8685,16.44,16.8,16.8,943242,0.0,1.0
2018-12-06,17.25,17.5,16.46,17.26,17.26,1481366,0.0,1.0
2018-12-04,19.2,19.2,17.51,17.59,17.59,1526861,0.0,1.0
2018-12-03,18.89,19.85,18.82,19.17,19.17,2373359,0.0,1.0
2018-11-30,19.13,19.9,18.36,18.44,18.44,1083033,0.0,1.0
2018-11-29,18.4,19.35,18.2,19.0,19.0,2142501,0.0,1.0
2018-11-28,17.69,18.38,17.39,18.17,18.17,1524235,0.0,1.0
2018-11-27,17.78,18.0,17.0,17.63,17.63,957645,0.0,1.0
2018-11-26,17.16,17.88,17.16,17.8,17.8,633368,0.0,1.0
2018-11-23,16.65,17.63,16.55,17.14,17.14,247791,0.0,1.0
2018-11-21,16.9,17.2665,16.1,16.66,16.66,868542,0.0,1.0
2018-11-20,17.03,17.7,16.1,16.82,16.82,569760,0.0,1.0
2018-11-19,17.86,18.0,16.2,17.38,17.38,1080349,0.0,1.0
2018-11-16,18.66,18.7,17.94,17.96,17.96,700236,0.0,1.0
2018-11-15,18.41,19.03,18.26,18.76,18.76,1040964,0.0,1.0
2018-11-14,17.71,18.6,17.5,18.6,18.6,922914,0.0,1.0
2018-11-13,18.23,18.4678,17.56,17.86,17.86,1211758,0.0,1.0
2018-11-12,18.66,19.23,17.86,18.35,18.35,1247777,0.0,1.0
2018-11-09,18.07,18.86,17.41,18.66,18.66,1604760,0.0,1.0
2018-11-08,18.14,18.25,17.8,17.9,17.9,2424929,0.0,1.0
2018-11-07,17.29,18.47,17.29,17.9,17.9,4176873,0.0,1.0
2018-11-06,17.21,17.77,16.72,17.22,17.22,1687291,0.0,1.0
2018-11-05,16.86,17.15,16.4715,16.93,16.93,1167987,0.0,1.0
2018-11-02,16.74,17.2,16.48,16.86,16.86,1172595,0.0,1.0
2018-11-01,16.12,16.74,15.9,16.6,16.6,1686043,0.0,1.0
2018-10-31,15.27,16.1,15.27,15.6,15.6,654785,0.0,1.0
2018-10-30,15.57,15.645,15.01,15.25,15.25,1424573,0.0,1.0
2018-10-29,15.87,15.88,15.32,15.55,15.55,536126,0.0,1.0
2018-10-26,15.02,15.99,14.86,15.68,15.68,932860,0.0,1.0
2018-10-25,14.5,15.43,14.5,15.2,15.2,1440389,0.0,1.0
2018-10-24,15.51,15.75,14.0,14.35,14.35,1583123,0.0,1.0
2018-10-23,16.22,16.31,15.3,15.57,15.57,1407039,0.0,1.0
2018-10-22,16.34,16.73,16.1,16.44,16.44,646057,0.0,1.0
2018-10-19,16.35,16.5,16.25,16.34,16.34,449937,0.0,1.0
2018-10-18,16.3,16.73,16.28,16.38,16.38,880108,0.0,1.0
2018-10-17,16.06,16.41,16.01,16.4,16.4,1759670,0.0,1.0
2018-10-16,16.2,16.45,16.0,16.05,16.05,1956159,0.0,1.0
2018-10-15,16.44,16.44,15.91,16.0,16.0,1972485,0.0,1.0
2018-10-12,17.12,17.3,16.25,16.25,16.25,4222406,0.0,1.0
2018-10-11,16.25,16.98,16.0,16.97,16.97,11422704,0.0,1.0
