timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,3.27,3.36,3.18,3.21,3.21,152658,0.0,1.0
2019-07-25,3.4,3.45,3.1806,3.24,3.24,174137,0.0,1.0
2019-07-24,3.15,3.4125,3.03,3.36,3.36,348429,0.0,1.0
2019-07-23,3.16,3.28,3.0301,3.1,3.1,316577,0.0,1.0
2019-07-22,3.24,3.24,3.065,3.12,3.12,107300,0.0,1.0
2019-07-19,3.17,3.29,3.13,3.25,3.25,61126,0.0,1.0
2019-07-18,3.2,3.285,3.06,3.2,3.2,134723,0.0,1.0
2019-07-17,3.36,3.36,3.16,3.21,3.21,156374,0.0,1.0
2019-07-16,3.36,3.415,3.345,3.37,3.37,111129,0.0,1.0
2019-07-15,3.4,3.41,3.36,3.36,3.36,68767,0.0,1.0
2019-07-12,3.42,3.49,3.38,3.4,3.4,67481,0.0,1.0
2019-07-11,3.5,3.545,3.3,3.43,3.43,132314,0.0,1.0
2019-07-10,3.56,3.58,3.42,3.52,3.52,121008,0.0,1.0
2019-07-09,3.44,3.58,3.44,3.56,3.56,86459,0.0,1.0
2019-07-08,3.52,3.55,3.4,3.44,3.44,115075,0.0,1.0
2019-07-05,3.49,3.61,3.46,3.5,3.5,104812,0.0,1.0
2019-07-03,3.6,3.6,3.46,3.5,3.5,73468,0.0,1.0
2019-07-02,3.66,3.74,3.51,3.59,3.59,132907,0.0,1.0
2019-07-01,3.7,3.8,3.62,3.66,3.66,178436,0.0,1.0
2019-06-28,3.49,3.79,3.44,3.68,3.68,1403652,0.0,1.0
2019-06-27,3.54,3.54,3.4,3.51,3.51,247007,0.0,1.0
2019-06-26,3.47,3.72,3.38,3.56,3.56,238693,0.0,1.0
2019-06-25,3.51,3.53,3.4,3.43,3.43,215945,0.0,1.0
2019-06-24,4.04,4.05,3.53,3.54,3.54,664262,0.0,1.0
2019-06-21,3.62,4.05,3.37,4.02,4.02,797300,0.0,1.0
2019-06-20,3.63,3.7086,3.33,3.37,3.37,256816,0.0,1.0
2019-06-19,3.81,3.81,3.545,3.62,3.62,161627,0.0,1.0
2019-06-18,3.82,3.9,3.75,3.8,3.8,176757,0.0,1.0
2019-06-17,3.53,3.8,3.45,3.78,3.78,148122,0.0,1.0
2019-06-14,3.61,3.662,3.41,3.5,3.5,145281,0.0,1.0
2019-06-13,3.54,3.68,3.3505,3.61,3.61,181103,0.0,1.0
2019-06-12,3.38,3.66,3.37,3.54,3.54,206311,0.0,1.0
2019-06-11,3.38,3.44,3.26,3.39,3.39,148243,0.0,1.0
2019-06-10,3.28,3.47,3.23,3.36,3.36,227779,0.0,1.0
2019-06-07,3.21,3.35,3.1,3.29,3.29,280784,0.0,1.0
2019-06-06,3.34,3.41,3.15,3.21,3.21,174940,0.0,1.0
2019-06-05,3.41,3.44,3.27,3.34,3.34,183921,0.0,1.0
2019-06-04,3.48,3.52,3.2701,3.4,3.4,154110,0.0,1.0
2019-06-03,3.45,3.49,3.3519,3.44,3.44,247015,0.0,1.0
2019-05-31,3.31,3.49,3.25,3.43,3.43,149621,0.0,1.0
2019-05-30,3.52,3.58,3.33,3.35,3.35,186083,0.0,1.0
2019-05-29,3.46,3.54,3.3,3.5,3.5,251671,0.0,1.0
2019-05-28,3.4,3.54,3.29,3.49,3.49,228236,0.0,1.0
2019-05-24,3.42,3.59,3.25,3.42,3.42,328473,0.0,1.0
2019-05-23,3.61,3.69,3.29,3.36,3.36,403958,0.0,1.0
2019-05-22,3.69,3.81,3.58,3.66,3.66,427538,0.0,1.0
2019-05-21,3.9,3.9148,3.7,3.71,3.71,424406,0.0,1.0
2019-05-20,4.06,4.09,3.82,3.88,3.88,326690,0.0,1.0
2019-05-17,3.93,4.18,3.81,4.08,4.08,631245,0.0,1.0
2019-05-16,4.11,4.16,3.92,3.96,3.96,870202,0.0,1.0
2019-05-15,4.06,4.06,3.86,3.99,3.99,554475,0.0,1.0
2019-05-14,4.22,4.31,4.0,4.07,4.07,549225,0.0,1.0
2019-05-13,4.23,4.41,4.1,4.22,4.22,448915,0.0,1.0
2019-05-10,4.09,4.5,3.8,4.32,4.32,1441353,0.0,1.0
2019-05-09,4.07,4.15,3.91,4.08,4.08,456049,0.0,1.0
2019-05-08,4.07,4.23,4.0,4.11,4.11,583237,0.0,1.0
2019-05-07,4.15,4.26,3.96,4.08,4.08,497202,0.0,1.0
2019-05-06,3.99,4.38,3.98,4.25,4.25,640765,0.0,1.0
2019-05-03,3.94,4.27,3.94,4.09,4.09,574724,0.0,1.0
2019-05-02,3.99,4.05,3.81,3.94,3.94,929386,0.0,1.0
2019-05-01,4.21,4.29,4.0,4.03,4.03,815451,0.0,1.0
2019-04-30,3.98,4.27,3.88,4.15,4.15,3261008,0.0,1.0
2019-04-29,4.88,5.09,4.52,4.57,4.57,837490,0.0,1.0
2019-04-26,5.11,5.4401,4.82,4.89,4.89,848613,0.0,1.0
2019-04-25,5.6,5.8899,5.1,5.18,5.18,1426739,0.0,1.0
2019-04-24,5.88,6.14,5.56,5.665,5.665,1543080,0.0,1.0
2019-04-23,6.12,6.9,5.79,6.05,6.05,3386163,0.0,1.0
2019-04-22,5.57,6.4,5.0495,6.28,6.28,5752228,0.0,1.0
2019-04-18,7.98,10.2,5.41,5.64,5.64,37568580,0.0,1.0
2019-04-17,2.83,2.86,2.59,2.66,2.66,1304701,0.0,1.0
2019-04-16,2.79,2.95,2.79,2.81,2.81,39296,0.0,1.0
2019-04-15,3.05,3.05,2.75,2.78,2.78,64748,0.0,1.0
2019-04-12,3.41,3.46,3.04,3.06,3.06,38345,0.0,1.0
2019-04-11,3.22,3.36,3.1358,3.22,3.22,63102,0.0,1.0
2019-04-10,3.43,3.53,3.27,3.3,3.3,25138,0.0,1.0
2019-04-09,3.54,3.62,3.34,3.44,3.44,47601,0.0,1.0
2019-04-08,3.61,3.64,3.43,3.54,3.54,57060,0.0,1.0
2019-04-05,3.5,3.65,3.4501,3.62,3.62,22574,0.0,1.0
2019-04-04,3.43,3.5,3.31,3.5,3.5,29108,0.0,1.0
2019-04-03,3.33,3.44,3.31,3.4,3.4,21553,0.0,1.0
2019-04-02,3.3,3.33,3.04,3.28,3.28,76782,0.0,1.0
2019-04-01,3.47,3.5333,3.26,3.27,3.27,59403,0.0,1.0
2019-03-29,3.4675,3.54,3.4,3.41,3.41,42220,0.0,1.0
2019-03-28,3.57,3.59,3.41,3.47,3.47,28159,0.0,1.0
2019-03-27,3.5,3.55,3.28,3.52,3.52,33146,0.0,1.0
2019-03-26,3.67,3.67,3.42,3.47,3.47,65247,0.0,1.0
2019-03-25,3.48,3.67,3.395,3.58,3.58,27256,0.0,1.0
2019-03-22,3.91,3.92,3.48,3.52,3.52,60741,0.0,1.0
2019-03-21,3.99,4.19,3.9,3.98,3.98,37777,0.0,1.0
2019-03-20,3.9,4.13,3.79,4.03,4.03,44179,0.0,1.0
2019-03-19,4.14,4.14,3.89,3.95,3.95,29992,0.0,1.0
2019-03-18,4.23,4.38,4.04,4.12,4.12,37728,0.0,1.0
2019-03-15,4.07,4.42,4.07,4.24,4.24,80913,0.0,1.0
2019-03-14,4.18,4.28,3.96,4.07,4.07,16463,0.0,1.0
2019-03-13,4.05,4.34,3.97,4.19,4.19,28117,0.0,1.0
2019-03-12,3.85,4.44,3.82,4.06,4.06,37727,0.0,1.0
2019-03-11,3.65,3.98,3.65,3.78,3.78,45300,0.0,1.0
2019-03-08,3.88,3.98,3.6,3.6,3.6,63313,0.0,1.0
2019-03-07,3.8015,4.0,3.74,3.88,3.88,18189,0.0,1.0
2019-03-06,4.08,4.08,3.54,3.67,3.67,52191,0.0,1.0
2019-03-05,3.81,4.17,3.8,4.05,4.05,44934,0.0,1.0
2019-03-04,4.05,4.07,3.77,3.77,3.77,62368,0.0,1.0
2019-03-01,4.2,4.2,3.76,4.01,4.01,69428,0.0,1.0
2019-02-28,4.41,4.6,4.05,4.13,4.13,45531,0.0,1.0
2019-02-27,4.39,4.48,4.18,4.43,4.43,12606,0.0,1.0
2019-02-26,4.35,4.59,4.1004,4.36,4.36,46274,0.0,1.0
2019-02-25,4.47,4.4891,4.18,4.37,4.37,33042,0.0,1.0
2019-02-22,4.2,4.445,4.1,4.4,4.4,42950,0.0,1.0
2019-02-21,4.06,4.17,4.01,4.03,4.03,37331,0.0,1.0
2019-02-20,4.29,4.3,4.01,4.09,4.09,62862,0.0,1.0
2019-02-19,4.46,4.4999,4.1,4.2,4.2,63639,0.0,1.0
2019-02-15,4.25,4.67,4.201,4.47,4.47,107507,0.0,1.0
2019-02-14,4.47,4.56,4.12,4.31,4.31,57104,0.0,1.0
2019-02-13,4.7,4.7,4.42,4.47,4.47,34413,0.0,1.0
2019-02-12,4.75,4.8,4.6038,4.66,4.66,43319,0.0,1.0
2019-02-11,5.69,6.322,4.18,4.64,4.64,365888,0.0,1.0
2019-02-08,4.45,5.67,4.4001,5.61,5.61,254986,0.0,1.0
2019-02-07,4.46,4.71,4.3,4.46,4.46,127005,0.0,1.0
2019-02-06,3.81,4.7309,3.81,4.41,4.41,75013,0.0,1.0
2019-02-05,3.86,3.99,3.755,3.84,3.84,60076,0.0,1.0
2019-02-04,3.79,3.8,3.68,3.8,3.8,51531,0.0,1.0
2019-02-01,3.78,3.931,3.6,3.74,3.74,52340,0.0,1.0
2019-01-31,3.44,3.8,3.44,3.72,3.72,67997,0.0,1.0
