timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-24,17.04,17.38,16.9,17.23,17.23,229245,0.0,1.0
2019-07-23,16.89,17.312,16.72,17.12,17.12,319643,0.0,1.0
2019-07-22,17.7,18.32,16.59,16.62,16.62,705929,0.0,1.0
2019-07-19,19.24,19.4037,18.35,18.69,18.69,232031,0.0,1.0
2019-07-18,19.77,19.9,19.11,19.24,19.24,313531,0.0,1.0
2019-07-17,20.64,20.765,19.62,19.76,19.76,255192,0.0,1.0
2019-07-16,20.47,21.26,20.3,20.81,20.81,275118,0.0,1.0
2019-07-15,20.91,21.1,20.4,20.43,20.43,181581,0.0,1.0
2019-07-12,20.38,21.1,20.25,20.91,20.91,438493,0.0,1.0
2019-07-11,20.21,20.45,19.84,20.37,20.37,239030,0.0,1.0
2019-07-10,20.4,20.504,19.76,20.06,20.06,91549,0.0,1.0
2019-07-09,19.93,20.23,19.79,20.21,20.21,116004,0.0,1.0
2019-07-08,21.02,21.28,19.87,20.05,20.05,168545,0.0,1.0
2019-07-05,20.76,21.14,20.75,21.01,21.01,150805,0.0,1.0
2019-07-03,20.14,20.94,20.07,20.85,20.85,144330,0.0,1.0
2019-07-02,20.5,20.8099,19.75,20.01,20.01,289789,0.0,1.0
2019-07-01,19.9,20.93,19.62,20.55,20.55,350964,0.0,1.0
2019-06-28,20.31,20.83,19.5,19.59,19.59,644849,0.0,1.0
2019-06-27,20.1,20.47,19.94,20.19,20.19,315357,0.0,1.0
2019-06-26,20.03,20.54,19.9,20.08,20.08,116760,0.0,1.0
2019-06-25,20.66,20.88,19.89,19.97,19.97,238281,0.0,1.0
2019-06-24,21.2,21.2,20.48,20.67,20.67,211792,0.0,1.0
2019-06-21,21.2,21.53,21.03,21.27,21.27,159663,0.0,1.0
2019-06-20,21.43,21.48,21.05,21.23,21.23,219442,0.0,1.0
2019-06-19,20.77,21.2327,20.59,21.12,21.12,129880,0.0,1.0
2019-06-18,20.28,21.215,20.25,20.78,20.78,123312,0.0,1.0
2019-06-17,20.33,20.465,20.205,20.3,20.3,89171,0.0,1.0
2019-06-14,20.53,20.59,20.0567,20.36,20.36,123405,0.0,1.0
2019-06-13,20.56,20.89,20.3,20.57,20.57,172663,0.0,1.0
2019-06-12,20.56,20.8396,20.17,20.43,20.43,127724,0.0,1.0
2019-06-11,21.17,21.22,20.2,20.69,20.69,168870,0.0,1.0
2019-06-10,21.02,21.45,20.47,20.98,20.98,153271,0.0,1.0
2019-06-07,20.62,21.04,20.55,20.77,20.77,111714,0.0,1.0
2019-06-06,21.28,21.33,20.25,20.64,20.64,117747,0.0,1.0
2019-06-05,20.88,21.22,20.41,21.17,21.17,144702,0.0,1.0
2019-06-04,20.0,20.85,20.0,20.79,20.79,121168,0.0,1.0
2019-06-03,19.89,20.24,19.49,19.7,19.7,326690,0.0,1.0
2019-05-31,20.38,20.48,19.76,19.86,19.86,114096,0.0,1.0
2019-05-30,21.11,21.37,20.66,20.74,20.74,96372,0.0,1.0
