timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,156.0,158.58,153.3302,155.7,155.7,854400,0.0,1.0
2019-07-24,155.12,158.0,152.1859,156.02,156.02,2535009,0.0,1.0
2019-07-23,162.56,163.1,154.3438,155.97,155.97,1481750,0.0,1.0
2019-07-22,164.39,166.3048,160.23,160.86,160.86,1337270,0.0,1.0
2019-07-19,164.88,166.41,161.0,164.0,164.0,1338767,0.0,1.0
2019-07-18,159.77,163.17,157.15,162.93,162.93,1489823,0.0,1.0
2019-07-17,152.4,161.77,151.57,160.79,160.79,1916072,0.0,1.0
2019-07-16,153.05,155.465,146.65,151.79,151.79,1676291,0.0,1.0
2019-07-15,153.29,157.1,152.398,153.17,153.17,1538997,0.0,1.0
2019-07-12,157.24,158.4917,151.03,153.1,153.1,1303386,0.0,1.0
2019-07-11,157.26,159.33,154.3301,158.04,158.04,1057672,0.0,1.0
2019-07-10,159.0,161.385,156.44,157.23,157.23,1102462,0.0,1.0
2019-07-09,156.56,158.0688,154.39,157.72,157.72,790817,0.0,1.0
2019-07-08,154.94,158.68,153.01,157.04,157.04,952072,0.0,1.0
2019-07-05,152.42,156.02,151.34,155.9,155.9,994126,0.0,1.0
2019-07-03,155.44,158.45,153.46,154.98,154.98,1866866,0.0,1.0
2019-07-02,145.62,154.41,144.38,154.05,154.05,2310854,0.0,1.0
2019-07-01,155.32,155.32,143.85,147.67,147.67,2671966,0.0,1.0
2019-06-28,151.91,152.7824,145.2601,152.09,152.09,3846980,0.0,1.0
2019-06-27,150.88,153.3524,148.04,151.49,151.49,2045051,0.0,1.0
2019-06-26,160.5,161.753,150.2908,150.69,150.69,1623669,0.0,1.0
2019-06-25,165.94,165.94,155.64,158.59,158.59,1266533,0.0,1.0
2019-06-24,170.23,170.64,164.12,165.3,165.3,1159653,0.0,1.0
2019-06-21,171.82,172.5485,166.341,169.87,169.87,2289606,0.0,1.0
2019-06-20,176.83,177.49,171.54,173.74,173.74,1145085,0.0,1.0
2019-06-19,170.51,174.45,168.01,174.01,174.01,1359057,0.0,1.0
2019-06-18,169.0,171.47,166.3244,166.36,166.36,1526791,0.0,1.0
2019-06-17,165.25,170.54,163.6385,164.97,164.97,1548136,0.0,1.0
2019-06-14,166.75,167.76,163.5452,165.68,165.68,520700,0.0,1.0
2019-06-13,166.75,167.9,164.38,166.96,166.96,791345,0.0,1.0
2019-06-12,163.7,167.0,161.51,166.32,166.32,963123,0.0,1.0
2019-06-11,172.0,172.41,159.59,163.03,163.03,2196441,0.0,1.0
2019-06-10,172.265,184.78,168.0668,172.36,172.36,3394775,0.0,1.0
2019-06-07,147.33,170.99,147.1862,169.97,169.97,3932741,0.0,1.0
2019-06-06,145.95,148.9,135.0,147.74,147.74,4472547,0.0,1.0
2019-06-05,140.9,149.32,140.1,148.87,148.87,3077323,0.0,1.0
2019-06-04,134.57,138.5,131.6,138.21,138.21,1211440,0.0,1.0
2019-06-03,140.3,140.83,129.6,130.56,130.56,1745619,0.0,1.0
2019-05-31,137.75,142.58,136.0,140.34,140.34,1194577,0.0,1.0
2019-05-30,137.83,140.81,137.75,139.99,139.99,703743,0.0,1.0
2019-05-29,139.9,139.9,135.86,137.49,137.49,980758,0.0,1.0
2019-05-28,140.53,146.01,139.6,141.4,141.4,2539219,0.0,1.0
2019-05-24,140.0,143.8,139.62,139.77,139.77,680261,0.0,1.0
2019-05-23,141.0,141.741,136.51,138.82,138.82,851398,0.0,1.0
2019-05-22,143.66,145.82,142.0558,142.46,142.46,579421,0.0,1.0
2019-05-21,147.21,148.0,143.33,144.4,144.4,1050585,0.0,1.0
