timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,113.2,114.45,113.2,113.7,113.7,387447,0.0,1.0
2019-07-25,115.01,115.01,113.01,113.09,113.09,548458,0.0,1.0
2019-07-24,113.2,114.3,113.13,114.2,114.2,562034,0.0,1.0
2019-07-23,112.05,113.65,111.815,113.29,113.29,523829,0.0,1.0
2019-07-22,112.0,112.24,111.64,111.75,111.75,206435,0.0,1.0
2019-07-19,112.38,112.38,111.5,111.55,111.55,188159,0.0,1.0
2019-07-18,112.05,112.38,111.77,112.18,112.18,260384,0.0,1.0
2019-07-17,112.12,112.12,111.005,111.71,111.71,314537,0.0,1.0
2019-07-16,112.0,112.18,111.58,111.89,111.89,165205,0.0,1.0
2019-07-15,112.1,112.4,111.38,111.88,111.88,210193,0.0,1.0
2019-07-12,111.85,112.1,111.1,112.05,112.05,234092,0.0,1.0
2019-07-11,112.0,112.09,111.24,111.8,111.8,205650,0.0,1.0
2019-07-10,111.45,112.12,111.26,111.27,111.27,413160,0.0,1.0
2019-07-09,110.93,111.33,110.2905,110.78,110.78,813054,0.0,1.0
2019-07-08,112.12,112.4299,110.525,110.85,110.85,760331,0.0,1.0
2019-07-05,112.22,112.36,112.09,112.16,112.16,98921,0.0,1.0
2019-07-03,112.98,112.99,112.1,112.6,112.6,136603,0.0,1.0
2019-07-02,112.0,113.11,111.9,112.99,112.99,456673,0.0,1.0
2019-07-01,113.33,113.85,112.05,112.1,112.1,903229,0.0,1.0
2019-06-28,111.22,111.67,110.45,110.67,110.67,523672,0.0,1.0
2019-06-27,111.71,111.93,110.735,111.22,111.22,247070,0.0,1.0
2019-06-26,111.74,112.9925,111.2,111.28,111.28,377821,0.0,1.0
2019-06-25,111.25,111.6,110.92,111.0,111.0,211434,0.0,1.0
2019-06-24,111.2,111.49,110.1,111.0,111.0,576594,0.0,1.0
2019-06-21,112.68,113.11,111.1,111.49,111.49,594665,0.0,1.0
2019-06-20,113.06,113.16,112.29,112.91,112.91,375122,0.0,1.0
2019-06-19,113.06,113.39,112.12,112.68,112.68,283846,0.0,1.0
2019-06-18,110.44,112.8895,110.44,112.85,112.85,1004611,0.0,1.0
2019-06-17,110.27,110.79,109.52,109.75,109.75,566683,0.0,1.0
2019-06-14,110.0,110.44,109.51,110.07,110.07,330082,0.0,1.0
2019-06-13,111.53,111.89,110.32,110.79,110.79,574476,0.0,1.0
2019-06-12,111.85,112.11,110.88,111.07,111.07,498938,0.0,1.0
2019-06-11,113.2,113.5,111.59,111.78,111.78,449989,0.0,1.0
2019-06-10,112.35,113.13,112.26,112.44,112.44,585972,0.0,1.0
2019-06-07,111.41,111.95,111.26,111.65,111.65,537686,0.0,1.0
2019-06-06,111.44,111.76,110.38,110.59,110.59,311638,0.0,1.0
2019-06-05,111.26,111.5,110.14,111.32,111.32,546743,0.0,1.0
2019-06-04,111.0,111.0,110.22,110.79,110.79,536272,0.0,1.0
2019-06-03,110.58,111.0,109.74,110.17,110.17,663864,0.0,1.0
2019-05-31,109.78,110.27,109.03,109.78,109.78,657641,0.0,1.0
2019-05-30,110.83,110.93,110.0,110.43,110.43,350321,0.0,1.0
2019-05-29,110.0,110.46,109.32,110.23,110.23,383743,0.0,1.0
2019-05-28,110.0,110.81,109.7,110.31,110.31,519361,0.0,1.0
2019-05-24,109.91,110.42,109.48,109.75,109.75,417212,0.0,1.0
2019-05-23,109.75,110.06,109.3,109.8,109.8,1015999,0.0,1.0
2019-05-22,111.08,111.65,110.05,110.39,110.39,1412492,0.0,1.0
2019-05-21,110.35,112.7,109.84,111.32,111.32,1498795,0.0,1.0
2019-05-20,112.35,112.61,109.6,109.64,109.64,1944995,0.0,1.0
2019-05-17,114.31,115.22,112.63,112.89,112.89,1727533,0.0,1.0
2019-05-16,116.7,116.755,114.405,114.89,114.89,2100761,0.0,1.0
2019-05-15,117.02,117.66,116.75,116.83,116.83,656386,0.0,1.0
2019-05-14,117.5,117.69,117.055,117.15,117.15,708598,0.0,1.0
2019-05-13,116.87,117.64,116.5,117.3,117.3,1174590,0.0,1.0
2019-05-10,117.51,118.37,116.93,117.9,117.9,884129,0.0,1.0
2019-05-09,117.81,117.97,117.02,117.76,117.76,1120542,0.0,1.0
2019-05-08,118.87,119.255,118.0,118.05,118.05,1034450,0.0,1.0
2019-05-07,119.54,119.78,118.67,118.96,118.96,1208728,0.0,1.0
2019-05-06,120.15,120.25,119.6,119.97,119.97,525569,0.0,1.0
2019-05-03,120.59,120.62,120.25,120.52,120.52,334653,0.0,1.0
2019-05-02,120.4,120.7,120.15,120.5,120.5,659137,0.0,1.0
2019-05-01,120.52,120.88,120.33,120.5,120.5,465692,0.0,1.0
2019-04-30,120.14,120.45,120.055,120.3,120.3,436829,0.0,1.0
2019-04-29,120.26,120.63,120.19,120.23,120.23,316747,0.0,1.0
2019-04-26,120.25,120.71,120.0,120.26,120.26,478136,0.0,1.0
2019-04-25,120.61,120.86,120.17,120.5,120.5,631902,0.0,1.0
2019-04-24,120.71,121.125,120.71,120.81,120.81,933322,0.0,1.0
2019-04-23,120.58,121.065,120.4,120.75,120.75,1229838,0.0,1.0
2019-04-22,119.6,120.07,119.38,120.0,120.0,636998,0.0,1.0
2019-04-18,119.8,119.94,119.51,119.81,119.81,468767,0.0,1.0
2019-04-17,119.22,120.2,119.22,119.75,119.75,916966,0.0,1.0
2019-04-16,119.15,119.4,119.0,119.32,119.32,978141,0.0,1.0
2019-04-15,119.22,119.3,119.07,119.14,119.14,335761,0.0,1.0
2019-04-12,119.4,119.4,119.0,119.27,119.27,425689,0.0,1.0
2019-04-11,118.97,119.3,118.9,119.28,119.28,621250,0.0,1.0
2019-04-10,118.51,119.0,118.43,118.92,118.92,721773,0.0,1.0
2019-04-09,118.76,118.83,118.24,118.44,118.44,1621702,0.0,1.0
2019-04-08,118.95,118.99,118.523,118.8,118.8,478530,0.0,1.0
2019-04-05,118.49,118.99,118.381,118.89,118.89,927861,0.0,1.0
2019-04-04,118.22,118.5,118.11,118.44,118.44,776236,0.0,1.0
2019-04-03,118.1,118.55,118.0775,118.19,118.19,963242,0.0,1.0
2019-04-02,118.19,118.19,117.8705,118.06,118.06,802273,0.0,1.0
