timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,35.85,35.85,34.66,34.8,34.8,2595501,0.0,1.0
2019-07-25,35.19,35.89,35.19,35.76,35.76,2030954,0.0,1.0
2019-07-24,35.8,35.96,35.17,35.67,35.67,2129852,0.0,1.0
2019-07-23,34.87,35.98,34.77,35.97,35.97,1498810,0.0,1.0
2019-07-22,35.02,35.16,34.425,34.57,34.57,1631459,0.0,1.0
2019-07-19,34.54,35.51,34.45,35.06,35.06,3816350,0.0,1.0
2019-07-18,32.03,33.5,32.0,33.45,33.45,2969971,0.0,1.0
2019-07-17,33.37,33.48,32.26,32.3,32.3,2837063,0.0,1.0
2019-07-16,34.35,34.35,33.41,33.69,33.69,2299962,0.0,1.0
2019-07-15,34.66,34.89,34.115,34.39,34.39,1237538,0.0,1.0
2019-07-12,34.44,34.8,34.38,34.44,34.44,1034049,0.0,1.0
2019-07-11,34.71,35.01,33.98,34.28,34.28,1118155,0.0,1.0
2019-07-10,34.84,35.22,34.45,34.69,34.69,1712497,0.0,1.0
2019-07-09,33.91,34.58,33.7,34.58,34.58,1544941,0.0,1.0
2019-07-08,34.5,34.94,34.24,34.38,34.38,1580267,0.0,1.0
2019-07-05,34.89,35.03,34.4,35.02,35.02,2354706,0.0,1.0
2019-07-03,36.9,36.9,35.02,35.24,35.24,3775290,0.0,1.0
2019-07-02,36.39,37.035,36.31,36.77,36.77,1434747,0.0,1.0
2019-07-01,37.4,37.73,36.61,36.73,36.73,3126522,0.0,1.0
2019-06-28,36.07,36.14,35.31,35.8,35.8,1938980,0.0,1.0
2019-06-27,35.48,36.34,35.395,36.0,36.0,3312347,0.0,1.0
2019-06-26,34.2,35.26,34.0,35.14,35.14,4755508,0.0,1.0
2019-06-25,33.78,33.83,33.15,33.31,33.31,2349275,0.0,1.0
2019-06-24,34.0,34.22,33.46,34.16,34.16,1515256,0.0,1.0
2019-06-21,33.75,34.15,33.49,33.72,33.72,1834577,0.0,1.0
2019-06-20,33.87,34.29,33.67,33.81,33.81,2622263,0.0,1.0
2019-06-19,33.08,33.726,32.25,32.85,32.85,2677955,0.0,1.0
2019-06-18,31.19,33.05,31.19,32.76,32.76,4658213,0.0,1.0
2019-06-17,30.8,31.39,30.7463,30.88,30.88,1625379,0.0,1.0
2019-06-14,31.0,31.38,30.57,31.03,31.03,2422642,0.0,1.0
2019-06-13,31.97,32.14,31.28,31.67,31.67,1350482,0.0,1.0
2019-06-12,31.1,31.97,30.93,31.61,31.61,1933640,0.0,1.0
2019-06-11,32.56,33.41,31.84,31.89,31.89,3952739,0.0,1.0
2019-06-10,31.0,32.2,30.93,31.57,31.57,3290065,0.0,1.0
2019-06-07,30.09,31.0,29.94,30.54,30.54,2574727,0.0,1.0
2019-06-06,29.57,29.94,29.43,29.75,29.75,1585708,0.0,1.0
2019-06-05,30.0,30.23,28.84,29.6,29.6,3625188,0.0,1.0
2019-06-04,27.96,29.78,27.9015,29.68,29.68,4481789,0.0,1.0
2019-06-03,27.58,28.38,27.3,27.49,27.49,2851394,0.0,1.0
2019-05-31,27.52,27.9202,27.2781,27.57,27.57,2890761,0.0,1.0
2019-05-30,28.55,28.73,27.67,28.03,28.03,3574073,0.0,1.0
2019-05-29,27.15,28.81,27.11,28.25,28.25,6094464,0.0,1.0
2019-05-28,28.06,29.48,27.22,27.31,27.31,13641321,0.0,1.0
2019-05-24,27.09,27.13,25.69,26.02,26.02,4886302,0.0,1.0
2019-05-23,26.13,27.22,26.03,26.64,26.64,3907042,0.0,1.0
2019-05-22,27.81,28.01,27.205,27.37,27.37,1975300,0.0,1.0
2019-05-21,27.65,28.0256,27.3,27.86,27.86,2400144,0.0,1.0
2019-05-20,27.23,27.9,26.91,27.37,27.37,3776748,0.0,1.0
2019-05-17,28.83,29.13,27.7,27.92,27.92,4423568,0.0,1.0
2019-05-16,30.06,30.185,29.21,29.61,29.61,2413437,0.0,1.0
2019-05-15,28.9,30.32,28.79,29.88,29.88,4794255,0.0,1.0
2019-05-14,28.71,29.16,27.75,28.81,28.81,4359900,0.0,1.0
2019-05-13,27.21,28.96,27.15,27.83,27.83,4815209,0.0,1.0
2019-05-10,29.74,31.2,28.32,28.97,28.97,13083733,0.0,1.0
2019-05-09,31.7,32.51,30.96,32.29,32.29,3591738,0.0,1.0
2019-05-08,32.89,33.09,32.0,32.81,32.81,4132053,0.0,1.0
2019-05-07,35.33,35.44,32.67,33.15,33.15,4663539,0.0,1.0
2019-05-06,34.74,35.78,34.5,35.58,35.58,3174220,0.0,1.0
2019-05-03,35.88,36.99,35.65,36.85,36.85,1988759,0.0,1.0
2019-05-02,35.23,35.83,34.9831,35.64,35.64,1691615,0.0,1.0
2019-05-01,35.48,36.12,35.15,35.19,35.19,1999286,0.0,1.0
2019-04-30,34.3,35.64,34.21,35.07,35.07,4223981,0.0,1.0
2019-04-29,34.03,34.88,33.33,34.36,34.36,11057735,0.0,1.0
2019-04-26,37.02,37.19,36.51,36.87,36.87,1165513,0.0,1.0
2019-04-25,36.98,37.25,36.15,36.87,36.87,2243250,0.0,1.0
2019-04-24,37.66,37.8235,36.79,36.85,36.85,3565779,0.0,1.0
2019-04-23,36.26,37.6,35.81,37.52,37.52,3944777,0.0,1.0
2019-04-22,35.09,36.275,34.96,36.26,36.26,1817183,0.0,1.0
2019-04-18,35.95,36.06,35.2657,35.67,35.67,1973559,0.0,1.0
2019-04-17,36.71,36.9789,35.535,36.04,36.04,4352007,0.0,1.0
2019-04-16,36.59,36.87,35.83,36.23,36.23,3584147,0.0,1.0
2019-04-15,37.85,37.88,35.94,35.99,35.99,6648004,0.0,1.0
2019-04-12,38.19,38.96,37.8373,38.11,38.11,3626011,0.0,1.0
2019-04-11,37.87,37.97,36.69,37.2,37.2,4297508,0.0,1.0
2019-04-10,38.82,38.9958,37.62,38.03,38.03,3830976,0.0,1.0
2019-04-09,39.28,39.3311,38.82,38.98,38.98,2216012,0.0,1.0
2019-04-08,39.85,39.96,38.8,39.55,39.55,2456309,0.0,1.0
2019-04-05,40.1,40.3,39.6,40.01,40.01,2427367,0.0,1.0
2019-04-04,40.55,40.68,39.34,39.76,39.76,2591395,0.62,1.0
2019-04-03,40.28,41.5,39.88,40.67,40.0455,4061867,0.0,1.0
2019-04-02,40.71,40.8,39.11,39.88,39.2677,3412998,0.0,1.0
2019-04-01,39.07,41.4,39.01,40.81,40.1834,7183016,0.0,1.0
2019-03-29,38.09,38.69,37.94,38.24,37.6529,4472325,0.0,1.0
2019-03-28,37.49,37.66,37.03,37.59,37.0128,2860559,0.0,1.0
2019-03-27,37.61,38.41,37.12,37.31,36.7371,2378801,0.0,1.0
2019-03-26,38.29,38.55,37.21,37.6,37.0227,2606098,0.0,1.0
2019-03-25,36.72,38.37,36.49,38.17,37.5839,2668475,0.0,1.0
2019-03-22,38.08,38.4,36.89,37.13,36.5599,2264004,0.0,1.0
2019-03-21,37.78,38.565,37.76,38.5,37.9089,2219363,0.0,1.0
2019-03-20,38.42,38.42,37.33,38.07,37.4855,2986208,0.0,1.0
2019-03-19,38.97,39.42,38.34,38.54,37.9483,4031123,0.0,1.0
2019-03-18,38.96,39.98,38.69,38.86,38.2633,7060470,0.0,1.0
2019-03-15,37.26,38.69,37.26,38.5,37.9089,5233272,0.0,1.0
2019-03-14,36.89,37.84,36.3,37.22,36.6485,5321937,0.0,1.0
2019-03-13,37.0,37.94,36.57,37.79,37.2098,8071808,0.0,1.0
2019-03-12,36.1,37.85,35.52,36.44,35.8805,19954458,0.0,1.0
2019-03-11,33.28,33.71,31.96,32.55,32.0502,8731675,0.0,1.0
2019-03-08,31.07,33.07,31.0,32.77,32.2668,3797653,0.0,1.0
2019-03-07,34.86,34.98,32.32,32.72,32.2176,5184514,0.0,1.0
2019-03-06,35.39,36.05,35.1,35.27,34.7285,4184145,0.0,1.0
2019-03-05,33.9,35.54,33.81,35.18,34.6398,4459897,0.0,1.0
2019-03-04,34.1,34.56,32.74,33.87,33.35,3755463,0.0,1.0
2019-03-01,34.19,34.41,32.82,33.28,32.769,4171378,0.0,1.0
2019-02-28,34.65,34.65,32.81,33.17,32.6607,3783424,0.0,1.0
2019-02-27,33.92,34.8311,33.68,34.61,34.0786,2019584,0.0,1.0
2019-02-26,34.64,34.76,33.36,34.55,34.0195,3408729,0.0,1.0
2019-02-25,35.4,35.59,34.28,35.34,34.7974,5174197,0.0,1.0
2019-02-22,32.1,33.2,31.91,33.14,32.6312,2879621,0.0,1.0
2019-02-21,32.12,32.47,31.3,31.61,31.1247,2739316,0.0,1.0
2019-02-20,32.27,33.0,31.62,31.82,31.3314,3244534,0.0,1.0
2019-02-19,30.4,32.42,30.245,32.36,31.8631,3374740,0.0,1.0
2019-02-15,31.22,31.22,29.98,30.04,29.5788,2647141,0.0,1.0
2019-02-14,31.33,31.33,30.43,31.23,30.7505,2205968,0.0,1.0
2019-02-13,31.17,32.65,31.1,31.33,30.849,3356570,0.0,1.0
2019-02-12,29.95,30.79,29.67,30.7,30.2286,1865090,0.0,1.0
2019-02-11,29.53,30.065,29.41,29.67,29.2144,2564044,0.0,1.0
2019-02-08,28.5,29.57,28.2,29.21,28.7615,2253340,0.0,1.0
2019-02-07,29.84,29.89,28.43,28.69,28.2495,3314085,0.0,1.0
2019-02-06,30.69,30.95,29.91,30.13,29.6674,1635914,0.0,1.0
2019-02-05,29.92,30.84,29.74,30.61,30.14,1795713,0.0,1.0
2019-02-04,30.13,30.29,29.619,29.77,29.3129,1787267,0.0,1.0
2019-02-01,30.59,31.32,29.9799,30.33,29.8643,2718857,0.0,1.0
2019-01-31,30.12,30.9,29.96,30.43,29.9628,3052884,0.0,1.0
2019-01-30,29.5,29.97,29.08,29.75,29.2932,2615967,0.0,1.0
2019-01-29,29.98,29.98,28.49,28.97,28.5252,3074109,0.0,1.0
2019-01-28,30.5,30.575,29.48,30.04,29.5788,2875889,0.0,1.0
2019-01-25,29.96,31.39,29.82,31.05,30.5733,3836216,0.0,1.0
2019-01-24,28.34,29.59,28.3,29.53,29.0766,2716839,0.0,1.0
2019-01-23,29.31,29.413,28.19,28.39,27.9541,4354061,0.0,1.0
2019-01-22,29.74,30.06,28.515,28.97,28.5252,6599477,0.0,1.0
2019-01-18,29.02,30.53,28.96,30.26,29.7954,8165221,0.0,1.0
2019-01-17,27.72,29.14,27.51,28.67,28.2298,4942117,0.0,1.0
2019-01-16,27.07,28.099,27.07,27.76,27.3338,2524505,0.0,1.0
2019-01-15,26.8,27.1797,26.7115,26.94,26.5264,2872112,0.0,1.0
2019-01-14,26.57,26.65,26.2,26.57,26.162,3153871,0.0,1.0
2019-01-11,26.73,27.07,26.07,26.98,26.5657,3024539,0.0,1.0
2019-01-10,26.88,27.2,26.51,27.0,26.5854,2420177,0.0,1.0
2019-01-09,26.75,27.41,26.3,27.15,26.7331,3761771,0.0,1.0
2019-01-08,26.46,26.79,26.14,26.6,26.1916,4072392,0.0,1.0
2019-01-07,25.63,26.22,25.36,26.22,25.8174,3685701,0.0,1.0
2019-01-04,24.75,25.55,24.34,25.41,25.0199,2802707,0.0,1.0
2019-01-03,24.5,24.77,23.98,24.03,23.661,2291752,0.0,1.0
2019-01-02,23.06,25.21,22.85,24.83,24.4488,3032296,0.0,1.0
2018-12-31,24.56,25.08,23.6,23.75,23.3853,1978892,0.0,1.0
2018-12-28,24.48,24.72,23.9,24.41,24.0352,2318220,0.0,1.0
2018-12-27,23.62,24.5,23.46,24.37,23.9958,2511999,0.0,1.0
2018-12-26,23.83,24.26,22.91,24.22,23.8481,2832906,0.0,1.0
2018-12-24,23.13,24.14,23.09,23.68,23.3164,1712357,0.0,1.0
2018-12-21,23.52,24.1,23.3,23.38,23.021,3623164,0.0,1.0
2018-12-20,23.08,23.64,22.89,23.34,22.9816,3832035,0.0,1.0
2018-12-19,24.66,25.05,23.02,23.46,23.0998,4217025,0.0,1.0
2018-12-18,24.51,24.92,24.28,24.49,24.114,3321722,0.0,1.0
2018-12-17,25.12,25.26,24.21,24.29,23.917,3663369,0.0,1.0
2018-12-14,24.94,25.8498,24.47,25.22,24.8328,2761151,0.0,1.0
2018-12-13,26.0,26.17,25.3302,25.46,25.0691,3257492,0.0,1.0
2018-12-12,25.06,26.36,25.01,25.58,25.1872,4993265,0.0,1.0
2018-12-11,24.86,25.09,24.35,24.58,24.2026,3794074,0.0,1.0
2018-12-10,24.24,25.13,24.045,24.26,23.8875,4989188,0.0,1.0
2018-12-07,26.75,27.12,24.3,24.57,24.1927,10507639,0.0,1.0
2018-12-06,27.2,27.8,26.01,27.05,26.6347,13513043,0.0,1.0
2018-12-04,32.31,32.58,31.43,31.69,31.2034,6663852,0.0,1.0
2018-12-03,33.81,33.88,32.39,33.08,32.5721,5969522,0.0,1.0
2018-11-30,30.5,31.6459,30.25,31.35,30.8686,3238639,0.0,1.0
2018-11-29,29.65,30.67,29.585,30.35,29.884,3658238,0.0,1.0
2018-11-28,30.34,30.52,29.25,30.02,29.5591,5652005,0.0,1.0
2018-11-27,29.84,30.28,29.15,29.71,29.2538,4428886,0.0,1.0
2018-11-26,32.31,32.31,29.66,30.04,29.5788,6434674,0.0,1.0
2018-11-23,31.35,32.38,31.0,31.67,31.1837,1447974,0.0,1.0
2018-11-21,31.8,33.0698,31.33,31.69,31.2034,3499987,0.0,1.0
2018-11-20,29.16,31.12,28.76,30.63,30.1597,3674953,0.0,1.0
2018-11-19,32.67,32.87,30.12,30.59,30.1203,4828525,0.0,1.0
2018-11-16,33.71,34.14,32.41,32.96,32.4539,3107189,0.0,1.0
2018-11-15,33.21,35.1,33.19,34.29,33.7635,5346831,0.0,1.0
2018-11-14,31.93,33.4388,31.9098,32.88,32.3752,3716461,0.0,1.0
