timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,16.0,16.0,15.5,15.75,15.75,49425,0.0,1.0
2019-07-24,15.72,16.46,15.4,15.75,15.75,91290,0.0,1.0
2019-07-23,15.28,15.37,14.95,15.13,15.13,20296,0.0,1.0
2019-07-22,15.05,15.11,14.95,15.05,15.05,30147,0.0,1.0
2019-07-19,15.0,15.43,15.0,15.0,15.0,5345,0.0,1.0
2019-07-18,15.25,15.3056,15.0,15.01,15.01,12417,0.0,1.0
2019-07-17,15.8,16.0,15.35,15.45,15.45,14824,0.0,1.0
2019-07-16,15.7,16.47,15.7,15.77,15.77,46935,0.0,1.0
2019-07-15,15.31,15.76,15.12,15.75,15.75,81487,0.0,1.0
2019-07-12,15.26,15.875,15.2342,15.5,15.5,51382,0.0,1.0
2019-07-11,15.06,15.67,14.8453,15.26,15.26,65596,0.0,1.0
2019-07-10,14.92,15.1299,14.68,15.03,15.03,23581,0.0,1.0
2019-07-09,15.0834,15.285,14.4883,14.7,14.7,26929,0.0,1.0
2019-07-08,14.59,15.2728,14.21,14.58,14.58,8322,0.0,1.0
2019-07-05,14.9,15.46,14.55,14.55,14.55,35725,0.0,1.0
2019-07-03,14.87,15.0,14.63,14.76,14.76,11488,0.0,1.0
2019-07-02,15.0,15.0,14.3,14.88,14.88,31226,0.0,1.0
2019-07-01,14.27,15.18,13.9,14.99,14.99,61076,0.0,1.0
2019-06-28,14.19,14.65,13.99,14.65,14.65,59648,0.0,1.0
2019-06-27,14.0,14.5,14.0,14.12,14.12,17356,0.0,1.0
2019-06-26,13.96,14.25,13.85,14.23,14.23,13134,0.0,1.0
2019-06-25,13.82,14.01,13.75,13.89,13.89,11404,0.0,1.0
2019-06-24,14.0,14.475,13.8901,14.09,14.09,11929,0.0,1.0
2019-06-21,14.27,14.47,13.895,14.26,14.26,29157,0.0,1.0
2019-06-20,14.75,14.75,13.82,13.98,13.98,27316,0.0,1.0
2019-06-19,13.75,15.16,13.4394,15.13,15.13,48476,0.0,1.0
2019-06-18,13.37,13.9599,13.37,13.85,13.85,14522,0.0,1.0
2019-06-17,13.25,13.57,13.23,13.26,13.26,20679,0.0,1.0
2019-06-14,13.25,13.78,13.2272,13.4,13.4,28106,0.0,1.0
2019-06-13,13.25,13.4206,13.146,13.31,13.31,12417,0.0,1.0
2019-06-12,13.17,13.48,13.1105,13.35,13.35,10867,0.0,1.0
2019-06-11,13.22,13.43,13.12,13.12,13.12,3679,0.0,1.0
2019-06-10,13.35,13.905,13.05,13.05,13.05,26093,0.0,1.0
2019-06-07,13.37,13.5,12.98,13.3,13.3,10526,0.0,1.0
2019-06-06,12.95,13.68,12.95,13.23,13.23,9031,0.0,1.0
2019-06-05,13.3,13.471,12.5827,12.93,12.93,15208,0.0,1.0
2019-06-04,13.76,13.9897,12.875,13.38,13.38,34922,0.0,1.0
2019-06-03,14.0,14.23,12.86,13.74,13.74,12856,0.0,1.0
2019-05-31,13.47,14.16,13.41,13.9,13.9,9188,0.0,1.0
2019-05-30,13.47,13.94,13.15,13.5,13.5,18944,0.0,1.0
2019-05-29,13.23,14.0,13.06,13.49,13.49,21336,0.0,1.0
2019-05-28,12.98,13.47,12.98,13.02,13.02,6896,0.0,1.0
2019-05-24,13.53,13.55,12.71,13.1388,13.1388,13481,0.0,1.0
2019-05-23,13.29,13.74,13.12,13.49,13.49,5751,0.0,1.0
2019-05-22,13.65,13.65,13.25,13.4,13.4,2824,0.0,1.0
2019-05-21,13.84,14.0,13.25,13.66,13.66,104673,0.0,1.0
2019-05-20,14.42,14.6,13.3235,13.56,13.56,7159,0.0,1.0
2019-05-17,14.7,14.9,14.2,14.41,14.41,4683,0.0,1.0
2019-05-16,13.94,14.79,13.51,14.79,14.79,18065,0.0,1.0
2019-05-15,13.66,14.49,13.655,13.85,13.85,6272,0.0,1.0
2019-05-14,13.83,15.0,13.64,13.89,13.89,8362,0.0,1.0
2019-05-13,14.06,14.8,13.325,13.62,13.62,10290,0.0,1.0
2019-05-10,13.8,14.62,13.3,14.42,14.42,14072,0.0,1.0
2019-05-09,14.1,14.1,13.41,13.75,13.75,14890,0.0,1.0
2019-05-08,14.07,14.2,13.45,14.19,14.19,15086,0.0,1.0
2019-05-07,14.24,14.67,14.05,14.05,14.05,8279,0.0,1.0
2019-05-06,13.58,14.795,12.5,14.3,14.3,60147,0.0,1.0
2019-05-03,15.39,15.46,14.75,14.8,14.8,15314,0.0,1.0
2019-05-02,16.0,16.12,14.9308,15.47,15.47,15689,0.0,1.0
2019-05-01,15.44,15.94,14.72,15.67,15.67,37518,0.0,1.0
2019-04-30,16.49,16.49,15.32,15.44,15.44,29327,0.0,1.0
2019-04-29,16.5,16.5,15.42,16.49,16.49,28105,0.0,1.0
2019-04-26,16.35,16.35,15.67,16.2343,16.2343,16220,0.0,1.0
2019-04-25,15.87,16.465,15.5,16.29,16.29,14361,0.0,1.0
2019-04-24,16.64,16.9469,15.05,15.89,15.89,43865,0.0,1.0
2019-04-23,16.83,17.6,15.7,15.9,15.9,60998,0.0,1.0
2019-04-22,17.0,17.9899,16.09,16.83,16.83,112587,0.0,1.0
2019-04-18,15.97,15.97,15.03,15.7,15.7,32741,0.0,1.0
2019-04-17,15.93,16.7,13.89,15.15,15.15,71166,0.0,1.0
2019-04-16,17.2,17.25,15.615,16.49,16.49,32594,0.0,1.0
2019-04-15,15.13,16.52,15.001,16.45,16.45,44612,0.0,1.0
2019-04-12,13.77,14.995,13.77,14.72,14.72,108233,0.0,1.0
2019-04-11,13.6,14.4495,13.5,13.57,13.57,32904,0.0,1.0
2019-04-10,13.5,13.65,13.4,13.56,13.56,31025,0.0,1.0
2019-04-09,13.6,14.0,13.02,13.15,13.15,27303,0.0,1.0
2019-04-08,13.61,14.1559,13.6,13.65,13.65,40786,0.0,1.0
2019-04-05,14.2613,14.2613,13.59,13.61,13.61,29589,0.0,1.0
2019-04-04,13.75,14.045,13.36,13.55,13.55,22128,0.0,1.0
2019-04-03,13.9,14.47,13.5,13.61,13.61,56678,0.0,1.0
2019-04-02,13.75,13.75,13.06,13.06,13.06,10652,0.0,1.0
2019-04-01,14.5,14.71,13.69,13.77,13.77,74710,0.0,1.0
2019-03-29,12.75,14.83,12.51,14.77,14.77,99105,0.0,1.0
2019-03-28,12.74,13.13,12.62,12.75,12.75,7034,0.0,1.0
2019-03-27,12.41,12.7882,12.32,12.59,12.59,10059,0.0,1.0
2019-03-26,12.47,12.47,11.96,11.96,11.96,3447,0.0,1.0
2019-03-25,12.8,12.8,12.1435,12.49,12.49,9787,0.0,1.0
2019-03-22,12.85,12.85,12.4669,12.84,12.84,4141,0.0,1.0
2019-03-21,12.77,12.89,12.77,12.89,12.89,1692,0.0,1.0
2019-03-20,12.92,12.92,12.85,12.85,12.85,1655,0.0,1.0
2019-03-19,12.95,13.33,12.53,12.54,12.54,33909,0.0,1.0
2019-03-18,12.99,13.0,12.5484,12.74,12.74,3549,0.0,1.0
2019-03-15,13.3315,13.3315,12.51,12.95,12.95,3309,0.0,1.0
2019-03-14,13.32,13.32,13.02,13.13,13.13,3756,0.0,1.0
2019-03-13,13.5,13.5,12.9475,13.17,13.17,11681,0.0,1.0
2019-03-12,13.57,13.789,13.37,13.45,13.45,10237,0.0,1.0
2019-03-11,13.67,13.79,13.5,13.655,13.655,12989,0.0,1.0
2019-03-08,13.74,13.74,11.9,13.56,13.56,6076,0.0,1.0
2019-03-07,13.75,13.83,13.03,13.75,13.75,23577,0.0,1.0
2019-03-06,13.7,13.8,13.26,13.75,13.75,21455,0.0,1.0
2019-03-05,13.16,13.515,12.9165,13.35,13.35,28464,0.0,1.0
2019-03-04,12.77,13.29,12.46,12.84,12.84,37988,0.0,1.0
2019-03-01,11.75,12.92,11.75,12.75,12.75,39720,0.0,1.0
2019-02-28,11.69,11.69,11.42,11.68,11.68,9823,0.0,1.0
2019-02-27,11.48,11.59,11.35,11.59,11.59,11414,0.0,1.0
2019-02-26,11.1,11.6,11.0,11.35,11.35,64887,0.0,1.0
2019-02-25,11.25,11.27,11.04,11.1,11.1,43415,0.0,1.0
2019-02-22,11.05,11.5472,11.02,11.09,11.09,14919,0.0,1.0
2019-02-21,11.24,11.536,11.062,11.2,11.2,20501,0.0,1.0
2019-02-20,11.5,11.633,11.05,11.16,11.16,63988,0.0,1.0
2019-02-19,11.38,11.66,11.19,11.565,11.565,53492,0.0,1.0
