timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,7.4,7.4,6.9101,7.07,7.07,106906,0.0,1.0
2019-07-25,7.74,7.74,7.0,7.41,7.41,114355,0.0,1.0
2019-07-24,7.5,7.79,7.32,7.68,7.68,125361,0.0,1.0
2019-07-23,7.85,8.1,6.75,7.44,7.44,360739,0.0,1.0
2019-07-22,6.35,7.9,6.35,7.81,7.81,464032,0.0,1.0
2019-07-19,5.84,6.3482,5.78,6.27,6.27,148853,0.0,1.0
2019-07-18,5.44,5.84,5.44,5.76,5.76,57310,0.0,1.0
2019-07-17,5.39,5.8335,5.39,5.49,5.49,168892,0.0,1.0
2019-07-16,4.97,5.4,4.93,5.36,5.36,102296,0.0,1.0
2019-07-15,5.03,5.12,4.91,4.97,4.97,86505,0.0,1.0
2019-07-12,5.27,5.284,4.97,5.07,5.07,91504,0.0,1.0
2019-07-11,4.59,5.2393,4.59,5.08,5.08,287633,0.0,1.0
2019-07-10,4.54,4.66,4.44,4.54,4.54,41263,0.0,1.0
2019-07-09,4.65,4.65,4.311,4.54,4.54,155810,0.0,1.0
2019-07-08,4.71,4.93,4.65,4.69,4.69,56081,0.0,1.0
2019-07-05,4.5,5.11,4.49,4.76,4.76,154211,0.0,1.0
2019-07-03,4.45,4.63,4.45,4.54,4.54,58138,0.0,1.0
2019-07-02,4.33,4.56,4.3,4.48,4.48,63962,0.0,1.0
2019-07-01,4.5,4.64,4.275,4.3,4.3,92579,0.0,1.0
2019-06-28,4.25,4.48,4.1791,4.48,4.48,128205,0.0,1.0
2019-06-27,3.92,4.29,3.89,4.21,4.21,96810,0.0,1.0
2019-06-26,3.53,3.98,3.4371,3.94,3.94,111720,0.0,1.0
2019-06-25,3.38,3.55,3.38,3.5,3.5,39200,0.0,1.0
2019-06-24,3.45,3.4983,3.3065,3.41,3.41,40093,0.0,1.0
2019-06-21,3.45,3.66,3.3,3.45,3.45,53729,0.0,1.0
2019-06-20,3.51,3.66,3.3001,3.47,3.47,56059,0.0,1.0
2019-06-19,3.51,3.66,3.39,3.49,3.49,45093,0.0,1.0
2019-06-18,3.63,3.63,3.47,3.5,3.5,68201,0.0,1.0
2019-06-17,3.65,3.76,3.6,3.62,3.62,18963,0.0,1.0
2019-06-14,3.75,3.8261,3.61,3.68,3.68,64905,0.0,1.0
2019-06-13,3.6,3.87,3.54,3.77,3.77,73205,0.0,1.0
2019-06-12,3.66,3.79,3.5442,3.56,3.56,40780,0.0,1.0
2019-06-11,3.42,3.84,3.4,3.7,3.7,117452,0.0,1.0
2019-06-10,3.22,3.52,3.215,3.46,3.46,79907,0.0,1.0
2019-06-07,3.25,3.29,3.15,3.21,3.21,45056,0.0,1.0
2019-06-06,3.18,3.31,3.14,3.22,3.22,57799,0.0,1.0
2019-06-05,3.31,3.31,3.11,3.21,3.21,91266,0.0,1.0
2019-06-04,3.15,3.46,3.139,3.28,3.28,126330,0.0,1.0
2019-06-03,2.92,3.19,2.81,3.05,3.05,114834,0.0,1.0
2019-05-31,2.87,2.98,2.8,2.84,2.84,116250,0.0,1.0
2019-05-30,3.1,3.2111,2.88,2.95,2.95,154616,0.0,1.0
2019-05-29,3.56,3.59,3.0,3.07,3.07,185662,0.0,1.0
2019-05-28,4.11,4.12,3.5101,3.57,3.57,109385,0.0,1.0
2019-05-24,3.96,3.99,3.8,3.86,3.86,70613,0.0,1.0
2019-05-23,3.73,4.06,3.65,3.94,3.94,133285,0.0,1.0
2019-05-22,3.94,3.94,3.7209,3.8,3.8,63448,0.0,1.0
2019-05-21,3.78,4.1,3.78,3.92,3.92,82767,0.0,1.0
2019-05-20,3.89,3.91,3.69,3.82,3.82,86611,0.0,1.0
2019-05-17,3.56,4.09,3.54,3.91,3.91,192479,0.0,1.0
2019-05-16,4.05,4.39,3.5513,3.6,3.6,229404,0.0,1.0
2019-05-15,3.19,4.2407,3.0,4.09,4.09,552799,0.0,1.0
2019-05-14,3.1,3.215,2.75,3.21,3.21,150661,0.0,1.0
2019-05-13,3.45,3.49,2.98,3.04,3.04,107884,0.0,1.0
2019-05-10,3.37,3.55,3.27,3.47,3.47,129726,0.0,1.0
2019-05-09,3.55,3.58,3.2,3.37,3.37,125120,0.0,1.0
2019-05-08,3.85,3.91,3.5898,3.59,3.59,187057,0.0,1.0
2019-05-07,4.7,4.7,3.54,3.9,3.9,623252,0.0,1.0
2019-05-06,4.52,4.73,4.32,4.67,4.67,59921,0.0,1.0
2019-05-03,4.48,4.7388,4.37,4.59,4.59,75964,0.0,1.0
2019-05-02,4.71,4.85,4.43,4.51,4.51,147707,0.0,1.0
2019-05-01,4.9,5.26,4.82,4.88,4.88,199815,0.0,1.0
2019-04-30,4.91,5.7,4.51,4.95,4.95,839285,0.0,1.0
2019-04-29,4.3,4.93,4.3,4.84,4.84,233177,0.0,1.0
2019-04-26,4.07,4.5,4.0305,4.33,4.33,154590,0.0,1.0
2019-04-25,4.16,4.27,4.0301,4.16,4.16,68289,0.0,1.0
2019-04-24,3.91,4.31,3.72,4.15,4.15,109723,0.0,1.0
2019-04-23,4.07,4.1678,3.88,3.91,3.91,169503,0.0,1.0
2019-04-22,4.5,4.5,3.95,4.13,4.13,198232,0.0,1.0
2019-04-18,4.44,4.5,4.3,4.46,4.46,79521,0.0,1.0
2019-04-17,4.1,4.39,4.08,4.35,4.35,204261,0.0,1.0
