timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,6.56,6.5629,6.33,6.39,6.39,33805,0.0,1.0
2019-07-25,6.83,6.83,6.5,6.53,6.53,40349,0.0,1.0
2019-07-24,6.64,6.8,6.58,6.8,6.8,32146,0.0,1.0
2019-07-23,6.42,6.64,6.42,6.58,6.58,17585,0.0,1.0
2019-07-22,6.51,6.5799,6.36,6.42,6.42,35253,0.0,1.0
2019-07-19,6.43,6.51,6.39,6.5,6.5,8843,0.0,1.0
2019-07-18,6.67,6.69,6.35,6.4,6.4,44367,0.0,1.0
2019-07-17,6.75,6.75,6.58,6.62,6.62,22086,0.0,1.0
2019-07-16,6.62,6.76,6.4966,6.75,6.75,17704,0.0,1.0
2019-07-15,6.41,6.75,6.3768,6.67,6.67,53522,0.0,1.0
2019-07-12,6.39,6.4,6.37,6.39,6.39,36301,0.0,1.0
2019-07-11,6.4,6.45,6.36,6.38,6.38,28227,0.0,1.0
2019-07-10,6.4,6.42,6.35,6.39,6.39,32601,0.0,1.0
2019-07-09,6.3,6.4,6.29,6.4,6.4,33972,0.0,1.0
2019-07-08,6.34,6.4,6.3,6.3,6.3,19319,0.0,1.0
2019-07-05,6.41,6.41,6.3,6.3698,6.3698,45676,0.0,1.0
2019-07-03,6.33,6.37,6.3,6.3,6.3,8436,0.0,1.0
2019-07-02,6.38,6.38,6.21,6.33,6.33,20867,0.0,1.0
2019-07-01,6.41,6.41,6.31,6.355,6.355,33378,0.0,1.0
2019-06-28,6.4,6.5,6.27,6.3,6.3,95163,0.0,1.0
2019-06-27,6.44,6.46,6.38,6.4,6.4,26208,0.0,1.0
2019-06-26,6.45,6.555,6.36,6.39,6.39,97255,0.0,1.0
2019-06-25,6.35,6.46,6.35,6.39,6.39,14260,0.0,1.0
2019-06-24,6.49,6.49,6.3008,6.37,6.37,11734,0.0,1.0
2019-06-21,6.26,6.365,6.26,6.33,6.33,15980,0.0,1.0
2019-06-20,6.31,6.36,6.26,6.33,6.33,42283,0.0,1.0
2019-06-19,6.4,6.44,6.15,6.24,6.24,16295,0.0,1.0
2019-06-18,6.39,6.48,6.35,6.44,6.44,28302,0.0,1.0
2019-06-17,6.33,6.47,6.32,6.39,6.39,14321,0.0,1.0
2019-06-14,6.4,6.42,6.27,6.3,6.3,17965,0.0,1.0
2019-06-13,6.27,6.4,6.27,6.4,6.4,8778,0.0,1.0
2019-06-12,6.39,6.48,6.15,6.15,6.15,21175,0.0,1.0
2019-06-11,6.44,6.49,6.3416,6.39,6.39,26103,0.0,1.0
2019-06-10,6.4,6.57,6.35,6.35,6.35,19552,0.0,1.0
2019-06-07,6.23,6.48,6.23,6.38,6.38,35977,0.0,1.0
2019-06-06,6.26,6.33,6.17,6.23,6.23,27973,0.0,1.0
2019-06-05,6.39,6.4682,6.24,6.29,6.29,23539,0.0,1.0
2019-06-04,6.35,6.54,6.19,6.43,6.43,15336,0.0,1.0
2019-06-03,6.35,6.5,6.25,6.25,6.25,16824,0.0,1.0
2019-05-31,6.27,6.42,5.66,6.38,6.38,55589,0.0,1.0
2019-05-30,6.41,6.5,5.99,6.39,6.39,90043,0.0,1.0
2019-05-29,6.62,6.74,6.36,6.48,6.48,45392,0.0,1.0
2019-05-28,7.43,7.43,6.5688,6.62,6.62,118462,0.3,1.0
2019-05-24,7.67,7.74,7.4772,7.67,7.3375,98645,0.0,1.0
2019-05-23,7.68,7.72,7.25,7.52,7.194,69528,0.0,1.0
2019-05-22,7.65,7.72,7.65,7.69,7.3566,49934,0.0,1.0
2019-05-21,7.7,7.715,7.6397,7.65,7.3184,31885,0.0,1.0
2019-05-20,7.74,7.74,7.6,7.61,7.2801,52288,0.0,1.0
2019-05-17,7.57,7.76,7.55,7.74,7.4045,59167,0.0,1.0
2019-05-16,7.55,7.6899,7.46,7.55,7.2227,68691,0.0,1.0
2019-05-15,7.6,7.9499,7.41,7.41,7.0888,117538,0.0,1.0
2019-05-14,7.56,7.72,7.27,7.59,7.261,107712,0.0,1.0
2019-05-13,7.46,7.47,6.82,7.43,7.1079,98231,0.0,1.0
2019-05-10,6.91,7.2397,6.91,7.06,6.7539,20597,0.0,1.0
2019-05-09,6.95,7.04,6.75,6.97,6.6678,20515,0.0,1.0
2019-05-08,6.9,7.16,6.68,7.06,6.7539,34288,0.0,1.0
2019-05-07,6.89,7.0627,6.89,7.02,6.7157,12361,0.0,1.0
2019-05-06,6.87,7.14,6.5,7.13,6.8209,105003,0.0,1.0
2019-05-03,7.33,7.58,7.2362,7.39,7.0696,27862,0.0,1.0
2019-05-02,7.07,7.3,7.0652,7.29,6.974,21923,0.0,1.0
2019-05-01,7.26,7.26,7.0402,7.08,6.7731,10328,0.0,1.0
2019-04-30,7.1858,7.22,7.11,7.21,6.8974,16128,0.0,1.0
2019-04-29,7.25,7.7,7.0957,7.33,7.0122,40251,0.0,1.0
2019-04-26,6.94,7.34,6.8843,7.25,6.9357,14839,0.0,1.0
2019-04-25,7.38,7.47,6.81,7.06,6.7539,51425,0.0,1.0
2019-04-24,7.54,7.6,7.46,7.47,7.1462,11024,0.0,1.0
2019-04-23,7.64,7.68,7.5406,7.59,7.261,15481,0.0,1.0
2019-04-22,7.61,7.68,7.2302,7.68,7.3471,22161,0.0,1.0
2019-04-18,7.26,7.48,7.1711,7.48,7.1557,16788,0.0,1.0
2019-04-17,7.8,7.8599,7.0107,7.23,6.9166,61512,0.0,1.0
