timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,102.5,102.98,101.25,102.36,102.36,2940799,0.0,1.0
2019-07-25,104.53,104.9,101.52,101.77,101.77,4053520,0.0,1.0
2019-07-24,102.75,106.25,102.71,105.5,105.5,6759474,0.0,1.0
2019-07-23,99.89,100.94,99.1601,100.94,100.94,3086398,0.0,1.0
2019-07-22,98.71,99.64,98.46,98.74,98.74,2173932,0.0,1.0
2019-07-19,97.54,98.63,96.48,97.96,97.96,3547577,0.0,1.0
2019-07-18,96.49,97.5228,96.05,97.12,97.12,2974608,0.0,1.0
2019-07-17,97.0,97.55,96.11,96.4,96.4,1982187,0.0,1.0
2019-07-16,97.75,97.76,96.09,97.01,97.01,2925064,0.0,1.0
2019-07-15,97.23,99.36,97.12,99.16,99.16,3266349,0.0,1.0
2019-07-12,94.66,97.05,94.11,96.99,96.99,2621238,0.0,1.0
2019-07-11,96.3,96.5,93.95,94.12,94.12,2893633,0.0,1.0
2019-07-10,96.84,97.9358,95.99,96.13,96.13,2803514,0.0,1.0
2019-07-09,95.05,96.26,94.76,95.92,95.92,3327582,0.0,1.0
2019-07-08,95.69,96.79,95.19,95.55,95.55,2904959,0.0,1.0
2019-07-05,96.39,97.27,95.9,96.53,96.53,2688129,0.0,1.0
2019-07-03,97.17,97.98,96.83,97.68,97.68,1597489,0.0,1.0
2019-07-02,99.41,99.89,97.675,98.08,98.08,2834843,0.0,1.0
2019-07-01,101.91,103.33,99.51,99.92,99.92,6155650,0.0,1.0
2019-06-28,101.37,101.37,97.47,97.61,97.61,23376319,0.0,1.0
2019-06-27,98.29,100.59,97.955,99.23,99.23,4482924,0.0,1.0
2019-06-26,97.13,98.5,96.08,97.14,97.14,2976272,0.0,1.0
2019-06-25,97.8,98.5,94.89,95.11,95.11,2882269,0.0,1.0
2019-06-24,98.58,99.59,97.56,97.65,97.65,3141676,0.0,1.0
2019-06-21,98.13,98.76,96.415,98.06,98.06,3567297,0.0,1.0
2019-06-20,98.5,98.97,96.94,98.01,98.01,3523472,0.0,1.0
2019-06-19,95.15,97.2,94.76,96.22,96.22,2695218,0.0,1.0
2019-06-18,91.26,94.98,90.66,94.78,94.78,3697295,0.0,1.0
2019-06-17,91.0,91.6,89.53,89.7,89.7,2695644,0.0,1.0
2019-06-14,91.89,92.99,90.88,90.89,90.89,3758684,0.0,1.0
2019-06-13,94.32,94.59,93.1,94.44,94.44,2048132,0.25,1.0
2019-06-12,97.5,97.5,93.68,93.76,93.5125,3891915,0.0,1.0
2019-06-11,97.9,98.29,95.12,95.46,95.208,2311589,0.0,1.0
2019-06-10,93.92,97.365,93.61,95.39,95.1382,3008601,0.0,1.0
2019-06-07,92.81,92.93,91.9,92.64,92.3954,1877778,0.0,1.0
2019-06-06,93.26,93.95,91.78,92.29,92.0463,3751823,0.0,1.0
2019-06-05,95.13,95.46,91.67,93.45,93.2033,2224626,0.0,1.0
2019-06-04,91.76,94.81,91.29,94.63,94.3802,4331234,0.0,1.0
2019-06-03,91.17,91.17,89.0,89.63,89.3934,3423969,0.0,1.0
2019-05-31,89.26,89.86,88.09,88.16,87.9272,4020450,0.0,1.0
2019-05-30,89.21,91.1,89.13,90.88,90.6401,2737588,0.0,1.0
2019-05-29,88.49,89.8034,87.26,89.12,88.8847,4207329,0.0,1.0
2019-05-28,92.57,92.57,89.08,89.61,89.3734,11811943,0.0,1.0
2019-05-24,92.7,93.46,91.75,91.81,91.5676,3230856,0.0,1.0
2019-05-23,91.68,92.49,89.8,91.91,91.6673,5022905,0.0,1.0
2019-05-22,95.48,96.64,93.57,93.64,93.3928,3760424,0.0,1.0
2019-05-21,94.32,96.91,93.61,96.68,96.4247,5394431,0.0,1.0
2019-05-20,92.8,93.0,91.06,92.6,92.3555,4759024,0.0,1.0
2019-05-17,96.48,98.79,94.965,95.13,94.8788,3348259,0.0,1.0
2019-05-16,98.38,99.63,97.175,97.65,97.3922,3410755,0.0,1.0
2019-05-15,97.49,101.11,97.01,100.17,99.9055,4147994,0.0,1.0
2019-05-14,94.88,98.35,94.5956,98.17,97.9108,4875926,0.0,1.0
2019-05-13,96.43,97.36,92.8099,93.12,92.8741,5061338,0.0,1.0
2019-05-10,99.88,100.98,97.56,100.17,99.9055,2746204,0.0,1.0
2019-05-09,100.12,100.78,96.89,100.33,100.0651,4142809,0.0,1.0
2019-05-08,101.19,103.65,99.62,101.5,101.232,4099538,0.0,1.0
2019-05-07,104.49,104.74,100.68,102.46,102.1895,4390773,0.0,1.0
2019-05-06,104.72,106.16,103.72,106.02,105.7401,2967838,0.0,1.0
2019-05-03,107.08,108.51,106.88,108.08,107.7946,3445596,0.0,1.0
2019-05-02,104.93,107.47,104.3447,106.6,106.3186,3989109,0.0,1.0
2019-05-01,106.6,108.33,104.92,104.99,104.7128,4463488,0.0,1.0
2019-04-30,105.22,107.6999,102.86,105.62,105.3411,10559368,0.0,1.0
2019-04-29,98.45,99.4,97.29,97.9,97.6415,4439986,0.0,1.0
2019-04-26,96.6,99.1,95.7,99.0,98.7386,2755898,0.0,1.0
2019-04-25,99.42,99.72,96.4,97.68,97.4221,2899296,0.0,1.0
2019-04-24,98.85,101.33,98.5,100.13,99.8656,3802934,0.0,1.0
2019-04-23,98.51,99.539,98.28,99.03,98.7685,4126500,0.0,1.0
2019-04-22,100.23,100.23,98.43,98.47,98.21,2083315,0.0,1.0
2019-04-18,102.18,102.19,99.72,100.59,100.3244,2832025,0.0,1.0
2019-04-17,102.1,103.05,100.42,101.17,100.9029,3210071,0.0,1.0
2019-04-16,100.59,101.265,100.1501,100.66,100.3942,2682480,0.0,1.0
2019-04-15,100.4,100.69,98.98,99.23,98.968,2563899,0.0,1.0
2019-04-12,99.18,100.42,98.51,100.34,100.0751,3327317,0.0,1.0
2019-04-11,98.2,99.21,97.3,97.65,97.3922,2076667,0.0,1.0
2019-04-10,97.45,98.72,96.3,98.13,97.8709,2297182,0.0,1.0
2019-04-09,98.5,98.69,97.37,97.59,97.3323,2684991,0.0,1.0
2019-04-08,97.75,98.78,96.9,98.61,98.3497,2297344,0.0,1.0
2019-04-05,97.73,98.275,96.58,98.15,97.8909,2818862,0.0,1.0
2019-04-04,95.69,97.9,95.69,96.57,96.315,2867168,0.0,1.0
2019-04-03,94.69,96.79,94.25,96.18,95.9261,4330989,0.0,1.0
2019-04-02,94.34,94.5,92.6,92.79,92.545,2712982,0.0,1.0
2019-04-01,90.0,94.57,90.0,94.39,94.1408,4016437,0.0,1.0
2019-03-29,87.07,89.0,87.01,88.39,88.1566,3212814,0.0,1.0
2019-03-28,87.4,87.8,85.38,85.92,85.6932,3056092,0.0,1.0
2019-03-27,89.08,89.7,85.72,87.35,87.1194,3900946,0.0,1.0
2019-03-26,89.44,89.85,88.56,89.29,89.0543,1820953,0.0,1.0
2019-03-25,90.03,90.37,88.2306,88.93,88.6952,2364011,0.0,1.0
2019-03-22,93.77,93.77,90.56,90.66,90.4206,1988107,0.0,1.0
2019-03-21,91.46,94.9,91.04,94.29,94.0411,2413939,0.0,1.0
2019-03-20,92.65,93.08,90.56,91.03,90.7897,1699057,0.0,1.0
2019-03-19,92.81,93.653,92.61,92.82,92.5749,1938415,0.0,1.0
