timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-26,4.22,8.48,4.01,6.5,6.5,3691818,0.0,1.0
2019-07-25,5.21,5.68,4.78,5.34,5.34,725131,0.0,0.1
2019-07-24,0.66,0.689,0.55,0.5721,5.721,9004020,0.0,1.0
2019-07-23,0.7,1.05,0.685,0.96,9.6,10401785,0.0,1.0
2019-07-22,0.615,0.7459,0.61,0.73,7.3,2415862,0.0,1.0
2019-07-19,0.6101,0.63,0.592,0.605,6.05,579221,0.0,1.0
2019-07-18,0.61,0.61,0.5899,0.5901,5.901,624196,0.0,1.0
2019-07-17,0.635,0.635,0.6,0.606,6.06,880626,0.0,1.0
2019-07-16,0.65,0.66,0.6223,0.6249,6.249,1595203,0.0,1.0
2019-07-15,0.65,0.65,0.606,0.6117,6.117,858369,0.0,1.0
2019-07-12,0.6229,0.651,0.6111,0.635,6.35,734031,0.0,1.0
2019-07-11,0.65,0.67,0.6126,0.6318,6.318,1083688,0.0,1.0
2019-07-10,0.68,0.765,0.6405,0.6583,6.5826,5590322,0.0,1.0
2019-07-09,0.58,0.6089,0.56,0.59,5.9,1199307,0.0,1.0
2019-07-08,0.6001,0.6094,0.581,0.583,5.83,715573,0.0,1.0
2019-07-05,0.66,0.6602,0.552,0.605,6.05,1783773,0.0,1.0
2019-07-03,0.67,0.685,0.64,0.6567,6.567,996940,0.0,1.0
2019-07-02,0.745,0.7483,0.67,0.69,6.9,1172176,0.0,1.0
2019-07-01,0.7125,0.7555,0.7,0.713,7.13,846110,0.0,1.0
2019-06-28,0.69,0.74,0.67,0.6991,6.991,1099056,0.0,1.0
2019-06-27,0.6801,0.729,0.67,0.6941,6.941,1254141,0.0,1.0
2019-06-26,0.79,0.83,0.72,0.7505,7.505,2328905,0.0,1.0
2019-06-25,0.7,0.8675,0.69,0.7955,7.955,8186951,0.0,1.0
2019-06-24,0.69,0.83,0.6023,0.7531,7.531,10805137,0.0,1.0
2019-06-21,0.59,0.63,0.5621,0.5961,5.961,2511342,0.0,1.0
2019-06-20,0.57,0.64,0.57,0.5949,5.949,1619963,0.0,1.0
2019-06-19,0.684,0.7,0.5801,0.6051,6.051,2050720,0.0,1.0
2019-06-18,0.68,0.74,0.66,0.6815,6.815,1675522,0.0,1.0
2019-06-17,0.7398,0.7398,0.65,0.6796,6.796,1415441,0.0,1.0
2019-06-14,0.7905,0.8,0.6507,0.68,6.8,2460474,0.0,1.0
2019-06-13,0.7882,0.8749,0.74,0.7905,7.905,3180783,0.0,1.0
2019-06-12,0.88,0.905,0.7103,0.77,7.7,4682315,0.0,1.0
2019-06-11,1.01,1.02,0.89,0.9585,9.585,2552614,0.0,1.0
2019-06-10,1.09,1.0945,0.97,1.02,10.2,2883799,0.0,1.0
2019-06-07,1.15,1.16,1.05,1.05,10.5,2275049,0.0,1.0
2019-06-06,1.05,1.16,1.0201,1.16,11.6,2759067,0.0,1.0
2019-06-05,1.2,1.22,1.0,1.02,10.2,6344067,0.0,1.0
2019-06-04,1.45,1.54,1.205,1.28,12.8,7635063,0.0,1.0
