timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-25,20.05,20.06,19.58,19.63,19.63,738554,0.0,1.0
2019-07-24,19.46,20.1,19.36,20.06,20.06,407797,0.0,1.0
2019-07-23,18.53,19.54,18.53,19.52,19.52,426368,0.0,1.0
2019-07-22,18.35,18.49,18.19,18.4,18.4,639992,0.0,1.0
2019-07-19,18.27,18.53,18.22,18.33,18.33,276166,0.0,1.0
2019-07-18,18.5,18.76,18.17,18.27,18.27,438872,0.0,1.0
2019-07-17,18.69,18.87,18.39,18.6,18.6,871926,0.0,1.0
2019-07-16,18.21,19.16,18.21,18.7,18.7,391722,0.0,1.0
2019-07-15,18.89,18.96,18.21,18.29,18.29,426034,0.0,1.0
2019-07-12,18.64,18.95,18.47,18.86,18.86,867933,0.0,1.0
2019-07-11,19.34,19.41,18.49,18.7,18.7,491993,0.0,1.0
2019-07-10,20.0,20.11,19.31,19.35,19.35,663966,0.0,1.0
2019-07-09,19.92,19.92,19.57,19.88,19.88,278421,0.0,1.0
2019-07-08,20.32,20.39,19.975,20.01,20.01,289560,0.0,1.0
2019-07-05,20.45,20.66,20.27,20.46,20.46,270486,0.0,1.0
2019-07-03,20.84,20.95,20.58,20.63,20.63,173825,0.0,1.0
2019-07-02,21.28,21.31,20.55,20.85,20.85,432594,0.0,1.0
2019-07-01,21.56,21.87,21.085,21.27,21.27,569665,0.0,1.0
2019-06-28,21.22,21.66,21.0,21.41,21.41,8089208,0.0,1.0
2019-06-27,20.57,21.19,20.49,21.1,21.1,537011,0.0,1.0
2019-06-26,20.12,20.59,20.08,20.53,20.53,402749,0.0,1.0
2019-06-25,20.01,20.12,19.84,20.0,20.0,485548,0.0,1.0
2019-06-24,19.47,20.4,19.46,20.04,20.04,797672,0.0,1.0
2019-06-21,19.35,19.61,19.23,19.55,19.55,553753,0.0,1.0
2019-06-20,19.41,19.62,19.07,19.5,19.5,702431,0.0,1.0
2019-06-19,19.59,19.59,19.14,19.17,19.17,317009,0.2,1.0
2019-06-18,19.44,19.95,19.44,19.72,19.5164,807842,0.0,1.0
2019-06-17,19.69,19.82,19.25,19.28,19.0809,497373,0.0,1.0
2019-06-14,20.38,20.445,19.55,19.74,19.5362,475753,0.0,1.0
2019-06-13,20.79,21.05,20.36,20.39,20.1795,489927,0.0,1.0
2019-06-12,20.59,20.85,20.5,20.72,20.5061,854130,0.0,1.0
2019-06-11,20.77,21.12,20.35,20.67,20.4566,511348,0.0,1.0
2019-06-10,20.31,21.16,20.03,20.68,20.4665,924066,0.0,1.0
2019-06-07,19.72,20.24,19.55,20.1,19.8925,339540,0.0,1.0
2019-06-06,19.14,19.7,19.0,19.62,19.4174,522154,0.0,1.0
2019-06-05,19.11,19.23,18.69,19.2,19.0018,320363,0.0,1.0
2019-06-04,18.57,19.21,18.57,19.08,18.883,336454,0.0,1.0
2019-06-03,17.52,18.36,17.52,18.31,18.1209,954265,0.0,1.0
2019-05-31,17.92,17.93,17.58,17.58,17.3985,510390,0.0,1.0
2019-05-30,18.17,18.58,18.06,18.13,17.9428,282105,0.0,1.0
2019-05-29,17.97,18.35,17.97,18.2,18.0121,209937,0.0,1.0
2019-05-28,17.83,18.38,17.83,18.2,18.0121,597842,0.0,1.0
2019-05-24,18.13,18.25,17.6,17.87,17.6855,364098,0.0,1.0
2019-05-23,18.14,18.3572,17.88,17.97,17.7845,203680,0.0,1.0
2019-05-22,18.8,18.89,18.18,18.38,18.1902,386784,0.0,1.0
2019-05-21,18.71,19.08,18.71,18.87,18.6752,559588,0.0,1.0
2019-05-20,18.6,18.87,18.53,18.59,18.3981,244594,0.0,1.0
2019-05-17,19.1,19.19,18.79,18.81,18.6158,263381,0.0,1.0
2019-05-16,19.17,19.27,18.97,19.18,18.982,793381,0.0,1.0
2019-05-15,19.15,19.3,19.01,19.13,18.9325,254734,0.0,1.0
2019-05-14,19.21,19.44,19.1,19.31,19.1106,403809,0.0,1.0
2019-05-13,19.56,19.69,18.98,19.09,18.8929,388478,0.0,1.0
2019-05-10,19.85,20.09,19.7,20.05,19.843,430712,0.0,1.0
2019-05-09,20.02,20.21,19.81,19.98,19.7737,264413,0.0,1.0
2019-05-08,20.26,20.6,20.07,20.28,20.0706,377699,0.0,1.0
2019-05-07,20.69,20.8,20.12,20.38,20.1696,446558,0.0,1.0
2019-05-06,20.3,21.29,20.2,20.89,20.6743,427456,0.0,1.0
2019-05-03,18.62,21.4,18.6,20.78,20.5654,683026,0.0,1.0
